Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014/03/01,70,12:01:00 AM,Saturday,Coxwell STN,Investigation,30,60,EB,7531
2014/03/01,24,12:12:00 AM,Saturday,St. Clair and Victoria Park,Mechanical,10,20,N,8109
2014/03/01,63,12:46:00 AM,Saturday,Eglinton and Oakwood,Utilized Off Route,10,20,s/b,1548
2014/03/01,47,12:48:00 AM,Saturday,Lansdowne and Davenport,Mechanical,17,34,s/b,1558
2014/03/01,32,1:17:00 AM,Saturday,Eglinton and Renforth,Mechanical,23,46,e/b,1646
2014/03/01,161,1:20:00 AM,Saturday,Oakwood and St Clair,Mechanical,20,40,s/b,1590
2014/03/01,35,1:20:00 AM,Saturday,jane and wright,Mechanical,10,20,n/b,1295
2014/03/01,63,1:48:00 AM,Saturday,Oakwood and Davenport,Mechanical,10,20,e/b,1523
2014/03/01,54,2:08:00 AM,Saturday,Lawernece and Scarboro Golf Club Rd,Emergency Services,0,0,w/b,7545
2014/03/01,302,2:17:00 AM,Saturday,Danforth and St. Clair,Diversion,0,0,b/ws,
2014/03/01,43,2:35:00 AM,Saturday,Kennedy and Steeles,Investigation,0,0,s/b,7653
2014/03/01,300,2:50:00 AM,Saturday,East Mall and Bloor,Mechanical,10,20,e/b,8000
2014/03/01,313,3:15:00 AM,Saturday,sunnyside loop,Emergency Services,30,60,n/b,1281
2014/03/01,353,3:18:00 AM,Saturday,Steeles and Willowdale,Mechanical,30,60,e/b,1119
2014/03/01,307,3:35:00 AM,Saturday,eglinton and blackthorn,Mechanical,30,60,e/b,1625
2014/03/01,300,3:48:00 AM,Saturday,Danforth and Danforth,Emergency Services,10,20,w/b,1404
2014/03/01,307,4:10:00 AM,Saturday,eglinton blackthorn,Mechanical,30,60,e/b,1664
2014/03/01,63,4:52:00 AM,Saturday,Garage,Late Leaving Garage,10,20,s/b,1024
2014/03/01,34,5:19:00 AM,Saturday,Kennedy STN,Late Leaving Garage,18,32,wb,7491
2014/03/01,84,5:22:00 AM,Saturday,sheppard stn,Mechanical,20,45,w,1329
2014/03/01,12,5:33:00 AM,Saturday,Birchmount Garage,Mechanical,17,34,E/B,7756
2014/03/01,41,5:42:00 AM,Saturday,Keele and Steeles,Mechanical,15,30,n/b,1657
2014/03/01,32,5:50:00 AM,Saturday,Eglinton west station,Mechanical,15,30,e/b,1031
2014/03/01,21,6:15:00 AM,Saturday,Birchmount Garage,Mechanical,20,40,N/B,7874
2014/03/01,87,6:23:00 AM,Saturday,Cosburn  / Haldon,Investigation,25,50,eb,8106
2014/03/01,129,6:27:00 AM,Saturday,Scarborough Town Center,Late Leaving Garage,27,54,NB,1130
2014/03/01,58,6:30:00 AM,Saturday,Keele and Lawreence,Mechanical,36,72,e/b,1507
2014/03/01,95,6:30:00 AM,Saturday,York Mills Station,Late Leaving Garage,20,40,EB,1723
2014/03/01,85,6:30:00 AM,Saturday,Don Mills Station,Late Leaving Garage,15,30,EB,1091
2014/03/01,89,6:40:00 AM,Saturday,Weston and StClair,Mechanical,15,30,s/b,1628
2014/03/01,86,7:00:00 AM,Saturday,86 Scarborough Route,General Delay,17,27,BW,
2014/03/01,190,7:13:00 AM,Saturday,Scarborough Town Center,Mechanical,12,24,WB,1740
2014/03/01,32,7:18:00 AM,Saturday,Glenarden and Eglinton,Investigation,15,30,w/b,1564
2014/03/01,107,7:22:00 AM,Saturday,Downsview Stn,Emergency Services,30,60,N,1775
2014/03/01,40,7:23:00 AM,Saturday,Entire route,General Delay,0,0,b/w,
2014/03/01,86,7:24:00 AM,Saturday,Meadowvale & Sheppard,Investigation,10,20,EB,7512
2014/03/01,38,7:36:00 AM,Saturday,Scarborough Town Center,Mechanical,12,24,NB,1080
2014/03/01,52,7:41:00 AM,Saturday,Kimbark and Lawrence,Mechanical,10,20,e/b,1619
2014/03/01,81,7:46:00 AM,Saturday,Birchmount Garage,Mechanical,7,14,S/b,7854
2014/03/01,24,7:56:00 AM,Saturday,Birchmount Garage,Mechanical,10,20,S/b,7851
2014/03/01,68,8:03:00 AM,Saturday,Warden STN,Late Leaving Garage,13,26,NB,7493
2014/03/01,41,8:22:00 AM,Saturday,Garage,Late Leaving Garage,10,20,n/b,1041
