Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014/10/01,29,12:35:00 AM,Wednesday,Exhibition West Loop,Mechanical,8,16,n,9444
2014/10/01,67,12:41:00 AM,Wednesday,Pharmacy & Rannock,Emergency Services,20,40,NB,7623
2014/10/01,102,12:43:00 AM,Wednesday,Birchmount and St. Clair,Investigation,20,40,N,7808
2014/10/01,100,12:47:00 AM,Wednesday,Braodview STN,Utilized Off Route,10,20,NB,7615
2014/10/01,45,1:12:00 AM,Wednesday,kipling and Belfield,Mechanical,12,24,n,7959
2014/10/01,320,3:12:00 AM,Wednesday,YONGE STREET @ SHEPPARD AVE.,Mechanical,4,7,N,7558
2014/10/01,320,3:27:00 AM,Wednesday,YONGE @ STEELES.,Mechanical,7,11,N,1050
2014/10/01,316,3:36:00 AM,Wednesday,EXHIBITION LOOP,Mechanical,30,60,N,1599
2014/10/01,32,4:42:00 AM,Wednesday,Eglinton at Glenholme,Diversion,113,118,B/W,1624
2014/10/01,96,5:03:00 AM,Wednesday,wilson stn,Late Leaving Garage,19,19,w,7236
2014/10/01,96,5:20:00 AM,Wednesday,finch at humberline,Mechanical,9,19,e,7212
2014/10/01,96,5:24:00 AM,Wednesday,finch at humberline,Late Leaving Garage,22,35,e,7214
2014/10/01,501,5:27:00 AM,Wednesday,Lakeshore and Mimico,Mechanical,10,20,wb,8024
2014/10/01,52,5:37:00 AM,Wednesday,Terminal # 1,Late Leaving Garage,12,24,e/b,1646
2014/10/01,90,5:42:00 AM,Wednesday,Norhtcliff and Eglinton,Diversion,60,68,n/b,9410
2014/10/01,43,5:47:00 AM,Wednesday,kennedy and mcnicoll,Mechanical,20,40,n,7425
2014/10/01,36,5:48:00 AM,Wednesday,Finch stn,Late Leaving Garage,5,10,W,7951
2014/10/01,35,5:50:00 AM,Wednesday,jane at finch,Mechanical,12,24,n,1206
2014/10/01,85,5:54:00 AM,Wednesday,Don Mills station,Late Leaving Garage,3,15,E,9096
2014/10/01,91,5:59:00 AM,Wednesday,Woodbine stn.,Late Leaving Garage,9,18,n/b,7760
2014/10/01,45,6:00:00 AM,Wednesday,Steeles Loop,Mechanical,5,5,sb,8033
2014/10/01,15,6:00:00 AM,Wednesday,Royal York Station,Mechanical,10,0,sb,8041
2014/10/01,165,6:00:00 AM,Wednesday,Yorkmills Stn,Late Leaving Garage,5,10,N,7236
2014/10/01,84,6:01:00 AM,Wednesday,sheppard stn,Late Leaving Garage,23,23,w,7945
2014/10/01,104,6:03:00 AM,Wednesday,Wilson stn,Late Leaving Garage,14,28,n/b,8363
2014/10/01,199,6:06:00 AM,Wednesday,Scarborough Town Centre,Late Leaving Garage,3,5,WB,7010
2014/10/01,86,6:10:00 AM,Wednesday,kennedy stn,Mechanical,17,0,e,7633
2014/10/01,45,6:10:00 AM,Wednesday,Kipling station,Mechanical,6,28,nb,7312
2014/10/01,52,6:11:00 AM,Wednesday,Lawrence stn,Late Leaving Garage,12,18,w/b,1592
2014/10/01,32,6:12:00 AM,Wednesday,Eglinton station,Mechanical,5,9,W,1041
2014/10/01,34,6:13:00 AM,Wednesday,kennedy station,Mechanical,4,8,e,7625
2014/10/01,191,6:17:00 AM,Wednesday,martingrove at royalcrest,Late Leaving Garage,6,12,n,7916
2014/10/01,53,6:20:00 AM,Wednesday,Morningside and Staines,Mechanical,7,19,w,9074
2014/10/01,48,6:20:00 AM,Wednesday,Royal York Station,Mechanical,20,33,wb,7978
2014/10/01,53,6:26:00 AM,Wednesday,Passmore and Markham,Mechanical,14,24,w,9079
