Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015/04/01,111,12:01:00 AM,Wednesday,Eglinton/Martingrove,Diversion,20,40,n/b,7324
2015/04/01,51,12:32:00 AM,Wednesday,Leslie and Finch,Mechanical,58,88,N,8338
2015/04/01,320,2:30:00 AM,Wednesday,Yonge & Bloor,Mechanical,4,8,N,8382
2015/04/01,320,3:15:00 AM,Wednesday,Queens Quay & Front,Mechanical,4,8,N,1662
2015/04/01,94,4:53:00 AM,Wednesday,Castle Frank Stn.,Late Leaving Garage,1,1,w,8118
2015/04/01,84,5:00:00 AM,Wednesday,RISH,Late Leaving Garage,24,49,E,1519
2015/04/01,34,5:01:00 AM,Wednesday,Eglinton yard,Mechanical,13,26,e,7527
2015/04/01,52,5:20:00 AM,Wednesday,Lawrence West Station,Late Leaving Garage,12,12,WB,1665
2015/04/01,6,5:27:00 AM,Wednesday,Bedford and Dupont,Mechanical,13,21,SB,1009
2015/04/01,85,5:33:00 AM,Wednesday,Sheppard Loop-Meadowvale,Late Leaving Garage,8,16,WB,9059
2015/04/01,111,5:39:00 AM,Wednesday,Eglinton and Martingrove,Mechanical,14,28,nb,7301
2015/04/01,108,5:43:00 AM,Wednesday,Driftwood and Stong,Late Leaving Garage,14,34,N,1514
2015/04/01,53,5:46:00 AM,Wednesday,Passmore and Markham,Mechanical,4,9,w,1080
2015/04/01,6,5:48:00 AM,Wednesday,Garage,Late Leaving Garage,8,16,s,1599
2015/04/01,130,5:52:00 AM,Wednesday,Steeles loop-Middlefield,Late Leaving Garage,20,40,sb,1733
2015/04/01,39,5:53:00 AM,Wednesday,Neilson/Crow Trail,Utilized Off Route,4,8,WB,1091
2015/04/01,116,5:54:00 AM,Wednesday,Morningside and Staines,Utilized Off Route,6,12,s,7465
2015/04/01,39,5:59:00 AM,Wednesday,Old Finch and Valley Center Drive,Mechanical,17,34,WB,1321
2015/04/01,165,6:00:00 AM,Wednesday,York Mills Stn.,Mechanical,5,18,W,7216
2015/04/01,106,6:00:00 AM,Wednesday,Common,Late Leaving Garage,15,25,s,9415
2015/04/01,45,6:05:00 AM,Wednesday,Steeles Loop,Mechanical,15,25,sb,8044
2015/04/01,35,6:13:00 AM,Wednesday,JNST,Late Leaving Garage,10,20,S,1559
2015/04/01,10,6:15:00 AM,Wednesday,Don Mills Station,Mechanical,15,30,E,8391
2015/04/01,161,6:20:00 AM,Wednesday,Jane and Eglinton,Mechanical,10,20,e/b,1669
2015/04/01,95,6:20:00 AM,Wednesday,Scarborough College Loop,Mechanical,10,20,w,1805
2015/04/01,24,6:22:00 AM,Wednesday,VP Stn.,Late Leaving Garage,6,12,n,7881
2015/04/01,95,6:23:00 AM,Wednesday,Kingston Road Loop,Mechanical,8,16,w,1111
2015/04/01,195,6:24:00 AM,Wednesday,JSTE,Mechanical,10,20,S,1686
2015/04/01,29,6:25:00 AM,Wednesday,Wilson Station,Mechanical,8,16,sb,9032
2015/04/01,68,6:27:00 AM,Wednesday,Warden stn,Mechanical,4,8,nb,7512
2015/04/01,117,6:30:00 AM,Wednesday,Downsview stn,Mechanical,10,20,n/b,8190
2015/04/01,60,6:35:00 AM,Wednesday,Finch Stn.,Late Leaving Garage,9,19,W,1545
2015/04/01,53,6:37:00 AM,Wednesday,Steeles and Brimley,Mechanical,4,9,w,1727
2015/04/01,41,6:40:00 AM,Wednesday,Petrolia and Keele,Mechanical,11,22,s/b,1609
2015/04/01,199,6:43:00 AM,Wednesday,Finch/Birchmount,Mechanical,2,4,WB,1765
2015/04/01,108,6:45:00 AM,Wednesday,Keele st,Late Leaving Garage,13,26,W/B,1376
2015/04/01,36,6:56:00 AM,Wednesday,Finch station,Mechanical,6,12,w,9120
2015/04/01,11,7:09:00 AM,Wednesday,Belsize,Late Leaving Garage,6,12,W,8334
2015/04/01,195,7:12:00 AM,Wednesday,JSTE,Late Leaving Garage,10,20,S,1286
2015/04/01,60,7:13:00 AM,Wednesday,Signal Hill and Steeles,Late Leaving Garage,7,14,W/B,7211
2015/04/01,25,7:16:00 AM,Wednesday,Don Mills Staton,Utilized Off Route,3,6,SB,7661
2015/04/01,11,7:22:00 AM,Wednesday,Cleveland at Belsize,Investigation,6,12,n,8157
2015/04/01,73,7:22:00 AM,Wednesday,Royal York Station,Mechanical,15,30,N,8061
2015/04/01,75,7:30:00 AM,Wednesday,Queens Quat to South dr.,General Delay,15,21,b/w,
2015/04/01,95,7:30:00 AM,Wednesday,Victoria Park to Bayview,General Delay,10,1,BW,
2015/04/01,54,7:43:00 AM,Wednesday,Lawrence rt,Mechanical,6,12,eb,7565
2015/04/01,81,7:45:00 AM,Wednesday,Overlea at Thorncliffe,Utilized Off Route,5,10,s,7873
2015/04/01,60,7:47:00 AM,Wednesday,Finch Station,Late Leaving Garage,7,14,W,1213
2015/04/01,11,7:47:00 AM,Wednesday,Bayview at Steeles,Late Leaving Garage,6,12,S,8170
2015/04/01,60,7:47:00 AM,Wednesday,Finch Station,Utilized Off Route,13,26,W,1213
2015/04/01,11,7:52:00 AM,Wednesday,Steeles Loop,Investigation,24,48,SB,8319
2015/04/01,75,7:55:00 AM,Wednesday,Lower Jarvis and Queen Quay,Mechanical,6,12,n/b,8209
2015/04/01,87,7:58:00 AM,Wednesday,Broadview/Chester Hill,Investigation,8,16,N/B,7800
2015/04/01,196,7:58:00 AM,Wednesday,Sheppard Station,Utilized Off Route,8,16,W,8363
2015/04/01,72,8:00:00 AM,Wednesday,Carlaw & Eastern Ave,General Delay,10,1,N/B,
2015/04/01,192,8:00:00 AM,Wednesday,Hwy 427 south bound from Hwy 401,General Delay,1,1,sb,
2015/04/01,85,8:00:00 AM,Wednesday,85 Sheppard,General Delay,7,14,BW,9059
2015/04/01,134,8:07:00 AM,Wednesday,Tapscott just n. of Newgale Gate(C.P.Rail Crossing),Diversion,18,38,n,1707
2015/04/01,53,8:10:00 AM,Wednesday,Finch Station to Morningside and Staines,General Delay,14,10,bw,
2015/04/01,75,8:24:00 AM,Wednesday,Sherbourne at Dundas,Investigation,6,12,n/b,8150
2015/04/01,86,8:25:00 AM,Wednesday,Eglinton and Bellamy,Mechanical,4,8,w,7536
2015/04/01,63,8:30:00 AM,Wednesday,Eglinton ave,General Delay,8,15,b/w,
2015/04/01,168,8:30:00 AM,Wednesday,Dundas West Station - Avon Loop,General Delay,15,0,BW,
2015/04/01,87,8:30:00 AM,Wednesday,Main stn,Mechanical,9,18,N/B,7819
2015/04/01,52,8:30:00 AM,Wednesday,Entire Route,General Delay,25,37,B/W,
