Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015/06/01,320,1:25:00 AM,Monday,St. Clair and Yonge,Diversion,3,26,S,7542
2015/06/01,68,1:30:00 AM,Monday,Warden & Steeles,Mechanical,16,32,SB,7418
2015/06/01,300,3:23:00 AM,Monday,Danforth and Danforth,Utilized Off Route,1,1,W/B,8051
2015/06/01,320,3:57:00 AM,Monday,Yonge & Steeles,Mechanical,15,30,S,8319
2015/06/01,60,4:34:00 AM,Monday,SPLM,Late Leaving Garage,20,1,E,1243
2015/06/01,172,4:55:00 AM,Monday,Birchmount Gargae,Late Leaving Garage,0,15,WB,7760
2015/06/01,224,5:00:00 AM,Monday,egl. Yard,Late Leaving Garage,1,1,s,7554
2015/06/01,112,5:00:00 AM,Monday,Commerce & Skymark,Mechanical,15,15,S,7958
2015/06/01,21,5:01:00 AM,Monday,Birchmount Garage,Late Leaving Garage,20,40,N,8116
2015/06/01,41,5:05:00 AM,Monday,Keele station,Late Leaving Garage,20,30,N/B,9144
2015/06/01,224,5:14:00 AM,Monday,Eglinton Garage,Late Leaving Garage,1,1,n/b,7554
2015/06/01,320,5:18:00 AM,Monday,Steeles and Yonge,Late Leaving Garage,15,1,S,8383
2015/06/01,35,5:20:00 AM,Monday,Jane station,Late Leaving Garage,10,20,N,1217
2015/06/01,7,5:21:00 AM,Monday,Wilson Garage,Late Leaving Garage,10,30,,9052
2015/06/01,53,5:27:00 AM,Monday,Passmore and Markham,Mechanical,4,9,w,1123
2015/06/01,32,5:35:00 AM,Monday,Skymark,Mechanical,8,16,w/b,1200
2015/06/01,24,5:38:00 AM,Monday,Birchmount garage,Late Leaving Garage,12,24,NB,7857
2015/06/01,66,5:40:00 AM,Monday,Humber loop,Late Leaving Garage,20,40,n/b,8090
2015/06/01,7,5:43:00 AM,Monday,Wilson Garage,Late Leaving Garage,8,17,,9040
2015/06/01,90,5:44:00 AM,Monday,Saint Clair West Station,Mechanical,7,15,,9425
2015/06/01,7,5:47:00 AM,Monday,Wilson Garage,Late Leaving Garage,9,26,,9018
2015/06/01,86,5:47:00 AM,Monday,Eglinton yard,Mechanical,16,0,e,7462
2015/06/01,79,5:49:00 AM,Monday,Pine and Lawrence,Late Leaving Garage,19,32,S/B,1063
2015/06/01,32,5:52:00 AM,Monday,Eglinton and Keele,Late Leaving Garage,19,28,e/b,1597
2015/06/01,24,5:53:00 AM,Monday,Consummers Rd and Victoria Park,Mechanical,12,24,NB,7857
2015/06/01,23,5:54:00 AM,Monday,Ferris and Rexliegh,Mechanical,6,12,W,7813
2015/06/01,86,5:55:00 AM,Monday,Eglinton yard,Mechanical,4,8,s,7427
2015/06/01,86,5:57:00 AM,Monday,Eglinton yard,Mechanical,15,0,e,7667
2015/06/01,41,5:58:00 AM,Monday,Keele station,Mechanical,11,21,N,9146
2015/06/01,35,6:00:00 AM,Monday,Jane street,General Delay,10,20,N,
2015/06/01,84,6:00:00 AM,Monday,Sheppard Stn.,Late Leaving Garage,9,17,W,1219
