Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016/08/01,102,12:00:00 AM,Monday,Warden Stn,Utilized Off Route,10,20,NB,7707
2016/08/01,32,12:10:00 AM,Monday,Eglinton West Station,Utilized Off Route,10,15,E/B,1502
2016/08/01,39,12:45:00 AM,Monday,Finch Avenue East at Midland Avenue,Diversion,16,26,WB,1128
2016/08/01,95,1:10:00 AM,Monday,Kingston Rd Loop,Mechanical,10,20,WB,1228
2016/08/01,116,1:54:00 AM,Monday,Morningside and Halfway,Investigation,10,20,N,7668
2016/08/01,116,1:54:00 AM,Monday,Morningside and halfway,Diversion,47,57,B/W,
2016/08/01,320,2:15:00 AM,Monday,yonge and wellesly,Investigation,15,30,w/b,1702
2016/08/01,310,3:45:00 AM,Monday,bathurst and college,Diversion,146,60,b/w,8353
2016/08/01,39,4:58:00 AM,Monday,BDFI,Late Leaving Garage,30,1,w,1736
2016/08/01,353,5:10:00 AM,Monday,NWGT,Late Leaving Garage,30,1,w,1144
2016/08/01,506,5:10:00 AM,Monday,Main Station,Late Leaving Garage,10,20,w,7525
2016/08/01,29,5:28:00 AM,Monday,Wilson stn,Mechanical,25,50,s,1684
2016/08/01,339,5:35:00 AM,Monday,finch and tapscott,Emergency Services,0,0,e/b,1738
2016/08/01,129,5:40:00 AM,Monday,SLMC,Late Leaving Garage,10,20,s,1784
2016/08/01,121,5:42:00 AM,Monday,Lakeshore and Strachan ave,Late Leaving Garage,20,28,EB,7716
2016/08/01,7,5:53:00 AM,Monday,Horsham,Mechanical,11,22,n,1673
2016/08/01,506,5:57:00 AM,Monday,College and Ossington,Mechanical,17,27,E,1533
2016/08/01,54,7:00:00 AM,Monday,Curlew/Lawerence,Diversion,10,20,w/b,7565
2016/08/01,162,7:01:00 AM,Monday,Lawrence/Leslie,Mechanical,30,60,e,1807
2016/08/01,133,7:01:00 AM,Monday,MOF1,Mechanical,12,24,s,1220
2016/08/01,91,7:05:00 AM,Monday,Lawrance and Carnforth rd,Diversion,210,230,NB,8161
2016/08/01,191,7:10:00 AM,Monday,Kipling station,Late Leaving Garage,10,20,N,8559
2016/08/01,195,7:39:00 AM,Monday,Jane and Steeles,Late Leaving Garage,10,20,S,8465
2016/08/01,53,7:42:00 AM,Monday,Steeles and Midland,Mechanical,9,28,e,1092
2016/08/01,87,7:49:00 AM,Monday,Main stn,Mechanical,11,22,WB,8124
