Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016/12/01,11,12:25:00 AM,Thursday,Davisville Stn,Utilized Off Route,15,30,NB,8205
2016/12/01,24,12:35:00 AM,Thursday,Victoria Park Station,Mechanical,10,20,NB,7790
2016/12/01,87,12:38:00 AM,Thursday,Browning and Broadview,Mechanical,10,20,EB,8167
2016/12/01,40,12:40:00 AM,Thursday,Runnymede Loop,Investigation,20,40,e,8405
2016/12/01,168,12:54:00 AM,Thursday,Dundas W Stn,Utilized Off Route,12,24,n,8054
2016/12/01,44,1:15:00 AM,Thursday,Kipling Stn,Mechanical,10,20,s,8061
2016/12/01,46,1:30:00 AM,Thursday,Kipling Station,Mechanical,30,30,n,8512
2016/12/01,320,3:47:00 AM,Thursday,Yonge and Finch,Mechanical,3,7,n,1706
2016/12/01,35,5:10:00 AM,Thursday,JNST,Late Leaving Garage,10,20,N,7952
2016/12/01,46,5:19:00 AM,Thursday,Islington and Steeles,Mechanical,16,32,,1297
2016/12/01,108,5:23:00 AM,Thursday,Driftwood & Stong,Late Leaving Garage,20,40,EB,8530
2016/12/01,60,5:27:00 AM,Thursday,SLPM,Late Leaving Garage,10,30,S,1309
2016/12/01,32,5:38:00 AM,Thursday,Pine and Lawrence,Late Leaving Garage,10,19,e,1625
2016/12/01,79,5:43:00 AM,Thursday,Pine and Lawrence,Late Leaving Garage,10,20,s,1233
2016/12/01,106,5:45:00 AM,Thursday,York University Comm,Mechanical,17,1,SB,1294
2016/12/01,50,5:50:00 AM,Thursday,Mill loop,Mechanical,15,35,E,8037
2016/12/01,6,5:54:00 AM,Thursday,Bedford and Davenport,Late Leaving Garage,7,14,s,1604
2016/12/01,83,5:58:00 AM,Thursday,Donlands Stn,Late Leaving Garage,12,24,S,7748
2016/12/01,90,6:03:00 AM,Thursday,St.Clair West Station,Utilized Off Route,7,14,N,1373
2016/12/01,29,6:03:00 AM,Thursday,wilson station,Mechanical,9,18,s,9004
2016/12/01,35,6:03:00 AM,Thursday,JSTE,Late Leaving Garage,5,10,S,1238
2016/12/01,85,6:08:00 AM,Thursday,Meadowvale loop,Late Leaving Garage,5,11,W,9092
