Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016/02/01,42,12:30:00 AM,Monday,FINCH STN,Mechanical,20,40,E,1816
2016/02/01,7,12:30:00 AM,Monday,BATHURST AND FINCH,Utilized Off Route,10,20,N,8380
2016/02/01,68,1:14:00 AM,Monday,Warden/Comstock,Diversion,53,83,b/w,7612
2016/02/01,339,2:39:00 AM,Monday,Leslie St and Finch Ave East,Mechanical,23,53,EB,1087
2016/02/01,35,3:21:00 AM,Monday,Jane and Steeles,Late Leaving Garage,20,40,S,1666
2016/02/01,86,4:52:00 AM,Monday,Garage,Late Leaving Garage,1,1,E/B,7444
2016/02/01,302,4:56:00 AM,Monday,Middlefield Ave,Mechanical,30,60,NB,7697
2016/02/01,43,5:00:00 AM,Monday,Kennedy/Huntingwood,Diversion,375,385,B/W,7692
2016/02/01,41,5:05:00 AM,Monday,Keele Stn,Mechanical,15,30,N,1008
2016/02/01,73,5:08:00 AM,Monday,Garage / Royal York stn,Late Leaving Garage,13,23,n,7964
2016/02/01,71,5:08:00 AM,Monday,Runnymede stn,Late Leaving Garage,0,17,n,1647
2016/02/01,109,5:30:00 AM,Monday,Law. West stn,Late Leaving Garage,7,0,n/b,1679
2016/02/01,116,5:30:00 AM,Monday,Garage,Late Leaving Garage,6,12,E/B,7605
2016/02/01,29,5:33:00 AM,Monday,Dufferin at Bloor,Mechanical,6,11,N,9037
2016/02/01,25,5:40:00 AM,Monday,Eglinton Garage,Mechanical,4,8,S,7597
2016/02/01,60,5:47:00 AM,Monday,FSTN,Late Leaving Garage,9,22,W,1353
2016/02/01,165,5:47:00 AM,Monday,York Mills stn.,Late Leaving Garage,13,40,W,8499
2016/02/01,54,5:48:00 AM,Monday,Star Spray Loop,Mechanical,9,18,wb,7567
2016/02/01,25,5:49:00 AM,Monday,Eglinton Garage,Mechanical,1,1,S,7493
2016/02/01,810,5:49:00 AM,Monday,Pape Station,Mechanical,8,16,SB,8101
2016/02/01,12,5:49:00 AM,Monday,Kingston Road and Brimley,Mechanical,11,22,WB,7826
2016/02/01,100,5:50:00 AM,Monday,Broadview/Oconner,Mechanical,5,10,down,7650
2016/02/01,76,5:51:00 AM,Monday,Royal York stn,Mechanical,6,11,s,7347
2016/02/01,195,5:52:00 AM,Monday,JSTE,Late Leaving Garage,1,10,S,1376
2016/02/01,58,5:57:00 AM,Monday,Bedford,Late Leaving Garage,8,16,S,1641
2016/02/01,32,6:01:00 AM,Monday,Pine,Late Leaving Garage,7,14,e,1540
2016/02/01,107,6:05:00 AM,Monday,Kodiak at Whitehorse,Mechanical,14,29,NB,1789
2016/02/01,29,6:07:00 AM,Monday,Tycos,Mechanical,10,10,S,9001
2016/02/01,32,6:08:00 AM,Monday,Pine,Late Leaving Garage,7,14,e,1542
2016/02/01,124,6:10:00 AM,Monday,Sunnybrooke Hospital,Mechanical,12,0,w/b,8387
2016/02/01,95,6:11:00 AM,Monday,Kingston Road,Late Leaving Garage,7,14,w,1127
2016/02/01,25,6:11:00 AM,Monday,Eglinton Garage,Late Leaving Garage,3,6,S,7688
2016/02/01,6,6:13:00 AM,Monday,Bedford,Late Leaving Garage,8,16,S,1578
2016/02/01,59,6:16:00 AM,Monday,Sheffield,Mechanical,12,24,W,1373
2016/02/01,106,6:18:00 AM,Monday,Downsviw Stn,Utilized Off Route,7,14,NB,1807
2016/02/01,36,6:22:00 AM,Monday,Arrow Road,Mechanical,8,18,W/B,9110
2016/02/01,196,6:33:00 AM,Monday,York U Commons,Utilized Off Route,5,10,SB,8161
2016/02/01,53,6:35:00 AM,Monday,Passmore and Markham,Late Leaving Garage,6,10,w,1206
2016/02/01,85,6:36:00 AM,Monday,Rouge Hill Go stn.,Mechanical,13,26,E,9072
2016/02/01,16,6:38:00 AM,Monday,Warden Station,Late Leaving Garage,9,18,N,7706
2016/02/01,191,6:38:00 AM,Monday,Royalcrest,Late Leaving Garage,6,12,Nb,7907
2016/02/01,106,6:39:00 AM,Monday,Downsview Stn,Mechanical,7,14,NB,8154
2016/02/01,88,6:39:00 AM,Monday,Beth Nealson,Mechanical,9,16,N,8208
2016/02/01,84,6:41:00 AM,Monday,Sheppard Stn,Late Leaving Garage,18,26,WB,1324
2016/02/01,191,6:42:00 AM,Monday,Royalcrest,Late Leaving Garage,6,12,Nb,7906
2016/02/01,25,6:43:00 AM,Monday,Eglinton Garage,Late Leaving Garage,1,1,S,7691
2016/02/01,36,6:46:00 AM,Monday,Arrow Road Garage,Late Leaving Garage,5,11,E/B,1259
2016/02/01,25,6:48:00 AM,Monday,Eglinton Garage,Mechanical,3,6,N,7614
2016/02/01,165,6:48:00 AM,Monday,Steeles and Barmac,Mechanical,11,17,S,8499
2016/02/01,95,6:49:00 AM,Monday,Yorkmills Stn,Mechanical,7,14,e,1819
2016/02/01,36,6:51:00 AM,Monday,Arrow Road Garage,Late Leaving Garage,5,16,E/B,1322
2016/02/01,34,6:56:00 AM,Monday,eglinton/Laird,Mechanical,4,8,up,7440
2016/02/01,85,7:02:00 AM,Monday,Don Mills station,Mechanical,6,11,E,9058
2016/02/01,196,7:09:00 AM,Monday,Downsview Stn,Mechanical,6,12,NB,9014
2016/02/01,73,7:12:00 AM,Monday,Albion and Islington,Diversion,53,68,e,8049
2016/02/01,60,7:14:00 AM,Monday,Finch Station,Late Leaving Garage,4,8,W/B,7942
2016/02/01,108,7:18:00 AM,Monday,Downsview Stn,Late Leaving Garage,13,26,NB,1346
2016/02/01,196,7:24:00 AM,Monday,York  U Commons,Mechanical,2,4,SB,9029
2016/02/01,195,7:26:00 AM,Monday,Jane and Finch,Mechanical,10,20,N,8419
2016/02/01,107,7:38:00 AM,Monday,@ Langstaff,Emergency Services,15,33,SB,8177
2016/02/01,195,7:50:00 AM,Monday,Jane and Finch,Mechanical,10,20,N,1338
2016/02/01,63,7:58:00 AM,Monday,King & Atlantic,Mechanical,4,8,S,1576
2016/02/01,42,8:07:00 AM,Monday,Finch stn,Mechanical,8,16,e/b,8158
2016/02/01,143,8:14:00 AM,Monday,Adelaide and Bay,Investigation,1,1,EB,8120
2016/02/01,66,8:15:00 AM,Monday,Parklawn and Lakeshore,General Delay,14,28,s,8044
2016/02/01,36,8:44:00 AM,Monday,Finch and Albion,Mechanical,5,10,E/B,9134
2016/02/01,85,8:55:00 AM,Monday,Don Mills station,Investigation,14,29,W,1141
2016/02/01,65,8:58:00 AM,Monday,Castlefrank Statiob,Mechanical,18,36,S,7764
2016/02/01,64,8:58:00 AM,Monday,Queen and Wineva,Utilized Off Route,8,16,NB,7698
2016/02/01,196,8:59:00 AM,Monday,Downsview Stn,Mechanical,5,10,NB,8215
2016/02/01,35,9:04:00 AM,Monday,SJAN,Late Leaving Garage,6,13,S,7921
2016/02/01,32,9:05:00 AM,Monday,Islington and Eglinton,Mechanical,5,10,w,1587
2016/02/01,190,9:08:00 AM,Monday,Victoria Park and Sheppard,Investigation,1,1,E,7644
2016/02/01,79,9:17:00 AM,Monday,Pine and Lawrence,Mechanical,9,18,S,1504
2016/02/01,129,9:22:00 AM,Monday,STC,Mechanical,7,14,n,1262
2016/02/01,14,9:23:00 AM,Monday,Caledonia and Glencairn,Investigation,1,1,E,1541
2016/02/01,97,9:32:00 AM,Monday,Yonge at King,Diversion,27,57,SB,8349
2016/02/01,52,9:40:00 AM,Monday,Lawrence and Avenue,Investigation,12,24,E,1661
2016/02/01,7,9:40:00 AM,Monday,Steeels and Bathurst,Investigation,9,18,e/b,9010
2016/02/01,29,9:48:00 AM,Monday,College,Mechanical,3,7,S/B,8336
2016/02/01,191,9:50:00 AM,Monday,Humber College,Mechanical,6,12,SB,7906
2016/02/01,107,9:57:00 AM,Monday,@ Dina Rd.,Mechanical,18,36,SB,8170
2016/02/01,836,10:26:00 AM,Monday,Downsview Stn,Mechanical,15,30,w,8363
2016/02/01,51,10:44:00 AM,Monday,Leslie & Van horne Ave,Investigation,25,50,S,8151
2016/02/01,52,11:22:00 AM,Monday,Royal york and Dixon,Mechanical,13,26,E,1632
2016/02/01,32,11:23:00 AM,Monday,Jane and Eglinton,Mechanical,10,20,e,1667
2016/02/01,52,11:25:00 AM,Monday,terminal 3,Mechanical,13,26,E,1632
