Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016/06/01,112,12:04:00 AM,Wednesday,Carlingview and Worcester,Mechanical,18,36,s,8061
2016/06/01,168,12:39:00 AM,Wednesday,Avon Loop,Utilized Off Route,12,24,s,7964
2016/06/01,40,1:12:00 AM,Wednesday,Runnymede Loop,Mechanical,10,20,w/b,8066
2016/06/01,300,3:07:00 AM,Wednesday,Greeenwood Av to Danforth Ave,Mechanical,20,40,EB,8016
2016/06/01,320,3:40:00 AM,Wednesday,York Mills & Yonge,Utilized Off Route,4,8,N,8146
2016/06/01,300,3:43:00 AM,Wednesday,The East Mall,Utilized Off Route,20,40,EB,7428
2016/06/01,300,4:11:00 AM,Wednesday,Keele St,Utilized Off Route,1,1,WB,7950
2016/06/01,300,4:11:00 AM,Wednesday,Dufferin and Bloor,Mechanical,30,60,EB,1658
2016/06/01,36,5:21:00 AM,Wednesday,Finch/arrow,Late Leaving Garage,5,10,w,9130
2016/06/01,71,5:23:00 AM,Wednesday,Runnymede and Bloor,Mechanical,0,17,n/b,1624
2016/06/01,85,5:25:00 AM,Wednesday,Meadowvale loop,Late Leaving Garage,11,27,W,9074
2016/06/01,23,5:31:00 AM,Wednesday,Main station,Late Leaving Garage,11,22,e,8132
2016/06/01,38,5:37:00 AM,Wednesday,Rouge Hill GO,Late Leaving Garage,10,20,W,1128
2016/06/01,32,5:38:00 AM,Wednesday,Skymark,Mechanical,9,17,e/b,1588
2016/06/01,6,5:41:00 AM,Wednesday,Bedford & Dupont,Utilized Off Route,13,20,s/b,1039
2016/06/01,117,5:41:00 AM,Wednesday,Alness and Steeles,Mechanical,18,18,SB,1801
2016/06/01,774,5:42:00 AM,Wednesday,Finch Station,Utilized Off Route,1,1,W,1358
2016/06/01,100,5:43:00 AM,Wednesday,Eglinton and Don Mills,Utilized Off Route,20,40,W,7637
2016/06/01,100,5:43:00 AM,Wednesday,Broadview STN,Utilized Off Route,17,31,N/B,7606
2016/06/01,87,5:43:00 AM,Wednesday,Broadview Stn,Utilized Off Route,8,16,,7841
2016/06/01,168,5:45:00 AM,Wednesday,Avon Loop,Utilized Off Route,5,13,s/b,7943
2016/06/01,54,5:45:00 AM,Wednesday,Eglinton yard,Utilized Off Route,6,12,wb,7573
2016/06/01,54,5:45:00 AM,Wednesday,Eglinton yard,Utilized Off Route,60,12,wb,7573
2016/06/01,96,5:45:00 AM,Wednesday,wilson stn,Utilized Off Route,28,46,w,1319
2016/06/01,81,5:45:00 AM,Wednesday,thorncliff park,Utilized Off Route,5,10,e,7826
2016/06/01,39,5:46:00 AM,Wednesday,Finch & Baldoon,Utilized Off Route,8,12,EB,1254
2016/06/01,12,5:48:00 AM,Wednesday,Kennedy Stn,Late Leaving Garage,15,30,e,7865
2016/06/01,57,5:49:00 AM,Wednesday,Midland and Steeles,Utilized Off Route,8,16,s,8125
2016/06/01,51,5:49:00 AM,Wednesday,Eglinton Stn,Utilized Off Route,14,33,E,8328
2016/06/01,35,5:50:00 AM,Wednesday,Jane Station,Utilized Off Route,5,10,N,1310
2016/06/01,40,5:50:00 AM,Wednesday,Clendenan And Dundas St W,Utilized Off Route,12,24,s/b,8077
2016/06/01,96,5:52:00 AM,Wednesday,yorkmills stn,Utilized Off Route,28,46,w,1363
2016/06/01,47,5:54:00 AM,Wednesday,Lansdowne and Queen,Emergency Services,18,36,SB,1013
2016/06/01,25,5:54:00 AM,Wednesday,Pape STN,Utilized Off Route,6,13,N/B,7674
2016/06/01,24,5:55:00 AM,Wednesday,Victoria Park Station,Utilized Off Route,9,18,NB,7812
2016/06/01,36,5:55:00 AM,Wednesday,Finch stan,Utilized Off Route,5,10,w,9119
2016/06/01,53,5:55:00 AM,Wednesday,Markham Rd and Passmore,Utilized Off Route,4,9,W,1262
2016/06/01,85,5:57:00 AM,Wednesday,Meadowvale loop,Utilized Off Route,5,10,W,9066
2016/06/01,38,5:57:00 AM,Wednesday,Rouge Hill GO,Utilized Off Route,9,19,W,1097
2016/06/01,86,5:58:00 AM,Wednesday,Eglinton Yard,Mechanical,8,16,W,7603
2016/06/01,60,5:59:00 AM,Wednesday,Finch Station,Utilized Off Route,15,20,E,1255
2016/06/01,75,6:00:00 AM,Wednesday,Sherbourne abd Bloor,Utilized Off Route,15,30,n/b,8178
2016/06/01,95,6:00:00 AM,Wednesday,SCLP,Utilized Off Route,20,30,WB,1272
2016/06/01,102,6:02:00 AM,Wednesday,Warden stn.,Late Leaving Garage,20,40,NB,8147
2016/06/01,52,6:02:00 AM,Wednesday,Lawrence stn,Utilized Off Route,12,24,w/b,1023
2016/06/01,199,6:02:00 AM,Wednesday,Morningside & Nightstar,Utilized Off Route,6,14,WB,1083
2016/06/01,66,6:02:00 AM,Wednesday,Lakeshore and Marine Parade,Utilized Off Route,15,28,N/B,7909
2016/06/01,116,6:03:00 AM,Wednesday,Kennedy STN,Utilized Off Route,7,13,W,7680
2016/06/01,90,6:03:00 AM,Wednesday,St.Clair West stn,Utilized Off Route,12,24,n/b,8379
2016/06/01,32,6:04:00 AM,Wednesday,Eglinton west stn,Utilized Off Route,20,29,e/b,1043
2016/06/01,52,6:05:00 AM,Wednesday,Royal York & Dixon,Late Leaving Garage,11,23,e/b,1006
2016/06/01,29,6:06:00 AM,Wednesday,Dufferin and Playfair,Utilized Off Route,8,15,N,9049
2016/06/01,76,6:07:00 AM,Wednesday,Evans and Royal York Rd,Utilized Off Route,5,9,S/B,7348
2016/06/01,107,6:08:00 AM,Wednesday,Wilson Station,Mechanical,12,20,n,1559
2016/06/01,199,6:08:00 AM,Wednesday,Scarborough Town Centre,Late Leaving Garage,10,1,WB,1119
2016/06/01,53,6:09:00 AM,Wednesday,Finch Stn,Utilized Off Route,4,5,E,9057
2016/06/01,53,6:09:00 AM,Wednesday,Finch Stn,Late Leaving Garage,4,5,E,9057
2016/06/01,106,6:10:00 AM,Wednesday,Downsview stn,Utilized Off Route,10,20,N,1667
2016/06/01,23,6:10:00 AM,Wednesday,Pape stn,Utilized Off Route,11,22,n,8132
2016/06/01,94,6:12:00 AM,Wednesday,Castle Frank Station,Utilized Off Route,13,26,WB,7798
2016/06/01,191,6:12:00 AM,Wednesday,Kipling station,Utilized Off Route,5,23,N,7918
2016/06/01,41,6:13:00 AM,Wednesday,Keele station,Utilized Off Route,11,22,NB,1408
2016/06/01,34,6:13:00 AM,Wednesday,Eglinton stn,Utilized Off Route,4,8,eb,7699
2016/06/01,85,6:13:00 AM,Wednesday,Don Mills station,Utilized Off Route,11,22,E,9074
2016/06/01,47,6:13:00 AM,Wednesday,Queen st,Utilized Off Route,4,9,n,1013
2016/06/01,52,6:14:00 AM,Wednesday,Lawrence & Bathurst,Utilized Off Route,12,24,e/b,1067
2016/06/01,106,6:15:00 AM,Wednesday,Downsview Stn,Utilized Off Route,8,16,n,1714
2016/06/01,95,6:15:00 AM,Wednesday,Ellesmere RT Stn,Utilized Off Route,7,14,W,8180
2016/06/01,29,6:16:00 AM,Wednesday,Dufferin and Dundas,Utilized Off Route,4,12,S,9045
2016/06/01,42,6:17:00 AM,Wednesday,Kennedy Loop,Utilized Off Route,25,49,W,1680
2016/06/01,87,6:18:00 AM,Wednesday,Broadview Stn,Utilized Off Route,9,18,,7833
2016/06/01,11,6:18:00 AM,Wednesday,Bayview and Steeles,Mechanical,12,21,sb,8391
2016/06/01,41,6:18:00 AM,Wednesday,Keele station,Utilized Off Route,14,28,NB,9147
2016/06/01,72,6:19:00 AM,Wednesday,pape stn,Utilized Off Route,8,16,n,7787
2016/06/01,36,6:19:00 AM,Wednesday,Finch stn,Utilized Off Route,5,10,w,9128
2016/06/01,79,6:20:00 AM,Wednesday,Pine & Lawrence,Utilized Off Route,10,22,s/b,1662
2016/06/01,90,6:20:00 AM,Wednesday,Northcliff and Eglinton,Utilized Off Route,8,16,s/b,8305
2016/06/01,32,6:20:00 AM,Wednesday,Ray and Industry,Utilized Off Route,6,11,e/b,1557
2016/06/01,131,6:20:00 AM,Wednesday,STC,Utilized Off Route,8,16,SB,1070
2016/06/01,110,6:20:00 AM,Wednesday,Islington Station,Utilized Off Route,23,43,s/b,8011
2016/06/01,89,6:21:00 AM,Wednesday,Keele station,Utilized Off Route,10,20,NB,1042
2016/06/01,100,6:22:00 AM,Wednesday,Broadview STN,Utilized Off Route,1,3,W,7629
2016/06/01,68,6:22:00 AM,Wednesday,Warden stn,Utilized Off Route,4,8,nb,7416
2016/06/01,79,6:23:00 AM,Wednesday,Runnymede stn,Mechanical,9,17,n/b,1020
2016/06/01,47,6:23:00 AM,Wednesday,Bloor and Lansdowne,Investigation,4,8,s,1532
2016/06/01,192,6:24:00 AM,Wednesday,Kipling station,Utilized Off Route,8,18,nb,8004
2016/06/01,199,6:24:00 AM,Wednesday,Morningside & Nightstar,Utilized Off Route,7,14,WB,1788
2016/06/01,102,6:25:00 AM,Wednesday,Warden Stn,Utilized Off Route,10,20,,8110
2016/06/01,68,6:25:00 AM,Wednesday,Warden stn,Mechanical,1,1,nb,7669
2016/06/01,60,6:25:00 AM,Wednesday,York U / Commons,Utilized Off Route,10,20,E,8426
