Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016/05/01,116,12:18:00 AM,Sunday,Eglinton Ave,Utilized Off Route,10,20,W,7681
2016/05/01,104,12:25:00 AM,Sunday,Wilson Stn,Investigation,20,40,NB,8361
2016/05/01,25,12:37:00 AM,Sunday,Don Mills Rd,Utilized Off Route,10,20,S,7673
2016/05/01,36,1:15:00 AM,Sunday,humberwood loop,Mechanical,9,18,s/b,1298
2016/05/01,25,1:15:00 AM,Sunday,Eglinton and DonMills,Mechanical,10,20,N,7496
2016/05/01,32,1:25:00 AM,Sunday,Eglinton West Stn,Utilized Off Route,1,1,E/B,1236
2016/05/01,25,1:43:00 AM,Sunday,Pape STN,Mechanical,10,20,N,7468
2016/05/01,329,2:15:00 AM,Sunday,steeles and dufferin,Mechanical,20,40,s/b,
2016/05/01,300,2:28:00 AM,Sunday,Eastmall and Bloor,Mechanical,15,45,E,8024
2016/05/01,329,2:50:00 AM,Sunday,sheppard downsview stn,Mechanical,20,40,s/b,9041
2016/05/01,320,3:07:00 AM,Sunday,yonge and yorkmills,Mechanical,4,8,s/b,9198
2016/05/01,329,3:10:00 AM,Sunday,wilson and dufferin,Investigation,20,40,n/b,1804
2016/05/01,385,3:35:00 AM,Sunday,McCowan and Sheppard,Mechanical,30,60,E,1315
2016/05/01,300,4:00:00 AM,Sunday,Danforth and Danforth,Mechanical,30,60,E,8117
2016/05/01,6,5:00:00 AM,Sunday,Entire route,General Delay,385,395,BW,
2016/05/01,56,6:00:00 AM,Sunday,Holly to Eglinton stn,Diversion,240,240,BW,
2016/05/01,11,6:05:00 AM,Sunday,Mt. Pleasant to Davisville stn,Diversion,250,250,W,
2016/05/01,300,6:49:00 AM,Sunday,Pape on Bloor,Investigation,12,24,W,7809
2016/05/01,54,7:03:00 AM,Sunday,Eglinton stn,Mechanical,6,12,eb,7469
2016/05/01,26,7:15:00 AM,Sunday,Entire route,General Delay,255,279,BW,1209
2016/05/01,34,7:20:00 AM,Sunday,Kennedy Station,Late Leaving Garage,15,25,WB,7446
2016/05/01,320,7:30:00 AM,Sunday,Yonge & Steeles to Queens Quay,General Delay,20,40,B/W,
2016/05/01,102,7:32:00 AM,Sunday,Markham & Steeles,Mechanical,10,15,E,7735
2016/05/01,34,7:35:00 AM,Sunday,Eglinton and Yonge,Diversion,143,154,BW,
2016/05/01,100,7:35:00 AM,Sunday,Eglinton and Yonge,Diversion,143,160,BW,
2016/05/01,54,7:35:00 AM,Sunday,Eglinton and Yonge,Diversion,143,155,BW,
2016/05/01,54,7:45:00 AM,Sunday,Eglinton station,Late Leaving Garage,15,30,EB,7443
2016/05/01,85,7:58:00 AM,Sunday,Sheppard and Yonge,Diversion,20,97,B/W,1252
2016/05/01,124,8:00:00 AM,Sunday,Lawrence and Yonge,Diversion,40,60,W,8362
2016/05/01,54,8:00:00 AM,Sunday,Lawrence Pharmacy,Investigation,7,13,eb,7687
2016/05/01,126,8:03:00 AM,Sunday,Mt Dennis garage,Late Leaving Garage,0,0,n,1581
2016/05/01,102,8:10:00 AM,Sunday,warden stn.,Utilized Off Route,10,20,nb,7865
2016/05/01,103,8:10:00 AM,Sunday,Holly to Eglinton stn,Diversion,120,140,BW,
2016/05/01,5,8:15:00 AM,Sunday,Eglinton stn to St. Clair,Diversion,135,135,S,
2016/05/01,51,8:15:00 AM,Sunday,Holly to Eglinton Stn,Diversion,105,105,BW,
2016/05/01,25,8:16:00 AM,Sunday,Freshmeadow Dr and DonMills Rd,Late Leaving Garage,10,20,SB,7466
2016/05/01,63,8:25:00 AM,Sunday,Ossington and Bloor St W,Utilized Off Route,10,20,n,1655
2016/05/01,5,8:30:00 AM,Sunday,Queens Park Circle,Diversion,257,257,S,1814
2016/05/01,98,8:30:00 AM,Sunday,Yonge and Sheppard,Diversion,105,135,BW,
2016/05/01,129,8:30:00 AM,Sunday,Scarborough Town Centre,Late Leaving Garage,10,20,NB,1231
2016/05/01,28,8:30:00 AM,Sunday,Mt. Pleasant to Davisville stn,Diversion,105,135,W,
2016/05/01,75,8:32:00 AM,Sunday,Esplanade to King,Diversion,180,200,S,
2016/05/01,14,8:35:00 AM,Sunday,Entire route,General Delay,10,30,B/W,
2016/05/01,47,8:35:00 AM,Sunday,Yorkdale Mall,Late Leaving Garage,20,40,SB,1552
2016/05/01,97,8:40:00 AM,Sunday,Finch to Davisville stn,Diversion,120,150,S,
2016/05/01,127,8:42:00 AM,Sunday,Entire route,General Delay,180,202,BW,1006
2016/05/01,65,8:45:00 AM,Sunday,on route,Diversion,15,30,sb,7792
2016/05/01,94,8:50:00 AM,Sunday,Queens Park,Diversion,229,249,E,7774
2016/05/01,60,8:50:00 AM,Sunday,Finch Station,Mechanical,13,26,W,1316
2016/05/01,33,8:53:00 AM,Sunday,Bathurst and Roselawn to St. Clair W. stn,Diversion,113,143,S,
2016/05/01,86,8:56:00 AM,Sunday,Kennedy Station,Late Leaving Garage,7,15,EB,7699
2016/05/01,7,8:59:00 AM,Sunday,Village gate and Steeles,Mechanical,9,19,s,9029
2016/05/01,14,9:00:00 AM,Sunday,Chaplin Cres and Duplex,Diversion,80,100,b,1325
2016/05/01,184,9:00:00 AM,Sunday,Donmills and Lawrance,Mechanical,10,20,SB,7436
2016/05/01,40,9:00:00 AM,Sunday,Entire Route,General Delay,12,30,b/w,
2016/05/01,96,9:07:00 AM,Sunday,York Mills stn.,Mechanical,41,64,W,7916
2016/05/01,24,9:19:00 AM,Sunday,Victoria Prk Stn,Utilized Off Route,9,18,N,7708
2016/05/01,54,9:44:00 AM,Sunday,Eglinton and yonge,Utilized Off Route,16,32,EB,7521
2016/05/01,96,9:54:00 AM,Sunday,Wilson and Jane,Mechanical,20,64,W,7936
2016/05/01,32,9:55:00 AM,Sunday,Eglinton station,Emergency Services,10,20,WB,1587
2016/05/01,100,10:00:00 AM,Sunday,Laird Dr and Eglinton Ave E,Emergency Services,20,40,WB,7542
2016/05/01,96,10:00:00 AM,Sunday,Humber College Blvd. and Humberline,Diversion,17,34,,
2016/05/01,84,10:10:00 AM,Sunday,Bradstock and Weston,Mechanical,9,19,E,8452
2016/05/01,52,10:11:00 AM,Sunday,Westway and Islington,Mechanical,10,20,WB,1421
2016/05/01,6,10:15:00 AM,Sunday,Davenport and Rathnallay Ave,Investigation,15,30,s,1030
2016/05/01,47,10:20:00 AM,Sunday,Earlscourt Loop,Mechanical,20,40,s,1021
2016/05/01,36,10:41:00 AM,Sunday,Humberwood Loop,Late Leaving Garage,5,10,E,1296
