Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016/11/01,165,12:10:00 AM,Tuesday,Topcliff and Finch,Investigation,10,20,S/B,8466
2016/11/01,88,12:30:00 AM,Tuesday,Vanderhoof Leslie,Mechanical,40,80,WB,1353
2016/11/01,320,3:07:00 AM,Tuesday,Steeles and Yonge,Emergency Services,3,6,S/B,1568
2016/11/01,52,4:54:00 AM,Tuesday,Tollington and Martin grove,Late Leaving Garage,0,16,e,1048
2016/11/01,102,5:06:00 AM,Tuesday,STEELES,Late Leaving Garage,1,1,S,7856
2016/11/01,17,5:20:00 AM,Tuesday,STEELES,Late Leaving Garage,21,42,S,7842
2016/11/01,16,5:20:00 AM,Tuesday,STC,Late Leaving Garage,20,0,W,7721
2016/11/01,112,5:25:00 AM,Tuesday,Kipling Station,Late Leaving Garage,10,36,N,7957
2016/11/01,25,5:26:00 AM,Tuesday,Duncan Mill and Don Mills,Late Leaving Garage,12,0,s,7625
2016/11/01,129,5:30:00 AM,Tuesday,SLMC,Late Leaving Garage,4,9,EB,1088
2016/11/01,53,5:31:00 AM,Tuesday,Finch Stn,Mechanical,15,20,EB,1767
2016/11/01,95,5:35:00 AM,Tuesday,KNRD,Late Leaving Garage,10,20,WB,1235
2016/11/01,6,5:41:00 AM,Tuesday,Bedford / Dupont,Late Leaving Garage,20,40,s,1059
2016/11/01,129,5:43:00 AM,Tuesday,McCowan and Sheppard,Late Leaving Garage,15,15,NB,1352
2016/11/01,47,5:44:00 AM,Tuesday,Queen,Late Leaving Garage,5,9,n,1024
2016/11/01,94,5:46:00 AM,Tuesday,OSSINGTON STN,Late Leaving Garage,1,1,E,7827
2016/11/01,43,5:50:00 AM,Tuesday,Kennedy stn,Mechanical,10,20,nb,7673
2016/11/01,71,5:55:00 AM,Tuesday,Weston rd from Eglinton to Lambton,Diversion,1183,1203,S,1591
2016/11/01,94,5:59:00 AM,Tuesday,OSSINGTON STN,Late Leaving Garage,1,1,W,7872
2016/11/01,121,6:00:00 AM,Tuesday,Cherry St and Mill St,Diversion,10,20,Wb,7808
2016/11/01,73,6:00:00 AM,Tuesday,ENTIRE ROUTE,General Delay,40,55,,
2016/11/01,102,6:02:00 AM,Tuesday,Steeles and Markham rd,Late Leaving Garage,20,40,N/B,8145
2016/11/01,60,6:02:00 AM,Tuesday,Steeles and Bathurst,Mechanical,5,10,E/B,1332
2016/11/01,67,6:09:00 AM,Tuesday,Victoria Pk Stn,Late Leaving Garage,1,1,NB,7659
2016/11/01,102,6:11:00 AM,Tuesday,Warden stn,Late Leaving Garage,20,40,N/B,8134
2016/11/01,191,6:12:00 AM,Tuesday,Martin Grove and Royal crest,Utilized Off Route,6,12,b/w,8458
2016/11/01,34,6:13:00 AM,Tuesday,Eglinton Stn,Late Leaving Garage,4,8,EB,7696
2016/11/01,191,6:13:00 AM,Tuesday,Kipling station,Late Leaving Garage,6,12,n/b,8561
2016/11/01,24,6:14:00 AM,Tuesday,CONSUMER/VICTORIA PARK,Late Leaving Garage,17,34,N,7740
2016/11/01,109,6:15:00 AM,Tuesday,Lawrence west stn,Late Leaving Garage,15,30,s/b,1375
