Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017/04/01,29,12:55:00 AM,Saturday,@ College,Diversion,25,35,NB,9016
2017/04/01,320,1:30:00 AM,Saturday,Palm Gate and Steeles,Emergency Services,8,16,S/B,1672
2017/04/01,329,1:59:00 AM,Saturday,Dufferin and College,Diversion,1,1,S/B,
2017/04/01,353,2:21:00 AM,Saturday,NWGT,Mechanical,30,60,e,1783
2017/04/01,320,3:02:00 AM,Saturday,Finch and Yonge,Utilized Off Route,4,8,N/B,1234
2017/04/01,320,3:18:00 AM,Saturday,Queens Quay and Bay,Mechanical,4,8,S/B,8322
2017/04/01,47,5:16:00 AM,Saturday,Yorkdale station via Bridgeland,Late Leaving Garage,5,0,s,1358
2017/04/01,329,5:33:00 AM,Saturday,Dufferin & Lawrence,Mechanical,11,1,SB,8342
2017/04/01,91,5:50:00 AM,Saturday,Valleywoods,Late Leaving Garage,24,48,SB,8100
2017/04/01,161,5:52:00 AM,Saturday,Ossington Station,Late Leaving Garage,13,27,w,1604
2017/04/01,54,5:55:00 AM,Saturday,Starspray Loop,Mechanical,27,47,wb,7525
2017/04/01,78,6:15:00 AM,Saturday,Carluke and Fifeshire,Late Leaving Garage,10,0,w/b,1807
2017/04/01,35,6:15:00 AM,Saturday,Hullmar and Jane St,Late Leaving Garage,8,16,N,8595
2017/04/01,24,6:20:00 AM,Saturday,Victoria Park Station,Utilized Off Route,10,20,SB,7738
2017/04/01,43,6:20:00 AM,Saturday,Kennedy station,Mechanical,10,20,nb,7426
2017/04/01,6,6:38:00 AM,Saturday,Bay and St. Joseph,Emergency Services,30,60,S/B,1644
2017/04/01,40,6:45:00 AM,Saturday,Dundas West Station,General Delay,10,18,B/W,
2017/04/01,52,6:45:00 AM,Saturday,Lawrence Station`,Late Leaving Garage,20,40,W/B,1040
2017/04/01,116,7:25:00 AM,Saturday,Kennedy station,Mechanical,10,20,eb,7478
2017/04/01,701,7:30:00 AM,Saturday,Wilson Garage,Utilized Off Route,1,1,S,1683
2017/04/01,701,7:35:00 AM,Saturday,Wilson stn,Utilized Off Route,1,1,w/b,1795
2017/04/01,195,8:15:00 AM,Saturday,York U Commons,Mechanical,10,20,S,1545
2017/04/01,17,8:21:00 AM,Saturday,Warden Station,Late Leaving Garage,15,30,NB,7833
2017/04/01,57,8:26:00 AM,Saturday,Steeles and Midland,Mechanical,15,30,SB,8112
2017/04/01,111,8:51:00 AM,Saturday,Kipling Station,Mechanical,21,41,N,8075
2017/04/01,79,9:00:00 AM,Saturday,Runnymede Station,Mechanical,25,50,n,1381
2017/04/01,168,9:14:00 AM,Saturday,Dundas St West,Late Leaving Garage,10,20,n/b,8056
2017/04/01,46,9:20:00 AM,Saturday,Kipling Stn,Mechanical,15,30,NB,1294
2017/04/01,76,9:26:00 AM,Saturday,Royal York Station,Late Leaving Garage,9,18,s/b,8029
2017/04/01,60,9:30:00 AM,Saturday,York U Commons,Mechanical,11,22,EB,8438
2017/04/01,134,9:44:00 AM,Saturday,Sheppard/Progress,Mechanical,15,30,EB,1262
2017/04/01,199,9:45:00 AM,Saturday,Scarborough Town Center,Utilized Off Route,7,14,WB,1115
2017/04/01,32,9:45:00 AM,Saturday,Eglinton Station,Late Leaving Garage,10,20,w,1587
2017/04/01,52,9:53:00 AM,Saturday,Lawrence West Station,Late Leaving Garage,10,20,W/B,1202
2017/04/01,41,9:57:00 AM,Saturday,Chimney stack and Keele,Mechanical,12,23,S,1548
2017/04/01,97,10:15:00 AM,Saturday,York Mills Stn,Mechanical,8,8,S,8190
2017/04/01,96,10:23:00 AM,Saturday,Islington Ave and Elmhurst Dr,Diversion,77,90,B/W,8455
2017/04/01,37,10:32:00 AM,Saturday,Elmhurst and Islington Ave,Diversion,28,48,n/b,8084
2017/04/01,22,10:38:00 AM,Saturday,Woodington Ave and Danforth Ave,Mechanical,10,22,SB,7656
2017/04/01,89,11:00:00 AM,Saturday,Entire route,General Delay,15,25,B/W,
2017/04/01,73,11:01:00 AM,Saturday,Oak and Weston Rd,Mechanical,15,30,n/b,7900
2017/04/01,20,11:06:00 AM,Saturday,Main Station,Mechanical,18,36,EB,8185
2017/04/01,87,11:15:00 AM,Saturday,Main Station,Utilized Off Route,10,20,Wb,7813
2017/04/01,41,11:20:00 AM,Saturday,Keele and Murry Ross Parkway,Emergency Services,8,23,N,1353
2017/04/01,41,11:20:00 AM,Saturday,Keele and Murry Ross Parkway,Emergency Services,16,23,N,1039
2017/04/01,41,11:20:00 AM,Saturday,Keele and Murry Ross Parkway,Diversion,325,333,B/W,
2017/04/01,107,11:30:00 AM,Saturday,Keele at Murray Ross,Diversion,342,372,NB,1677
2017/04/01,107,11:30:00 AM,Saturday,Keele and Murray ross,Emergency Services,30,60,n,1677
2017/04/01,107,11:35:00 AM,Saturday,Keele and Murray Ross,Diversion,0,0,S,6611
2017/04/01,190,11:35:00 AM,Saturday,Don Mills Stn,Late Leaving Garage,9,18,OB,7431
2017/04/01,38,11:39:00 AM,Saturday,Rouge Hill GO Stn,Mechanical,1,1,W/B,1328
2017/04/01,32,11:40:00 AM,Saturday,2785 Skymark Ave at Commerce Blvd,Mechanical,10,20,e,1035
2017/04/01,32,11:40:00 AM,Saturday,2785 Skymark Ave before Commerce Blvd,Mechanical,10,20,e,1035
2017/04/01,51,12:00:00 PM,Saturday,Eglinton Ave East between Leslie and Yonge Sts,General Delay,15,39,B/W,
2017/04/01,34,12:00:00 PM,Saturday,Eglinton Avenue,General Delay,27,34,BW,
2017/04/01,65,12:00:00 PM,Saturday,Parliament Route,General Delay,16,32,SB,7868
2017/04/01,121,12:00:00 PM,Saturday,Fort York Route,General Delay,16,32,EB,8186
2017/04/01,701,12:15:00 PM,Saturday,Wilson Complex,Utilized Off Route,1,1,b,8303
2017/04/01,35,12:24:00 PM,Saturday,Jane stn,Late Leaving Garage,5,10,Nb,1237
2017/04/01,86,12:25:00 PM,Saturday,Kennedy Station,Late Leaving Garage,6,12,EB,7642
2017/04/01,24,12:38:00 PM,Saturday,Stamford Square on Victoria park,Investigation,9,18,N,8104
2017/04/01,701,12:41:00 PM,Saturday,Wilson Complex,Utilized Off Route,1,1,b,1700
2017/04/01,12,12:45:00 PM,Saturday,Kingston and Danforth,General Delay,17,34,NB,7726
2017/04/01,24,1:00:00 PM,Saturday,Victoria Park Route,General Delay,10,1,BW,
2017/04/01,93,1:00:00 PM,Saturday,Parkview Hills Route,General Delay,24,48,SB,7791
2017/04/01,63,1:00:00 PM,Saturday,Entire Route,General Delay,10,15,B/W,
2017/04/01,32,1:00:00 PM,Saturday,Entire Route,General Delay,10,19,B/W,
2017/04/01,86,1:01:00 PM,Saturday,Kennedy Stn.,Mechanical,6,12,eb,7596
2017/04/01,25,1:10:00 PM,Saturday,York Mills to Duncan Mill Rd,Diversion,165,174,BW,
2017/04/01,185,1:10:00 PM,Saturday,York Mills to Duncan Mill Rd,Diversion,165,174,BW,
