Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jul-17,6,12:03:00 AM,Saturday,Queen St West and Bay,Investigation,24,48,sb,162
1-Jul-17,53,12:06:00 AM,Saturday,FSTN,Utilized Off Route,38,19,EB,1101
1-Jul-17,123,12:10:00 AM,Saturday,Long Branch,Mechanical,12,24,NB,8031
1-Jul-17,25,1:12:00 AM,Saturday,Warden Ave and Sheppard Ave E,Utilized Off Route,1,1,SB,7559
1-Jul-17,87,1:15:00 AM,Saturday,MAIN STATION,Utilized Off Route,17,34,WB,7735
1-Jul-17,320,4:24:00 AM,Saturday,St Clair,Mechanical,3,6,n,1670
1-Jul-17,96,4:45:00 AM,Saturday,Keele,Diversion,15,25,e,8544
1-Jul-17,396,4:45:00 AM,Saturday,Keele,Diversion,15,45,E,8538
1-Jul-17,336,5:00:00 AM,Saturday,lawrence,Diversion,64,94,n,8464
1-Jul-17,35,5:00:00 AM,Saturday,Lawrence,Diversion,64,78,n,8520
1-Jul-17,11,5:03:00 AM,Saturday,Bayview and Steeles,Mechanical,30,60,S/B,1208
1-Jul-17,356,5:41:00 AM,Saturday,Jane and Wilson,Mechanical,18,26,S,1343
1-Jul-17,94,6:00:00 AM,Saturday,Queen's Park East,Diversion,1,1,E/B,7762
1-Jul-17,35,6:12:00 AM,Saturday,Finch and Jane,Emergency Services,14,36,N,8590
1-Jul-17,37,6:13:00 AM,Saturday,Islington Station,Investigation,25,50,N,8067
1-Jul-17,5,6:20:00 AM,Saturday,QueensPark,Diversion,1140,1160,b/w,8341
1-Jul-17,52,6:20:00 AM,Saturday,Lawrence West stn,Mechanical,20,40,e/b,1529
1-Jul-17,53,6:22:00 AM,Saturday,Steeles Loop-Yonge St,Late Leaving Garage,20,20,WB,1280
1-Jul-17,32,6:23:00 AM,Saturday,Skymark and Commerce,Late Leaving Garage,10,20,E,1513
1-Jul-17,192,6:24:00 AM,Saturday,Kipling Station,Utilized Off Route,8,17,N,800
1-Jul-17,162,6:25:00 AM,Saturday,Donway west & Lawrence,Mechanical,1,1,W,8386
1-Jul-17,37,6:38:00 AM,Saturday,Islington Station,Utilized Off Route,25,50,N,7953
1-Jul-17,16,6:41:00 AM,Saturday,Warden Station,Late Leaving Garage,15,30,N/B,7774
1-Jul-17,161,6:47:00 AM,Saturday,Ossington station,Investigation,13,26,W,1616
