Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017/06/01,102,12:05:00 AM,Thursday,WARDEN STN,Utilized Off Route,30,60,,8196
2017/06/01,102,12:10:00 AM,Thursday,Centennial College Loop,Investigation,29,58,,8108
2017/06/01,87,12:35:00 AM,Thursday,Main Station,Utilized Off Route,10,20,,8132
2017/06/01,54,12:50:00 AM,Thursday,4Lawrence Ave E and Scarborough Golf Club Rd,Investigation,20,40,EB,7602
2017/06/01,34,12:55:00 AM,Thursday,Eglinton Stn,Mechanical,10,20,EB,7421
2017/06/01,300,2:40:00 AM,Thursday,BLOOR AND DUNDAS W,Investigation,10,20,W,1558
2017/06/01,395,3:05:00 AM,Thursday,YKMS,Mechanical,30,60,E,1141
2017/06/01,352,4:41:00 AM,Thursday,Sunnybrook Hospital,Investigation,11,41,EB,1611
2017/06/01,168,4:42:00 AM,Thursday,Queensway Garage,Late Leaving Garage,12,12,NB,7949
2017/06/01,7,5:11:00 AM,Thursday,Greenwin village and Bathurst,Late Leaving Garage,10,36,s/b,9006
2017/06/01,70,5:13:00 AM,Thursday,Coxwell stn,Late Leaving Garage,18,36,west,7584
2017/06/01,45,5:20:00 AM,Thursday,KIPLING STATION,Investigation,10,10,N,8089
2017/06/01,41,5:29:00 AM,Thursday,Keele Station,Late Leaving Garage,11,23,N,9148
2017/06/01,110,5:37:00 AM,Thursday,Long Branch loop,Mechanical,7,0,nb,8066
2017/06/01,12,5:48:00 AM,Thursday,Kennedy station,Late Leaving Garage,1,1,WB,8157
2017/06/01,97,5:48:00 AM,Thursday,Yorkmills Stn,Late Leaving Garage,30,60,,8334
2017/06/01,32,5:52:00 AM,Thursday,Pine and Lawrence,Utilized Off Route,8,17,EB,1656
2017/06/01,320,6:00:00 AM,Thursday,Eglinton stn,Mechanical,5,10,s,7470
2017/06/01,51,6:05:00 AM,Thursday,Eglinton stn,Late Leaving Garage,16,32,n/b,8361
2017/06/01,122,6:06:00 AM,Thursday,Yorkmills stn,Late Leaving Garage,8,8,,1819
2017/06/01,81,6:06:00 AM,Thursday,Pape station,Late Leaving Garage,5,10,NB,7873
2017/06/01,95,6:08:00 AM,Thursday,Ellesmere RT,Late Leaving Garage,7,14,W/B,8383
2017/06/01,53,6:09:00 AM,Thursday,Finch Station,Late Leaving Garage,14,28,eb,9072
2017/06/01,121,6:10:00 AM,Thursday,Mill Street,Diversion,447,462,W,7808
2017/06/01,124,6:10:00 AM,Thursday,Wilson Garage,Late Leaving Garage,12,24,e,8340
2017/06/01,106,6:10:00 AM,Thursday,Sheppard West Stn,Mechanical,13,22,N/B,8616
2017/06/01,41,6:16:00 AM,Thursday,Keele Stn,Mechanical,15,31,N,1053
2017/06/01,36,6:20:00 AM,Thursday,Finch stn,Late Leaving Garage,5,10,s,8548
2017/06/01,54,6:28:00 AM,Thursday,Lawrence ave Markham rd,Investigation,6,12,wb,7641
2017/06/01,106,6:35:00 AM,Thursday,Sheppard West Stn.,Mechanical,8,15,N/B,8586
2017/06/01,131,6:36:00 AM,Thursday,STC SRT,Late Leaving Garage,9,18,NB,1077
2017/06/01,115,6:40:00 AM,Thursday,Yorkmills stn,Late Leaving Garage,20,40,,8200
2017/06/01,32,6:40:00 AM,Thursday,Eglinton / Gabian way,Mechanical,6,12,w,1533
2017/06/01,61,6:42:00 AM,Thursday,Avenue Rd and Glengrove,Mechanical,10,20,S,8339
2017/06/01,7,7:02:00 AM,Thursday,Bathurst and Wilson,Late Leaving Garage,9,18,n/b,9049
2017/06/01,199,7:04:00 AM,Thursday,Finch Station,Mechanical,4,10,EB,1112
2017/06/01,63,7:07:00 AM,Thursday,Oakwood Loop,Late Leaving Garage,4,8,S,1590
2017/06/01,122,7:08:00 AM,Thursday,Graydon hall,Utilized Off Route,10,20,,8356
2017/06/01,95,7:08:00 AM,Thursday,York Mills Station,Mechanical,7,14,E/B,1339
2017/06/01,129,7:10:00 AM,Thursday,Commander Blvd and McCowan,Investigation,10,15,N/B,1710
2017/06/01,63,7:11:00 AM,Thursday,Oakwood loop,Late Leaving Garage,4,8,S,1594
2017/06/01,66,7:12:00 AM,Thursday,Stephen & Berry,General Delay,12,12,EB,
2017/06/01,79,7:18:00 AM,Thursday,Runntmede Stn.,Mechanical,10,20,N/B,1057
2017/06/01,72,7:25:00 AM,Thursday,Pape station,Mechanical,18,36,SB,7809
2017/06/01,63,7:30:00 AM,Thursday,Ossington Station,Mechanical,4,8,S,1023
2017/06/01,25,7:43:00 AM,Thursday,#1057 apt. building,Investigation,5,10,n/b,7493
2017/06/01,51,8:00:00 AM,Thursday,"Eglinton Ave East, between Yonge and Leslie",General Delay,25,41,BW,
2017/06/01,24,8:00:00 AM,Thursday,VICTORIA PARK ROUTE,General Delay,15,0,B/W,
2017/06/01,97,8:00:00 AM,Thursday,Yonge at York Mills,General Delay,15,20,n,1732
2017/06/01,60,8:00:00 AM,Thursday,Keele to Murray Ross Pkwy.,General Delay,10,17,BW,
2017/06/01,65,8:00:00 AM,Thursday,Parliament Route,General Delay,12,1,BW,
2017/06/01,133,8:10:00 AM,Thursday,Morningside and Finch,General Delay,10,23,B/W,1748
2017/06/01,95,8:15:00 AM,Thursday,Yorkmills Station to Kingston Rd,General Delay,25,35,bw,
2017/06/01,32,8:15:00 AM,Thursday,Entire route,General Delay,20,40,bw,
2017/06/01,94,8:15:00 AM,Thursday,WELLESLEY ROUTE,General Delay,15,0,B/W,
2017/06/01,84,8:22:00 AM,Thursday,Sheppard Av West Just West of Jane St.,Diversion,4,78,W/B,8554
2017/06/01,52,8:30:00 AM,Thursday,Hwy 427 Skyway,General Delay,0,0,W/B,
2017/06/01,84,8:32:00 AM,Thursday,"Sheppard West, West of Jane Street",General Delay,10,15,B/W,8554
2017/06/01,195,8:40:00 AM,Thursday,Murray Ross/Shorham/Ian Macdonald,General Delay,10,20,B/W,
2017/06/01,72,8:41:00 AM,Thursday,Pape station,Investigation,18,36,SB,8160
2017/06/01,54,8:48:00 AM,Thursday,Lawrence RT,Utilized Off Route,1,1,W/B,7499
2017/06/01,25,8:50:00 AM,Thursday,Kern and Don Mills Road,Mechanical,7,14,SB,7627
2017/06/01,62,8:55:00 AM,Thursday,Main Station,Mechanical,22,44,W,7832
2017/06/01,87,8:57:00 AM,Thursday,Main station,Utilized Off Route,5,10,WB,7799
2017/06/01,29,8:59:00 AM,Thursday,Wilson Stn,Utilized Off Route,5,9,S,8322
2017/06/01,36,9:00:00 AM,Thursday,Weston Road,Mechanical,5,10,s,24
2017/06/01,195,9:00:00 AM,Thursday,COMMONS,Mechanical,10,20,S,1245
2017/06/01,102,9:00:00 AM,Thursday,,General Delay,10,20,N/B,
2017/06/01,54,9:00:00 AM,Thursday,ESTN to STSP,General Delay,19,29,B/W's,
2017/06/01,87,9:12:00 AM,Thursday,Main Station,Utilized Off Route,5,10,W,7785
2017/06/01,124,9:15:00 AM,Thursday,lawrence station,Mechanical,6,12,west,1795
2017/06/01,22,9:19:00 AM,Thursday,Coxwell station,Mechanical,8,16,SB,7710
2017/06/01,35,9:20:00 AM,Thursday,WESTON,Investigation,7,14,S,8541
2017/06/01,39,9:41:00 AM,Thursday,Markham and Finch,Mechanical,13,20,EB,1394
2017/06/01,53,9:50:00 AM,Thursday,Midland and Steeles Av,Emergency Services,5,10,BW,1727
2017/06/01,192,10:03:00 AM,Thursday,Kipling stn,Mechanical,10,20,n/b,8011
2017/06/01,108,10:25:00 AM,Thursday,Sheppard Av West @ WR Allen Rd,Investigation,8,15,W/B,1303
2017/06/01,92,10:44:00 AM,Thursday,Woodbine Station,Mechanical,12,24,S,8127
2017/06/01,87,10:47:00 AM,Thursday,Main Station,Utilized Off Route,10,20,E,8129
2017/06/01,16,11:33:00 AM,Thursday,Brimley Rd and the Danforth ave,Investigation,12,24,S/B,7806
2017/06/01,195,11:35:00 AM,Thursday,Pritchard,Investigation,10,20,N,8478
2017/06/01,134,11:37:00 AM,Thursday,Cent Coll-LP entrance on Progress,Mechanical,9,18,WB,1743
2017/06/01,47,11:53:00 AM,Thursday,Bridgeland and Yorkdale Rd.,Mechanical,15,30,S/B,1637
2017/06/01,72,12:00:00 PM,Thursday,Pape route,General Delay,1,15,BW,
2017/06/01,75,12:09:00 PM,Thursday,Jarvis and queens quay,Mechanical,8,16,n/b,8314
2017/06/01,51,12:30:00 PM,Thursday,Eglinton stn / Steeles,General Delay,10,25,B/W,
2017/06/01,5,12:30:00 PM,Thursday,Queens Park / Eglinton stn,General Delay,8,12,b/w,
2017/06/01,61,12:30:00 PM,Thursday,Eglinton stn / Bombay loop,General Delay,6,12,B/W,
2017/06/01,56,12:30:00 PM,Thursday,Eglinton stn / Steeles,General Delay,7,14,B/W,
2017/06/01,86,12:35:00 PM,Thursday,Toronto Zoo / Meadowvale Rd,Mechanical,10,20,S/B,7432
2017/06/01,104,12:41:00 PM,Thursday,Wilson stn,Emergency Services,15,30,N,1674
2017/06/01,38,12:43:00 PM,Thursday,Rouge Hill Go Station,Mechanical,15,30,w,1301
2017/06/01,102,1:02:00 PM,Thursday,kingston Rd and St  Clair,Investigation,10,20,W/B,7801
2017/06/01,60,1:08:00 PM,Thursday,Kipling and Steeles Ave West,Mechanical,13,26,E,8465
2017/06/01,757,1:13:00 PM,Thursday,Scarborough Town Centre,Utilized Off Route,1,1,EB,1783
2017/06/01,60,1:26:00 PM,Thursday,Finch Station,Mechanical,6,12,W,1306
2017/06/01,102,1:30:00 PM,Thursday,warden station,Mechanical,20,40,N/B,7835
2017/06/01,165,1:40:00 PM,Thursday,York Mills Station,Investigation,8,16,w,8456
2017/06/01,68,1:50:00 PM,Thursday,Warden and 401 Ramps,Diversion,90,95,N,
2017/06/01,133,2:00:00 PM,Thursday,Morningside and Finch,Investigation,10,20,N/B,1267
2017/06/01,45,2:00:00 PM,Thursday,N/B Rexdale to Dixon Rd,General Delay,20,16,n/b,
2017/06/01,55,2:00:00 PM,Thursday,Vanstassen and Gooch,Investigation,30,60,S,1253
2017/06/01,12,2:00:00 PM,Thursday,Kingston road route,General Delay,1,15,BW,
2017/06/01,195,2:08:00 PM,Thursday,Jane and Wilson,Diversion,108,118,S/B,
2017/06/01,35,2:08:00 PM,Thursday,Jane and Wilson,General Delay,5,25,b/w,
2017/06/01,35,2:08:00 PM,Thursday,Jane and Wilson,Diversion,108,113,S/B,
2017/06/01,195,2:08:00 PM,Thursday,Jane and Wilson,General Delay,10,40,b/w,
2017/06/01,54,2:13:00 PM,Thursday,LAWA,Investigation,10,21,W,7701
2017/06/01,131,2:21:00 PM,Thursday,Markham and McLevin,Investigation,14,27,WB,1140
2017/06/01,131,2:21:00 PM,Thursday,McCowan and Pitfield,Investigation,13,27,wb,1792
2017/06/01,34,2:23:00 PM,Thursday,Eglinton Yard,Late Leaving Garage,1,1,OB,7555
2017/06/01,59,2:24:00 PM,Thursday,Church and Jane St,Late Leaving Garage,11,21,W,1545
2017/06/01,97,2:25:00 PM,Thursday,Yonge and Soudan,Investigation,20,40,N,8334
2017/06/01,102,2:27:00 PM,Thursday,Warden station,Mechanical,9,18,N/B,8187
2017/06/01,23,2:30:00 PM,Thursday,Dawes Route,General Delay,12,1,BW,7876
2017/06/01,89,2:32:00 PM,Thursday,Keele Stn,Utilized Off Route,9,16,N,1031
2017/06/01,88,2:32:00 PM,Thursday,St.clair Station,Late Leaving Garage,8,16,E,1821
2017/06/01,60,2:33:00 PM,Thursday,Finch Station,Late Leaving Garage,8,16,W,1327
2017/06/01,52,2:35:00 PM,Thursday,Lawrence at Duval,Mechanical,13,26,W/B,1004
2017/06/01,199,2:38:00 PM,Thursday,Scarborough town centre,Utilized Off Route,5,13,wb,1288
2017/06/01,95,2:38:00 PM,Thursday,Pope John Paul at Military Trail,Late Leaving Garage,6,0,W/B,1082
2017/06/01,12,2:43:00 PM,Thursday,Victoria Park station,Late Leaving Garage,13,27,EB,7798
2017/06/01,32,2:45:00 PM,Thursday,MOST Route,General Delay,20,40,BW,
2017/06/01,160,2:50:00 PM,Thursday,Bathurst and Flook Lane,Mechanical,17,34,NB,8311
2017/06/01,17,2:51:00 PM,Thursday,South bound  Kennedy Loop,Mechanical,9,18,E/N,7776
2017/06/01,95,2:56:00 PM,Thursday,York Mills Road/Fenside,Mechanical,9,16,WB,1776
2017/06/01,60,3:00:00 PM,Thursday,Finch Station,Late Leaving Garage,15,30,W,8502
