Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Nov-17,12,1:14:00 AM,Wednesday,Victoria Park Station,Emergency Services,15,30,E/B,8168
1-Nov-17,84,2:04:00 AM,Wednesday,Sheppard Yonge Station,Emergency Services,1,1,W/B,1298
1-Nov-17,63,2:10:00 AM,Wednesday,Eglinton West Station,Mechanical,1,1,W/B,1384
1-Nov-17,300,2:16:00 AM,Wednesday,2500 Bloor Street West,Mechanical,20,40,W/B,8154
1-Nov-17,300,2:24:00 AM,Wednesday,Bathurst Station,Utilized Off Route,10,20,E/B,7766
1-Nov-17,45,2:46:00 AM,Wednesday,Martingrove and Rexdale,Mechanical,1,1,S/B,8027
1-Nov-17,300,3:08:00 AM,Wednesday,427 North and Burnhamtorpe Rd,Investigation,20,40,W/B,8726
1-Nov-17,41,3:49:00 AM,Wednesday,Mount Dennis to York Commons,Late Leaving Garage,14,28,S/B,9152
1-Nov-17,96,4:50:00 AM,Wednesday,Humber College,Diversion,1205,1220,B/W,
1-Nov-17,100,4:51:00 AM,Wednesday,Eglinton Yard,Late Leaving Garage,1,1,,7459
1-Nov-17,12,5:04:00 AM,Wednesday,Kingston Rd and Brimley,Late Leaving Garage,7,7,W/B,7849
1-Nov-17,300,5:04:00 AM,Wednesday,Broadview Station,Late Leaving Garage,10,10,W/B,7966
1-Nov-17,21,5:07:00 AM,Wednesday,Scarborough town Centre,Late Leaving Garage,20,40,S/B,8168
1-Nov-17,47,5:10:00 AM,Wednesday,Queen and Lansdowne,Mechanical,10,20,N/B,1540
1-Nov-17,39,5:12:00 AM,Wednesday,Finch - Baldoon,Late Leaving Garage,5,10,E/B,1231
1-Nov-17,94,5:12:00 AM,Wednesday,Castle Frank Station,Late Leaving Garage,1,1,W/B,7878
1-Nov-17,35,5:13:00 AM,Wednesday,Jane and Finch,Mechanical,10,14,N/B,8520
1-Nov-17,44,5:20:00 AM,Wednesday,Kipling stn,Late Leaving Garage,15,30,S/B,8413
1-Nov-17,110,5:27:00 AM,Wednesday,Longbranch,Late Leaving Garage,10,20,N/B,8420
1-Nov-17,353,5:29:00 AM,Wednesday,Steeles & Bayview,Investigation,30,30,W/B,1745
1-Nov-17,34,5:29:00 AM,Wednesday,Eglinton STN,Late Leaving Garage,8,22,,7695
1-Nov-17,43,5:33:00 AM,Wednesday,Scarbough Town Centre,Mechanical,1,1,S/B,7679
