Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Aug-18,63,1:18:00 AM,Wednesday,Eglinton West Station,Mechanical,20,30,S/B,8161
1-Aug-18,87,1:30:00 AM,Wednesday,Broadview Station,Utilized Off Route,1,1,E/B,8927
1-Aug-18,64,1:37:00 AM,Wednesday,Queen And Wineva,Utilized Off Route,10,20,N/B,8961
1-Aug-18,300,3:39:00 AM,Wednesday,Kennedy Rd and Eglinton Ave,Mechanical,5,20,W/B,8693
1-Aug-18,704,4:30:00 AM,Wednesday,Arrow Rd Garage,Late Leaving Garage,1,1,B/W,
1-Aug-18,20,4:50:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,8950
1-Aug-18,7,4:58:00 AM,Wednesday,wilson garage,Late Leaving Garage,30,56,S/B,9034
1-Aug-18,47,5:00:00 AM,Wednesday,QLAN,Late Leaving Garage,10,10,N/B,1260
1-Aug-18,87,5:05:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,8958
1-Aug-18,354,5:11:00 AM,Wednesday,RHGO,Mechanical,60,0,W/B,8695
1-Aug-18,43,5:13:00 AM,Wednesday,STC,Late Leaving Garage,9,1,S/B,8669
1-Aug-18,7,5:14:00 AM,Wednesday,wilson,Late Leaving Garage,22,,S/B,9052
1-Aug-18,23,5:14:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,7841
1-Aug-18,113,5:15:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,7868
1-Aug-18,107,5:17:00 AM,Wednesday,Pioneer Village Station,Late Leaving Garage,19,1,S/B,8425
1-Aug-18,53,5:26:00 AM,Wednesday,Markham and Steeles,Mechanical,7,13,W/B,1659
1-Aug-18,62,5:31:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,8930
1-Aug-18,135,5:33:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,7575
1-Aug-18,90,5:39:00 AM,Wednesday,st clair wstn,Late Leaving Garage,8,16,N/B,8167
1-Aug-18,47,5:41:00 AM,Wednesday,QLAN,Late Leaving Garage,18,29,N/B,1204
1-Aug-18,59,5:41:00 AM,Wednesday,LSTA - Lawrence Station,Late Leaving Garage,24,24,W/B,8458
1-Aug-18,11,5:42:00 AM,Wednesday,wilson garage,Late Leaving Garage,15,30,S/B,8199
1-Aug-18,35,5:48:00 AM,Wednesday,JNST,Late Leaving Garage,10,28,N/B,1385
1-Aug-18,79,5:50:00 AM,Wednesday,Pine and Lawrence,Mechanical,17,37,S/B,1056
1-Aug-18,77,5:50:00 AM,Wednesday,Mount Dennis to Runnymede Station,Late Leaving Garage,10,20,S/B,1025
1-Aug-18,95,5:51:00 AM,Wednesday,Morrish and Ellesmere,Mechanical,8,17,W/B,1738
1-Aug-18,123,5:51:00 AM,Wednesday,Sherway Garden,Late Leaving Garage,24,24,N/B,7952
1-Aug-18,64,5:51:00 AM,Wednesday,Main stn,Diversion,999,999,B/W,9223
1-Aug-18,41,5:51:00 AM,Wednesday,Keele Station,Utilized Off Route,15,30,N/B,9150
1-Aug-18,60,5:52:00 AM,Wednesday,PVST,Late Leaving Garage,8,15,E/B,8598
1-Aug-18,131,5:53:00 AM,Wednesday,Morningview/ OldFinch,Late Leaving Garage,11,18,W/B,1568
1-Aug-18,73,5:55:00 AM,Wednesday,Clairport and Albion,Late Leaving Garage,19,32,S/B,7934
1-Aug-18,87,5:57:00 AM,Wednesday,Danforth and Victoria Park,Utilized Off Route,5,11,B/W,8960
1-Aug-18,110,5:57:00 AM,Wednesday,Long Branch,Late Leaving Garage,10,21,N/B,8074
1-Aug-18,119,6:00:00 AM,Wednesday,Wilson Station,Late Leaving Garage,20,40,W/B,3181
1-Aug-18,199,6:05:00 AM,Wednesday,Scarborough Town Centre,Late Leaving Garage,4,7,WB,
