Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jul-18,35,12:01:00 AM,Sunday,Jane and Eddystone,Mechanical,9,18,SB,1255
1-Jul-18,82,12:20:00 AM,Sunday,Jarvis and Queens Quay,Mechanical,30,60,S/B,8395
1-Jul-18,32,12:25:00 AM,Sunday,Yonge and Eglinton,Utilized Off Route,10,20,W/B,1287
1-Jul-18,702,12:29:00 AM,Sunday,Kipling stn,Utilized Off Route,1,1,N/B,7950
1-Jul-18,133,12:51:00 AM,Sunday,STC,Investigation,13,26,E/B,1541
1-Jul-18,300,1:00:00 AM,Sunday,BLOOR- DANFORTH,General Delay,30,60,B/W,
1-Jul-18,29,1:01:00 AM,Sunday,Wilson Station,Utilized Off Route,1,9,S/B,1372
1-Jul-18,89,1:07:00 AM,Sunday,Weston/Lawrence,Investigation,10,20,N/B,1273
1-Jul-18,89,1:10:00 AM,Sunday,Lawrence/Weston,Diversion,999,999,N/B,
1-Jul-18,41,1:18:00 AM,Sunday,PVST,Utilized Off Route,20,40,S/B,1094
1-Jul-18,129,1:20:00 AM,Sunday,STC,Mechanical,20,40,N/B,1786
1-Jul-18,100,1:22:00 AM,Sunday,Eglinton/DonMills Rd,Utilized Off Route,10,20,S/B,8826
1-Jul-18,322,1:26:00 AM,Sunday,STLP,Utilized Off Route,30,60,S/B,8147
1-Jul-18,89,1:30:00 AM,Sunday,Weston and Albion,Utilized Off Route,10,20,S/B,1121
1-Jul-18,702,1:30:00 AM,Sunday,Kipling stn,Utilized Off Route,1,1,N/B,8064
1-Jul-18,7,1:30:00 AM,Sunday,Village Gate,Utilized Off Route,20,40,S/B,1296
1-Jul-18,39,1:32:00 AM,Sunday,Finch STN,Utilized Off Route,14,28,E/B,1756
1-Jul-18,322,1:32:00 AM,Sunday,MSTN,Utilized Off Route,30,60,W/B,8960
1-Jul-18,52,1:35:00 AM,Sunday,Lawrence and Keele,Utilized Off Route,10,20,E/B,1032
1-Jul-18,45,1:38:00 AM,Sunday,Kipling,Utilized Off Route,27,,N/B,8019
1-Jul-18,320,1:40:00 AM,Sunday,ESTN,Utilized Off Route,3,6,S/B,8778
1-Jul-18,302,1:40:00 AM,Sunday,BMST,Utilized Off Route,30,60,S/B,7820
1-Jul-18,320,1:47:00 AM,Sunday,ESTN,Utilized Off Route,4,7,N/B,8805
1-Jul-18,63,1:49:00 AM,Sunday,Eglinton West Station,Utilized Off Route,1,9,S/B,8356
1-Jul-18,53,1:57:00 AM,Sunday,Finch STN,Utilized Off Route,20,40,E/B,1659
1-Jul-18,300,2:16:00 AM,Sunday,Bathurst/Bloor,Utilized Off Route,15,30,E/B,8019
1-Jul-18,300,3:20:00 AM,Sunday,Greenwood/Danforth,Investigation,30,60,E/B,7939
1-Jul-18,322,4:00:00 AM,Sunday,Coxwell Night Bus,General Delay,30,60,B/W,
1-Jul-18,324,4:00:00 AM,Sunday,Victoria Park Night Bus Route,General Delay,30,60,B/W,
1-Jul-18,354,4:00:00 AM,Sunday,Lawrence Night Route,General Delay,30,60,B/W,
1-Jul-18,96,5:03:00 AM,Sunday,Hinton and Elmhurst,Investigation,30,30,,8616
1-Jul-18,334,6:00:00 AM,Sunday,EGLINTON NIGHT BUS ROUTE,General Delay,30,60,B/W,
1-Jul-18,320,6:02:00 AM,Sunday,Yonge and Bloor,Utilized Off Route,15,30,N/B,9039
1-Jul-18,300,6:03:00 AM,Sunday,T1,Utilized Off Route,13,21,E/B,8811
1-Jul-18,6,6:04:00 AM,Sunday,SHQQ,Utilized Off Route,30,60,N/B,1132
1-Jul-18,29,6:05:00 AM,Sunday,Wilson Station,Late Leaving Garage,9,14,S/B,9005
1-Jul-18,63,6:09:00 AM,Sunday,Atlantic Ave and King St W.,Utilized Off Route,12,24,N/B,8321
1-Jul-18,36,6:10:00 AM,Sunday,Humberwood Loop,Late Leaving Garage,9,19,E/B,
1-Jul-18,704,6:30:00 AM,Sunday,Arrow garage.,Utilized Off Route,0,0,N/B,8479
1-Jul-18,5,7:00:00 AM,Sunday,Eglinton Station to St. George Station,Diversion,1,1,S/B,8216
1-Jul-18,706,7:23:00 AM,Sunday,BRGA,Utilized Off Route,1,1,B/W,7796
1-Jul-18,109,7:26:00 AM,Sunday,Neptune and Bathurst,Late Leaving Garage,10,10,S/B,8360
1-Jul-18,20,7:28:00 AM,Sunday,MSTN,Diversion,999,999,B/W,8938
1-Jul-18,31,7:30:00 AM,Sunday,Danforth and Greenwood,Diversion,154,1,B/W,8949
1-Jul-18,87,7:30:00 AM,Sunday,MSTN,Diversion,999,999,B/W,9238
1-Jul-18,62,7:35:00 AM,Sunday,MSTN,Diversion,999,999,B/W,8962
1-Jul-18,64,7:38:00 AM,Sunday,MSTN,Diversion,999,999,B/W,9216
1-Jul-18,12,7:38:00 AM,Sunday,Victoria Park Station,Mechanical,15,30,E/B,7713
1-Jul-18,14,7:40:00 AM,Sunday,CAL,Late Leaving Garage,20,40,E/B,1019
1-Jul-18,94,7:45:00 AM,Sunday,Queens Park and Wellesley,Diversion,999,999,B/W,
1-Jul-18,71,7:45:00 AM,Sunday,Weston and Eglinton,Diversion,999,999,S/B,
1-Jul-18,113,7:45:00 AM,Sunday,MSTN,Diversion,999,999,B/W,8111
1-Jul-18,23,7:47:00 AM,Sunday,MSTN,Diversion,999,999,B/W,8108
1-Jul-18,102,7:50:00 AM,Sunday,WAST,Late Leaving Garage,10,20,N/B,1740
1-Jul-18,39,7:51:00 AM,Sunday,DonMills and Finch,Mechanical,17,34,S/B,1707
1-Jul-18,23,7:54:00 AM,Sunday,Ferris and Dawes,Late Leaving Garage,13,26,S/B,8138
1-Jul-18,32,7:54:00 AM,Sunday,ESTN,Utilized Off Route,13,26,W/B,1305
1-Jul-18,135,7:58:00 AM,Sunday,MSTN,Diversion,999,999,B/W,7760
1-Jul-18,7,8:00:00 AM,Sunday,Bathurst station to Greenwin Village,General Delay,20,30,B/W,
1-Jul-18,32,8:00:00 AM,Sunday,WRGT,Late Leaving Garage,10,20,W/B,1378
1-Jul-18,85,8:18:00 AM,Sunday,Aragon on Sheppard,Mechanical,22,44,E/B,1747
1-Jul-18,199,8:22:00 AM,Sunday,Finch and Kennedy,Mechanical,8,16,W/B,1563
1-Jul-18,32,8:30:00 AM,Sunday,E.W STN,Utilized Off Route,10,20,E/B,1252
1-Jul-18,43,8:31:00 AM,Sunday,STC,Utilized Off Route,7,17,S/B,8811
1-Jul-18,5,8:35:00 AM,Sunday,Eglinton station,Mechanical,20,40,SB,8216
1-Jul-18,87,8:40:00 AM,Sunday,Cosburn Avenue - Donlands,Diversion,175,185,B/W,
1-Jul-18,62,8:40:00 AM,Sunday,Mortimer Avenue - Donlands,Diversion,171,189,B/W,
1-Jul-18,37,8:46:00 AM,Sunday,MILADY AND ISLINGTON,Emergency Services,20,40,N/B,8083
1-Jul-18,93,8:50:00 AM,Sunday,Parkview Hills / Woodbine and O'Connor,Diversion,175,195,B/W,
1-Jul-18,91,8:50:00 AM,Sunday,Woodbine North / O'Connor,Diversion,179,203,B/W,
1-Jul-18,37,8:55:00 AM,Sunday,ISLINGTON AND MILADY,Diversion,20,40,N/B,
1-Jul-18,74,9:02:00 AM,Sunday,St Clair Station,Utilized Off Route,18,34,EB,8348
1-Jul-18,161,9:04:00 AM,Sunday,OSTN,Late Leaving Garage,16,30,N/B,1097
1-Jul-18,34,9:11:00 AM,Sunday,Eglinton & Lebovic,Mechanical,10,19,WB,8752
1-Jul-18,129,9:16:00 AM,Sunday,McCowan and Highway 7,Emergency Services,50,100,S/B,1814
1-Jul-18,165,9:19:00 AM,Sunday,Arrow garage POD YKMS stn,Mechanical,9,18,W/B,8490
1-Jul-18,85,9:20:00 AM,Sunday,MGAT,Mechanical,24,48,W/B,1540
1-Jul-18,199,9:27:00 AM,Sunday,Pharmacy and Finch,Mechanical,8,16,E/B,1721
1-Jul-18,102,9:35:00 AM,Sunday,Markham and Sheppard,Mechanical,10,20,S/B,1632
1-Jul-18,54,9:41:00 AM,Sunday,Lawrence and Port Union,Mechanical,6,32,W/B,8725
1-Jul-18,29,9:50:00 AM,Sunday,Orfus rd & Dufferin,Mechanical,6,12,N/B,8331
1-Jul-18,29,9:58:00 AM,Sunday,Wilson Station,Mechanical,6,12,S/B,9000
1-Jul-18,113,10:05:00 AM,Sunday,Victoria Park Station,Mechanical,17,34,B/W,7879
1-Jul-18,32,10:11:00 AM,Sunday,REGW,Mechanical,10,20,E/B,1560
1-Jul-18,199,10:23:00 AM,Sunday,STC,Mechanical,8,16,W/B,1777
1-Jul-18,32,10:57:00 AM,Sunday,E.W STN,Mechanical,10,20,E/B,1110
1-Jul-18,185,10:57:00 AM,Sunday,DonMills @ Graydon Hall,Mechanical,10,20,NB,8789
1-Jul-18,21,11:00:00 AM,Sunday,Brimley and lawrence,Diversion,420,442,B/W,
1-Jul-18,132,11:01:00 AM,Sunday,Neilson and Markham,Mechanical,30,60,W/B,1642
1-Jul-18,102,11:03:00 AM,Sunday,Warden Stn,Mechanical,10,20,E/B,1710
1-Jul-18,106,11:07:00 AM,Sunday,Pond and Sentinel,Mechanical,15,30,SB,1347
1-Jul-18,94,11:10:00 AM,Sunday,Parliament and Wellesley,Diversion,50,55,E/B,
1-Jul-18,35,11:13:00 AM,Sunday,Jane and Foxwell,Investigation,10,20,S/B,8497
1-Jul-18,130,11:15:00 AM,Sunday,STC,Mechanical,30,60,N/B,1642
1-Jul-18,87,11:22:00 AM,Sunday,Cosburn and Woodbine,Diversion,1,1,B/W,
1-Jul-18,121,11:23:00 AM,Sunday,brga,Late Leaving Garage,15,30,E/B,8946
1-Jul-18,39,11:30:00 AM,Sunday,MAFI,Mechanical,17,34,W/B,1741
1-Jul-18,41,11:40:00 AM,Sunday,Keele and Finch,Mechanical,12,24,S/B,1062
1-Jul-18,85,11:45:00 AM,Sunday,MGAT,Mechanical,22,44,W/B,1768
1-Jul-18,23,11:49:00 AM,Sunday,Woodbine Station,Late Leaving Garage,9,18,W/B,8150
1-Jul-18,34,11:59:00 AM,Sunday,Eglinton @ Bayview,Mechanical,8,17,EB,8644
1-Jul-18,7,12:00:00 PM,Sunday,Greenwin Village at Bathurst St.,Late Leaving Garage,7,15,S/B,8349
1-Jul-18,85,12:04:00 PM,Sunday,Island / Port Union,Mechanical,24,48,E/B,1509
1-Jul-18,94,12:11:00 PM,Sunday,Wellesley and Sherbourne,Investigation,12,24,E/B,1529
1-Jul-18,32,12:15:00 PM,Sunday,Oriole PKWY and Eglinton,Investigation,10,20,E/B,1250
1-Jul-18,12,12:23:00 PM,Sunday,victoria park station,Mechanical,15,30,E/B,7721
1-Jul-18,12,12:23:00 PM,Sunday,victoria park station,Mechanical,15,30,W/B,7721
1-Jul-18,45,12:27:00 PM,Sunday,HENLEY AND KIPLING,Investigation,8,16,S/B,8072
1-Jul-18,65,12:39:00 PM,Sunday,carlton and parliament,Emergency Services,15,30,S/B,8134
1-Jul-18,89,12:40:00 PM,Sunday,Mount Dennis to Keele Station,Late Leaving Garage,10,20,N/B,1114
1-Jul-18,52,12:45:00 PM,Sunday,LAW STN,Late Leaving Garage,7,14,W/B,1353
1-Jul-18,133,12:50:00 PM,Sunday,STC,Mechanical,10,20,E/B,1754
1-Jul-18,97,1:00:00 PM,Sunday,Steeles to York Mills,Diversion,1,1,S/B,1283
1-Jul-18,169,1:23:00 PM,Sunday,Scarborough Town Center,Mechanical,30,60,W/B,8378
1-Jul-18,89,1:38:00 PM,Sunday,Weston and Jane,Mechanical,10,20,S/B,1108
1-Jul-18,121,1:40:00 PM,Sunday,Front and Bay,Diversion,188,203,B/W,
1-Jul-18,47,1:40:00 PM,Sunday,Earlscourt Loop,Mechanical,18,36,S/B,1027
1-Jul-18,165,2:00:00 PM,Sunday,Route 165,General Delay,10,19,W/B,8517
1-Jul-18,35,2:00:00 PM,Sunday,Route 35,General Delay,20,30,B/W,
1-Jul-18,195,2:00:00 PM,Sunday,Route 195,General Delay,20,29,B/W,
1-Jul-18,74,2:26:00 PM,Sunday,St Clair Station,Mechanical,18,36,S/B,8348
1-Jul-18,89,2:33:00 PM,Sunday,Oxford and Weston,Investigation,10,20,N/B,1390
1-Jul-18,129,3:09:00 PM,Sunday,Bullock Dr-McCowan,Diversion,521,577,B/W,1648
1-Jul-18,129,3:20:00 PM,Sunday,STC SRT,Mechanical,9,18,N/B,1755
1-Jul-18,39,3:20:00 PM,Sunday,Neilson Rd-Finch Av,Mechanical,16,32,W/B,1657
1-Jul-18,702,4:00:00 PM,Sunday,SLPK,Mechanical,1,2,N/B,8081
1-Jul-18,95,4:00:00 PM,Sunday,Midland/Ellesmere to McCowan/Ellesmere,Diversion,76,14,BW,
1-Jul-18,86,4:08:00 PM,Sunday,Kennedy Station,Investigation,8,16,E/B,8790
1-Jul-18,12,4:11:00 PM,Sunday,2121 kingston road.,Investigation,15,30,S/B,7858
1-Jul-18,39,4:19:00 PM,Sunday,Markham Rd-Finch Av,Mechanical,11,22,E/B,1644
1-Jul-18,35,4:27:00 PM,Sunday,Howard Moscoe (PVST stn),Mechanical,10,20,S/B,8484
1-Jul-18,90,4:30:00 PM,Sunday,Oakwwod and Vaughan,Mechanical,8,16,S/B,8371
1-Jul-18,52,4:34:00 PM,Sunday,Bathurst and Lawrence,Mechanical,14,28,W/B,1147
1-Jul-18,39,4:48:00 PM,Sunday,Baldoon and Finch,Diversion,20,31,W/B,1791
1-Jul-18,73,5:11:00 PM,Sunday,Claireport/Albion,Mechanical,10,20,S/B,8078
1-Jul-18,199,5:16:00 PM,Sunday,STC SRT,Mechanical,8,16,N/B,1585
1-Jul-18,106,5:45:00 PM,Sunday,Sentinel and Derrydown,Investigation,10,20,S/B,1676
1-Jul-18,129,6:00:00 PM,Sunday,129 McCowan Route-All Branch,General Delay,24,48,B/W,
1-Jul-18,102,6:00:00 PM,Sunday,102 Markham Rd-All Branch,General Delay,10,20,B/W,
1-Jul-18,53,6:00:00 PM,Sunday,53 Steeles Route-All Branch,General Delay,15,21,B/W,
1-Jul-18,89,6:09:00 PM,Sunday,Ray and Weston,Mechanical,10,20,N/B,1030
1-Jul-18,29,6:15:00 PM,Sunday,Wilson Station,Utilized Off Route,6,12,S/B,9042
1-Jul-18,81,6:20:00 PM,Sunday,pape station,Utilized Off Route,10,20,N/B,8151
1-Jul-18,52,6:39:00 PM,Sunday,Tollington and Martin Grove,Mechanical,7,14,E/B,1409
1-Jul-18,165,6:54:00 PM,Sunday,Wilson Stn,Investigation,8,16,E/B,8479
1-Jul-18,63,6:59:00 PM,Sunday,King and Shaw,Investigation,6,13,N/B,1667
1-Jul-18,102,7:08:00 PM,Sunday,Cathedral and Kingston Rd,Mechanical,10,20,E/B,1511
1-Jul-18,36,7:16:00 PM,Sunday,Finch West Station,Mechanical,7,14,E/B,9124
1-Jul-18,702,7:48:00 PM,Sunday,STIS,Mechanical,1,2,S/B,7909
1-Jul-18,84,8:08:00 PM,Sunday,SWST,Utilized Off Route,10,20,E/B,8436
1-Jul-18,67,8:13:00 PM,Sunday,Ellesmere & Pharmacy,Mechanical,24,48,N/B,8706
1-Jul-18,32,8:14:00 PM,Sunday,ESTN,Utilized Off Route,10,20,W/B,1112
1-Jul-18,29,8:21:00 PM,Sunday,Exibition West Loop,Mechanical,9,18,N/B,9006
1-Jul-18,24,8:30:00 PM,Sunday,VP Station,Utilized Off Route,10,20,,7810
1-Jul-18,23,8:30:00 PM,Sunday,Woodbine,Utilized Off Route,9,18,,8105
1-Jul-18,34,8:30:00 PM,Sunday,Eglinton & Hanna,Mechanical,9,19,W/B,8662
1-Jul-18,165,8:39:00 PM,Sunday,YKMS,Utilized Off Route,10,20,W/B,8517
1-Jul-18,22,8:40:00 PM,Sunday,Kingston and Queen,Diversion,10,20,,
1-Jul-18,32,8:42:00 PM,Sunday,ESTN,Utilized Off Route,10,20,W/B,1129
1-Jul-18,25,8:43:00 PM,Sunday,Pape Station,Utilized Off Route,8,17,N/B,8905
1-Jul-18,63,8:46:00 PM,Sunday,Eglinton West Station,Utilized Off Route,7,14,S/B,8347
1-Jul-18,52,8:47:00 PM,Sunday,Lawrence Station,Utilized Off Route,20,40,W/B,1000
1-Jul-18,60,8:48:00 PM,Sunday,Finch Station,Utilized Off Route,14,28,W/B,8442
1-Jul-18,702,8:50:00 PM,Sunday,KPSN,Utilized Off Route,6,12,N/B,7948
1-Jul-18,702,8:54:00 PM,Sunday,KPSN,Utilized Off Route,10,20,N/B,8043
1-Jul-18,47,8:56:00 PM,Sunday,Caledonia/Davenport,Investigation,20,40,N/B,1075
1-Jul-18,39,9:00:00 PM,Sunday,39 Finch East Service All Branch,General Delay,15,25,B/W,
1-Jul-18,39,9:00:00 PM,Sunday,Milliken/Finch,General Delay,10,18,B/W,
1-Jul-18,116,9:03:00 PM,Sunday,Morningside & Nightstar,Mechanical,10,20,S/B,8830
