Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jun-18,39,12:25:00 AM,Friday,Nelson and Crow Trial,Mechanical,11,22,W/B,1756
1-Jun-18,165,12:28:00 AM,Friday,Weston and Steeles,Investigation,12,24,N/B,8562
1-Jun-18,63,12:32:00 AM,Friday,Eglinton Station,Utilized Off Route,10,20,S/B,8208
1-Jun-18,53,1:27:00 AM,Friday,Drewry Ave and Yonge Street,Investigation,19,38,S/B,1623
1-Jun-18,37,1:32:00 AM,Friday,Islington at Eglinton,Mechanical,25,50,N/B,8031
1-Jun-18,339,3:29:00 AM,Friday,Finch and Islington,Mechanical,30,60,W/B,1616
1-Jun-18,307,3:40:00 AM,Friday,Bathurst and Richmond,Diversion,90,120,BW,
1-Jun-18,353,3:40:00 AM,Friday,Shadlock Street and Steeles Ave,Investigation,30,60,W/B,1583
1-Jun-18,21,4:41:00 AM,Friday,Brimley and Steeles,Late Leaving Garage,20,20,S/B,8963
1-Jun-18,57,4:48:00 AM,Friday,MIDS,Late Leaving Garage,20,20,S/B,1369
1-Jun-18,45,4:49:00 AM,Friday,Kipling stn,Late Leaving Garage,18,36,S/B,7947
1-Jun-18,35,5:00:00 AM,Friday,Hullmar & Jane,Diversion,999,999,S/B,8453
1-Jun-18,85,5:00:00 AM,Friday,Sheppard Stn,Late Leaving Garage,20,20,E/B,1711
1-Jun-18,21,5:07:00 AM,Friday,Scarborough Town Centre,Late Leaving Garage,20,40,S/B,8107
1-Jun-18,113,5:15:00 AM,Friday,VICTORIA PARK TO MAIN STATION,Diversion,999,999,E/B,8157
1-Jun-18,320,5:18:00 AM,Friday,Steeles Loop,Late Leaving Garage,13,28,S/B,8183
1-Jun-18,20,5:19:00 AM,Friday,MAIN STATION,Late Leaving Garage,8,19,E/B,9204
1-Jun-18,71,5:23:00 AM,Friday,Eglinton and Weston,Diversion,1,1,SB,
1-Jun-18,89,5:30:00 AM,Friday,Albion and weston,Utilized Off Route,15,30,SB,1595
1-Jun-18,135,5:33:00 AM,Friday,Main Station,Diversion,999,999,B/W,9205
1-Jun-18,47,5:39:00 AM,Friday,Queen and Lansdowne,Late Leaving Garage,5,9,N/B,1560
1-Jun-18,130,5:40:00 AM,Friday,Middlefield Loop,Late Leaving Garage,20,20,S/B,1612
1-Jun-18,129,5:43:00 AM,Friday,Steeles/McCowan,Late Leaving Garage,5,11,S/B,1279
1-Jun-18,64,5:45:00 AM,Friday,Main Station,Diversion,999,999,B/W,8933
1-Jun-18,32,5:45:00 AM,Friday,Pine and Lawrence,Late Leaving Garage,9,19,EB,1384
1-Jun-18,25,5:56:00 AM,Friday,Pape Station,Late Leaving Garage,5,10,N/B,8701
1-Jun-18,36,5:56:00 AM,Friday,Finch West Station,Late Leaving Garage,18,36,W/B,9118
1-Jun-18,185,5:58:00 AM,Friday,Pape Station,Mechanical,10,1,N/B,8837
1-Jun-18,24,5:59:00 AM,Friday,VICTORIA PARK STATION,Late Leaving Garage,13,13,N/B,7882
1-Jun-18,53,6:00:00 AM,Friday,53 Steeles Route-All Branch,General Delay,10,15,B/W,1827
1-Jun-18,131,6:00:00 AM,Friday,131 Nugget Route-All Branch,General Delay,10,18,B/W,1646
1-Jun-18,134,6:00:00 AM,Friday,134 Progress Route-All Branch,General Delay,10,18,B/W,9064
1-Jun-18,67,6:01:00 AM,Friday,PHRA,Late Leaving Garage,26,43,SB,8774
