Report Date,Route,Time,Day,Location,Incident, Min Delay,Min Gap,Direction,Vehicle
1-Mar-18,133,12:22:00 AM,Thursday,Morningside and Finch Ave,Emergency Services,13,26,S/B,1127
1-Mar-18,320,1:50:00 AM,Thursday,QQYO,Mechanical,5,10,N/B,1421
1-Mar-18,86,1:51:00 AM,Thursday,Lawson and Kingston Rd,Emergency Services,10,20,S/B,8673
1-Mar-18,320,2:35:00 AM,Thursday,yonge and lakeshore,Mechanical,3,7,N/B,1814
1-Mar-18,396,2:54:00 AM,Thursday,Jane and Wilson,Investigation,30,60,WB,7918
1-Mar-18,320,3:31:00 AM,Thursday,York Mills Rd and Yonge Street,Utilized Off Route,3,7,S/B,1815
1-Mar-18,395,3:35:00 AM,Thursday,York Mills Station,Mechanical,30,60,E/B,1743
1-Mar-18,320,3:52:00 AM,Thursday,Yonge and Queens Quay,Mechanical,4,7,NB,8351
1-Mar-18,116,4:20:00 AM,Thursday,Eglinton Garage,Late Leaving Garage,1,1,,8749
1-Mar-18,191,5:10:00 AM,Thursday,Martin Grove and Steeles,Mechanical,24,48,,8478
1-Mar-18,25,5:18:00 AM,Thursday,Eglinton Yard,Late Leaving Garage,1,1,,8691
1-Mar-18,133,5:19:00 AM,Thursday,Morningside & Old Finch,Late Leaving Garage,20,31,S/B,1321
1-Mar-18,25,5:35:00 AM,Thursday,Eglinton yard,Late Leaving Garage,1,1,,8885
1-Mar-18,36,5:35:00 AM,Thursday,Goldfinch and Finch,Mechanical,10,20,,9102
1-Mar-18,129,5:43:00 AM,Thursday,slmc,Late Leaving Garage,6,11,S/B,9069
1-Mar-18,199,5:49:00 AM,Thursday,McCowan - Sheppard,Late Leaving Garage,7,14,W/B,1118
1-Mar-18,62,5:51:00 AM,Thursday,CMOR,Mechanical,15,35,E/B,7712
1-Mar-18,43,5:53:00 AM,Thursday,Scarbough Town Center,Mechanical,10,20,S/B,8755
1-Mar-18,199,6:00:00 AM,Thursday,Finch West Stn - Morningside/Nightstar,General Delay,9,18,B/W,
1-Mar-18,39,6:00:00 AM,Thursday,Finch Stn - Morningview Trail/Sewells,General Delay,8,18,B/W,
1-Mar-18,86,6:00:00 AM,Thursday,Sheppard loop,Mechanical,5,10,S/B,8804
1-Mar-18,85,6:00:00 AM,Thursday,Don Mills Stn to Rouge Hill Go,General Delay,13,35,B/W,9074
1-Mar-18,121,6:00:00 AM,Thursday,Princess gate,Late Leaving Garage,14,28,E/B,7742
1-Mar-18,95,6:01:00 AM,Thursday,ELRT,Late Leaving Garage,7,7,W/B,1130
1-Mar-18,66,6:02:00 AM,Thursday,Lakeshore and Marine Parade,Late Leaving Garage,12,24,N/B,8013
1-Mar-18,185,6:08:00 AM,Thursday,Freshmeadow and Don Mills,Late Leaving Garage,5,13,S/B,8813
1-Mar-18,129,6:08:00 AM,Thursday,mmrc,Mechanical,15,30,S/B,1769
1-Mar-18,96,6:09:00 AM,Thursday,Arrow garage POD Humberline & Finch,Late Leaving Garage,6,18,E/B,8510
1-Mar-18,199,6:10:00 AM,Thursday,McCowan - Sheppard,Late Leaving Garage,14,14,W/B,1765
1-Mar-18,88,6:11:00 AM,Thursday,St.Clair Stn,Mechanical,16,26,Eb,8317
1-Mar-18,34,6:12:00 AM,Thursday,Eglinton Station,Late Leaving Garage,4,9,E/B,8692
1-Mar-18,21,6:15:00 AM,Thursday,Steeles and Brimley,Investigation,14,28,S/B,13
1-Mar-18,39,6:16:00 AM,Thursday,Vic Park - McNichol,Late Leaving Garage,9,20,W/B,1753
1-Mar-18,95,6:17:00 AM,Thursday,Brimley and Ellesmere,Mechanical,7,14,W/B,1744
1-Mar-18,129,6:17:00 AM,Thursday,MMRC,Late Leaving Garage,15,30,S/B,1769
1-Mar-18,86,6:17:00 AM,Thursday,Eglinton Garage,Late Leaving Garage,1,1,,8909
1-Mar-18,116,6:21:00 AM,Thursday,Morningside and Stains,Late Leaving Garage,6,11,SB,8905
1-Mar-18,53,6:25:00 AM,Thursday,Passmore/Markham,Late Leaving Garage,6,12,WB,1726
1-Mar-18,42,6:29:00 AM,Thursday,McNicoll and Victoria Park,Late Leaving Garage,12,0,W/B,1807
1-Mar-18,132,6:32:00 AM,Thursday,Sewells & Brenyon Way,Late Leaving Garage,12,25,N/B,1713
1-Mar-18,95,6:34:00 AM,Thursday,elrt,Late Leaving Garage,7,14,W/B,1794
1-Mar-18,39,6:35:00 AM,Thursday,Old Finch - Morningview Trail,Late Leaving Garage,18,36,W/B,1259
1-Mar-18,30,6:38:00 AM,Thursday,High Park stn,Investigation,20,40,W/B,8067
1-Mar-18,199,6:38:00 AM,Thursday,Finch Station,Late Leaving Garage,4,9,E/B,1277
1-Mar-18,190,6:42:00 AM,Thursday,Don Mills station,Late Leaving Garage,6,12,E/B,8746
1-Mar-18,12,6:44:00 AM,Thursday,Kennedy Station,Late Leaving Garage,8,18,S/B,8963
1-Mar-18,95,6:45:00 AM,Thursday,sclp,Late Leaving Garage,9,18,W/B,
1-Mar-18,102,6:46:00 AM,Thursday,Warden & St. Clair,Mechanical,19,38,NB,1794
1-Mar-18,112,6:49:00 AM,Thursday,Westmall and Bloor,Mechanical,14,28,S/B,8413
1-Mar-18,54,6:51:00 AM,Thursday,Lawrence rt,Mechanical,5,9,E/B,8661
1-Mar-18,123,6:52:00 AM,Thursday,Kipling Station,Investigation,17,34,S/B,8427
1-Mar-18,124,6:54:00 AM,Thursday,lawrence Stn,Late Leaving Garage,6,14,E/B,8355
1-Mar-18,116,7:00:00 AM,Thursday,116-Morningside Route,General Delay,17,23,B/W,
1-Mar-18,198,7:00:00 AM,Thursday,198-U of T Rocket,General Delay,15,25,B/W,
1-Mar-18,79,7:00:00 AM,Thursday,Runnymede Station,Late Leaving Garage,10,20,N/B,1047
1-Mar-18,86,7:00:00 AM,Thursday,86-Scarborough Route,General Delay,18,23,B/W,
1-Mar-18,20,7:22:00 AM,Thursday,MAIN STATION,Late Leaving Garage,11,22,E/B,
1-Mar-18,37,7:27:00 AM,Thursday,Islington at Milady,Mechanical,7,15,N/B,8415
1-Mar-18,135,7:30:00 AM,Thursday,Gerrard Route,General Delay,20,1,B/W,7726
1-Mar-18,133,7:30:00 AM,Thursday,STC to MOFI,General Delay,11,24,bw,
1-Mar-18,16,7:30:00 AM,Thursday,McCowan Route,General Delay,15,1,B/W,
1-Mar-18,6,7:37:00 AM,Thursday,Bedford and Dupont,Late Leaving Garage,4,8,S/B,1581
1-Mar-18,51,7:38:00 AM,Thursday,Leslie St and Nymark Ave,Diversion,27,44,B/W,
1-Mar-18,44,7:40:00 AM,Thursday,Kipling stn,Mechanical,5,10,S/B,8073
1-Mar-18,113,7:45:00 AM,Thursday,DANFORTH VP TO MAIN,General Delay,10,0,W/B,
1-Mar-18,53,7:45:00 AM,Thursday,Finch Station  -  PAMK/MOFI,General Delay,15,20,B/W,
1-Mar-18,68,7:45:00 AM,Thursday,Warden stn to the Warden Loop,General Delay,15,25,B/W,
1-Mar-18,95,7:45:00 AM,Thursday,Between York Mills and Morningside,General Delay,20,36,B/W,
1-Mar-18,53,7:50:00 AM,Thursday,Steeles/ Esna Park,Investigation,5,10,WB,1707
1-Mar-18,54,8:00:00 AM,Thursday,Eglinton stn to the Star Spray Loop,General Delay,20,35,B/W,
1-Mar-18,190,8:00:00 AM,Thursday,Sheppard Avenue East,General Delay,25,35,B/W,
1-Mar-18,21,8:00:00 AM,Thursday,Kennedy Stn to S.T.C,General Delay,10,20,B/W,
1-Mar-18,34,8:00:00 AM,Thursday,Both ways on Eglinton between Kennedy to Yonge,General Delay,20,30,W/B,
1-Mar-18,89,8:01:00 AM,Thursday,Keele and Junction,Mechanical,5,10,N/B,1573
1-Mar-18,41,8:12:00 AM,Thursday,Keele Station,Mechanical,13,26,N/B,9137
1-Mar-18,161,8:13:00 AM,Thursday,Ossington Station,Mechanical,11,22,W/B,1572
1-Mar-18,42,8:18:00 AM,Thursday,Dynamic and McNicoll Ave,Utilized Off Route,12,22,W/B,1702
1-Mar-18,12,8:30:00 AM,Thursday,Brimley and Eglinton,General Delay,10,10,B/W,
1-Mar-18,94,8:30:00 AM,Thursday,WELLESLEY FROM SPADINA TO YONGE,General Delay,10,0,BW,
1-Mar-18,24,8:30:00 AM,Thursday,VP ROUTE,General Delay,10,0,B/W,
1-Mar-18,29,8:35:00 AM,Thursday,Wilosn stn,Mechanical,9,18,S/B,9020
1-Mar-18,134,8:45:00 AM,Thursday,Scarborough Town center,Mechanical,5,10,EB,1091
1-Mar-18,86,9:04:00 AM,Thursday,Eglinton and Kingston,Mechanical,7,13,E/B,8715
1-Mar-18,43,9:24:00 AM,Thursday,Kennedy stn,Mechanical,10,20,N/B,8787
1-Mar-18,91,9:29:00 AM,Thursday,St.Clair and O'Connor,Investigation,15,30,N/B,8943
1-Mar-18,104,9:42:00 AM,Thursday,sheppard west stn,Mechanical,15,30,N/B,8334
1-Mar-18,199,10:18:00 AM,Thursday,Scar Town Centre Station,Mechanical,9,17,W/B,1123
1-Mar-18,36,10:45:00 AM,Thursday,Dufferin and Finch,Mechanical,7,14,,1298
1-Mar-18,12,11:20:00 AM,Thursday,Barkdene Hills,Mechanical,22,44,S/B,7809
1-Mar-18,25,11:23:00 AM,Thursday,Don Mills station,Mechanical,9,18,N/B,8691
1-Mar-18,102,11:24:00 AM,Thursday,Markham and Steeles,Mechanical,30,60,S/B,1137
1-Mar-18,59,11:58:00 AM,Thursday,Church St & Geroge St.,Diversion,22,44,B/W,8488
1-Mar-18,190,12:20:00 PM,Thursday,STC,Mechanical,10,20,W/B,8897
1-Mar-18,63,12:55:00 PM,Thursday,Oakwood & Earlsdale,Mechanical,10,20,N/B,1516
1-Mar-18,72,1:16:00 PM,Thursday,Pape And Danforth,Investigation,16,32,S/B,7881
1-Mar-18,28,1:19:00 PM,Thursday,Davisville Station,Investigation,20,40,S/B,8382
1-Mar-18,113,1:25:00 PM,Thursday,Danforth approaching Victoria Park,Mechanical,30,60,S/B,7733
1-Mar-18,102,1:36:00 PM,Thursday,Markham rd and Progress,Late Leaving Garage,1,8,S/B,1768
1-Mar-18,129,1:40:00 PM,Thursday,McNicoll and McCowan,Investigation,14,21,S/B,1775
1-Mar-18,88,2:15:00 PM,Thursday,st clair stn,Investigation,7,14,E/B,8395
1-Mar-18,186,2:19:00 PM,Thursday,Jane and Wilson,Investigation,1,1,W/B,8502
1-Mar-18,32,2:43:00 PM,Thursday,MMCL,Late Leaving Garage,4,8,E/B,1518
1-Mar-18,59,2:47:00 PM,Thursday,OAKW - Oak & Weston,Mechanical,15,30,E/B,1313
1-Mar-18,84,2:51:00 PM,Thursday,Sheppard-Yonge Station,Utilized Off Route,10,20,W/B,8607
1-Mar-18,7,2:55:00 PM,Thursday,Bathurst/1138 Hillcrest,Mechanical,10,20,N/B,9028
1-Mar-18,44,2:55:00 PM,Thursday,Col Sam Smith Loop,Mechanical,5,10,S/B,7961
1-Mar-18,24,2:56:00 PM,Thursday,Victoria park station,Late Leaving Garage,16,32,S/B,7847
1-Mar-18,35,3:00:00 PM,Thursday,PVST  to JNST,General Delay,5,10,B/W,1597
1-Mar-18,61,3:00:00 PM,Thursday,Bombay Loop to Eglinton Station,General Delay,3,15,B/W,
1-Mar-18,195,3:00:00 PM,Thursday,PVST To JNST,General Delay,9,18,B/W,8590
1-Mar-18,63,3:00:00 PM,Thursday,63-Ossington route,General Delay,12,15,B/W,
1-Mar-18,91,3:00:00 PM,Thursday,woodbine stn,General Delay,14,28,S/B,
1-Mar-18,95,3:01:00 PM,Thursday,KNRD,Investigation,16,32,W/B,1134
1-Mar-18,100,3:02:00 PM,Thursday,BSTN,Late Leaving Garage,9,14,N/B,8817
1-Mar-18,76,3:06:00 PM,Thursday,400 Evans,Investigation,4,10,S/B,8627
1-Mar-18,199,3:06:00 PM,Thursday,199C- Finch Stn to Morningside and Nighstar,General Delay,8,22,BW,
1-Mar-18,167,3:10:00 PM,Thursday,Sheppard and Yorkland Blvd,Mechanical,30,60,E/B,8161
1-Mar-18,36,3:11:00 PM,Thursday,Finch West,Late Leaving Garage,14,28,W/B,1559
1-Mar-18,134,3:11:00 PM,Thursday,CECO-Coll Loop,Late Leaving Garage,6,12,W/B,1114
1-Mar-18,52,3:17:00 PM,Thursday,Lawrence west station,Mechanical,14,28,EB,1014
1-Mar-18,24,3:17:00 PM,Thursday,Don Mills Station,Utilized Off Route,30,60,S/B,7788
1-Mar-18,24,3:18:00 PM,Thursday,Birchmount and Lawrence,Mechanical,5,10,N/B,7856
1-Mar-18,52,3:20:00 PM,Thursday,Lawernce Station,Utilized Off Route,12,24,WB,1598
1-Mar-18,53,3:25:00 PM,Thursday,Morningside and Staines Rd,Late Leaving Garage,15,30,W/B,9075
1-Mar-18,46,3:25:00 PM,Thursday,Steeles,Mechanical,10,20,S/B,8454
1-Mar-18,22,3:30:00 PM,Thursday,Coxwell route,General Delay,8,1,B/W,
1-Mar-18,5,3:30:00 PM,Thursday,Eglinton Station to Queen's Park Circle,General Delay,4,20,B/W,
1-Mar-18,116,3:37:00 PM,Thursday,Kennedy Station,Late Leaving Garage,7,13,E/B,8691
1-Mar-18,45,3:53:00 PM,Thursday,KPSN,Investigation,8,16,N/B,8052
1-Mar-18,40,3:59:00 PM,Thursday,dundals w sth,Mechanical,8,15,W/B,8047
1-Mar-18,195,4:00:00 PM,Thursday,Jane and Dundas,Investigation,9,18,S/B,1343
1-Mar-18,55,4:00:00 PM,Thursday,Jane Stn. To Old Dundas,General Delay,15,25,B/W,
