Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Oct-18,52,12:50:00 AM,Monday,Mcnaughton and Airport,Mechanical,20,20,E/B,1243
1-Oct-18,53,1:15:00 AM,Monday,Kennedy and steeles,Utilized Off Route,10,20,W/B,1523
1-Oct-18,39,1:15:00 AM,Monday,Kennedy and finch,Utilized Off Route,10,20,W/B,1651
1-Oct-18,706,1:17:00 AM,Monday,WAST,Utilized Off Route,1,1,E/B,8439
1-Oct-18,60,1:51:00 AM,Monday,Village Gate and Steeles,Emergency Services,17,34,EB,8499
1-Oct-18,302,4:11:00 AM,Monday,Birchmount and Kingston,Emergency Services,30,60,N/B,8489
1-Oct-18,57,4:24:00 AM,Monday,Midland and Steeles,Late Leaving Garage,1,20,S/B,8646
1-Oct-18,72,4:34:00 AM,Monday,Front / Bay,Late Leaving Garage,30,60,S/B,7869
1-Oct-18,20,4:50:00 AM,Monday,Main Station,Late Leaving Garage,20,40,E/B,8936
1-Oct-18,96,4:54:00 AM,Monday,Arow garage POD Finch & Humberline,Late Leaving Garage,13,18,E/B,3161
1-Oct-18,67,5:05:00 AM,Monday,Danforth and Victoria Park,Late Leaving Garage,1,24,N/B,8728
1-Oct-18,86,5:10:00 AM,Monday,Sheppard Loop,Late Leaving Garage,16,27,S/B,8639
1-Oct-18,112,5:12:00 AM,Monday,REGW,Late Leaving Garage,15,30,S/B,7975
1-Oct-18,84,5:16:00 AM,Monday,Sheppard Station,Late Leaving Garage,9,19,W/B,3245
1-Oct-18,84,5:16:00 AM,Monday,PVST,Late Leaving Garage,20,40,E/B,
1-Oct-18,67,5:16:00 AM,Monday,Danforth & Victoria Park,Mechanical,1,24,N/B,8631
1-Oct-18,87,5:17:00 AM,Monday,MAIN STATION,Late Leaving Garage,5,10,W/B,8963
1-Oct-18,84,5:20:00 AM,Monday,RISH,Late Leaving Garage,24,55,E/B,3166
1-Oct-18,30,5:22:00 AM,Monday,HPSTN,Late Leaving Garage,20,40,W/B,8049
