Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Sep-18,96,12:35:00 AM,Saturday,York Mills Station,Mechanical,20,40,WB,8563
1-Sep-18,199,1:04:00 AM,Saturday,Finch Station,Utilized Off Route,9,18,E/B,1718
1-Sep-18,24,1:20:00 AM,Saturday,Victoria Park Station,Utilized Off Route,10,20,N/B,8132
1-Sep-18,16,1:34:00 AM,Saturday,Warden Station,Emergency Services,1,1,S/B,7875
1-Sep-18,334,2:12:00 AM,Saturday,Finchdene Square/Finch Ave to Eglinton Station,General Delay,30,1,B/W,
1-Sep-18,320,2:13:00 AM,Saturday,Queens Quay and Yonge,Utilized Off Route,3,6,NB,8828
1-Sep-18,335,2:19:00 AM,Saturday,Pioneer Village Station,Emergency Services,30,30,SB,3104
1-Sep-18,302,3:09:00 AM,Saturday,McCowan Loop,Mechanical,30,60,S/B,7766
1-Sep-18,320,3:16:00 AM,Saturday,Yonge and Lawrence,Mechanical,3,7,NB,8159
1-Sep-18,341,3:30:00 AM,Saturday,Keele and Dovehouse,Diversion,104,134,BW,
1-Sep-18,320,3:40:00 AM,Saturday,Yonge and Finch,Mechanical,4,7,NB,9207
1-Sep-18,320,4:06:00 AM,Saturday,Queen Quay at Yonge St,Utilized Off Route,15,30,N/B,1136
1-Sep-18,329,4:11:00 AM,Saturday,Transit Rd at Wilson Ave,Mechanical,30,60,N/B,9051
1-Sep-18,96,4:22:00 AM,Saturday,Wilson Station,Late Leaving Garage,30,1,W/B,8479
1-Sep-18,41,4:50:00 AM,Saturday,Keele @ Dovehouse,Diversion,154,172,B/W,1054
1-Sep-18,12,5:11:00 AM,Saturday,Kennedy stn,Late Leaving Garage,8,0,W/B,7820
1-Sep-18,113,5:16:00 AM,Saturday,Kennedy,Late Leaving Garage,4,,S/B,7823
1-Sep-18,704,5:30:00 AM,Saturday,Arrow Rd Garage,Late Leaving Garage,1,1,B/W,8467
1-Sep-18,702,5:30:00 AM,Saturday,QYGA,Utilized Off Route,1,2,E/B,7917
1-Sep-18,64,5:35:00 AM,Saturday,MSTN,Diversion,999,999,S/B,8957
1-Sep-18,29,5:35:00 AM,Saturday,Wilson Station,Late Leaving Garage,8,15,S/B,9017
1-Sep-18,6,5:36:00 AM,Saturday,DDUP,Utilized Off Route,30,60,S/B,1117
1-Sep-18,16,5:38:00 AM,Saturday,Warden stn,Late Leaving Garage,15,30,N/B,7833
1-Sep-18,167,5:40:00 AM,Saturday,Don mills stn,Late Leaving Garage,8,,W/B,7857
1-Sep-18,124,5:40:00 AM,Saturday,Lawrence Station,Late Leaving Garage,20,20,E/B,8202
1-Sep-18,36,5:47:00 AM,Saturday,Finch Ave West at Arrow Rd,Late Leaving Garage,10,29,E/B,9107
1-Sep-18,60,5:50:00 AM,Saturday,Steele Loop at Martin Grove,Late Leaving Garage,12,32,E/B,8597
1-Sep-18,22,5:51:00 AM,Saturday,CSTN,Late Leaving Garage,10,20,S/B,7855
1-Sep-18,97,5:53:00 AM,Saturday,Hilda and Steeles,Mechanical,30,60,S/B,8357
1-Sep-18,135,5:54:00 AM,Saturday,VICT,Late Leaving Garage,30,60,E/B,7777
1-Sep-18,95,5:55:00 AM,Saturday,KNRD,Late Leaving Garage,17,17,W/B,1520
1-Sep-18,87,5:55:00 AM,Saturday,MSTN,Late Leaving Garage,10,20,W/B,9208
1-Sep-18,97,5:58:00 AM,Saturday,Davisville Station,Mechanical,24,48,S/B,8151
1-Sep-18,87,6:00:00 AM,Saturday,MSTN,Diversion,999,999,W/B,9213
1-Sep-18,135,6:03:00 AM,Saturday,MSTN,Diversion,999,999,E/B,7777
1-Sep-18,90,6:10:00 AM,Saturday,Oakwood Ave and Vaughan Rd.,Late Leaving Garage,12,24,S/B,1665
1-Sep-18,63,6:22:00 AM,Saturday,Caniff and Strachan,Mechanical,10,,S/B,1275
1-Sep-18,121,6:25:00 AM,Saturday,Cherry Beach,Late Leaving Garage,0,0,W/B,7869
1-Sep-18,63,6:46:00 AM,Saturday,Eglinton Station,Late Leaving Garage,6,12,S/B,8026
1-Sep-18,165,6:50:00 AM,Saturday,York Mills Station,Late Leaving Garage,10,20,W/B,8562
1-Sep-18,29,7:35:00 AM,Saturday,Wilson Station,Mechanical,8,15,S/B,9039
1-Sep-18,53,7:38:00 AM,Saturday,FSTN,Mechanical,18,36,E/B,1615
1-Sep-18,76,8:03:00 AM,Saturday,RYST,Mechanical,10,20,N/B,8081
1-Sep-18,29,8:36:00 AM,Saturday,Wilson Station,Mechanical,5,10,S/B,9017
1-Sep-18,198,8:53:00 AM,Saturday,U of T loop,Mechanical,11,22,W/B,8798
1-Sep-18,111,9:02:00 AM,Saturday,Willowridge rd,Mechanical,15,30,S/B,8030
1-Sep-18,6,9:35:00 AM,Saturday,Davenport and Dupont,Mechanical,24,64,S/B,1117
1-Sep-18,63,10:12:00 AM,Saturday,Eglinton West Station,Mechanical,5,10,S/B,1301
1-Sep-18,52,10:22:00 AM,Saturday,LWJA,Mechanical,20,41,W/B,1016
1-Sep-18,52,10:27:00 AM,Saturday,Weston/Lawrence,Investigation,10,20,W/B,1263
1-Sep-18,53,10:54:00 AM,Saturday,Markham/Passmore,Mechanical,8,25,W/B,1748
1-Sep-18,121,11:06:00 AM,Saturday,Strachan and Fleep,Diversion,18,36,B/W,7838
1-Sep-18,29,11:11:00 AM,Saturday,Dufferin and Bowie Ave,Mechanical,5,10,S/B,9047
1-Sep-18,29,11:15:00 AM,Saturday,Wilson Station,Mechanical,5,9,S/B,9031
1-Sep-18,81,11:17:00 AM,Saturday,Thorncliffe Park / PSTN,Mechanical,7,14,N/B,7754
1-Sep-18,52,11:30:00 AM,Saturday,LWJA,Mechanical,20,40,W/B,1004
1-Sep-18,65,11:53:00 AM,Saturday,Dundas/ Parliament,Diversion,49,65,N/B,
1-Sep-18,65,12:00:00 PM,Saturday,65 Parliament,General Delay,10,10,B/W,
1-Sep-18,17,12:00:00 PM,Saturday,Brichmount Route,General Delay,15,1,B/W,
1-Sep-18,36,12:00:00 PM,Saturday,Finch West Station to Finch Station,General Delay,15,21,B/W,
1-Sep-18,95,12:06:00 PM,Saturday,MKEL,Mechanical,15,28,W/B,1520
1-Sep-18,165,12:08:00 PM,Saturday,Yorkmills Station,Mechanical,9,18,W/B,8562
1-Sep-18,108,12:11:00 PM,Saturday,Pioneer Village Station,Late Leaving Garage,8,16,S/B,8570
1-Sep-18,63,12:27:00 PM,Saturday,Atlantic and King,Investigation,5,10,Da,1302
1-Sep-18,84,12:30:00 PM,Saturday,Weston Rd at Bradstock Rd,Investigation,6,12,E/B,3137
1-Sep-18,29,12:33:00 PM,Saturday,Dufferin and King,Investigation,10,20,NB,9046
1-Sep-18,29,12:49:00 PM,Saturday,Wilson Station,Late Leaving Garage,3,6,S/B,8378
1-Sep-18,132,12:52:00 PM,Saturday,Hupfield & Sewellss,Investigation,30,60,W/B,1713
1-Sep-18,32,1:05:00 PM,Saturday,EGL / WESTON,Mechanical,24,48,E/B,1218
1-Sep-18,32,1:06:00 PM,Saturday,Marlee,Investigation,9,18,W/B,1212
1-Sep-18,52,1:15:00 PM,Saturday,LWST,Mechanical,8,17,E/B,1248
1-Sep-18,72,1:30:00 PM,Saturday,Queen and Carlaw,Diversion,23,41,S/B,7824
