Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Apr-19,76,12:27:00 AM,Monday,mimico and lakeshore,Investigation,25,50,S/B,7949
1-Apr-19,135,12:55:00 AM,Monday,MSTN,Mechanical,30,60,E/B,8448
1-Apr-19,87,1:05:00 AM,Monday,MSTN,Utilized Off Route,10,20,W/B,8937
1-Apr-19,64,1:23:00 AM,Monday,MSTN,Utilized Off Route,20,40,S/B,8948
1-Apr-19,320,1:30:00 AM,Monday,Yonge/Dundas,Diversion,243,273,B/W,
1-Apr-19,332,3:23:00 AM,Monday,Weston/Eglinton,Diversion,90,120,E/B,1633
1-Apr-19,21,3:54:00 AM,Monday,Kennedy Station,,11,22,N/B,3400
1-Apr-19,68,4:48:00 AM,Monday,Warden & Danforth,,12,12,N/B,8629
1-Apr-19,168,4:50:00 AM,Monday,Avon loop,,10,10,S/B,1626
1-Apr-19,39,4:52:00 AM,Monday,Baldoon and Finch,,19,19,E/B,3518
1-Apr-19,134,4:55:00 AM,Monday,TARC,,18,18,W/B,9086
1-Apr-19,36,4:56:00 AM,Monday,FARR,,10,20,E/B,3290
1-Apr-19,939,5:00:00 AM,Monday,939 Finch Express-All Branch,General Delay,10,18,B/W,1327
1-Apr-19,39,5:00:00 AM,Monday,39 Finch route-All Branch,General Delay,14,28,B/W,3518
1-Apr-19,40,5:05:00 AM,Monday,Dundas west,Mechanical,12,20,W/B,7951
1-Apr-19,320,5:08:00 AM,Monday,Yonge and Eglinton,,4,8,N/B,8338
1-Apr-19,87,5:25:00 AM,Monday,Broadview Statoin,,5,10,NB,8946
1-Apr-19,22,5:30:00 AM,Monday,Coxwell Ave and Gerrard St East,Diversion,330,338,NB,
1-Apr-19,134,5:32:00 AM,Monday,TARC,,18,34,N/B,9077
1-Apr-19,96,5:35:00 AM,Monday,Jane and Wilson,Mechanical,19,37,W/B,3268
1-Apr-19,96,5:35:00 AM,Monday,Finch and Humberline,,12,14,E/B,3317
1-Apr-19,25,5:36:00 AM,Monday,PSTN,,1,1,N/B,8789
1-Apr-19,87,5:40:00 AM,Monday,Broadview Station,,5,10,NB,8465
1-Apr-19,32,5:40:00 AM,Monday,ESTN,,14,24,W/B,1349
1-Apr-19,39,5:41:00 AM,Monday,Baldoon and Finch,,7,14,E/B,1361
1-Apr-19,36,5:44:00 AM,Monday,YEGL,,11,26,S/B,8720
1-Apr-19,53,5:45:00 AM,Monday,PAMK,,5,11,W/B,3454
1-Apr-19,12,5:46:00 AM,Monday,Kennedy stn,,7,14,,8484
1-Apr-19,68,5:46:00 AM,Monday,Warden Station,Mechanical,1,1,N/B,8721
1-Apr-19,60,5:56:00 AM,Monday,SLPM,,10,31,E/B,3329
1-Apr-19,165,5:58:00 AM,Monday,Signet and Steeles,,3,12,W/B,3183
1-Apr-19,47,5:59:00 AM,Monday,Yorkdale,,18,36,S/B,1144
1-Apr-19,82,5:59:00 AM,Monday,rosedale stn,,25,0,S/B,8368
1-Apr-19,129,6:00:00 AM,Monday,STC,,6,16,N/B,1565
1-Apr-19,88,6:06:00 AM,Monday,Laird and Mcrae,,9,18,S/B,1282
1-Apr-19,32,6:06:00 AM,Monday,PINE,,4,6,E/B,1076
1-Apr-19,52,6:08:00 AM,Monday,LSTA,Mechanical,15,23,W/B,8349
1-Apr-19,39,6:10:00 AM,Monday,Finch Station,,17,34,E/B,1596
1-Apr-19,985,6:13:00 AM,Monday,STC,,14,14,W/B,9068
1-Apr-19,54,6:15:00 AM,Monday,Eglinton Station,,9,18,E/B,8685
1-Apr-19,939,6:16:00 AM,Monday,STC SRT,,8,16,E/B,1327
