Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Aug-19,96,12:33:00 AM,Thursday,Carrier Loop,Mechanical,20,40,E/B,3179
1-Aug-19,35,1:31:00 AM,Thursday,Jane Stn,Utilized Off Route,1,1,N/B,3566
1-Aug-19,300,2:00:00 AM,Thursday,Kenndy Station,General Delay,20,40,BW,8403
1-Aug-19,300,3:52:00 AM,Thursday,Danforth and Main,Emergency Services,20,40,WB,8007
1-Aug-19,939,5:00:00 AM,Thursday,939 Finch Express-All Branch,General Delay,12,24,B/W,3459
1-Aug-19,39,5:00:00 AM,Thursday,39 Finch Route-All Branch,General Delay,18,36,B/W,3540
1-Aug-19,607,5:10:00 AM,Thursday,STC Station,Utilized Off Route,1,1,S/B,1327
1-Aug-19,701,5:11:00 AM,Thursday,Eglinton Station,Utilized Off Route,1,1,S/B,8104
1-Aug-19,607,5:11:00 AM,Thursday,Mlavern Yard,Utilized Off Route,1,1,S/B,3421
1-Aug-19,701,5:12:00 AM,Thursday,Sheppard West Station,Utilized Off Route,1,1,S/B,1301
1-Aug-19,607,5:12:00 AM,Thursday,Malvern Yard,Utilized Off Route,1,1,S/B,3414
1-Aug-19,707,5:13:00 AM,Thursday,U-F-T University loop,Utilized Off Route,1,1,W/B,1650
1-Aug-19,600,5:13:00 AM,Thursday,Wilson Station,Utilized Off Route,1,1,S/B,8324
1-Aug-19,606,5:14:00 AM,Thursday,Birchmount Garage,Utilized Off Route,1,1,EB,3131
1-Aug-19,600,5:14:00 AM,Thursday,Wilson Garage,Utilized Off Route,1,1,S/B,1355
1-Aug-19,706,5:14:00 AM,Thursday,Main Station,Utilized Off Route,1,1,WB,8492
1-Aug-19,606,5:14:00 AM,Thursday,Birchmount Garage,Utilized Off Route,1,1,EB,8551
1-Aug-19,600,5:15:00 AM,Thursday,Eglinton Yard,Utilized Off Route,1,1,E/B,8874
1-Aug-19,600,5:15:00 AM,Thursday,Eglinton Yard,Utilized Off Route,1,1,E/B,8737
1-Aug-19,716,5:15:00 AM,Thursday,Victoria Park Station,Utilized Off Route,1,1,WB,3132
1-Aug-19,606,5:15:00 AM,Thursday,Birchmount Garage,Utilized Off Route,1,1,EB,3147
1-Aug-19,600,5:15:00 AM,Thursday,Eglinton Yard,Utilized Off Route,1,1,E/B,8839
1-Aug-19,710,5:20:00 AM,Thursday,Eglinton and Markham,Utilized Off Route,1,1,W/B,8865
1-Aug-19,52,5:20:00 AM,Thursday,Wilson and Dufferin,Utilized Off Route,22,44,E/B,8314
1-Aug-19,34,5:24:00 AM,Thursday,Kennedy Station,Utilized Off Route,6,12,W/B,8736
1-Aug-19,25,5:32:00 AM,Thursday,Pape Station,Utilized Off Route,5,10,N/B,8728
