Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Dec-19,85,12:50:00 AM,Sunday,Don Mills Station,Emergency Services,20,40,E/B,8538
1-Dec-19,35,1:00:00 AM,Sunday,Jane and Lawrence,Mechanical,9,17,S/B,3530
1-Dec-19,39,1:03:00 AM,Sunday,Neilson and Crow,Mechanical,20,40,E/B,3412
1-Dec-19,45,2:20:00 AM,Sunday,Kipling Station,Emergency Services,1,1,N/B,8037
1-Dec-19,329,3:32:00 AM,Sunday,Ehbibition loop.,Mechanical,30,60,N/B,9040
1-Dec-19,337,3:42:00 AM,Sunday,Humber Loop & lakeshore,Utilized Off Route,30,60,N/B,8088
1-Dec-19,337,3:45:00 AM,Sunday,Sherway Gardens,Utilized Off Route,30,60,E/B,8059
1-Dec-19,320,4:07:00 AM,Sunday,Yonge and Queensquay,Late Leaving Garage - Mechanical,5,10,N/B,8327
1-Dec-19,320,4:27:00 AM,Sunday,Yonge and St.Clair,Diversion,84,99,B/W,9049
1-Dec-19,300,4:42:00 AM,Sunday,Keele Station,Utilized Off Route,15,30,W/B,8681
1-Dec-19,320,4:46:00 AM,Sunday,BATHURST/ST. CLAIR,Utilized Off Route,1,1,N/B,8113
1-Dec-19,320,5:33:00 AM,Sunday,YONGE/STEELES,Late Leaving Garage - Mechanical,4,8,S/B,1315
1-Dec-19,47,6:24:00 AM,Sunday,Lansdowne at Queen,Emergency Services,20,40,N/B,1053
1-Dec-19,300,6:30:00 AM,Sunday,Kennedy Station - East mall at Bloor,General Delay,20,25,B/W,
1-Dec-19,39,6:53:00 AM,Sunday,Finch and Markham,Mechanical,17,34,E/B,3527
1-Dec-19,26,7:15:00 AM,Sunday,Jane Station,Late Leaving Garage - Mechanical,25,50,E/B,1349
1-Dec-19,84,7:21:00 AM,Sunday,Sheppard Ave West at Rivalda Rd,Late Leaving Garage - Management,15,30,W/B,3239
1-Dec-19,600,7:23:00 AM,Sunday,Broadview & Danforth,Utilized Off Route,,,W/B,3119
1-Dec-19,63,7:23:00 AM,Sunday,King/Atlantic,Utilized Off Route,10,20,W/B,8118
1-Dec-19,600,7:33:00 AM,Sunday,Main  stn,Utilized Off Route,,,W/B,8522
1-Dec-19,354,7:40:00 AM,Sunday,Lawrence RT,Mechanical,1,1,W/B,8662
1-Dec-19,32,7:43:00 AM,Sunday,MDGA,Late Leaving Garage - Mechanical,10,20,E/B,1120
1-Dec-19,106,8:00:00 AM,Sunday,Sheppard West Station,Late Leaving Garage - Vision,15,30,W/B,1271
