Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Feb-19,985,12:00:00 AM,Friday,31 Glen Watford,Utilized Off Route,1,1,,9069
1-Feb-19,54,12:00:00 AM,Friday,Lawrence & Bev Stanton Blvd.,Diversion,5,10,B/W,
1-Feb-19,90,12:14:00 AM,Friday,Oakwood and Vaughan,Mechanical,10,20,SB,1288
1-Feb-19,112,1:14:00 AM,Friday,renforth and carlingview,Utilized Off Route,20,40,N/B,8056
1-Feb-19,63,1:42:00 AM,Friday,Ossington Station,Utilized Off Route,10,20,SB,8219
1-Feb-19,35,1:43:00 AM,Friday,Jane Stn,Utilized Off Route,15,30,N/B,3366
1-Feb-19,89,1:48:00 AM,Friday,Keele stn,Utilized Off Route,10,20,N/B,1018
1-Feb-19,320,1:56:00 AM,Friday,SYON,Utilized Off Route,4,11,S/B,1041
1-Feb-19,325,2:57:00 AM,Friday,30 Thorncliffe Park,Diversion,30,60,B/W,
1-Feb-19,395,3:15:00 AM,Friday,Dean Park and Meadowvale,Diversion,30,60,N/B,1333
1-Feb-19,54,4:00:00 AM,Friday,Lawrence & Leslie,Diversion,1353,1363,W/B,
1-Feb-19,54,4:00:00 AM,Friday,Lawrence & Ben Stanton,Diversion,1212,1222,BW,
1-Feb-19,54,4:00:00 AM,Friday,54 Lawrence ave East route,General Delay,5,10,B/W,
1-Feb-19,35,4:15:00 AM,Friday,Route,General Delay,5,10,B/W,3177
1-Feb-19,110,4:45:00 AM,Friday,gardner at lakeshore exit.,Mechanical,1,1,E/B,8099
1-Feb-19,707,4:47:00 AM,Friday,MLGA,Utilized Off Route,1,1,E/B,1665
1-Feb-19,24,4:49:00 AM,Friday,STLV,Late Leaving Garage,21,42,S/B,7408
1-Feb-19,65,4:50:00 AM,Friday,CAST,Late Leaving Garage,13,26,S/B,8474
1-Feb-19,86,4:54:00 AM,Friday,Meadowvale Rd/401,Diversion,391,401,B/W,
1-Feb-19,47,4:56:00 AM,Friday,Yorkdale,Late Leaving Garage,20,30,S/B,1035
1-Feb-19,102,5:00:00 AM,Friday,Warden Stn,Mechanical,20,40,N/B,8469
1-Feb-19,710,5:02:00 AM,Friday,EGGA,Utilized Off Route,1,1,N/B,8784
1-Feb-19,87,5:03:00 AM,Friday,BSTN,Late Leaving Garage,5,10,E/B,8599
1-Feb-19,39,5:03:00 AM,Friday,BDFI,Utilized Off Route,10,29,S/B,1771
1-Feb-19,299,5:06:00 AM,Friday,Wilson Division,Utilized Off Route,1,1,E/B,8167
1-Feb-19,81,5:06:00 AM,Friday,Thorncliffe PK and millwood,Diversion,1,1,N/B,8932
1-Feb-19,81,5:06:00 AM,Friday,Birchmount Division,Utilized Off Route,5,10,S/B,8563
1-Feb-19,116,5:08:00 AM,Friday,EGGA,Utilized Off Route,12,24,O/B,8769
1-Feb-19,31,5:09:00 AM,Friday,GSTN,Late Leaving Garage,20,40,S/B,8454
1-Feb-19,167,5:09:00 AM,Friday,PSTL,Late Leaving Garage,2,46,S/B,8477
1-Feb-19,354,5:10:00 AM,Friday,Lawrence and McCowan,Diversion,1,1,B/W,8648
1-Feb-19,706,5:10:00 AM,Friday,Birchmount Division,Utilized Off Route,1,1,S/B,8529
1-Feb-19,85,5:12:00 AM,Friday,Sheppard and Neilson,Utilized Off Route,10,20,E/B,1284
1-Feb-19,87,5:12:00 AM,Friday,Birchmount Division,Utilized Off Route,5,10,E/B,8599
1-Feb-19,17,5:14:00 AM,Friday,Birchmount Division,Utilized Off Route,13,26,S/B,8939
1-Feb-19,17,5:14:00 AM,Friday,Warden Stn,Mechanical,7,14,N/B,8588
1-Feb-19,52,5:15:00 AM,Friday,Lawrence ave and Weston Rd,Late Leaving Garage,10,10,E/B,8185
1-Feb-19,35,5:17:00 AM,Friday,Jane Stn,Mechanical,5,10,,3131
1-Feb-19,87,5:18:00 AM,Friday,Birchmount Division,Utilized Off Route,5,10,E/B,9236
1-Feb-19,95,5:20:00 AM,Friday,KNRD,Utilized Off Route,10,20,W/B,1713
1-Feb-19,102,5:22:00 AM,Friday,WSTN,Utilized Off Route,20,40,N/B,8403
1-Feb-19,34,5:26:00 AM,Friday,Eglinton/Victoria Park,Utilized Off Route,4,8,S/B,8716
1-Feb-19,16,5:26:00 AM,Friday,BRGA,Mechanical,9,18,N/B,8476
1-Feb-19,116,5:27:00 AM,Friday,Kennedy STN,Utilized Off Route,12,13,E/B,8709
1-Feb-19,60,5:28:00 AM,Friday,,Mechanical,12,12,,3302
1-Feb-19,939,5:30:00 AM,Friday,MLGA,Utilized Off Route,7,14,W/B,1782
1-Feb-19,337,5:30:00 AM,Friday,8th street and lakeshore,Mechanical,15,30,N/B,8081
