Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jan-19,39,12:13:00 AM,Tuesday,NECR,Mechanical,9,18,W/B,1794
1-Jan-19,111,12:15:00 AM,Tuesday,Eglington,Mechanical,15,30,S/B,8065
1-Jan-19,35,12:18:00 AM,Tuesday,Finch,Mechanical,9,18,S/B,3275
1-Jan-19,25,12:30:00 AM,Tuesday,Don Mills Rd/Eglinton Ave E,Mechanical,9,18,N/B,8840
1-Jan-19,36,12:40:00 AM,Tuesday,Humberwood,Investigation,9,18,E/B,9119
1-Jan-19,45,12:51:00 AM,Tuesday,Kipling stn,Utilized Off Route,10,20,N/B,8061
1-Jan-19,32,1:55:00 AM,Tuesday,Royal York and Eglitnon,Mechanical,10,20,W/B,1502
1-Jan-19,53,2:19:00 AM,Tuesday,FSTN,Utilized Off Route,19,38,E/B,1623
1-Jan-19,112,2:33:00 AM,Tuesday,Kipling Station,Mechanical,20,40,NB,8059
1-Jan-19,85,2:57:00 AM,Tuesday,DONS,Mechanical,20,40,E/B,1726
1-Jan-19,84,3:00:00 AM,Tuesday,WEBR,Mechanical,11,22,E/B,3133
1-Jan-19,123,3:03:00 AM,Tuesday,Browns Line and Coules Court,Investigation,14,28,NB,8087
1-Jan-19,29,3:28:00 AM,Tuesday,Exhibtion Loop,Emergency Services,1,1,W/B,9044
1-Jan-19,320,3:32:00 AM,Tuesday,QQYU,Utilized Off Route,4,7,N/B,8949
1-Jan-19,89,4:14:00 AM,Tuesday,Weston and Oak,Mechanical,10,20,N/B,1262
1-Jan-19,341,5:00:00 AM,Tuesday,Keele Station,Late Leaving Garage,30,60,N/B,1614
1-Jan-19,329,5:13:00 AM,Tuesday,Dufferin and St. Clair,Diversion,62,92,S/B,1553
1-Jan-19,29,5:15:00 AM,Tuesday,Dufferin and St.Clair West,Diversion,225,235,bw,
1-Jan-19,56,6:00:00 AM,Tuesday,Eglinton Station,Late Leaving Garage,30,30,E/B,1286
1-Jan-19,320,6:12:00 AM,Tuesday,Queens Quay,Late Leaving Garage,3,6,N/B,1227
1-Jan-19,52,6:12:00 AM,Tuesday,LAWRENCE AVE. AT YONGE ST.,Utilized Off Route,22,46,W/B,8109
1-Jan-19,32,6:15:00 AM,Tuesday,Eglinton Station,Utilized Off Route,30,60,W/B,1423
1-Jan-19,939,7:02:00 AM,Tuesday,Scarborough Town Center,Late Leaving Garage,12,24,B/W,1530
1-Jan-19,63,7:20:00 AM,Tuesday,Eglinton West Station,Mechanical,10,20,S/B,1220
1-Jan-19,102,7:20:00 AM,Tuesday,Warden statoin,Mechanical,60,120,N/B,8534
1-Jan-19,54,7:23:00 AM,Tuesday,Straspray Loop,Utilized Off Route,20,1,W/B,8779
1-Jan-19,165,7:26:00 AM,Tuesday,FWEST,Late Leaving Garage,18,36,N/B,3102
1-Jan-19,29,7:28:00 AM,Tuesday,Dufferin and Lawrence,Late Leaving Garage,35,70,N/B,9027
1-Jan-19,320,7:32:00 AM,Tuesday,Yonge and Eglinton,Mechanical,3,6,S/B,8728
1-Jan-19,76,7:36:00 AM,Tuesday,EVRY,Mechanical,1,1,S/B,7949
1-Jan-19,116,7:38:00 AM,Tuesday,Kennedy Station,Mechanical,10,20,E/B,8824
1-Jan-19,16,7:45:00 AM,Tuesday,warden stn,Mechanical,17,34,N/B,9200
1-Jan-19,54,7:53:00 AM,Tuesday,Starspary Loop,Utilized Off Route,10,26,W/B,8856
1-Jan-19,34,7:56:00 AM,Tuesday,Eglinton Station,Mechanical,9,18,E/B,8929
1-Jan-19,123,8:04:00 AM,Tuesday,LONG,Late Leaving Garage,20,40,N/B,8428
1-Jan-19,34,8:06:00 AM,Tuesday,Kennedy Station,Utilized Off Route,10,19,W/B,8632
1-Jan-19,162,8:06:00 AM,Tuesday,Davenport and Dufferin,Emergency Services,1,1,W/B,8109
1-Jan-19,30,8:30:00 AM,Tuesday,HPST,Mechanical,30,60,W/B,8028
1-Jan-19,108,8:35:00 AM,Tuesday,Shepppard West Station,Mechanical,30,60,W/B,3125
1-Jan-19,169,8:55:00 AM,Tuesday,S T C,Mechanical,30,60,W/B,1365
1-Jan-19,34,9:17:00 AM,Tuesday,Eglinton Station,Mechanical,15,30,E/B,8916
1-Jan-19,43,9:40:00 AM,Tuesday,Scarb Towne Centre,Mechanical,15,30,W/B,8623
1-Jan-19,32,10:00:00 AM,Tuesday,Emmett and Verona,Mechanical,30,60,E/B,1140
1-Jan-19,66,10:01:00 AM,Tuesday,HUMBERLOOP,Mechanical,20,40,N/B,7953
1-Jan-19,900,10:10:00 AM,Tuesday,Terminal 3,Mechanical,8,16,S/B,8009
