Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jul-19,107,12:04:00 AM,Monday,Sheppard at Vitti St.,Diversion,30,60,B/W,
1-Jul-19,106,12:04:00 AM,Monday,Sheppard and Bakerfield Road,Diversion,1,1,E/B,8168
1-Jul-19,84,12:04:00 AM,Monday,Sheppard at Vitti St.,Diversion,10,20,B/W,
1-Jul-19,108,12:04:00 AM,Monday,Sheppard at Vitti St.,Diversion,30,60,B/W,
1-Jul-19,75,12:21:00 AM,Monday,Rosedale Station,Mechanical,10,30,E/B,1365
1-Jul-19,54,12:23:00 AM,Monday,Kennedy and Lawrence,Mechanical,20,40,W/B,8856
1-Jul-19,63,12:36:00 AM,Monday,Ossington and College,Utilized Off Route,10,20,S/B,8316
1-Jul-19,63,12:43:00 AM,Monday,Liberty Village,Utilized Off Route,10,20,N/B,1399
1-Jul-19,106,12:50:00 AM,Monday,Pioneer Village Station,Mechanical,16,32,S/B,8200
1-Jul-19,307,1:30:00 AM,Monday,Bathurst St.,General Delay,20,50,B/W,
1-Jul-19,302,1:36:00 AM,Monday,Victora Park and Finch to Bingham Loop,Mechanical,12,24,NB,8577
1-Jul-19,116,2:22:00 AM,Monday,Morningside and Neilson,Emergency Services,10,20,SB,8825
1-Jul-19,300,3:09:00 AM,Monday,Kennedy Station,Mechanical,60,120,WB,8016
1-Jul-19,334,3:48:00 AM,Monday,Eglinton and Kennedy,Investigation,30,60,EB,8757
1-Jul-19,320,4:28:00 AM,Monday,Yonge and Bloor,Utilized Off Route,15,30,N/B,8192
1-Jul-19,383,5:05:00 AM,Monday,lake shore garage,Emergency Services,1,1,B/W,
1-Jul-19,60,5:46:00 AM,Monday,Yonge and Steeles,Mechanical,12,12,W/B,3348
1-Jul-19,133,6:00:00 AM,Monday,133 Neilson Route,General Delay,13,26,B/W,3456
1-Jul-19,14,6:00:00 AM,Monday,Eglinton and Chaplin,Diversion,999,999,B/W,
1-Jul-19,14,6:00:00 AM,Monday,Eglinton and Russell Hill Rd,Diversion,275,295,E/B,
1-Jul-19,24,6:20:00 AM,Monday,Lawrance  and  Victoria pk,Mechanical,20,40,B/W,3118
1-Jul-19,123,6:20:00 AM,Monday,kipling station,Mechanical,10,20,S/B,8052
1-Jul-19,300,6:20:00 AM,Monday,Kipling Station,Mechanical,10,20,E/B,8052
1-Jul-19,100,6:30:00 AM,Monday,Broadview Station,Vision,10,20,N/B,8820
1-Jul-19,79,7:00:00 AM,Monday,Scarlett and Eglinton,Mechanical,1,1,S/B,1418
1-Jul-19,94,7:20:00 AM,Monday,Ossington Station,Utilized Off Route,7,14,E/B,1000
1-Jul-19,6,7:29:00 AM,Monday,Dupont and Davenport,Mechanical,30,60,S/B,1618
1-Jul-19,113,7:35:00 AM,Monday,kennedy station,Investigation,30,60,B/W,8474
1-Jul-19,63,7:55:00 AM,Monday,St clair w and Oakwood,Diversion,138,146,B/W,
1-Jul-19,161,8:00:00 AM,Monday,St.Clair and Oakwood,Diversion,190,200,B/W,
1-Jul-19,89,8:22:00 AM,Monday,Keele Station,Vision,1,1,S/B,1354
1-Jul-19,86,8:30:00 AM,Monday,Military & Kingston,Investigation,10,20,N/B,8629
1-Jul-19,70,8:30:00 AM,Monday,On Coxwell from Coxwell Station to O'Connor,Diversion,185,215,BW,8836
1-Jul-19,60,8:54:00 AM,Monday,Steeles at Islinton,Investigation,14,28,W/B,3184
1-Jul-19,63,9:05:00 AM,Monday,St clair W and Oakwood,Emergency Services,9,14,S/B,1399
1-Jul-19,29,9:22:00 AM,Monday,Lawrence and Dufferin,Mechanical,6,13,N/B,9146
1-Jul-19,36,10:03:00 AM,Monday,Finch at Sentinel,Investigation,10,20,E/B,3341
1-Jul-19,67,10:08:00 AM,Monday,Victoria Park,Mechanical,24,48,N/B,8740
1-Jul-19,94,10:30:00 AM,Monday,Queen's Park,Diversion,180,192,E/B,
1-Jul-19,5,10:30:00 AM,Monday,Avenue rd and Bloor,Diversion,210,240,B/W,
1-Jul-19,37,10:37:00 AM,Monday,islington and central pkwy,Investigation,15,30,S/B,8416
1-Jul-19,36,10:40:00 AM,Monday,Finch Station,Mechanical,10,20,W/B,3341
1-Jul-19,108,10:45:00 AM,Monday,Jane and Driftwood,Mechanical,30,60,E/B,3162
1-Jul-19,87,11:00:00 AM,Monday,cusburn /lusdum,Diversion,780,800,B/W,8527
1-Jul-19,7,12:08:00 PM,Monday,Wilson Garage,Mechanical,7,14,S/B,8215
1-Jul-19,79,12:18:00 PM,Monday,Eglinton and Scarlett,Mechanical,1,1,S/B,1418
1-Jul-19,57,12:33:00 PM,Monday,Steeles and Silverstar,Diversion,27,45,N/B,
1-Jul-19,36,12:39:00 PM,Monday,Finch and Albion,Investigation,5,10,E/B,3288
1-Jul-19,32,12:50:00 PM,Monday,Park Hill Road/Eglinton,Investigation,10,20,E/B,1408
1-Jul-19,41,12:55:00 PM,Monday,Keele and Eglinton,Mechanical,12,23,S/B,1260
1-Jul-19,33,1:55:00 PM,Monday,St clair west station,Utilized Off Route,20,40,N/B,8107
1-Jul-19,94,1:58:00 PM,Monday,Wellesley Station,Utilized Off Route,12,24,E/B,1085
1-Jul-19,129,2:00:00 PM,Monday,129 McCowan North-All Branch,General Delay,20,60,B/W,3525
1-Jul-19,9,2:00:00 PM,Monday,95 York Mills Route-All Branch,General Delay,10,20,B/W,3425
1-Jul-19,900,2:07:00 PM,Monday,Kipling Station,Mechanical,10,20,N/B,8009
1-Jul-19,63,2:45:00 PM,Monday,Eglinto west station,Mechanical,6,12,S/B,1372
1-Jul-19,101,3:00:00 PM,Monday,Sheppard at Chessword Dr.,Diversion,500,520,B/W,
1-Jul-19,97,3:00:00 PM,Monday,Yonge and Park Home ave,Diversion,600,630,B/W,
1-Jul-19,112,3:12:00 PM,Monday,"On The West Mall, at (south of) Bloor",Investigation,15,30,N/B,8403
1-Jul-19,52,3:16:00 PM,Monday,Lawrence W stn,Mechanical,7,14,E/B,1251
1-Jul-19,129,3:30:00 PM,Monday,#7 and McCowan Rd,Diversion,485,520,B/W,3525
1-Jul-19,95,3:30:00 PM,Monday,Brimley and Ellesmere Rd,Diversion,90,107,B/W,3425
1-Jul-19,41,3:55:00 PM,Monday,Keele and Sheppard,Mechanical,10,21,S/B,1595
1-Jul-19,104,3:55:00 PM,Monday,Wilson Heights and Clifton Ave,Mechanical,22,44,S/B,8161
1-Jul-19,97,4:00:00 PM,Monday,Entire Route,General Delay,1,1,B/W,
1-Jul-19,75,4:00:00 PM,Monday,Entire Route,General Delay,1,1,B/W,
