Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Jun-19,84,12:04:00 AM,Saturday,Sheppard Yonge Station,Emergency Services,10,20,W/B,3269
1-Jun-19,29,1:08:00 AM,Saturday,Princes Gates,Mechanical,4,7,N/B,9011
1-Jun-19,29,1:25:00 AM,Saturday,Exhibition loop,Utilized Off Route,9,17,N/B,1023
1-Jun-19,118,1:28:00 AM,Saturday,Tanridge at Arcot Blvd,Emergency Services,30,60,W/B,3286
1-Jun-19,161,1:37:00 AM,Saturday,Jane / Alliance,Investigation,1,1,N/B,1417
1-Jun-19,300,2:00:00 AM,Saturday,Terminal 3,General Delay,30,60,BW,8484
1-Jun-19,300,2:06:00 AM,Saturday,Kipling Station,Investigation,15,30,WB,8060
1-Jun-19,339,2:29:00 AM,Saturday,Midland and Finch to Kennedy and Finch,Diversion,191,221,B/W,3407
1-Jun-19,320,2:58:00 AM,Saturday,Yonge and Eglington,Investigation,3,6,N/B,8140
1-Jun-19,320,3:05:00 AM,Saturday,Yonge at Adelaide,Emergency Services,4,7,N/B,9004
1-Jun-19,300,3:37:00 AM,Saturday,Kennedy Station,Emergency Services,1,1,WB,8452
1-Jun-19,34,4:28:00 AM,Saturday,Sheppard and Warden,Mechanical,30,60,B/W,3107
1-Jun-19,300,4:30:00 AM,Saturday,Kipling Station,General Delay,20,40,B/W,8067
1-Jun-19,336,4:43:00 AM,Saturday,Humberline?Humber College Blvd,Emergency Services,4,6,N/B,3424
1-Jun-19,354,4:58:00 AM,Saturday,Starspray Loop,Mechanical,24,84,W/B,8773
1-Jun-19,334,4:59:00 AM,Saturday,Eglinton and Duplex,Emergency Services,30,60,B/W,8795
1-Jun-19,32,5:00:00 AM,Saturday,Eglinton and Black Creek,Diversion,760,770,B/W,
1-Jun-19,320,5:00:00 AM,Saturday,St Clair,Mechanical,5,10,W/B,8156
1-Jun-19,329,5:10:00 AM,Saturday,Wilson Station,Utilized Off Route,30,60,NB,1107
1-Jun-19,23,5:40:00 AM,Saturday,Ferris / Dawes,Diversion,13,26,N/B,8581
1-Jun-19,320,5:47:00 AM,Saturday,St Clair,Mechanical,4,6,N/B,8346
1-Jun-19,52,5:50:00 AM,Saturday,wilson garage,Mechanical,15,20,S/B,1218
1-Jun-19,91,6:14:00 AM,Saturday,Eglinton and Bermondsay,Diversion,999,999,B/W,9219
1-Jun-19,89,7:11:00 AM,Saturday,Rogers and Weston,Investigation,10,20,N/B,1268
1-Jun-19,111,8:00:00 AM,Saturday,Entire Route,General Delay,60,70,B/W,
1-Jun-19,32,8:00:00 AM,Saturday,Lloyd Manor to 401 ( Eglinton),General Delay,40,52,B/W,
1-Jun-19,8,8:02:00 AM,Saturday,Broadview Station,Mechanical,30,60,B/W,8531
1-Jun-19,45,8:23:00 AM,Saturday,Kipling and Albion,Diversion,1,1,B/W,8045
1-Jun-19,45,8:30:00 AM,Saturday,Entire Route,General Delay,25,30,B/W,
1-Jun-19,29,8:54:00 AM,Saturday,N/B Queen and Dufferin,Investigation,5,11,N/B,9143
1-Jun-19,39,9:00:00 AM,Saturday,Finch Stn to Scarborough Town Center,General Delay,18,32,B/W,
