Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Mar-19,34,2:21:00 AM,Friday,Bayview and Eglinton Ave,Investigation,1,1,E/B,8824
1-Mar-19,116,2:46:00 AM,Friday,Halfway and Morningside Ave,Emergency Services,14,28,S/B,8632
1-Mar-19,320,3:59:00 AM,Friday,Yonge/Eglinton,Investigation,4,7,S/B,8141
1-Mar-19,168,4:50:00 AM,Friday,AVLP,Late Leaving Garage,20,40,S/B,1056
1-Mar-19,102,4:54:00 AM,Friday,Warden Station,Late Leaving Garage,20,40,N/B,8539
1-Mar-19,60,4:59:00 AM,Friday,Finch stn,Late Leaving Garage,5,10,W/B,3342
1-Mar-19,35,5:02:00 AM,Friday,Steeles,Late Leaving Garage,5,10,W/B,3359
1-Mar-19,113,5:05:00 AM,Friday,Kennedy Station,Late Leaving Garage,12,24,W/B,8542
1-Mar-19,29,5:06:00 AM,Friday,Dufferin and Lawrence,Late Leaving Garage,10,20,N/B,9148
1-Mar-19,35,5:07:00 AM,Friday,PKAI,Late Leaving Garage,11,21,N/B,3349
1-Mar-19,12,5:19:00 AM,Friday,KRBR,Late Leaving Garage,18,36,W/B,8426
1-Mar-19,48,5:20:00 AM,Friday,Mill Road Loop,Late Leaving Garage,10,20,E/B,8014
1-Mar-19,929,5:29:00 AM,Friday,Dufferin / Lawrence,Late Leaving Garage,9,17,S/B,9037
1-Mar-19,329,5:29:00 AM,Friday,Princess Gate Loop,Mechanical,1,1,N/B,9049
1-Mar-19,112,5:38:00 AM,Friday,Eglinton and Renforth,Late Leaving Garage,1,1,N/B,8050
1-Mar-19,63,5:39:00 AM,Friday,Eglinton W Station,Late Leaving Garage,8,16,S/B,1228
1-Mar-19,86,5:41:00 AM,Friday,Kennedy Station,Mechanical,17,33,E/B,8640
1-Mar-19,25,5:44:00 AM,Friday,Pape Station,Late Leaving Garage,7,17,N/B,8667
1-Mar-19,129,5:48:00 AM,Friday,STC,Mechanical,6,6,N/B,1520
1-Mar-19,32,5:49:00 AM,Friday,Eglinton and Keele,Late Leaving Garage,4,7,E/B,1106
1-Mar-19,25,5:51:00 AM,Friday,Pape Station,Late Leaving Garage,5,12,N/B,8756
1-Mar-19,929,5:52:00 AM,Friday,Dufferin / Lawrence,Mechanical,9,17,N/B,9030
1-Mar-19,129,5:56:00 AM,Friday,SLMC,Late Leaving Garage,3,15,S/B,1306
1-Mar-19,64,5:57:00 AM,Friday,Main Station,Late Leaving Garage,11,22,EB,8517
