Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-May-19,86,1:50:00 AM,Wednesday,Meadowvale @ Ellesmere,Investigation,15,15,S/B,8850
1-May-19,320,2:33:00 AM,Wednesday,Yonge and Queens Quay,Emergency Services,3,7,NB,8365
1-May-19,396,4:00:00 AM,Wednesday,Wilson and Clayson,Diversion,108,168,W/B,3496
1-May-19,88,4:00:00 AM,Wednesday,entire route,General Delay,6,12,W/B,
1-May-19,300,4:00:00 AM,Wednesday,Kennedy to Airport,General Delay,30,60,B/W,
1-May-19,334,4:00:00 AM,Wednesday,Eglinton Night bus route,General Delay,30,60,B/W,
1-May-19,354,4:00:00 AM,Wednesday,Lawrence Night Bus Route,General Delay,30,60,B/W,
1-May-19,91,5:00:00 AM,Wednesday,Eglinton and Bermondsey,Diversion,999,999,B/W,
1-May-19,67,5:00:00 AM,Wednesday,Pharmacy and Eglinton,Diversion,999,999,B/W,
1-May-19,320,5:12:00 AM,Wednesday,Richmond,Investigation,5,6,N/B,7070
1-May-19,16,5:20:00 AM,Wednesday,STC,Vision,20,20,S/B,8447
1-May-19,134,5:30:00 AM,Wednesday,Sheppard and Washburn,Diversion,90,108,B/W,
1-May-19,41,5:41:00 AM,Wednesday,KSTN,Mechanical,12,24,N/B,9040
1-May-19,98,6:10:00 AM,Wednesday,Sheppard stn,Investigation,30,60,W/B,1293
1-May-19,29,6:39:00 AM,Wednesday,SB at Rogers Road,Investigation,10,20,S/B,9037
1-May-19,130,6:40:00 AM,Wednesday,MDSL,Mechanical,20,40,S/B,1533
1-May-19,106,6:58:00 AM,Wednesday,Sheppard W Station,Mechanical,8,16,W/B,1355
1-May-19,25,6:58:00 AM,Wednesday,Pape Station,Utilized Off Route,9,17,N/B,8857
1-May-19,601,6:59:00 AM,Wednesday,Scarborough Town Center,Utilized Off Route,1,1,,3437
1-May-19,112,7:00:00 AM,Wednesday,Kipling Station - Ranforth Station - Disco Road,General Delay,20,30,B/W,
1-May-19,900,7:00:00 AM,Wednesday,Kipling Station - Pearson Airport T3,General Delay,20,30,B/W,
1-May-19,45,7:00:00 AM,Wednesday,Kipling Station - Steeles Loop,General Delay,10,20,B/W,
1-May-19,160,7:11:00 AM,Wednesday,wilson stn,Mechanical,20,40,N/B,1227
1-May-19,11,7:15:00 AM,Wednesday,Bayview and Finch,Mechanical,15,30,N/B,8338
1-May-19,939,7:25:00 AM,Wednesday,Finch/Kennedy Rd,Mechanical,7,15,W/B,3543
1-May-19,953,7:29:00 AM,Wednesday,Steeles on Staines,Mechanical,14,29,E/B,9079
1-May-19,165,7:38:00 AM,Wednesday,Wilson Station,Investigation,5,11,W/B,3196
1-May-19,81,7:42:00 AM,Wednesday,Floyd,Mechanical,10,20,N/B,8568
1-May-19,25,7:42:00 AM,Wednesday,Pape station,Utilized Off Route,1,1,N/B,8636
1-May-19,32,7:50:00 AM,Wednesday,Eglinton West Station,Mechanical,7,14,W/B,1354
1-May-19,162,8:00:00 AM,Wednesday,Lawrence/ Mt pleasant,Mechanical,30,60,W/B,8311
1-May-19,70,8:00:00 AM,Wednesday,Route 70- O'Connor,General Delay,30,47,B/W,
1-May-19,91,8:00:00 AM,Wednesday,Woodbine North / WOOD,General Delay,12,24,B/W,
1-May-19,90,8:00:00 AM,Wednesday,st clair wstn / oakwood,General Delay,3,7,B/W,
1-May-19,7,8:03:00 AM,Wednesday,wilson avenue,Mechanical,8,16,N/B,1351
1-May-19,75,8:10:00 AM,Wednesday,lakeshore / maple,General Delay,6,14,B/W,
1-May-19,90,8:14:00 AM,Wednesday,st clair wstn,Mechanical,4,8,N/B,8124
1-May-19,97,8:25:00 AM,Wednesday,York Mills stn,Mechanical,30,60,S/B,8102
1-May-19,36,8:27:00 AM,Wednesday,Jane,Investigation,18,36,E/B,3163
1-May-19,88,8:29:00 AM,Wednesday,St Clair stn,Mechanical,11,22,E/B,8308
1-May-19,143,8:30:00 AM,Wednesday,Downtown Beach Express,General Delay,15,30,B/W,
1-May-19,95,8:41:00 AM,Wednesday,Park Wood Village Dr at Vanity Ct.,Investigation,8,16,E/B,3428
1-May-19,21,8:44:00 AM,Wednesday,Kennedy Station,Mechanical,10,20,N/B,1566
1-May-19,38,8:44:00 AM,Wednesday,STC,Vision,10,20,E/B,1374
1-May-19,29,8:44:00 AM,Wednesday,Jane Osler,Mechanical,10,20,S/B,1119
1-May-19,84,8:56:00 AM,Wednesday,Rivalda Rd & Sheppard West,Investigation,10,20,E/B,3365
1-May-19,67,9:00:00 AM,Wednesday,Eglinton/Pharmacy,General Delay,20,30,B/W,
1-May-19,900,9:59:00 AM,Wednesday,Kipling Station,Mechanical,9,18,B/W,8009
1-May-19,72,10:00:00 AM,Wednesday,pape station,Mechanical,16,32,S/B,8429
1-May-19,63,10:00:00 AM,Wednesday,Queen and Ossington,Mechanical,8,16,S/B,8315
1-May-19,24,10:21:00 AM,Wednesday,Victoria Park and St Clair,Investigation,10,20,N/B,8957
1-May-19,41,10:30:00 AM,Wednesday,Both Ends,General Delay,1,1,B/W,
1-May-19,52,10:55:00 AM,Wednesday,Dufferin and Lawrence Ave,Investigation,14,24,W/B,8169
1-May-19,29,11:28:00 AM,Wednesday,NB on Dufferin and Auburn Ave,Investigation,1,1,N/B,9026
1-May-19,129,11:32:00 AM,Wednesday,STC,Vision,7,21,N/B,1337
1-May-19,31,12:20:00 PM,Wednesday,Greenwood and Gerrard,Diversion,824,836,S/B,
1-May-19,60,12:25:00 PM,Wednesday,Steeles & Carpenter,Investigation,4,9,W/B,3325
1-May-19,36,12:50:00 PM,Wednesday,Tangiers,Mechanical,5,10,E/B,3208
