Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Nov-19,90,12:07:00 AM,Friday,oakwood and vaughn,Mechanical,10,20,N/B,8340
1-Nov-19,25,12:11:00 AM,Friday,Pape station,Utilized Off Route,9,18,S/B,8774
1-Nov-19,62,12:32:00 AM,Friday,Chisholm Ave between Lumsden and Doncaster,Diversion,1,1,B/W,9238
1-Nov-19,11,12:37:00 AM,Friday,Davisville stn,Utilized Off Route,15,30,E/B,8188
1-Nov-19,34,12:45:00 AM,Friday,Eglinton Station,Utilized Off Route,11,22,E/B,8711
1-Nov-19,33,12:50:00 AM,Friday,stclair west station,Diversion,31,51,W/B,
1-Nov-19,320,1:53:00 AM,Friday,Yonge and Eglinton,Utilized Off Route,10,20,S/B,8188
1-Nov-19,34,2:06:00 AM,Friday,Gervais Dr and Eglinton Ave,Diversion,54,66,W/B,8850
1-Nov-19,334,2:15:00 AM,Friday,Gervais Dr and Eglinton Ave,Diversion,213,243,W/B,8804
1-Nov-19,300,2:20:00 AM,Friday,Kennedy Station,Emergency Services,20,40,W/B,8916
1-Nov-19,36,2:29:00 AM,Friday,Humber College/Finch,Diversion,40,52,W/B,9116
1-Nov-19,54,2:41:00 AM,Friday,Lawrence Ave and Scarborough Golf Club Rd,Investigation,20,20,S/B,8658
1-Nov-19,34,4:00:00 AM,Friday,EGLINTON/WYNFORD,Diversion,840,846,W/B,
1-Nov-19,302,4:20:00 AM,Friday,Birchmount garage,Late Leaving Garage - Mechanical,20,,S/B,8163
1-Nov-19,600,4:30:00 AM,Friday,EGLINTON YARD,Mechanical,1,1,E/B,8880
1-Nov-19,600,4:30:00 AM,Friday,eglinton yard,Mechanical,1,1,E/B,8735
1-Nov-19,36,4:36:00 AM,Friday,Arrow garage POD Finch  stn,Late Leaving Garage - Operator,15,45,.s,9133
1-Nov-19,54,4:49:00 AM,Friday,Eglinton Garage,Late Leaving Garage - Management,7,1,OB,8675
1-Nov-19,100,4:51:00 AM,Friday,eglinton yard,Mechanical,1,1,E/B,8940
1-Nov-19,9,4:59:00 AM,Friday,Birchmount garage,Late Leaving Garage - Vision,20,,S/B,8163
1-Nov-19,25,5:00:00 AM,Friday,eglinton yard,Mechanical,1,1,E/B,8900
1-Nov-19,67,5:05:00 AM,Friday,Eglinton Garage,Late Leaving Garage - Operator,11,1,OB,8898
1-Nov-19,35,5:07:00 AM,Friday,Peter Kaiser/Steeles,Late Leaving Garage - Operator,25,35,S/B,3252
1-Nov-19,108,5:08:00 AM,Friday,Wilson Station,Mechanical,20,40,S/B,3210
1-Nov-19,116,5:10:00 AM,Friday,eglinton yard,Mechanical,1,1,E/B,8844
1-Nov-19,100,5:10:00 AM,Friday,Wynford and Eglinton,Diversion,815,788,W/B,8940
1-Nov-19,70,5:13:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8672
1-Nov-19,43,5:13:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8794
1-Nov-19,43,5:15:00 AM,Friday,eglinton yard,Mechanical,1,1,E/B,8842
1-Nov-19,54,5:16:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8931
1-Nov-19,46,5:19:00 AM,Friday,Steeles Loop at Martingrove,Late Leaving Garage - Management,16,32,SB,
1-Nov-19,47,5:21:00 AM,Friday,Yorkdale Station,Late Leaving Garage - Mechanical,13,26,S/B,1045
1-Nov-19,189,5:21:00 AM,Friday,Jane & St.Clair,Mechanical,25,50,S/B,8053
1-Nov-19,67,5:22:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8797
1-Nov-19,86,5:23:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8656
1-Nov-19,25,5:24:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8834
1-Nov-19,161,5:25:00 AM,Friday,Oakwood / St. Clair,Mechanical,20,40,S/B,1532
1-Nov-19,50,5:30:00 AM,Friday,Islington and Bloor,Diversion,999,999,BW,
1-Nov-19,56,5:32:00 AM,Friday,Eglinton station,Late Leaving Garage - Operator,10,18,E/B,8389
1-Nov-19,43,5:33:00 AM,Friday,egl yard,Mechanical,1,1,E/B,8893
1-Nov-19,25,5:35:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8736
1-Nov-19,34,5:37:00 AM,Friday,Eglinton Garage,Late Leaving Garage - Mechanical,11,1,OB,8759
1-Nov-19,7,5:37:00 AM,Friday,Marque Ave / Bathurst,Mechanical,9,18,S/B,8111
1-Nov-19,70,5:39:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8704
1-Nov-19,34,5:39:00 AM,Friday,Eglinton Garage,Late Leaving Garage - Management,20,1,OB,8872
1-Nov-19,34,5:41:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8660
1-Nov-19,86,5:42:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8763
1-Nov-19,32,5:45:00 AM,Friday,Renforth Station,Late Leaving Garage - Mechanical,7,14,E/B,1091
1-Nov-19,37,5:45:00 AM,Friday,Islington and Bloor,Diversion,999,999,BW,
1-Nov-19,110,5:45:00 AM,Friday,Islington and Bloor,Diversion,999,999,BW,
1-Nov-19,937,5:50:00 AM,Friday,Islington and Bloor,Diversion,244,255,BW,
1-Nov-19,116,5:51:00 AM,Friday,Eglinton Garage,Late Leaving Garage - Mechanical,10,1,OB,8788
1-Nov-19,925,5:51:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8641
1-Nov-19,54,5:52:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8644
1-Nov-19,54,5:52:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8710
1-Nov-19,107,5:55:00 AM,Friday,Keele St / Canarctic,Investigation,24,48,N/B,3239
1-Nov-19,25,5:58:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8692
1-Nov-19,34,6:00:00 AM,Friday,REDPATH/EGLINTON,Investigation,6,12,E/B,8930
1-Nov-19,43,6:04:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8674
1-Nov-19,34,6:05:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8750
1-Nov-19,86,6:05:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8632
1-Nov-19,66,6:06:00 AM,Friday,58 Marine Parade Drive,Late Leaving Garage - Mechanical,7,23,NB,7968
1-Nov-19,925,6:07:00 AM,Friday,egli. Yard,Mechanical,1,1,E/B,8923
1-Nov-19,67,6:07:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8934
1-Nov-19,25,6:08:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8702
1-Nov-19,35,6:08:00 AM,Friday,Pioneer Village Station,Late Leaving Garage - Mechanical,9,18,S/B,3166
1-Nov-19,112,6:10:00 AM,Friday,Kipling Station,Late Leaving Garage - Mechanical,14,28,W/B,8040
1-Nov-19,165,6:11:00 AM,Friday,Entire route,Mechanical,1,1,B/W,3195
1-Nov-19,68,6:12:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8828
1-Nov-19,100,6:17:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8862
1-Nov-19,86,6:17:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8775
1-Nov-19,116,6:19:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8635
1-Nov-19,63,6:19:00 AM,Friday,Eglinton West Station,Mechanical,3,7,S/B,1342
1-Nov-19,52,6:19:00 AM,Friday,,Late Leaving Garage - Mechanical,15,30,W/B,8175
1-Nov-19,32,6:19:00 AM,Friday,Keele/Eglinton,Late Leaving Garage - Mechanical,30,34,E/B,1118
1-Nov-19,52,6:19:00 AM,Friday,Lawrence Station,Late Leaving Garage - Mechanical,15,30,W/B,8175
1-Nov-19,925,6:20:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8701
1-Nov-19,905,6:20:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8847
1-Nov-19,925,6:23:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8772
1-Nov-19,36,6:24:00 AM,Friday,Humberwood Loop,Late Leaving Garage - Mechanical,4,9,NB,9116
1-Nov-19,72,6:24:00 AM,Friday,Cherry and Commissioner,Mechanical,9,18,E/B,8944
1-Nov-19,110,6:25:00 AM,Friday,Islington and Bloor,Investigation,20,40,SB,8031
1-Nov-19,54,6:25:00 AM,Friday,egli yard,Mechanical,1,1,E/B,8852
1-Nov-19,52,6:30:00 AM,Friday,Lawrence West Station,Mechanical,15,30,E/B,8131
1-Nov-19,953,6:36:00 AM,Friday,Finch station,Mechanical,7,14,E/B,9077
1-Nov-19,79,6:36:00 AM,Friday,Scarlett at Raymere,Mechanical,10,20,N/B,1357
1-Nov-19,125,6:38:00 AM,Friday,Bathurst St and Antibes Drive,Late Leaving Garage - Operator,11,21,BW,8141
1-Nov-19,607,6:39:00 AM,Friday,Scarborough town centre,Utilized Off Route,,,S/B,1662
1-Nov-19,607,6:39:00 AM,Friday,Scarborough town centre,Utilized Off Route,,,S/B,1743
1-Nov-19,123,6:40:00 AM,Friday,Kipling Station,Mechanical,18,36,W/B,8012
1-Nov-19,36,6:42:00 AM,Friday,Humberwood loop,Late Leaving Garage - Operator,5,10,W/B,9117
1-Nov-19,96,6:47:00 AM,Friday,Humberline,Late Leaving Garage - Mechanical,17,28,E/B,3468
1-Nov-19,52,6:49:00 AM,Friday,Lawrence West Station,Investigation,15,30,E/B,8131
1-Nov-19,106,7:00:00 AM,Friday,Keele/Sheppard,Mechanical,8,16,S/B,1340
1-Nov-19,600,7:02:00 AM,Friday,Kennedy stn,Utilized Off Route,,,S/B,8631
1-Nov-19,935,7:08:00 AM,Friday,Jane at Finch,Mechanical,7,14,S/B,3188
1-Nov-19,34,7:15:00 AM,Friday,EGLINTON STATION,Utilized Off Route,6,12,E/B,8865
1-Nov-19,34,7:20:00 AM,Friday,BRENTCLIFFE/EGLINTON,Investigation,12,25,W/B,8909
1-Nov-19,74,7:21:00 AM,Friday,MOUNT PLEASANT/ MERTON,Mechanical,15,30,S/B,8134
1-Nov-19,54,7:28:00 AM,Friday,Lawrence and Star spray,Investigation,9,18,W/B,8810
1-Nov-19,607,7:28:00 AM,Friday,Danforth and Birchmount,Mechanical,,,.s,1662
1-Nov-19,32,7:32:00 AM,Friday,Weston Road,Mechanical,1,1,E/B,1560
1-Nov-19,60,7:51:00 AM,Friday,Yonge St and Drewry Ave,Investigation,7,14,SB,3261
1-Nov-19,51,8:00:00 AM,Friday,Eglinton Station,Mechanical,20,40,N/B,1289
1-Nov-19,35,8:00:00 AM,Friday,Jane at Sheppard,General Delay,20,30,B/W,
1-Nov-19,36,8:00:00 AM,Friday,Finch west stn to Finch stn,General Delay,16,20,B/W,
1-Nov-19,9,8:18:00 AM,Friday,Warden stn,Mechanical,15,30,W/B,8943
1-Nov-19,52,8:20:00 AM,Friday,Lawrence and Shermount,Investigation,15,30,W/B,1319
1-Nov-19,935,8:30:00 AM,Friday,Jane at Sheppard,General Delay,20,30,B/W,
1-Nov-19,7,8:42:00 AM,Friday,Bathurst Station,Emergency Services,8,16,N/B,8192
1-Nov-19,89,8:53:00 AM,Friday,Church & Weston,Mechanical,6,12,S/B,1018
1-Nov-19,701,9:07:00 AM,Friday,Keele and Eglinton,Investigation,1,1,E/B,1528
1-Nov-19,162,9:15:00 AM,Friday,Bridal path and Park Lane,Mechanical,33,63,S/B,1241
1-Nov-19,162,9:15:00 AM,Friday,Bridal path and Park Line,Diversion,268,298,S/B,1241
1-Nov-19,64,9:27:00 AM,Friday,64 Main Route,General Delay,10,20,B/W,8452
1-Nov-19,36,9:37:00 AM,Friday,Humberwood blvd,Mechanical,5,10,E/B,9106
1-Nov-19,7,10:07:00 AM,Friday,Bathurst Station,Mechanical,8,16,N/B,8342
1-Nov-19,29,10:08:00 AM,Friday,Dufferin Gate,Mechanical,7,14,N/B,9146
1-Nov-19,41,10:25:00 AM,Friday,Keele Station,Mechanical,10,20,N/B,9100
1-Nov-19,168,10:28:00 AM,Friday,Dundas West Station,Mechanical,13,26,S/B,1005
1-Nov-19,36,10:30:00 AM,Friday,keele stn,Mechanical,5,10,W/B,9106
1-Nov-19,90,10:45:00 AM,Friday,St. Clair Station,Mechanical,10,20,N/B,8328
1-Nov-19,38,10:55:00 AM,Friday,Scarborough center,Mechanical,7,14,E/B,1209
1-Nov-19,70,11:00:00 AM,Friday,Victoria Park Ave,Investigation,17,36,N/B,8826
1-Nov-19,39,11:18:00 AM,Friday,Finch and Brimley,Investigation,16,32,W/B,3531
1-Nov-19,122,11:31:00 AM,Friday,York Mills Station,Mechanical,17,34,E/B,8193
1-Nov-19,7,11:43:00 AM,Friday,Drewry and Bathurst,Mechanical,8,16,N/B,8122
1-Nov-19,23,11:59:00 AM,Friday,Dawes Rd/Park Vista,Investigation,10,20,S/B,8402
1-Nov-19,929,12:00:00 PM,Friday,929 Dufferin Express-All Branch,General Delay,30,40,B/W,9137
1-Nov-19,941,12:00:00 PM,Friday,941 Keele Express All Branch,General Delay,30,42,B/W,1595
1-Nov-19,41,12:00:00 PM,Friday,41 Keele Rotue-All Branch,General Delay,30,42,B/W,9139
1-Nov-19,16,12:00:00 PM,Friday,Entire Route,General Delay,13,28,B/W,
1-Nov-19,29,12:00:00 PM,Friday,29 Dufferin Route-All Branch,General Delay,40,48,B/W,9048
1-Nov-19,95,12:30:00 PM,Friday,Kingston Rd Loop,Investigation,20,40,W/B,3527
1-Nov-19,600,12:35:00 PM,Friday,Jane & Alliance,Utilized Off Route,1,1,B/W,1026
1-Nov-19,600,12:37:00 PM,Friday,spadina to shaw on king 504,Utilized Off Route,1,1,bw,1413
1-Nov-19,39,12:49:00 PM,Friday,Finch and Sandhurst Circle east,Mechanical,16,32,W/B,1720
1-Nov-19,935,1:14:00 PM,Friday,Pioneer Village Stn,Mechanical,10,20,N/B,3599
1-Nov-19,11,1:22:00 PM,Friday,Bayview and Heathcote,Investigation,13,26,,8117
1-Nov-19,25,1:30:00 PM,Friday,Pape Stn,Investigation,9,18,N/B,8761
1-Nov-19,65,1:31:00 PM,Friday,Castle Frank Stn,Investigation,12,25,S/B,8542
1-Nov-19,929,1:38:00 PM,Friday,Dufferin and Dundas,Investigation,10,20,S/B,9136
1-Nov-19,935,1:45:00 PM,Friday,Jane and Finch,Investigation,10,20,S/B,3329
1-Nov-19,929,1:52:00 PM,Friday,Lawrence and Dufferin,Mechanical,10,20,N/B,9011
1-Nov-19,52,2:02:00 PM,Friday,Lawrence and Black Creek,Investigation,14,28,E/B,1351
1-Nov-19,161,2:20:00 PM,Friday,Dovercourt & Hallam,Mechanical,17,35,W/B,1532
1-Nov-19,986,2:28:00 PM,Friday,EglintonYArd,Mechanical,0,0,OB,8786
1-Nov-19,54,2:34:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8900
1-Nov-19,925,2:37:00 PM,Friday,eglintonYard,Mechanical,0,0,OB,8745
1-Nov-19,144,2:44:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8640
1-Nov-19,941,2:45:00 PM,Friday,Finch West Station,Late Leaving Garage - Mechanical,10,20,N/B,1064
1-Nov-19,954,2:45:00 PM,Friday,EglintonYard,Mechanical,1,0,OB,8716
1-Nov-19,37,2:47:00 PM,Friday,Woodbine,Mechanical,12,24,S/B,8015
1-Nov-19,34,2:48:00 PM,Friday,EglintonYArd,Mechanical,1,1,OB,8632
1-Nov-19,68,2:49:00 PM,Friday,Eglinton Yrad,Mechanical,0,0,OB,8768
1-Nov-19,25,2:52:00 PM,Friday,eglintin Yard,Mechanical,0,0,OB,8770
1-Nov-19,116,2:54:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8693
1-Nov-19,927,2:56:00 PM,Friday,Martin Grove and Bethridge,Emergency Services,6,12,S/B,3199
1-Nov-19,84,2:59:00 PM,Friday,Weston and Bradstock,Mechanical,8,16,E/B,3361
1-Nov-19,935,3:00:00 PM,Friday,Jane Stn to Pioneer Village Stn,General Delay,40,50,B/W,
1-Nov-19,35,3:00:00 PM,Friday,Jane Stn to Pioneer Village Stn,General Delay,40,50,B/W,
1-Nov-19,116,3:03:00 PM,Friday,eglintonYard,Mechanical,0,0,OB,8756
1-Nov-19,60,3:08:00 PM,Friday,Finch Station,Vision,10,20,WB,3230
1-Nov-19,954,3:16:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8804
1-Nov-19,925,3:17:00 PM,Friday,Eglintion Yard,Mechanical,0,0,OB,8844
1-Nov-19,68,3:19:00 PM,Friday,EglintonYard,Mechanical,0,0,OB,8692
1-Nov-19,86,3:20:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8771
1-Nov-19,144,3:21:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8823
1-Nov-19,68,3:22:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8694
1-Nov-19,95,3:24:00 PM,Friday,Ellesmere RT,Mechanical,10,30,W/B,1566
1-Nov-19,68,3:24:00 PM,Friday,Warden Station,Late Leaving Garage - Operator,30,60,N/B,8778
1-Nov-19,34,3:33:00 PM,Friday,Eglinton Yard,Mechanical,0,0,OB,8680
1-Nov-19,60,3:37:00 PM,Friday,Signal Hill,Late Leaving Garage - Vision,9,18,WB,3324
1-Nov-19,17,3:38:00 PM,Friday,Scarborough Center Station,Late Leaving Garage - Mechanical,10,20,S/B,8544
1-Nov-19,36,3:38:00 PM,Friday,finch west station,Late Leaving Garage - Mechanical,18,36,W/B,9135
1-Nov-19,35,3:40:00 PM,Friday,Pioneer Village Station,Utilized Off Route,5,10,S/B,3331
1-Nov-19,952,3:41:00 PM,Friday,Terminal 1,Mechanical,12,24,E/B,1334
1-Nov-19,924,3:42:00 PM,Friday,Victoria Park Station,Late Leaving Garage - Management,10,20,N/B,3140
1-Nov-19,600,3:42:00 PM,Friday,Jane and Finch,Investigation,0,0,N/B,3365
