Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Apr-20,395,2:35:00 AM,Wednesday,York Mills Station,Mechanical,30,50,E/B,1393
1-Apr-20,320,2:42:00 AM,Wednesday,Yonge & Finch,Utilized Off Route,3,7,S/B,8205
1-Apr-20,34,5:03:00 AM,Wednesday,Eglinton Station,Mechanical,7,14,E/B,8842
1-Apr-20,116,5:38:00 AM,Wednesday,morningside and finch,Late Leaving Garage - Operator,4,8,S/B,8901
1-Apr-20,75,5:45:00 AM,Wednesday,Jarvis St/Queens Quay,Late Leaving Garage - Management,15,30,N/B,8875
1-Apr-20,116,6:08:00 AM,Wednesday,Nightstar/ Morningside,Investigation,10,18,S/B,8697
1-Apr-20,6,6:09:00 AM,Wednesday,Davenport Rd/Dupont Street,Late Leaving Garage - Mechanical,5,11,S/B,1000
1-Apr-20,116,6:28:00 AM,Wednesday,Morningside and nightstart,Investigation,7,15,S/B,8659
1-Apr-20,953,6:30:00 AM,Wednesday,Finch Station,Late Leaving Garage - Operator,15,30,W/B,
1-Apr-20,106,6:44:00 AM,Wednesday,Sentinel and Sheppard,Mechanical,8,16,S/B,1370
1-Apr-20,63,6:45:00 AM,Wednesday,Marlee and Lawerence Ave W,Mechanical,8,16,S/B,8217
1-Apr-20,927,6:48:00 AM,Wednesday,Martin Grove Rd and Royalcrest Rd,Late Leaving Garage - Operator,19,32,W/B,3297
1-Apr-20,26,6:59:00 AM,Wednesday,Jane Station,Investigation,13,26,E/B,1419
1-Apr-20,75,7:04:00 AM,Wednesday,Bloor St/ Sherbourne,Late Leaving Garage - Management,5,13,S/B,8214
1-Apr-20,954,7:26:00 AM,Wednesday,LAWRENCE EAST STATION,Mechanical,9,19,E/B,8896
1-Apr-20,88,7:38:00 AM,Wednesday,Sutherland and Bayview,Diversion,7,14,E/B,1293
1-Apr-20,36,7:39:00 AM,Wednesday,Jane,Mechanical,5,10,W/B,9118
1-Apr-20,32,7:47:00 AM,Wednesday,EGLINTON STATION,Investigation,11,22,W/B,1618
1-Apr-20,39,8:05:00 AM,Wednesday,Finch Station,Investigation,15,30,E/B,3430
1-Apr-20,168,8:47:00 AM,Wednesday,Dundas West Station,Mechanical,8,16,N/B,1555
1-Apr-20,60,9:23:00 AM,Wednesday,Steeles & Jane,Investigation,8,16,W/B,3636
1-Apr-20,63,9:35:00 AM,Wednesday,Oakwood Loop,Utilized Off Route,5,10,S/B,8312
1-Apr-20,53,9:36:00 AM,Wednesday,Tappscott road,Mechanical,7,20,W/B,3429
