Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Aug-20,300,02:18,Saturday,BLOOR AND SHAVER,Operations - Operator,6,20,E,8097
1-Aug-20,88,03:17,Saturday,SOUTHVALE AND MILLWOOD,Cleaning,11,42,E,8166
1-Aug-20,51,03:21,Saturday,EGLINTON STATION,Operations - Operator,26,52,N,8135
1-Aug-20,119,03:26,Saturday,DAVISVILLE STATION,Operations - Operator,28,56,,0
1-Aug-20,300,03:27,Saturday,DANFORTH AND GREENWOOD,Emergency Services,17,34,E,9227
1-Aug-20,127,06:28,Saturday,SPADINA STATION,Operations - Operator,22,45,N,0
1-Aug-20,80,08:00,Saturday,HIGH PARK STATION,Mechanical,20,40,W,8089
1-Aug-20,35,08:02,Saturday,JANE AND WILLIAM CRAGG,Security,10,20,S,3324
1-Aug-20,43,08:13,Saturday,MIDLAND AND STEELES,Operations - Operator,10,20,S,8815
1-Aug-20,37,08:28,Saturday,ISLINGTON STATION,Operations - Operator,21,42,N,8086
1-Aug-20,36,10:06,Saturday,FINCH WEST STATION,Collision - TTC,7,13,,3579
1-Aug-20,2,10:29,Saturday,BLOOR AND PARK RD,Security,0,0,E,8659
1-Aug-20,6,11:56,Saturday,BAY AND CUMBERLAND,Emergency Services,23,46,N,3725
1-Aug-20,52,12:14,Saturday,LAWRENCE WEST STATION,Operations - Operator,20,40,E,0
1-Aug-20,6,13:01,Saturday,BAY AND DUNDAS,General Delay,0,0,S,1009
1-Aug-20,108,13:02,Saturday,PIONEER VILLAGE STATIO,Collision - TTC,8,16,S,3339
1-Aug-20,84,13:05,Saturday,SHEPPARD AND WILSON HE,Investigation,6,12,E,3644
1-Aug-20,55,13:11,Saturday,JANE STATION,Operations - Operator,25,50,N,7961
1-Aug-20,32,13:15,Saturday,EGLINTON AND KEELE,Operations - Operator,24,48,W,1411
1-Aug-20,12,14:48,Saturday,KENNEDY STATION,Mechanical,15,30,W,9229
1-Aug-20,92,14:51,Saturday,WOODBINE AND QUEEN,Mechanical,6,12,N,8543
1-Aug-20,125,15:04,Saturday,TORRESDALE AND ANTIBES,Security,15,30,E,1293
1-Aug-20,85,15:09,Saturday,SHEPPARD AND DON MILLS,Mechanical,22,44,E,1658
1-Aug-20,54,15:36,Saturday,LAWRENCE AND GREENBRAE,Emergency Services,15,29,W,8730
1-Aug-20,54,16:46,Saturday,LAWRENCE AND MCCOWAN,Emergency Services,14,28,E,8919
1-Aug-20,102,16:54,Saturday,WARDEN STATION,Security,10,20,S,9209
1-Aug-20,85,17:16,Saturday,DON MILLS STATION,Operations - Operator,22,44,E,0
1-Aug-20,95,17:26,Saturday,YORK MILLS AND FENSIDE,Road Blocked - NON-TTC Collision,33,46,W,0
1-Aug-20,35,17:30,Saturday,JANE AND BEXLEY,Security,8,16,S,3345
1-Aug-20,96,18:19,Saturday,WILSON AND BELGRAVE,Security,0,0,W,3354
1-Aug-20,73,19:01,Saturday,ROYAL YORK STATION,Emergency Services,0,0,,8048
1-Aug-20,89,19:45,Saturday,WESTON AND ROGERS,Mechanical,10,20,S,1147
1-Aug-20,36,20:01,Saturday,FINCH AND JAYZEL,Security,6,12,W,3232
1-Aug-20,2,20:23,Saturday,BLOOR AND RESURRECTION,Mechanical,0,0,E,8080
1-Aug-20,70,20:26,Saturday,ST CLAIR AND WESTBOURN,Road Blocked - NON-TTC Collision,10,34,E,0
1-Aug-20,168,20:50,Saturday,DUNDAS WEST STATION,Security,12,24,E,1409
1-Aug-20,127,20:55,Saturday,DAVENPORT AND LANSDOWN,Security,275,303,W,1529
1-Aug-20,32,22:53,Saturday,EGLINTON AND BATHURST,Mechanical,10,20,W,1555
1-Aug-20,100,00:50,Saturday,BROADVIEW STATION,Security,10,20,,8639
1-Aug-20,100,01:39,Saturday,WOODBINE STATION,Security,0,0,E,3552
1-Aug-20,600,01:59,Saturday,WESTON AND WALSH,Mechanical,10,20,E,3624
1-Aug-20,165,01:59,Saturday,WESTON AND WALSH,Mechanical,10,20,E,3624
2-Aug-20,307,02:20,Sunday,SPADINA AND FRONT,Road Blocked - NON-TTC Collision,212,242,B,8325
2-Aug-20,35,02:52,Sunday,JANE AND PATIKA,Emergency Services,15,0,N,3610
2-Aug-20,39,03:35,Sunday,FINCH AND BATHURST,Security,30,60,W,3406
2-Aug-20,300,05:23,Sunday,KENNEDY STATION,Security,0,0,E,8405
2-Aug-20,302,05:39,Sunday,BINGHAM LOOP,Emergency Services,10,20,S,3429
2-Aug-20,300,05:58,Sunday,KIPLING STATION,Operations - Operator,37,49,W,0
2-Aug-20,315,06:14,Sunday,LONG BRANCH LOOP,Operations - Operator,30,60,E,0
2-Aug-20,353,06:18,Sunday,STAINES AND QUIETBROOK,Security,69,0,S,3442
2-Aug-20,52,06:27,Sunday,PEARSON AIRPORT TERMIN,Mechanical,14,28,E,8150
2-Aug-20,76,07:26,Sunday,ROYAL YORK AND EVANS,Mechanical,12,25,S,7909
2-Aug-20,49,07:30,Sunday,BLOOR AND MARKLAND,Operations - Operator,30,60,W,0
2-Aug-20,48,07:44,Sunday,MILL ROAD LOOP,Mechanical,30,60,E,8050
2-Aug-20,16,07:49,Sunday,BIRCHMOUNT GARAGE,Vision,17,34,N,9213
2-Aug-20,12,08:00,Sunday,KENNEDY STATION,General Delay,15,30,E,3111
2-Aug-20,53,08:27,Sunday,MARKHAM AND PASSMORE,Late Leaving Garage - Mechanical,27,54,E,9079
2-Aug-20,76,08:30,Sunday,KIPLING STATION,Emergency Services,8,16,,8603
2-Aug-20,32,08:47,Sunday,EGLINTON STATION,Mechanical,10,20,W,1062
2-Aug-20,44,09:02,Sunday,KIPLING STATION,Utilized Off Route,17,34,S,7969
2-Aug-20,40,09:03,Sunday,DUNDAS WEST STATION,Mechanical,10,20,E,8097
2-Aug-20,85,09:35,Sunday,MEADOWVALE LOOP,Mechanical,8,16,E,9073
2-Aug-20,96,09:44,Sunday,CARRIER LOOP,Mechanical,20,40,E,3175
2-Aug-20,32,09:51,Sunday,PINE AND LAWERENCE,Cleaning,10,20,N,1423
2-Aug-20,161,12:11,Sunday,99A CORDELLA AVENUE,Security,0,0,E,1107
2-Aug-20,161,12:26,Sunday,CLIFF AND CORDELLA,General Delay,62,77,B,1107
2-Aug-20,999,13:09,Sunday,28 BEATY - BEATY AND K,Utilized Off Route,0,0,,1032
2-Aug-20,79,13:49,Sunday,RUNNYMEDE AND BLOOR,Diversion,121,145,B,3726
2-Aug-20,162,13:51,Sunday,DONWAY AND DON MILLS,Mechanical,0,0,W,1280
2-Aug-20,162,14:06,Sunday,DON MILLS AND THE DONW,Mechanical,0,0,S,1297
2-Aug-20,71,14:09,Sunday,RUNNYMEDE AND BLOOR,General Delay,81,96,B,0
2-Aug-20,54,15:02,Sunday,LESLIE AND OVERLAND,Operations - Operator,0,0,S,8713
2-Aug-20,106,15:20,Sunday,SHEPPARD AND KEELE,Mechanical,0,0,E,1241
2-Aug-20,36,15:34,Sunday,HUMBERLINE AND HUMBER,Collision - TTC,0,0,E,3702
2-Aug-20,45,16:18,Sunday,KIPLING AND KINGSVIEW,Emergency Services,0,0,B,0
2-Aug-20,52,17:15,Sunday,LAWRENCE AND BATHURST,Security,8,16,W,8175
2-Aug-20,11,17:40,Sunday,DAVISVILLE STATION,Mechanical,0,0,,8306
2-Aug-20,94,18:10,Sunday,WELLESLEY AND BAY,Emergency Services,0,0,E,1044
2-Aug-20,25,18:54,Sunday,DON MILLS AND YORK MIL,Mechanical,0,0,S,8738
2-Aug-20,15,19:00,Sunday,RATHBURN AND KIPLING,Security,0,0,W,8029
2-Aug-20,110,19:16,Sunday,ISLINGTON AND EVANS,Security,0,0,N,7941
2-Aug-20,22,20:42,Sunday,KINGSTON AND BROOKSIDE,Security,0,0,W,9236
2-Aug-20,52,20:47,Sunday,DIXON AND MARTIN GROVE,Road Blocked - NON-TTC Collision,0,0,W,0
2-Aug-20,94,20:57,Sunday,WELLESLEY STATION,Mechanical,12,24,,1379
2-Aug-20,35,21:40,Sunday,JANE AND CHAULKFARM,Security,0,0,S,3359
2-Aug-20,22,21:51,Sunday,COXWELL AND QUEEN,Mechanical,10,20,S,8581
2-Aug-20,97,21:55,Sunday,YONGE AND MANOR,Operations - Operator,30,60,S,8108
2-Aug-20,45,21:56,Sunday,KIPLING AND PANORAMA,Cleaning,0,0,N,8436
2-Aug-20,999,22:07,Sunday,BLOOR AND YONGE,Security,0,0,E,3401
2-Aug-20,21,23:11,Sunday,BRIMLEY AND WATERFIELD,Security,44,66,S,3446
2-Aug-20,36,23:58,Sunday,FINCH AND JANE,Security,10,19,E,3199
2-Aug-20,16,00:05,Sunday,WARDEN STATION,Security,30,60,S,3163
2-Aug-20,116,00:40,Sunday,MORNINGSIDE AND KINGST,Cleaning,10,20,N,8835
2-Aug-20,35,00:51,Sunday,JANE STATION,Emergency Services,10,20,E,3209
2-Aug-20,70,01:40,Sunday,COXWELL AND O'CONNOR,Security,0,0,N,8716
3-Aug-20,300,02:09,Monday,BROADVIEW STATION,Operations - Operator,26,45,W,8852
3-Aug-20,352,03:24,Monday,PEARSON AIRPORT - TERM,Operations - Operator,30,60,E,0
3-Aug-20,315,04:00,Monday,EVANS AND BROWNS LINE,Mechanical,30,60,E,7971
3-Aug-20,89,05:51,Monday,WESTON AND SIDNEY BELS,Operations - Operator,26,52,N,1033
3-Aug-20,108,06:45,Monday,SHEPPARD WEST STATION,Collision - TTC,10,20,N,3571
3-Aug-20,163,07:28,Monday,LAWRENCE WEST STATION,Vision,15,30,S,1201
3-Aug-20,33,07:31,Monday,ST. CLAIR WEST STATION,Mechanical,30,60,N,8138
3-Aug-20,116,08:55,Monday,KENNEDY STATION,Vision,8,16,E,8785
3-Aug-20,168,09:57,Monday,AVON LOOP,Vision,10,20,N,1054
3-Aug-20,51,10:04,Monday,EGLINTON STATION,Mechanical,25,50,S,8311
3-Aug-20,80,10:08,Monday,LAKESHORE AND PARKSIDE,General Delay,102,104,E,0
3-Aug-20,96,10:49,Monday,HUMBERLINE AND ALBION,Vision,20,40,E,3360
3-Aug-20,43,10:50,Monday,KENNEDY STATION,Investigation,8,16,,8728
3-Aug-20,36,11:56,Monday,HUMBERLINE BLVD AND HU,Security,5,10,N,3346
3-Aug-20,34,12:10,Monday,EGLINTON AND THE DON V,Cleaning,9,17,W,8698
3-Aug-20,47,12:27,Monday,LANSDOWNE AND QUEEN,Mechanical,18,36,S,1354
3-Aug-20,106,13:02,Monday,THE POND AND NELSON,Security,10,20,W,8102
3-Aug-20,100,13:06,Monday,DON MILLS AND WYNFORD,Mechanical,8,17,S,8668
3-Aug-20,41,13:20,Monday,KEELE AND EGLINTON,Mechanical,11,22,N,1410
3-Aug-20,511,13:27,Monday,KING AND WILSON PARK,Mechanical,5,10,E,1097
3-Aug-20,189,13:36,Monday,ST CLAIR AND OLD STOCK,Collision - TTC,25,50,E,8462
3-Aug-20,54,14:07,Monday,LAWRENCE AND WARDEN,Mechanical,18,35,E,8685
3-Aug-20,165,14:31,Monday,WILSON STATION,Mechanical,10,20,E,3598
3-Aug-20,86,14:55,Monday,KINGSTON AND GALLOWAY,Mechanical,8,16,E,8790
3-Aug-20,63,15:01,Monday,OAKWOOD AND ST CLAIR,General Delay,6,12,S,1211
3-Aug-20,52,15:37,Monday,LAWRENCE WEST STATION,Mechanical,7,14,,8393
3-Aug-20,96,16:02,Monday,CASRRIER LOOP,Mechanical,20,40,E,3348
3-Aug-20,102,16:07,Monday,MARKHAM AND SELECT AV,Mechanical,10,20,N,8482
3-Aug-20,97,16:57,Monday,EGLINTON STATION,Mechanical,15,30,S,1253
3-Aug-20,45,16:58,Monday,KIPLING AND BETHRIDGE,Collision - TTC,10,20,S,7969
3-Aug-20,32,16:59,Monday,PINE AND LAWRENCE,Mechanical,10,20,N,1281
3-Aug-20,63,17:01,Monday,OSSINGTON AND DEWSON,Security,7,13,N,8110
3-Aug-20,59,17:21,Monday,KEELE AND INGRAM,General Delay,228,258,B,3369
3-Aug-20,87,17:22,Monday,COSBURN AND COXWELL,Emergency Services,10,20,E,8591
3-Aug-20,32,17:29,Monday,EGLINTON STATION,Mechanical,20,40,,1265
3-Aug-20,7,17:41,Monday,BATHURST AND ANTIBES,Security,8,15,S,8146
3-Aug-20,32,17:50,Monday,EGLINTON AND ALLEN,Cleaning,20,40,W,1080
3-Aug-20,102,18:18,Monday,SELECT AND TAPSCOTT,Mechanical,10,20,E,8482
3-Aug-20,900,19:23,Monday,KIPLING STATION,Mechanical,12,24,S,8008
3-Aug-20,32,19:30,Monday,EGLINTON STATION,Mechanical,10,20,,1142
3-Aug-20,29,20:05,Monday,SPRINGHURST LOOP,Mechanical,4,8,N,1012
3-Aug-20,77,20:19,Monday,SOUTHPORT AND WINDERME,Emergency Services,15,30,S,1066
3-Aug-20,111,21:32,Monday,EAST MALL AND BLOOR,General Delay,223,243,B,0
3-Aug-20,126,21:44,Monday,ST CLAIR AND BATHURST,General Delay,19,49,N,1038
3-Aug-20,102,22:33,Monday,WARDEN STATION,Vision,50,100,N,8551
3-Aug-20,93,22:37,Monday,WOODBINE AND O'CONNOR,Security,10,20,S,8958
3-Aug-20,129,23:21,Monday,MAJOR MACKENZIE AND RI,Mechanical,45,90,S,1336
3-Aug-20,36,00:28,Monday,FINCH AND HWY 27,Collision - TTC,10,20,E,3269
3-Aug-20,116,00:55,Monday,MORNINGSIDE AND STAINE,Emergency Services,0,0,N,8699
3-Aug-20,39,01:40,Monday,NEILSON AND CROW TRAIL,Cleaning,20,40,W,9084
4-Aug-20,300,02:20,Tuesday,BLOOR AND SPADINA,Cleaning,15,30,W,3105
4-Aug-20,320,03:37,Tuesday,STEELES AND YONGE,Security,0,0,E,8692
4-Aug-20,70,05:00,Tuesday,COXWELL STATION,Operations - Operator,20,20,N,8807
4-Aug-20,111,05:25,Tuesday,EGLINTON AND MARTIN GR,Operations - Operator,20,34,N,0
4-Aug-20,123,05:41,Tuesday,KIPLING STATION,Operations - Operator,38,38,S,0
4-Aug-20,32,05:51,Tuesday,EGLINTON AND WESTON,Mechanical,7,14,E,1095
4-Aug-20,37,05:59,Tuesday,ISLINGTON AND JUTLAND,Mechanical,17,34,S,8057
4-Aug-20,111,06:11,Tuesday,THE EAST MALL AND BLOO,General Delay,122,124,B,8018
4-Aug-20,54,06:13,Tuesday,LAWRENCE AND PORT UNIO,Vision,11,22,W,8862
4-Aug-20,32,06:15,Tuesday,EGLINTON STATION,Mechanical,3,6,W,3735
4-Aug-20,25,06:40,Tuesday,PAPE STATION,Mechanical,6,12,S,8668
4-Aug-20,11,07:25,Tuesday,DAVISVILLE STATION,Mechanical,9,18,N,8186
4-Aug-20,12,07:33,Tuesday,KINGSTON AND FALLINBRO,Mechanical,10,20,E,3108
4-Aug-20,162,07:54,Tuesday,LAWRENCE AND THE DONWA,General Delay,261,291,E,8148
4-Aug-20,97,08:03,Tuesday,DAVISVILLE STATION,Operations - Operator,30,60,N,1214
4-Aug-20,72,08:40,Tuesday,PAPE STATION,Utilized Off Route,21,42,S,8409
4-Aug-20,56,08:45,Tuesday,MILLWOOD AND VILLAGE S,Mechanical,19,38,N,1334
4-Aug-20,84,08:51,Tuesday,SHEPPARD AND OAKDALE,Mechanical,18,36,E,3707
4-Aug-20,32,09:00,Tuesday,EGLINTON STATION,Investigation,10,23,,3725
4-Aug-20,109,09:07,Tuesday,RAJAH AND WASDALE,General Delay,225,240,E,0
4-Aug-20,29,09:10,Tuesday,DUFFERIN AND WILSON,Operations - Operator,30,47,,1038
4-Aug-20,34,09:12,Tuesday,EGLINTON STATION,Investigation,12,24,,8831
4-Aug-20,47,09:13,Tuesday,LANSDOWNE STATION,Operations - Operator,24,58,S,1092
