Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Feb-20,35,12:07:00 AM,Saturday,Jane Station,Mechanical,9,18,N/B,3271
1-Feb-20,54,12:08:00 AM,Saturday,Eglinton Ave East at Bayview Ave,Mechanical,20,40,W/B,8801
1-Feb-20,66,12:25:00 AM,Saturday,Prince Edward and Eldridge,Investigation,16,32,NB,8414
1-Feb-20,72,12:25:00 AM,Saturday,Lakeshore & Parliament,Diversion,100,118,W/B,8582
1-Feb-20,7,1:11:00 AM,Saturday,greenwin village and bathurst,Emergency Services,8,17,S/B,8366
1-Feb-20,300,1:38:00 AM,Saturday,Kipling Station,Utilized Off Route,9,18,W/B,8019
1-Feb-20,63,1:51:00 AM,Saturday,atlantic and king,Utilized Off Route,30,60,N/B,8209
1-Feb-20,320,2:00:00 AM,Saturday,Yonge & Queens Quay,Utilized Off Route,5,8,N,8333
1-Feb-20,320,2:31:00 AM,Saturday,Yonge and King Street,Diversion,27,31,S/B,8763
1-Feb-20,320,2:31:00 AM,Saturday,Yonge & King,Emergency Services,4,7,S/B,8763
1-Feb-20,320,2:55:00 AM,Saturday,Yonge & Queens Quay,Utilized Off Route,3,7,N/B,8209
1-Feb-20,300,3:08:00 AM,Saturday,Kennedy Station,Mechanical,17,25,W/B,8450
1-Feb-20,102,3:09:00 AM,Saturday,McCowan and Lawrence,Investigation,20,40,N/B,3146
1-Feb-20,300,3:19:00 AM,Saturday,Quebec Ave and Bloor Street,Investigation,17,34,W/B,8709
1-Feb-20,300,3:50:00 AM,Saturday,Don Valley Parkway South of Don Mills Rd,Mechanical,1,1,S/B,8082
1-Feb-20,341,4:00:00 AM,Saturday,GLEN LAKE & KEEL,Mechanical,30,60,N/B,9012
1-Feb-20,320,4:00:00 AM,Saturday,Queens Quay and Youge,Investigation,4,19,N/B,8327
1-Feb-20,320,4:00:00 AM,Saturday,Queens Quay and Younge,Utilized Off Route,4,19,N/B,8327
1-Feb-20,167,5:25:00 AM,Saturday,Birchmount Division,Late Leaving Garage - Mechanical,8,25,N/B,8510
1-Feb-20,85,5:34:00 AM,Saturday,Sheppard station,Mechanical,20,40,W/B,1303
1-Feb-20,25,6:41:00 AM,Saturday,Yorkmill and  Donmills,Mechanical,8,16,,8949
1-Feb-20,63,6:45:00 AM,Saturday,East liberty and Atlantic,Utilized Off Route,6,12,,8200
1-Feb-20,7,6:49:00 AM,Saturday,Bathurst Station,Utilized Off Route,10,20,N/B,1383
1-Feb-20,60,6:53:00 AM,Saturday,Finch stn,Mechanical,7,14,W/B,3227
1-Feb-20,985,6:55:00 AM,Saturday,Don mills station,Mechanical,14,14,W/B,9076
1-Feb-20,29,7:00:00 AM,Saturday,Princess Gates,Utilized Off Route,8,16,N/B,9056
1-Feb-20,985,7:02:00 AM,Saturday,Malvern garage,Late Leaving Garage - Mechanical,12,20,W/B,9061
1-Feb-20,925,7:21:00 AM,Saturday,Eglinton Garage,Mechanical,0,0,OB,8626
1-Feb-20,39,8:22:00 AM,Saturday,Little Rd. and Finch,Mechanical,15,30,E/B,1326
1-Feb-20,81,8:25:00 AM,Saturday,OVERLEA & THORNCLIFFE,Vision,7,14,N/B,8590
1-Feb-20,600,8:30:00 AM,Saturday,Eglinton Station,Mechanical,1,1,S/B,8168
1-Feb-20,22,9:37:00 AM,Saturday,COXWELL STATION,Utilized Off Route,9,18,S/B,8529
1-Feb-20,81,9:40:00 AM,Saturday,THORNCLIFFE & OVERLEAE,Utilized Off Route,7,14,S/B,3171
1-Feb-20,25,9:42:00 AM,Saturday,Gerrard and Coxwell,Utilized Off Route,9,18,,8777
1-Feb-20,97,9:45:00 AM,Saturday,Yonge and Avondale,Mechanical,15,30,N/B,8140
1-Feb-20,32,9:50:00 AM,Saturday,Eglinton Station,Late Leaving Garage - Mechanical,10,20,W/B,1411
1-Feb-20,7,9:57:00 AM,Saturday,Bathurst Station,Utilized Off Route,9,18,N/B,1383
1-Feb-20,100,10:00:00 AM,Saturday,BROADVIEW STSTION,Utilized Off Route,9,18,N/B,8770
1-Feb-20,35,10:04:00 AM,Saturday,Jane and Sheppard,Mechanical,10,20,S/B,3614
1-Feb-20,600,10:06:00 AM,Saturday,Finch station,Mechanical,1,1,W/B,9083
1-Feb-20,29,10:09:00 AM,Saturday,Princess Gates,Utilized Off Route,6,11,N/B,9032
1-Feb-20,168,10:10:00 AM,Saturday,Avon loop,Mechanical,10,20,S/B,1107
1-Feb-20,47,10:12:00 AM,Saturday,Queen and Lansdowne,Utilized Off Route,18,36,S/B,1073
1-Feb-20,7,10:46:00 AM,Saturday,Bathurst and Lawrence,Mechanical,9,18,N/B,8194
1-Feb-20,52,11:10:00 AM,Saturday,Lawerence West Station,Mechanical,20,40,E/B,8388
1-Feb-20,63,11:12:00 AM,Saturday,King and Ossington,Utilized Off Route,5,10,,8105
1-Feb-20,54,11:15:00 AM,Saturday,Eglinton Station,Late Leaving Garage - Mechanical,19,38,W/B,8861
1-Feb-20,60,11:24:00 AM,Saturday,Steeles / Weston,Mechanical,9,18,E/B,3182
1-Feb-20,41,11:32:00 AM,Saturday,Keele Station,Mechanical,10,20,N/B,1097
1-Feb-20,7,11:38:00 AM,Saturday,Bathurst Station,Mechanical,9,18,N/B,8129
1-Feb-20,41,11:49:00 AM,Saturday,Eglinton and Keele,Mechanical,10,20,N/B,1097
1-Feb-20,29,11:51:00 AM,Saturday,Wilson Station,Investigation,3,6,S/B,9036
1-Feb-20,22,11:53:00 AM,Saturday,Kingston Rd/Waverly,Investigation,9,18,W/B,8493
1-Feb-20,111,11:55:00 AM,Saturday,Queensway Garage,Late Leaving Garage - Mechanical,10,20,W/B,8024
1-Feb-20,89,12:00:00 PM,Saturday,Keele Station to Albion and Weston,General Delay,20,30,B/W,
1-Feb-20,34,12:00:00 PM,Saturday,Entire route,General Delay,10,40,B/W,
1-Feb-20,85,12:00:00 PM,Saturday,Don Mill station,Mechanical,5,10,E/B,1291
1-Feb-20,89,12:02:00 PM,Saturday,"On Weston, at Coulter",Diversion,93,103,B/W,
1-Feb-20,7,12:17:00 PM,Saturday,Steeles and Bathurst,Mechanical,8,15,S/B,8374
1-Feb-20,59,12:20:00 PM,Saturday,Weston and St. Phillips,Diversion,100,130,B/W,
1-Feb-20,41,12:22:00 PM,Saturday,Pioneer Vilage Station,Mechanical,9,18,S/B,1603
1-Feb-20,34,12:25:00 PM,Saturday,Grenoble and Span bridge,Late Leaving Garage - Vision,13,31,W/B,8640
1-Feb-20,60,12:31:00 PM,Saturday,Finch station,Late Leaving Garage - Mechanical,9,18,W/B,3265
1-Feb-20,90,12:31:00 PM,Saturday,Vaughn and Oakwood,Investigation,8,16,N/B,1317
