Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
5-Jul-20,34,1:21:00 AM,Sunday,Eglinton station,Mechanical,11,22,E/B,8736
5-Jul-20,900,1:35:00 AM,Sunday,Kipling Station,Mechanical,10,20,N/B,8009
5-Jul-20,320,2:15:00 AM,Sunday,Steeles loop at Yonge,Utilized Off Route,4,7,S/B,9025
5-Jul-20,320,2:28:00 AM,Sunday,Yonge & Queens Quay,Utilized Off Route,3,7,N/B,1262
5-Jul-20,300,2:40:00 AM,Sunday,Kennedy station,Vision,30,60,W/B,8459
5-Jul-20,320,3:18:00 AM,Sunday,Steeles loop,Vision,8,23,S/B,1262
5-Jul-20,123,6:04:00 AM,Sunday,Longbranch loop,Late Leaving Garage - Mechanical,10,20,N/B,7920
5-Jul-20,320,6:16:00 AM,Sunday,steeles   Loop,Late Leaving Garage - Operator,10,20,,1212
5-Jul-20,168,7:00:00 AM,Sunday,OLD WESTON AND ST CLAIR,Investigation,20,40,N/B,3729
5-Jul-20,100,7:28:00 AM,Sunday,Don mills  and Windfrod,Late Leaving Garage - Mechanical,10,20,,8821
5-Jul-20,44,7:35:00 AM,Sunday,CSSL,Late Leaving Garage - Mechanical,17,,N/B,7913
5-Jul-20,110,7:45:00 AM,Sunday,Longbranch,Late Leaving Garage - Vision,20,40,N/B,8416
5-Jul-20,52,7:54:00 AM,Sunday,Lawrence and Unsworth,Mechanical,20,40,W/B,8178
5-Jul-20,110,8:12:00 AM,Sunday,Islington Station,Mechanical,12,24,N/B,8431
5-Jul-20,89,9:16:00 AM,Sunday,Albion/Westen Rd.,Mechanical,10,20,N/B,1031
5-Jul-20,46,9:44:00 AM,Sunday,Kipling stn,Mechanical,16,32,N/B,3205
5-Jul-20,54,9:46:00 AM,Sunday,Pharmacy and Lawrence,Investigation,22,36,E/B,8874
5-Jul-20,134,9:46:00 AM,Sunday,Finchdeen Square/Finch,Mechanical,22,44,S/B,9005
5-Jul-20,25,10:33:00 AM,Sunday,Don Mills and Van Horne,Investigation,10,20,N/B,8674
5-Jul-20,25,10:55:00 AM,Sunday,Pape Station,Mechanical,10,20,N/B,8851
5-Jul-20,84,11:07:00 AM,Sunday,Weston Road and Bradstock,Mechanical,10,19,E/B,3301
5-Jul-20,29,11:07:00 AM,Sunday,Springhurst Loop,Mechanical,9,17,N/B,9017
5-Jul-20,36,11:50:00 AM,Sunday,Finch / Weston,Investigation,5,11,W/B,3245
5-Jul-20,52,12:21:00 PM,Sunday,Martin Grove and Dixon,Mechanical,20,37,E/B,8158
5-Jul-20,39,12:24:00 PM,Sunday,Baldoon,Mechanical,8,16,W/B,9091
5-Jul-20,95,12:32:00 PM,Sunday,Ellesmere and Kennedy,Mechanical,11,21,E/B,1654
5-Jul-20,34,12:45:00 PM,Sunday,eglinton station,Utilized Off Route,9,18,W/B,8709
5-Jul-20,51,1:00:00 PM,Sunday,eglinton station,Utilized Off Route,24,48,W/B,8335
5-Jul-20,52,1:09:00 PM,Sunday,Lawrence Station,Mechanical,14,28,W/B,8171
5-Jul-20,24,1:50:00 PM,Sunday,Victoria Park Station,Mechanical,7,14,N/B,8405
5-Jul-20,81,2:20:00 PM,Sunday,THORNCLIFFE PARK - Pape Station,Mechanical,10,20,N/B,3129
5-Jul-20,63,2:30:00 PM,Sunday,oakwood loop,Mechanical,7,14,S/B,8357
5-Jul-20,35,2:36:00 PM,Sunday,Jane / Lawrence,Investigation,10,20,S/B,3618
5-Jul-20,7,3:14:00 PM,Sunday,Greenwin & Bathurst,Mechanical,7,15,S/B,8337
5-Jul-20,7,3:17:00 PM,Sunday,Greenwin & Bathurst,Investigation,8,15,S/B,8145
5-Jul-20,75,3:43:00 PM,Sunday,SHERBOURNE and Lake Shore,Diversion,1,1,S/B,1212
5-Jul-20,7,4:10:00 PM,Sunday,Bathurst & Finch,Mechanical,7,15,N/B,1384
