Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Mar-20,85,12:25:00 AM,Sunday,Brimley and Sheppard,Diversion,80,100,E/B,1652
1-Mar-20,32,12:44:00 AM,Sunday,Eglinton & Gabian Way,Emergency Services,10,20,W/B,1092
1-Mar-20,116,1:57:00 AM,Sunday,Kennedy Station,Utilized Off Route,9,18,E/B,8750
1-Mar-20,396,2:35:00 AM,Sunday,York Mills Station,Mechanical,30,60,W/B,3275
1-Mar-20,320,2:58:00 AM,Sunday,Yonge Street and Wilson Ave,Emergency Services,3,7,W/B,8116
1-Mar-20,320,5:00:00 AM,Sunday,Queens Quay,Investigation,15,26,N/B,8340
1-Mar-20,96,5:05:00 AM,Sunday,Yorkmills Station,Late Leaving Garage - Mechanical,30,60,W/B,3186
1-Mar-20,384,5:16:00 AM,Sunday,Welbeck/ Sheppard,Mechanical,30,30,N/B,3348
1-Mar-20,395,5:39:00 AM,Sunday,Ellesmere and Markham,Investigation,30,60,W/B,3413
1-Mar-20,105,5:49:00 AM,Sunday,Steeles and Yonge,Mechanical,4,8,S/B,8326
1-Mar-20,34,6:03:00 AM,Sunday,Grenoble and Spanbridge,Late Leaving Garage - Mechanical,17,34,N/B,8886
1-Mar-20,600,7:00:00 AM,Sunday,Arrow Road Division,Late Leaving Garage - Operator,1,1,W/B,3364
1-Mar-20,56,7:00:00 AM,Sunday,Eglinton station,Mechanical,22,45,N/B,8160
1-Mar-20,39,7:11:00 AM,Sunday,Sewells and Littles,Mechanical,17,34,W/B,3474
1-Mar-20,51,7:16:00 AM,Sunday,Frshmeadows and Don Mills,Late Leaving Garage - Mechanical,30,30,N/B,8212
1-Mar-20,95,7:20:00 AM,Sunday,Markham and Ellesmere,Mechanical,23,23,W/B,1386
1-Mar-20,116,7:25:00 AM,Sunday,EglintonYard,Late Leaving Garage - Mechanical,6,0,E/B,8792
1-Mar-20,57,7:28:00 AM,Sunday,Midland and Steeles,Late Leaving Garage - Operator,10,0,S/B,8729
1-Mar-20,125,7:29:00 AM,Sunday,Bathurst and Antibes,Late Leaving Garage - Operator,30,30,W/B,1399
1-Mar-20,1,7:30:00 AM,Sunday,Finch station,Utilized Off Route,1,1,W/B,1285
1-Mar-20,41,7:38:00 AM,Sunday,Pioneer Village,Late Leaving Garage - Operator,13,30,S/B,1549
1-Mar-20,79,7:38:00 AM,Sunday,Pine St and Lawrene,Late Leaving Garage - Mechanical,1,18,S/B,1421
1-Mar-20,17,7:48:00 AM,Sunday,Warden Station,Mechanical,19,1,N/B,3159
1-Mar-20,162,7:55:00 AM,Sunday,Donway and Lawrence,Late Leaving Garage - Mechanical,30,60,N/B,1382
1-Mar-20,161,7:58:00 AM,Sunday,Jane and Alliance,Mechanical,20,40,E/B,1008
1-Mar-20,57,7:59:00 AM,Sunday,Midland and Steeles,Late Leaving Garage - Management,10,28,S/B,8749
1-Mar-20,47,8:35:00 AM,Sunday,Yorkdale Station,Mechanical,20,40,S/B,1124
1-Mar-20,112,8:47:00 AM,Sunday,Highway 27 & Dixon,Mechanical,20,40,N/B,8435
1-Mar-20,6,8:50:00 AM,Sunday,Davenport/DuPont,Late Leaving Garage - Mechanical,18,36,S/B,3729
1-Mar-20,35,8:50:00 AM,Sunday,Jane Station,Late Leaving Garage - Mechanical,10,20,N/B,3571
1-Mar-20,86,8:51:00 AM,Sunday,Kennedy Station,General Delay,9,16,E/B,8660
1-Mar-20,505,8:53:00 AM,Sunday,Dundas west station,Late Leaving Garage - Operator,6,12,E/B,3731
1-Mar-20,116,9:00:00 AM,Sunday,Kennedy Station,General Delay,8,16,E/B,8643
1-Mar-20,35,9:10:00 AM,Sunday,Pioneer Village Station,Mechanical,1,1,N/B,3221
1-Mar-20,100,9:20:00 AM,Sunday,Overlea and Thorncliffe,Mechanical,10,20,W/B,8709
1-Mar-20,45,9:43:00 AM,Sunday,Kipling & Steels Loop,Mechanical,10,20,N/B,8413
1-Mar-20,29,9:44:00 AM,Sunday,wilson station,Late Leaving Garage - Mechanical,6,13,S/B,9025
1-Mar-20,65,10:00:00 AM,Sunday,Entire route,General Delay,10,25,N/B,
1-Mar-20,60,10:00:00 AM,Sunday,Steeles West Route,General Delay,10,25,BW,0
1-Mar-20,23,10:00:00 AM,Sunday,Entire route,General Delay,10,20,N/B,8958
1-Mar-20,939,10:06:00 AM,Sunday,Scarborough town centre,Mechanical,8,16,W/B,3524
1-Mar-20,5,10:17:00 AM,Sunday,Museum station,Mechanical,20,40,N/B,1282
1-Mar-20,23,10:26:00 AM,Sunday,Dawes Road and Gower St,Diversion,94,106,N/B,8568
1-Mar-20,89,10:41:00 AM,Sunday,Weston Road & King St.,Mechanical,10,20,S/B,1011
1-Mar-20,24,11:30:00 AM,Sunday,Parma Court,Diversion,53,62,N/B,8409
1-Mar-20,29,11:39:00 AM,Sunday,dufferin and bloor,Investigation,5,9,nb,9053
1-Mar-20,89,12:00:00 PM,Sunday,Entire Route - Keele to Albion,General Delay,30,40,BW,
1-Mar-20,939,12:00:00 PM,Sunday,route 939,General Delay,13,29,B/W,
1-Mar-20,52,12:12:00 PM,Sunday,Lawrence West Station,Mechanical,10,20,E/B,8175
1-Mar-20,63,12:28:00 PM,Sunday,King and Atlantic,Mechanical,7,14,N/B,1280
1-Mar-20,121,12:31:00 PM,Sunday,Front and Simcoe,Diversion,215,230,B/W,
1-Mar-20,15,12:50:00 PM,Sunday,Evans and Horner,Diversion,30,60,W/B,7937
1-Mar-20,113,12:50:00 PM,Sunday,Kennedy Rd and Daforth Road,Mechanical,20,40,N/B,8527
1-Mar-20,17,1:00:00 PM,Sunday,Birchmount route,General Delay,15,1,B/W,
1-Mar-20,68,1:00:00 PM,Sunday,Warden route,General Delay,15,1,B/W,
1-Mar-20,9,1:00:00 PM,Sunday,Bellamy route,General Delay,10,1,B/W,
1-Mar-20,25,1:00:00 PM,Sunday,Overlea Blvd & Eglinton Ave,General Delay,15,25,N/B,
1-Mar-20,63,1:08:00 PM,Sunday,King and Atlantic,Utilized Off Route,6,12,N/B,1364
1-Mar-20,7,1:10:00 PM,Sunday,Bathurst Station,Utilized Off Route,7,14,N/B,8183
1-Mar-20,7,1:20:00 PM,Sunday,Bathurst Station,Utilized Off Route,7,14,N/B,8139
1-Mar-20,85,1:25:00 PM,Sunday,DonMills Station,Mechanical,20,40,W/B,1335
1-Mar-20,63,1:27:00 PM,Sunday,King and Atlantic,Utilized Off Route,7,14,N/B,1237
1-Mar-20,41,1:30:00 PM,Sunday,Keele Station,Utilized Off Route,11,22,N/B,1258
1-Mar-20,935,1:30:00 PM,Sunday,Pioneer Village Station,Mechanical,10,20,S/B,3338
1-Mar-20,86,1:31:00 PM,Sunday,Kennedy Station,Utilized Off Route,8,16,E/B,8755
1-Mar-20,63,1:40:00 PM,Sunday,King and Atlantic,Utilized Off Route,7,14,N/B,8332
1-Mar-20,81,1:44:00 PM,Sunday,pape station,Mechanical,10,20,B/W,9223
1-Mar-20,35,2:30:00 PM,Sunday,Pioneer Village Station- Jane Station,General Delay,7,14,B/W,3253
1-Mar-20,7,2:32:00 PM,Sunday,Bathurst and Alcina,Investigation,7,14,S/B,8390
1-Mar-20,106,2:33:00 PM,Sunday,Sheppard and Sentinel,Investigation,10,20,S/B,8380
1-Mar-20,47,2:46:00 PM,Sunday,Lansdowne and Eglinton,Investigation,9,18,S/B,1030
1-Mar-20,41,3:10:00 PM,Sunday,Pioneer Village Station,Emergency Services,11,22,S/B,1016
1-Mar-20,6,3:15:00 PM,Sunday,Dockside and Queens Quay,Mechanical,14,28,B/W,1614
1-Mar-20,34,3:45:00 PM,Sunday,Windford and Garamond,Mechanical,18,36,E/B,8886
1-Mar-20,939,3:46:00 PM,Sunday,Finch & Brimley,Mechanical,16,32,E/B,3553
1-Mar-20,925,4:00:00 PM,Sunday,925 Don Mills Route from Pape Station to Freshmeadow/Don Mills Rd,General Delay,15,25,B/W,
