Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-May-20,329,1:31:00 AM,Friday,STEELES AND DUFFERIN,Mechanical,30,60,S/B,1354
1-May-20,300,3:20:00 AM,Friday,The West Mall and Bloor Street,Emergency Services,3,6,N/B,82
1-May-20,35,4:04:00 AM,Friday,PVST,Late Leaving Garage - Operator,1,16,S/B,3363
1-May-20,600,5:00:00 AM,Friday,Eglinton Yard,Utilized Off Route,1,1,,8793
1-May-20,600,5:00:00 AM,Friday,Eglinton Yard,Utilized Off Route,1,1,,8927
1-May-20,63,5:31:00 AM,Friday,King/Atlantic,Utilized Off Route,13,26,N/B,8392
1-May-20,50,5:46:00 AM,Friday,Mill loop,Late Leaving Garage - Mechanical,1,18,S/B,7967
1-May-20,129,6:00:00 AM,Friday,STC,Late Leaving Garage - Mechanical,6,12,E/B,3589
1-May-20,116,6:05:00 AM,Friday,Kennedy,Late Leaving Garage - Management,17,34,E/B,8758
1-May-20,12,6:09:00 AM,Friday,Brimley/ St Clair,Investigation,13,13,S/B,8580
1-May-20,939,6:21:00 AM,Friday,Finch and V.P,Investigation,5,10,W/B,9096
1-May-20,939,6:21:00 AM,Friday,Finch and V.P,Investigation,2,7,W/B,9071
1-May-20,7,6:24:00 AM,Friday,Greenwin Village and Steeles,Mechanical,7,14,S/B,1214
1-May-20,73,6:50:00 AM,Friday,eglington,Mechanical,5,10,N/B,7930
1-May-20,24,6:50:00 AM,Friday,Finch/ victoria park,Investigation,9,19,S/B,3152
1-May-20,165,7:05:00 AM,Friday,York Mills Stn,Mechanical,10,20,W/B,3292
1-May-20,168,7:14:00 AM,Friday,Dundas west station,Investigation,5,10,N/B,1025
1-May-20,29,7:25:00 AM,Friday,Dufferin Gate Bridge,Diversion,21,29,S/B,
1-May-20,36,7:30:00 AM,Friday,Finch west stn,Mechanical,4,9,W/B,9118
1-May-20,115,8:36:00 AM,Friday,York Mills Station,Mechanical,24,48,E/B,8206
1-May-20,75,8:40:00 AM,Friday,SHERBOURNE - Elm and South Drive,Diversion,56,62,N/B,
1-May-20,82,8:40:00 AM,Friday,ROSEDALE - South Drive and Elm,Diversion,967,987,B/W,1277
1-May-20,122,8:55:00 AM,Friday,York Mills Stn,Utilized Off Route,10,20,E/B,1228
1-May-20,985,9:09:00 AM,Friday,Lamont and Sheppard,Mechanical,1,1,E/B,3482
1-May-20,902,9:16:00 AM,Friday,Markham Rd/Cougar Crt,Investigation,15,30,N/B,8477
1-May-20,41,9:16:00 AM,Friday,Keele Stn,Utilized Off Route,1,1,N/B,9055
1-May-20,16,9:31:00 AM,Friday,Warden STN,Utilized Off Route,1,1,N/B,9238
1-May-20,133,9:37:00 AM,Friday,Morningside and finch,Utilized Off Route,11,22,E/B,3438
1-May-20,111,9:39:00 AM,Friday,Kipling station,Mechanical,16,32,N/B,8094
1-May-20,16,9:44:00 AM,Friday,Warden STN,Utilized Off Route,1,1,N/B,8468
1-May-20,41,9:48:00 AM,Friday,Keele/Eglinton,Mechanical,12,24,N/B,9048
1-May-20,133,9:59:00 AM,Friday,Morningside and finch,Utilized Off Route,11,22,E/B,3558
1-May-20,75,10:00:00 AM,Friday,SHERBOURNE,Utilized Off Route,5,10,S/B,1277
1-May-20,47,10:01:00 AM,Friday,Jane at Foxwell,Mechanical,1,1,N/B,1135
1-May-20,102,10:05:00 AM,Friday,Warden STN,Utilized Off Route,1,1,N/B,9207
1-May-20,17,10:13:00 AM,Friday,Warden STN,Utilized Off Route,1,1,N/B,9222
1-May-20,95,10:14:00 AM,Friday,York Mills Stn,Utilized Off Route,10,20,E/B,3424
