Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Sep-20,26,02:00,Tuesday,ST GEORGE STATION,General Delay,20,20,,1471
1-Sep-20,600,02:27,Tuesday,FINCH AND YONGE,Emergency Services,0,0,W,3230
1-Sep-20,385,02:32,Tuesday,SHEPPARD AND MORNINGSI,Road Blocked - NON-TTC Collision,11,41,W,0
1-Sep-20,32,04:16,Tuesday,EGLINTON STATION,Operations - Operator,30,30,,0
1-Sep-20,95,04:30,Tuesday,MEADOWVALE LOOP,Mechanical,30,60,W,3477
1-Sep-20,85,04:32,Tuesday,MEADOWVALE LOOP,Operations - Operator,29,45,W,0
1-Sep-20,133,05:04,Tuesday,MORNINGSIDE AND FINCH,Operations - Operator,20,31,S,0
1-Sep-20,102,05:22,Tuesday,WARDEN STATION,Mechanical,23,46,,8958
1-Sep-20,35,05:30,Tuesday,JANE STATION,Operations - Operator,28,28,N,3598
1-Sep-20,85,05:56,Tuesday,MALVERN DIVISION,Operations - Operator,15,30,,9004
1-Sep-20,40,06:50,Tuesday,DUNDAS WEST STATION,Mechanical,11,22,,7921
1-Sep-20,32,07:33,Tuesday,EGLINTON AND BICKNELL,Collision - TTC,11,22,E,1603
1-Sep-20,110,08:00,Tuesday,ISLINGTON STATION,Cleaning,24,48,N,8450
1-Sep-20,,08:08,Tuesday,DAVISVILLE GATEHOUSE,General Delay,0,0,,0
1-Sep-20,17,08:20,Tuesday,BIRCHMOUNT AND MCNICOL,Emergency Services,10,20,N,3115
1-Sep-20,108,08:35,Tuesday,STONG AND DRIFTWOOD,Operations - Operator,20,20,N,3363
1-Sep-20,102,08:57,Tuesday,KINGSTON AND BELLAMY,Security,0,0,,9223
1-Sep-20,97,08:59,Tuesday,YONGE AND GLENFOREST,Security,30,60,N,8111
1-Sep-20,89,09:12,Tuesday,WESTON AND OAK,Security,11,22,S,9142
1-Sep-20,163,10:02,Tuesday,OSSINGTON STATION,Emergency Services,12,24,,8354
1-Sep-20,999,10:27,Tuesday,MORNINGSIDE AND FINCH,Mechanical,0,0,W,1200
1-Sep-20,506,11:47,Tuesday,BROADVIEW AND GERRARD,Collision - TTC,5,10,W,8466
1-Sep-20,24,12:27,Tuesday,VICTORIA PARK AND LAWR,Security,10,20,S,8479
1-Sep-20,24,12:28,Tuesday,VICTORIA PARK AND LAWR,Collision - TTC,10,20,S,8528
1-Sep-20,34,12:35,Tuesday,EGLINTON AND KENNEDY,Security,0,0,E,8664
1-Sep-20,7,12:58,Tuesday,BATHURST AND INVERMAY,Collision - TTC,8,16,S,8333
1-Sep-20,87,13:08,Tuesday,WESTLAKE AND WALLINGTO,Mechanical,11,22,N,8559
1-Sep-20,100,13:27,Tuesday,OVERLEA AND THORNCLIFF,Investigation,9,18,W,8916
1-Sep-20,927,14:01,Tuesday,MARTIN GROVE AND ALBIO,Emergency Services,7,14,N,3335
1-Sep-20,133,14:08,Tuesday,SCARBOROUGH CENTRE STA,Cleaning,11,22,S,3484
1-Sep-20,94,14:32,Tuesday,OSSINGTON STATION,Operations - Operator,15,30,W,3732
1-Sep-20,102,14:42,Tuesday,MARKHAM AND FINCH,Mechanical,20,40,N,8544
