Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021/08/01,510,02:22,Sunday,ADELAIDE AND CHARLOTTE,Emergency Services,0,0,E,8921
2021/08/01,312,04:01,Sunday,ST CLAIR AND LANSDOWNE,Security,77,107,E,8154
2021/08/01,501,05:45,Sunday,QUEEN AND VICTORIA,Emergency Services,0,0,W,3466
2021/08/01,506,06:58,Sunday,GERRARD AND WOODBINE,General Delay,12,22,W,4495
2021/08/01,506,07:33,Sunday,COLLEGE AND SPADINA,General Delay,10,20,W,4560
2021/08/01,510,08:36,Sunday,SPADINA STATION,Operations,3,9,W,0
2021/08/01,511,09:20,Sunday,BATHURST STATION,Operations,9,18,S,4561
2021/08/01,509,09:23,Sunday,LESLIE BARNS,Mechanical,7,13,W,4601
2021/08/01,510,09:57,Sunday,SPADINA STATION,Operations,3,9,W,0
2021/08/01,504,11:22,Sunday,DUNDAS WEST STATION,Operations,5,10,E,0
2021/08/01,501,11:23,Sunday,QUEEN AND JONES AVE,Security,7,14,W,8942
2021/08/01,509,11:28,Sunday,FLEET LOOP,Operations,9,18,W,4588
2021/08/01,504,11:30,Sunday,BROADVIEW STATION,Operations,5,10,W,0
2021/08/01,506,12:42,Sunday,COLLEGE AND SPADINA,Operations,8,16,W,4587
2021/08/01,510,13:17,Sunday,SPADINA AND KING,Operations,7,14,E,4548
2021/08/01,506,14:54,Sunday,COLLEGE AND LANSDOWNE,Operations,8,16,W,4465
2021/08/01,504,14:58,Sunday,DUNDAS WEST STATION,Operations,4,8,E,8107
2021/08/01,512,15:01,Sunday,ST CLAIR AND BATHURST,Operations,8,16,S,4490
2021/08/01,501,15:01,Sunday,QUEENSWAY AND COLBORNE,Emergency Services,4,9,E,8696
2021/08/01,501,16:17,Sunday,QUEEN AND SIMCOE,Emergency Services,5,10,E,8545
2021/08/01,510,17:44,Sunday,SPADINA AND KING,Operations,4,8,W,4548
2021/08/01,505,17:50,Sunday,DUNDAS AND BROADVIEW,Cleaning - Unsanitary,10,24,W,4564
2021/08/01,511,18:02,Sunday,KING AND BATHURST,Operations,8,16,W,4513
2021/08/01,506,18:53,Sunday,COLLEGE AND MCCAUL,Emergency Services,18,26,E,4507
2021/08/01,509,19:24,Sunday,SPADINA AND QUEEN'S QU,Operations,9,19,W,4600
2021/08/01,505,19:55,Sunday,DUNDAS AND BROADVIEW,Operations,9,19,W,4530
2021/08/01,501,20:16,Sunday,LONGBRANCH LOOP,Operations,10,20,,8666
2021/08/01,511,20:37,Sunday,BATHURST AND BRUYERES,Security,6,12,S,4483
2021/08/01,511,21:42,Sunday,BATHURST AND KING,Operations,14,42,E,4560
2021/08/01,509,23:24,Sunday,QUEENS QUAY AND HARBOU,General Delay,10,20,E,4540
2021/08/01,505,00:37,Sunday,DUNDAS WEST STATION,Cleaning - Unsanitary,8,16,E,4595
2021/08/01,504,00:55,Sunday,KING AND CHARLOTTE,Collision - TTC Involved,10,20,E,3331
2021/08/02,506,04:23,Monday,DUNDAS WEST STATION,Emergency Services,0,0,,4415
2021/08/02,505,04:53,Monday,25 MARTIN GOODMAN TRAI,Mechanical,0,9,W,4412
2021/08/02,505,06:22,Monday,RONCY YARD,Operations,12,14,,4498
2021/08/02,501,06:29,Monday,QUEEN AND AUGUSTA,Emergency Services,10,20,W,7979
2021/08/02,505,06:46,Monday,DUNDAS AND LANSDOWNE,Security,10,20,,4467
2021/08/02,512,07:26,Monday,KEELE AND ST CLAIR,Held By,27,38,W,4413
2021/08/02,506,07:55,Monday,GERRARD AND LOGAN,General Delay,8,18,E,4590
2021/08/02,505,12:23,Monday,DUNDAS AND SHERBOURNE,General Delay,92,99,W,4550
2021/08/02,504,12:43,Monday,KING AND RIVER,Utilized Off Route,5,10,W,1089
2021/08/02,501,13:17,Monday,RONCESVALLES AND QUEEN,Security,9,18,E,8730
2021/08/02,510,14:57,Monday,QUEEN'S QUAY AND DUNDA,Operations,8,15,E,4554
2021/08/02,501,15:00,Monday,QUEEN AND SACKVILLE,Mechanical,9,18,E,8096
2021/08/02,512,18:17,Monday,ST CLAIR AND ROBINA,Mechanical,9,18,E,4593
2021/08/02,505,18:23,Monday,DUNDAS AND LANSDOWNE,Cleaning - Unsanitary,7,14,E,4425
2021/08/02,509,18:40,Monday,QUEEN'S QUAY AND SPADI,Operations,7,14,W,4468
2021/08/02,509,19:00,Monday,CNE LOOP,Operations,7,14,W,4552
2021/08/02,509,19:33,Monday,SPADINA AND QUEEN'S QU,General Delay,10,19,E,4453
2021/08/02,505,20:16,Monday,DUNDAS AND SPADINA,General Delay,9,19,W,4467
2021/08/02,509,22:04,Monday,QUEEN'S QUAY AND SPADI,Security,10,20,E,4468
2021/08/02,501,22:22,Monday,QUEENSWAY AND HUMBER,Operations,11,22,E,8429
2021/08/02,504,22:47,Monday,KING AND PORTLAND,Security,14,21,W,4589
2021/08/02,505,23:03,Monday,DUNDAS AND LANSDOWNE,General Delay,17,26,W,4425
2021/08/02,504,23:04,Monday,KING AND PETER,Held By,51,58,W,4521
2021/08/02,504,23:39,Monday,KING AND PARLIAMENT,Mechanical,8,16,W,1054
2021/08/02,505,00:02,Monday,DUNDAS AND OSSINGTON,Cleaning - Unsanitary,10,19,E,4523
2021/08/02,506,00:15,Monday,MAIN STREET STATION,Cleaning - Unsanitary,15,22,W,4404
2021/08/03,501,03:05,Tuesday,QUEEN AND SPADINA,Collision - TTC Involved,30,60,E,8707
2021/08/03,501,03:28,Tuesday,LAKESHORE AND LOUISA,Mechanical,30,60,E,8429
2021/08/03,504,05:36,Tuesday,WILSON GARAGE,Operations,10,20,,8213
2021/08/03,504,06:12,Tuesday,WILSON GARAGE,Operations,10,20,,0
2021/08/03,RAD,06:13,Tuesday,RONCESVALES AND HOWARD,Operations,0,0,N,4487
