Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021/07/01,510,02:30,Thursday,SPADINA AND QUEENS QUA,Operations,9,18,N,4432
2021/07/01,310,03:15,Thursday,UNION STATION,Utilized Off Route,15,30,N,4412
2021/07/01,504,05:04,Thursday,BROADVIEW AND GERRARD,Emergency Services,30,60,N,1264
2021/07/01,506,06:37,Thursday,GERRARD AND COXWELL,Operations,10,20,W,4537
2021/07/01,504,06:58,Thursday,KING AND PARLIAMENT,Cleaning - Unsanitary,8,16,N,1287
2021/07/01,506,08:03,Thursday,CARLTON AND ONTARIO,General Delay,10,18,E,4573
2021/07/01,505,09:42,Thursday,DUNDAS AND PARLIAMENT,Held By,15,23,,0
2021/07/01,506,12:31,Thursday,COLLEGE AND LANSDOWNE,Cleaning - Disinfection,9,17,E,4573
2021/07/01,505,13:02,Thursday,BROADVIEW AND DUNDAS,Operations,7,14,N,4432
2021/07/01,506,13:18,Thursday,COLLEGE AND CRAWFORD,Security,10,18,E,4507
2021/07/01,509,13:52,Thursday,QUEENS QUAY AND REES,Operations,7,14,W,4476
2021/07/01,506,14:18,Thursday,COLLEGE AND BATHURST,Held By,6,14,E,4587
2021/07/01,505,14:39,Thursday,DUNDAS WEST STATION,Operations,7,14,,4585
2021/07/01,505,16:02,Thursday,DUNDAS WEST STATION,Security,7,14,E,4576
2021/07/01,510,16:43,Thursday,FLEET LOOP,Security,4,7,,4454
2021/07/01,506,17:17,Thursday,COLLEGE AND BAY,Held By,28,36,E,4600
2021/07/01,501,17:23,Thursday,QUEEN AND YONGE,Collision - TTC Involved,7,14,W,9207
2021/07/01,505,17:59,Thursday,YONGE AND DUNDAS,Held By,9,16,,4408
2021/07/01,509,18:40,Thursday,CNE LOOP,Operations,10,20,E,4493
2021/07/01,506,20:39,Thursday,GERRARD AND WOODFIELD,Operations,10,20,E,4527
2021/07/01,504,20:47,Thursday,KING AND YONGE,General Delay,0,0,,0
2021/07/01,501,22:16,Thursday,QUEEN AND VICTORIA,Security,10,19,W,1417
2021/07/01,501,22:25,Thursday,QUEEN AND KINGSTON ROA,Held By,7,14,,0
2021/07/01,505,22:31,Thursday,DUNDAS AND PARLIAMENT,General Delay,0,0,,0
2021/07/01,506,22:56,Thursday,GERRARD AND MARJORY,Emergency Services,10,20,E,4537
2021/07/01,512,23:40,Thursday,ST CLAIR AND OAKWOOD,Operations,8,16,W,4405
2021/07/01,501,00:37,Thursday,QUEEN AND YONGE,Investigation,58,67,,8808
2021/07/02,301,02:00,Friday,QUEEN AND YONGE,Investigation,239,263,,0
2021/07/02,506,04:28,Friday,RONCESVALLES YARD,Operations,8,16,E,4413
2021/07/02,506,04:44,Friday,LESLIE BARNS,Operations,8,16,E,4489
2021/07/02,505,05:27,Friday,DUNDAS ROUTE,Management,10,18,,4513
2021/07/02,501,05:34,Friday,GERRARD AND MUNROE,Operations,10,20,W,8928
2021/07/02,504,05:50,Friday,BROADVIEW STATION,Security,6,12,,1099
2021/07/02,501,06:05,Friday,QUEEN ROUTE,Management,8,16,,0
2021/07/02,501,06:13,Friday,RONCESVALLES YARD,Operations,8,16,E,0
2021/07/02,510,06:15,Friday,SPADINA AND DUNDAS,Security,8,16,N,4542
2021/07/02,506,06:18,Friday,CARLTON ROUTE,Operations,4,8,,4470
2021/07/02,501,06:21,Friday,QUEEN ROUTE,Management,8,16,,0
2021/07/02,504,06:28,Friday,DUNDAS WEST STATION,Operations,6,12,W,8108
2021/07/02,501,06:50,Friday,QUEEN AND KINGSTON,Operations,7,15,W,8510
2021/07/02,501,07:06,Friday,GERRARD AND MATHEWS,Operations,8,15,E,8547
2021/07/02,504,09:03,Friday,KING AND DUFFERIN,Operations,6,12,E,8327
2021/07/02,501,09:14,Friday,QUEEN AND OSSINGTON,Operations,8,15,W,1097
2021/07/02,501,09:32,Friday,QUEEN AND RONCESVALLES,Operations,8,15,E,1112
2021/07/02,501,11:08,Friday,QUEEN AND SUMACH,Operations,10,19,E,8955
2021/07/02,501,11:34,Friday,QUEEN AND WOODFIELD,Cleaning - Unsanitary,8,16,W,4541
2021/07/02,501,11:38,Friday,QUEEN AND YONGE,Security,19,28,W,8938
2021/07/02,504,12:27,Friday,PRINCESS GATE,Operations,7,14,W,8136
2021/07/02,501,12:34,Friday,QUEEN AND YONGE,Investigation,58,67,E,8808
2021/07/02,501,12:35,Friday,QUEEN AND SHAW,Collision - TTC Involved,5,10,E,8575
2021/07/02,504,12:36,Friday,BROADVIEW STATION,Operations,6,12,W,1258
2021/07/02,501,12:46,Friday,GERRARD AND BROADVIEW,Operations,5,10,W,8595
2021/07/02,504,12:53,Friday,KING AND SHAW,Operations,6,12,W,8128
2021/07/02,501,13:12,Friday,GERRARD AND BROADVIEW,Operations,5,10,E,8947
2021/07/02,503,14:06,Friday,KING AND BAY,Cleaning - Unsanitary,8,16,E,4597
2021/07/02,501,14:13,Friday,GERRARD AND BROADVIEW,Operations,5,10,E,8855
2021/07/02,501,14:15,Friday,RONCESVALLES AND KING,Operations,5,10,W,1129
2021/07/02,501,14:41,Friday,QUEEN AND YONGE,Investigation,239,263,B,8683
2021/07/02,505,14:59,Friday,DUNDAS WEST STATION,Emergency Services,16,25,E,4417
2021/07/02,503,16:04,Friday,QUEEN AND KINGSTON,General Delay,170,179,E,4536
2021/07/02,501,16:07,Friday,GERRARD AND BROADVIEW,Operations,7,14,W,8803
2021/07/02,503,16:09,Friday,BROADVIEW AND QUEEN,Operations,9,17,E,4598
2021/07/02,506,16:57,Friday,COLLEGE AND LANSDOWNE,Held By,8,16,,4589
2021/07/02,501,17:30,Friday,QUEEN AND PORTLAND,Held By,29,35,E,9224
2021/07/02,501,17:34,Friday,QUEEN AND UNIVERSITY,Collision - TTC Involved,7,14,W,9201
2021/07/02,505,17:58,Friday,DUNDAS AND LANSDOWNE,Operations,7,15,E,4401
2021/07/02,501,19:44,Friday,KING AND SPENCER,Held By,10,16,E,8833
2021/07/02,504,20:04,Friday,KING AND SPENCER,Held By,6,13,E,0
2021/07/02,505,20:40,Friday,DUNDAS WEST STATION,Investigation,5,14,,4511
2021/07/02,504,20:43,Friday,DUNDAS WEST STATION,Security,6,21,,0
2021/07/02,509,22:40,Friday,FLEET LOOP,Operations,9,18,E,4441
2021/07/02,511,00:17,Friday,CNE LOOP,Emergency Services,9,18,,4445
2021/07/02,501,00:25,Friday,QUEEN AT WOODFIELD,General Delay,36,46,E,4558
2021/07/02,511,01:19,Friday,BATHURST STATION,Cleaning - Unsanitary,9,18,S,4572
2021/07/02,504,01:54,Friday,KING AND JARVIS,Investigation,12,18,W,4570
2021/07/02,501,01:54,Friday,KING AND CHURCH,Investigation,9,19,W,4541
2021/07/03,501,05:49,Saturday,LONG BRANCH LOOP,Operations,9,18,E,0
2021/07/03,505,06:37,Saturday,DUNDAS WEST STATION,Security,10,20,E,4419
2021/07/03,501,07:11,Saturday,KING AND DUFFERIN,Mechanical,9,20,E,1115
2021/07/03,501,07:21,Saturday,QUEEN AND AGNES,Investigation,15,23,E,4436
2021/07/03,505,08:03,Saturday,DUNDAS AND SHERBOURNE,Collision - TTC Involved,20,29,E,4481
2021/07/03,510,08:40,Saturday,SPADINA AND KING,Late,5,10,W,4584
2021/07/03,501,09:02,Saturday,HUMBER LOOP,Mechanical,0,11,E,1057
2021/07/03,510,09:16,Saturday,FLEET LOOP,Operations,3,5,,4461
2021/07/03,501,09:20,Saturday,HUMBER LOOP,Operations,9,18,E,0
2021/07/03,501,09:29,Saturday,HUMBER LOOP,Mechanical,9,18,E,9227
