Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014/04/01,501,12:22:00 AM,Tuesday,Queen and Connaught,Mechanical,9,18,W/B,4248
2014/04/01,505,5:36:00 AM,Tuesday,Broadview Stn,Mechanical,4,8,E/B,4062
2014/04/01,506,6:51:00 AM,Tuesday,Cxwell and Gerrard,Mechanical,5,10,E/B,4121
2014/04/01,501,7:00:00 AM,Tuesday,Longbranch Loop,Mechanical,6,13,E/B,501
2014/04/01,504,7:14:00 AM,Tuesday,Broadview and Gerrard,Late Leaving Garage,4,8,E/B,4095
2014/04/01,512,8:00:00 AM,Tuesday,Bathurst to Gunn's,General Delay,5,10,E/B,
2014/04/01,501,8:52:00 AM,Tuesday,Queen at Shaw,Mechanical,10,15,E/B,4241
2014/04/01,502,12:42:00 PM,Tuesday,Queen and Greenwood,Investigation,16,32,E/B,4046
2014/04/01,501,12:54:00 PM,Tuesday,Humber to Neville Loops,General Delay,7,13,E/B,4209
2014/04/01,501,1:36:00 PM,Tuesday,Humber to Neville Loops,General Delay,8,14,E/B,4224
2014/04/01,501,1:36:00 PM,Tuesday,Humber to Neville Loops,General Delay,9,15,E/B,4232
2014/04/01,501,2:12:00 PM,Tuesday,Humber to Neville Loops,General Delay,9,15,E/B,4245
2014/04/01,501,2:18:00 PM,Tuesday,Humber to Neville Loops,General Delay,8,14,E/B,4208
2014/04/01,501,2:51:00 PM,Tuesday,Queen and Parliament,Investigation,8,13,W/B,4201
2014/04/01,501,3:12:00 PM,Tuesday,Long Branch to Humber Loop,Mechanical,6,13,W/B,7972
2014/04/01,501,3:15:00 PM,Tuesday,Humber to Neville Loops,General Delay,3,9,E/B,4229
2014/04/01,505,4:13:00 PM,Tuesday,Yonge nd Dundas,Investigation,24,29,W/B,505
2014/04/01,510,4:44:00 PM,Tuesday,Spadina and King,Mechanical,3,6,S/B,4111
2014/04/01,501,4:56:00 PM,Tuesday,Humber to Neville Loops,General Delay,7,13,E/B,4221
2014/04/01,505,5:00:00 PM,Tuesday,From broadview stn. To Dundas west stn and back,General Delay,13,20,B/W,
2014/04/01,509,5:06:00 PM,Tuesday,CNE loop.,Utilized Off Route,4,8,E/B,7564
2014/04/01,506,5:08:00 PM,Tuesday,College and Queens Park,Mechanical,5,10,W/B,4149
2014/04/01,509,5:13:00 PM,Tuesday,CNE loop,Utilized Off Route,4,8,E/B,7683
2014/04/01,510,5:15:00 PM,Tuesday,Spadina Station,Held By,11,13,N/B,4114
2014/04/01,503,5:45:00 PM,Tuesday,Qeeen and Connaught,Mechanical,12,24,E/B,4128
2014/04/01,506,6:12:00 PM,Tuesday,College and Dundas,Mechanical,5,10,W/B,4074
2014/04/01,501,9:30:00 PM,Tuesday,Queen and Kingston,Mechanical,5,10,W/B,4248
2014/04/01,511,10:20:00 PM,Tuesday,Bathurst and King,Investigation,20,25,S/B,4151
2014/04/01,509,10:27:00 PM,Tuesday,CNE loop,Utilized Off Route,4,8,E/B,1780
2014/04/01,509,10:29:00 PM,Tuesday,CNE loop,Utilized Off Route,4,8,E/B,9408
2014/04/01,505,11:43:00 PM,Tuesday,Broadview station,Mechanical,9,21,W/B,4032
2014/04/02,501,12:15:00 AM,Wednesday,Long Branch Loop,Mechanical,10,20,E/B,8084
2014/04/02,501,5:34:00 AM,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,W/B,4226
2014/04/02,501,6:11:00 AM,Wednesday,Queensway Garage,Mechanical,7,13,W/B,7325
2014/04/02,501,6:40:00 AM,Wednesday,Humber loop,Mechanical,5,10,E/B,4243
2014/04/02,506,7:16:00 AM,Wednesday,Coxwell and Gerrard,Mechanical,4,8,W/B,4051
2014/04/02,501,7:53:00 AM,Wednesday,Lakeshore at 37TH,Mechanical,6,13,E/B,7342
2014/04/02,504,7:57:00 AM,Wednesday,Parliament and Queen,Investigation,2,4,E/B,4246
2014/04/02,503,8:40:00 AM,Wednesday,Church and Wellington,Investigation,32,44,W/B,4136
2014/04/02,505,8:45:00 AM,Wednesday,Erindale Ave and Broadview Ave,Held By,13,18,W/B,4000
2014/04/02,504,8:45:00 AM,Wednesday,Erindale Ave and Broadview Ave,Utilized Off Route,13,15,W/B,4113
2014/04/02,805,8:45:00 AM,Wednesday,Erindale Ave and Broadview Ave,Mechanical,0,0,W/B,4172
2014/04/02,501,11:06:00 AM,Wednesday,Humber to Neville Loops,General Delay,8,14,E/B,4242
2014/04/02,505,12:13:00 PM,Wednesday,Dundas/Parliament,General Delay,12,17,E/B,4039
2014/04/02,501,12:48:00 PM,Wednesday,Humber Loop to Neville Loop,General Delay,7,13,E/B,4238
2014/04/02,504,1:00:00 PM,Wednesday,King Route,General Delay,25,18,E/B,
2014/04/02,501,1:24:00 PM,Wednesday,Humber loop to Neville loop,General Delay,8,14,E/B,4201
2014/04/02,501,1:30:00 PM,Wednesday,Humber to Neville Loop,General Delay,10,16,E/B,4242
2014/04/02,505,2:10:00 PM,Wednesday,Dundas and McCaul,General Delay,15,20,W/B,4019
2014/04/02,509,2:11:00 PM,Wednesday,Exhibition Place,Mechanical,6,11,E/B,7618
2014/04/02,510,2:53:00 PM,Wednesday,Charlotte and King,Diversion,2,4,S/B,4118
2014/04/02,504,3:03:00 PM,Wednesday,king/church,Emergency Services,3,5,W/B,4071
2014/04/02,510,3:12:00 PM,Wednesday,Spadina Station,Held By,9,11,N/B,4045
2014/04/02,501,3:14:00 PM,Wednesday,Queen and Gladstone,Emergency Services,52,57,W/B,4176
2014/04/02,501,3:15:00 PM,Wednesday,Humber to Neville Loops,General Delay,8,14,E/B,4225
2014/04/02,501,4:01:00 PM,Wednesday,Humber Loop to Neville Loop,Emergency Services,18,24,E/B,4201
2014/04/02,511,4:04:00 PM,Wednesday,Fleet and Garrison,Investigation,32,37,W/B,4145
2014/04/02,511,4:19:00 PM,Wednesday,Bathurst Station,Mechanical,5,10,S/B,4192
2014/04/02,504,4:30:00 PM,Wednesday,Queen @ Gladstone,Emergency Services,37,40,B/W,4234
2014/04/02,510,4:30:00 PM,Wednesday,Spadina @ queen,Investigation,44,47,N/B,4012
2014/04/02,501,4:30:00 PM,Wednesday,Shaw @ queen,Emergency Services,37,43,B/W,4218
2014/04/02,501,4:33:00 PM,Wednesday,Queen @ Spadina,Diversion,44,50,E/B,4233
2014/04/02,501,4:49:00 PM,Wednesday,Queen @ duncan,Investigation,20,26,W/B,4206
2014/04/02,511,5:18:00 PM,Wednesday,Bathurst and Queen,Mechanical,7,12,S/B,4091
2014/04/02,508,6:16:00 PM,Wednesday,King @ shaw,Emergency Services,44,59,B/W,4226
2014/04/02,501,6:17:00 PM,Wednesday,Shaw @ Queen,Emergency Services,43,49,B/W,4224
2014/04/02,504,6:17:00 PM,Wednesday,Shaw@ King,Emergency Services,43,46,B/W,4125
2014/04/02,504,6:17:00 PM,Wednesday,Shaw @ King,Emergency Services,43,46,B/W,4125
2014/04/02,511,9:28:00 PM,Wednesday,Bathurst and Bloor,Emergency Services,9,14,N/B,4081
2014/04/02,501,11:05:00 PM,Wednesday,Queen and Wilson Park,Held By,7,16,E/B,4208
2014/04/03,301,2:48:00 AM,Thursday,Queen and Sherbourne,Mechanical,15,30,E/B,4248
2014/04/03,505,5:25:00 AM,Thursday,Broadview and Millbrook,Mechanical,8,0,W/B,4014
2014/04/03,504,5:35:00 AM,Thursday,Broadview and Dundas,General Delay,15,31,W/B,4196
2014/04/03,501,5:53:00 AM,Thursday,Queen and Roncesvalles,Late Leaving Garage,5,10,W/B,4207
2014/04/03,505,5:55:00 AM,Thursday,Broadview and Dundas,Mechanical,6,12,W/B,4028
2014/04/03,512,5:58:00 AM,Thursday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4174
2014/04/03,506,6:11:00 AM,Thursday,Main St Station,Mechanical,4,7,W/B,4064
2014/04/03,506,6:13:00 AM,Thursday,Gerrard and Coxwell,Mechanical,4,7,E/B,4034
