Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014/08/01,301,3:07:00 AM,Friday,Parliament and Queen,Mechanical,25,50,W/B,4245
2014/08/01,506,5:33:00 AM,Friday,Coxwell and Lower Gerrard,Late Leaving Garage,4,21,W/B,4030
2014/08/01,505,5:56:00 AM,Friday,Broadview/Riverdale,Mechanical,5,10,W/B,7845
2014/08/01,506,6:04:00 AM,Friday,Coxwell and Lower Gerrard,Late Leaving Garage,3,7,E/B,4114
2014/08/01,504,6:05:00 AM,Friday,Roncesvalles/Queen,Mechanical,8,14,E/B,4077
2014/08/01,511,6:06:00 AM,Friday,King and shaw,Mechanical,5,10,E/B,4153
2014/08/01,504,6:08:00 AM,Friday,King/Shaw,Mechanical,6,12,E/B,4039
2014/08/01,505,6:18:00 AM,Friday,DW STN.,Mechanical,5,10,E/B,4157
2014/08/01,505,6:20:00 AM,Friday,broadview stn,Mechanical,5,10,W/B,7771
2014/08/01,512,6:26:00 AM,Friday,St. Clair/Bathurst,Held By,3,5,E/B,4055
2014/08/01,501,6:49:00 AM,Friday,Queen @ Roncesvalles,Mechanical,5,11,W/B,4235
2014/08/01,511,7:00:00 AM,Friday,Fleet loop,Investigation,5,10,b/w,4223
2014/08/01,501,7:35:00 AM,Friday,Queen and Woodbine,Mechanical,6,12,E/B,4212
2014/08/01,505,7:53:00 AM,Friday,Dundas at Broadview,Mechanical,6,12,W/B,4105
2014/08/01,506,7:58:00 AM,Friday,Main station,Mechanical,4,8,W/B,4019
2014/08/01,20,9:02:00 AM,Friday,broadview & gerarrd,Mechanical,7,14,E/B,4111
2014/08/01,511,11:11:00 AM,Friday,CNE loop,Mechanical,3,6,E/B,4204
2014/08/01,511,12:12:00 PM,Friday,Bathurst and Dundas,Held By,32,37,S/B,4172
2014/08/01,505,12:12:00 PM,Friday,Bathurst and College.,Held By,32,41,S/B,4102
2014/08/01,510,12:20:00 PM,Friday,Spadina Station,Mechanical,5,10,S/B,8312
2014/08/01,501,1:45:00 PM,Friday,Queen/Carroll,Emergency Services,16,21,S/B,4232
2014/08/01,505,1:45:00 PM,Friday,Queen/Carroll,Emergency Services,16,21,S/B,7812
2014/08/01,506,2:24:00 PM,Friday,Gerarrd # parlament,Mechanical,6,12,W/B,4040
2014/08/01,506,2:27:00 PM,Friday,yong and carltion,Held By,8,16,B/W,4131
2014/08/01,506,2:45:00 PM,Friday,university&collage,Held By,8,16,B/W,4069
2014/08/01,505,2:48:00 PM,Friday,Lansdown Loop,Emergency Services,4,8,E/B,4133
2014/08/01,506,3:03:00 PM,Friday,Carlaw @ gerarrd,Mechanical,6,12,E/B,4034
2014/08/01,506,3:30:00 PM,Friday,Main Station - High Park,General Delay,30,15,B/W,
2014/08/01,505,3:34:00 PM,Friday,Dundas and Lansdowne,Investigation,7,12,E/B,4010
2014/08/01,504,3:40:00 PM,Friday,Roncesvalles and Queen,Mechanical,4,7,E/B,4073
2014/08/01,501,3:44:00 PM,Friday,RONCY YARD,Mechanical,10,20,W/B,4216
2014/08/01,506,3:44:00 PM,Friday,College and Spadina,Held By,45,50,B/W,4010
2014/08/01,504,3:55:00 PM,Friday,Dundas and Parliament,Mechanical,6,10,eb,4046
2014/08/01,501,4:10:00 PM,Friday,RONCY and QUEENSWAY,Mechanical,5,10,E/B,4186
2014/08/01,504,4:42:00 PM,Friday,King and Triller,Mechanical,11,14,E/B,4043
2014/08/01,509,4:56:00 PM,Friday,CNE Loop,Mechanical,4,8,E/B,9410
2014/08/01,509,5:43:00 PM,Friday,CNE Loop,Mechanical,4,8,E/B,9440
2014/08/01,501,5:43:00 PM,Friday,Queen and Spadina,Mechanical,5,10,W/B,4232
2014/08/01,511,6:30:00 PM,Friday,Bathurst and Richmond,Held By,47,51,S/B,4149
2014/08/01,501,6:35:00 PM,Friday,Lakeshore and Hillside Ave,Investigation,11,22,W/B,4217
2014/08/01,512,6:48:00 PM,Friday,St. Clair Station,Investigation,19,22,W/B,4172
2014/08/01,501,7:15:00 PM,Friday,RONCESVALLES and QUEEN,Mechanical,5,10,W/B,4219
2014/08/01,509,8:10:00 PM,Friday,CNE Loop,Mechanical,4,8,E/B,8065
2014/08/01,511,8:12:00 PM,Friday,Bathurst and Dundas,Investigation,6,12,N/B,4190
2014/08/01,512,8:22:00 PM,Friday,Old Weston Rd.,Mechanical,6,12,W/B,4034
2014/08/01,509,8:33:00 PM,Friday,CNE Loop,Mechanical,4,8,E/B,8028
2014/08/01,501,9:00:00 PM,Friday,Neville Loop to Long Branch,General Delay,20,38,B/W,
2014/08/01,505,11:47:00 PM,Friday,Broadview STN,Mechanical,8,16,S/B,7862
2014/08/02,511,12:33:00 AM,Saturday,Bathurst Station,Mechanical,5,10,S/B,4112
2014/08/02,501,5:10:00 AM,Saturday,Russell Yard,Late Leaving Garage,9,18,E/B,4236
2014/08/02,505,5:46:00 AM,Saturday,Broadview Station,Mechanical,6,12,S/B,7813
2014/08/02,509,7:04:00 AM,Saturday,CNE loop,Investigation,6,12,E/B,8094
2014/08/02,504,10:07:00 AM,Saturday,RONCESVALLES and QUEEN,Mechanical,7,14,E/B,4077
2014/08/02,501,10:54:00 AM,Saturday,Queen and Carlaw,Mechanical,7,14,W/B,4214
2014/08/02,501,11:40:00 AM,Saturday,Queen and Shaw Street,Mechanical,6,12,E/B,4186
2014/08/02,501,12:00:00 PM,Saturday,Long Brance to Neville Park,General Delay,60,76,B/W,
2014/08/02,504,12:46:00 PM,Saturday,Dundas West Station,Investigation,4,8,W/B,4158
2014/08/02,504,12:46:00 PM,Saturday,Dundas West Station,Mechanical,4,8,E/B,4043
2014/08/02,505,12:50:00 PM,Saturday,Dundas west stn.,Held By,12,17,E/B,4099
2014/08/02,504,1:05:00 PM,Saturday,King Street and Wilson Park Ave,Investigation,4,8,W/B,4097
2014/08/02,501,3:04:00 PM,Saturday,Queen amd Soho,Held By,20,25,W/B,4059
2014/08/02,501,3:07:00 PM,Saturday,Queen and Ohara,Mechanical,5,10,W/B,4194
2014/08/02,501,3:12:00 PM,Saturday,York north of King,Investigation,5,10,W/B,4122
2014/08/02,505,3:14:00 PM,Saturday,Dundas west stn,Utilized Off Route,4,8,W/B,4151
2014/08/02,501,4:50:00 PM,Saturday,Queen and Church,Investigation,5,10,E/B,4093
2014/08/02,505,5:55:00 PM,Saturday,McCaul and Baldwin,Held By,28,32,E/B,4099
2014/08/02,509,9:00:00 PM,Saturday,Bay and Front,Utilized Off Route,5,10,E/B,9423
2014/08/02,501,9:00:00 PM,Saturday,501 route,General Delay,20,20,B/W,
2014/08/02,501,11:01:00 PM,Saturday,York and Queen,Mechanical,8,16,E/B,4047
2014/08/03,505,8:54:00 AM,Sunday,Dundas and Ossington,Mechanical,18,26,E/B,4111
2014/08/03,505,8:54:00 AM,Sunday,Dundas and Ossington,Utilized Off Route,26,34,E/B,4049
2014/08/03,505,9:00:00 AM,Sunday,Broadview - Dundas West Station,General Delay,30,15,B/W,
2014/08/03,504,11:32:00 AM,Sunday,Queen/Roncesvalles,Mechanical,5,10,W/B,4023
2014/08/03,505,12:47:00 PM,Sunday,McCaul and Baldwin,Investigation,31,36,S/B,4093
2014/08/03,512,1:28:00 PM,Sunday,St. Claire West STN,Investigation,12,22,W/B,4180
2014/08/03,505,3:57:00 PM,Sunday,Dundas and Manning,Held By,23,28,W/B,4098
2014/08/03,501,4:55:00 PM,Sunday,Spadina and Queen,Emergency Services,7,13,E/B,4242
2014/08/03,510,5:08:00 PM,Sunday,Spadina and Queens Quay,Mechanical,4,8,N/B,7545
2014/08/03,504,6:13:00 PM,Sunday,Dundas West Stn - entering,Mechanical,10,16,W/B,4054
2014/08/03,505,6:13:00 PM,Sunday,Dundas West Station,Held By,11,16,E/B,4034
2014/08/03,510,11:32:00 PM,Sunday,Spadina and Queen.,Held By,17,22,N/B,7604
2014/08/03,501,11:36:00 PM,Sunday,Spadina and Queen,Held By,17,37,B/W,4251
2014/08/04,306,1:17:00 AM,Monday,Crawford and College,Emergency Services,45,55,B/W,4059
2014/08/04,306,4:30:00 AM,Monday,Gerrard and Pape,Investigation,30,60,E/B,4174
2014/08/04,509,8:08:00 AM,Monday,Lakeshore and Spadina,Mechanical,7,13,E/B,9432
2014/08/04,501,9:35:00 AM,Monday,Queen & Sackville,Investigation,10,20,W/B,4153
2014/08/04,511,10:18:00 AM,Monday,bathurst & fleet,Mechanical,6,12,S/B,4219
2014/08/04,505,10:42:00 AM,Monday,Bay and Dundas,Mechanical,8,16,W/B,4028
2014/08/04,511,11:54:00 AM,Monday,Bathurst & Bloor,Mechanical,6,12,N/B,4246
2014/08/04,501,1:40:00 PM,Monday,Queen and Parliament,Mechanical,6,12,E/B,4243
2014/08/04,504,1:45:00 PM,Monday,Parlament at queen,Investigation,4,8,N/B,4144
2014/08/04,506,3:00:00 PM,Monday,Coxwell & Upper Gerard,Mechanical,9,16,E/B,4174
2014/08/04,504,3:19:00 PM,Monday,King & Bay,Investigation,56,62,E/B,4129
2014/08/04,506,3:30:00 PM,Monday,Main Stn,Mechanical,7,14,W/B,4002
2014/08/04,506,3:48:00 PM,Monday,Main Stn,Mechanical,39,43,W/B,4199
2014/08/04,504,4:53:00 PM,Monday,Springhurst Loop,Investigation,6,12,S/B,4031
2014/08/04,510,5:27:00 PM,Monday,Spadina Station,Mechanical,3,6,S/B,4189
2014/08/04,505,6:57:00 PM,Monday,McCaul and Dundas,Mechanical,7,13,W/B,4114
2014/08/05,306,2:29:00 AM,Tuesday,Dundas West Station,Emergency Services,19,0,W/B,4184
2014/08/05,501,5:49:00 AM,Tuesday,Queen and Roncesvalles,Mechanical,7,15,W/B,4234
2014/08/05,512,5:56:00 AM,Tuesday,St. Clair @ Bathurst,Mechanical,3,5,W/B,4166
2014/08/05,501,7:19:00 AM,Tuesday,Lakeshore and Dwight,Mechanical,13,24,W/B,4212
2014/08/05,504,7:23:00 AM,Tuesday,DW Stn,Mechanical,31,35,E/B,4103
2014/08/05,504,7:27:00 AM,Tuesday,DW Stn,Mechanical,27,29,E/B,4120
2014/08/05,505,7:58:00 AM,Tuesday,Mccaul At Dundas,Investigation,98,103,S/B,4032
2014/08/05,510,7:58:00 AM,Tuesday,Spadina at st. Andrews,Held By,4,8,S/B,9434
2014/08/05,512,8:04:00 AM,Tuesday,St. Clair/Keele,Mechanical,3,6,W/B,4153
2014/08/05,511,9:52:00 AM,Tuesday,Fleet & Bathurst,Investigation,9,15,N/B,4126
2014/08/05,505,10:29:00 AM,Tuesday,Gerrard & Broadview,Investigation,14,21,E/B,4133
