Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014/05/01,509,12:48:00 AM,Thursday,Fort York Blvd @ Lakeshore,Mechanical,5,10,S/B,7477
2014/05/01,505,5:34:00 AM,Thursday,Roncesvalles Yard.,Late Leaving Garage,5,10,W/B,4066
2014/05/01,501,5:40:00 AM,Thursday,Queen and Connaught,Late Leaving Garage,5,10,EB,4214
2014/05/01,504,5:43:00 AM,Thursday,Roncesvalles Yard.,Late Leaving Garage,4,8,W/B,4103
2014/05/01,502,5:43:00 AM,Thursday,Queen and Connaught,Late Leaving Garage,12,24,eb,4011
2014/05/01,510,5:46:00 AM,Thursday,Spadina and King,Late Leaving Garage,8,16,nb,4030
2014/05/01,501,5:49:00 AM,Thursday,Queen and Connaught,Late Leaving Garage,5,10,EB,4227
2014/05/01,501,5:55:00 AM,Thursday,Queen and Carlaw,Mechanical,12,24,E/B,4206
2014/05/01,504,6:12:00 AM,Thursday,Roncesvalles Yard.,Late Leaving Garage,4,8,W/B,4036
2014/05/01,506,6:19:00 AM,Thursday,Roncesvalles Yard.,Late Leaving Garage,4,8,W/B,4188
2014/05/01,501,6:36:00 AM,Thursday,Roncesvalles Yard.,Late Leaving Garage,6,12,W/B,4201
2014/05/01,505,7:03:00 AM,Thursday,Dundas at Yonge.,Mechanical,5,10,E/B,4136
2014/05/01,504,7:30:00 AM,Thursday,King Route,General Delay,25,15,B/W,
2014/05/01,511,8:16:00 AM,Thursday,CNE LOOP,Mechanical,6,12,N/B,4092
2014/05/01,511,10:30:00 AM,Thursday,Bathurst Route,General Delay,13,18,SB,4090
2014/05/01,505,11:11:00 AM,Thursday,Dundas & Broadview,Mechanical,13,20,E/B,4132
2014/05/01,805,11:11:00 AM,Thursday,Broadview & Dundas,Mechanical,0,0,E/B,4151
2014/05/01,504,11:13:00 AM,Thursday,Broadview and Dundas,Held By,9,13,E/B,4026
2014/05/01,505,11:13:00 AM,Thursday,DUNDAS AT BRDVW.,Mechanical,11,16,E/B,4132
2014/05/01,510,12:00:00 PM,Thursday,Spadina Stn,Mechanical,3,6,S/B,4113
2014/05/01,504,12:47:00 PM,Thursday,Queen at Roncesvalles,Mechanical,4,8,W/B,4024
2014/05/01,504,12:53:00 PM,Thursday,Roncesvalles & Grenadier,Investigation,5,10,S/B,4195
2014/05/01,506,1:00:00 PM,Thursday,College & Beverley,Held By,5,10,B/W,4156
2014/05/01,512,1:00:00 PM,Thursday,"St Clair, East of Yonge",General Delay,10,10,B/W,
2014/05/01,504,1:54:00 PM,Thursday,King and Church,Mechanical,4,8,W/B,4018
2014/05/01,510,1:58:00 PM,Thursday,Charlotte Loop and Adelaide,Held By,5,8,S/B,4126
2014/05/01,505,1:59:00 PM,Thursday,Russell Yard,Late Leaving Garage,4,7,W/B,4088
2014/05/01,504,2:27:00 PM,Thursday,King & Queen,Investigation,8,11,W/B,4195
2014/05/01,509,2:40:00 PM,Thursday,CNE LOOP,Mechanical,0,0,E/B,9432
2014/05/01,509,2:53:00 PM,Thursday,CNE LOOP,Utilized Off Route,3,6,E/B,9403
2014/05/01,505,2:56:00 PM,Thursday,McCaul north of Queen,Held By,5,11,N/B,4088
2014/05/01,505,3:00:00 PM,Thursday,Dundas West Stn to Broadview Stn,General Delay,24,15,B/W,
2014/05/01,512,3:09:00 PM,Thursday,St Clair and Bathurst,Mechanical,3,5,E/B,4149
2014/05/01,504,3:15:00 PM,Thursday,Roncesvalles and Queen,Mechanical,4,8,E/B,4021
2014/05/01,506,3:30:00 PM,Thursday,Main Station - High Park,General Delay,30,15,B/W,
2014/05/01,511,3:30:00 PM,Thursday,"On Bathurst, North of College to Bloor. Northbound and Southbound",General Delay,0,0,B/W,
2014/05/01,501,3:31:00 PM,Thursday,Long Branch Loop,Mechanical,5,10,E/B,8095
2014/05/01,504,3:32:00 PM,Thursday,King and Bathurst,Mechanical,10,13,E/B,4017
2014/05/01,509,3:46:00 PM,Thursday,CNE LOOP,Mechanical,3,7,E/B,9436
2014/05/01,506,4:22:00 PM,Thursday,Howard Park and Roncesvalles,Held By,18,24,E/B,4191
2014/05/01,511,4:28:00 PM,Thursday,Bathurst and Lennox,Emergency Services,6,11,N/B,4042
2014/05/01,501,5:02:00 PM,Thursday,Queen and Shaw,Held By,29,34,W/B,4202
