Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014/10/01,511,1:00:00 AM,Wednesday,Bathurst Station,Mechanical,18,24,S/B,4190
2014/10/01,504,5:06:00 AM,Wednesday,Roncevalles and Queen,Late Leaving Garage,10,20,W/B,4046
2014/10/01,501,5:34:00 AM,Wednesday,Roncevalles and Queen,Mechanical,9,15,W/B,4242
2014/10/01,510,5:41:00 AM,Wednesday,Spadina and King,Late Leaving Garage,3,6,N/B,4091
2014/10/01,510,5:43:00 AM,Wednesday,Spadina and King,Late Leaving Garage,4,7,N/B,4161
2014/10/01,501,5:44:00 AM,Wednesday,Roncevalles and Queen,Late Leaving Garage,6,8,W/B,4223
2014/10/01,512,5:45:00 AM,Wednesday,Bathurst and St.Clair,Late Leaving Garage,3,6,E/B,4102
2014/10/01,504,5:50:00 AM,Wednesday,Roncevalles and Queen,Late Leaving Garage,12,14,W/B,4199
2014/10/01,504,5:53:00 AM,Wednesday,Roncevalles and Queen,Late Leaving Garage,6,12,W/B,4172
2014/10/01,501,5:56:00 AM,Wednesday,Roncevalles and Queen,Late Leaving Garage,3,7,W/B,4208
2014/10/01,512,5:59:00 AM,Wednesday,Bathurst and St. Clair,Late Leaving Garage,2,4,W/B,4083
2014/10/01,510,5:59:00 AM,Wednesday,Spadina and King,Late Leaving Garage,3,6,N/B,4178
2014/10/01,505,6:00:00 AM,Wednesday,Dundas at Broadview,Late Leaving Garage,5,10,W/B,4035
2014/10/01,510,6:00:00 AM,Wednesday,Spadina and King,Late Leaving Garage,3,6,S/B,4036
2014/10/01,511,6:08:00 AM,Wednesday,CNE LOOP,Mechanical,4,8,N/B,4127
2014/10/01,512,6:08:00 AM,Wednesday,Bathurst and St. Clair,Late Leaving Garage,3,6,E/B,4132
2014/10/01,512,6:10:00 AM,Wednesday,St. Clair/Bathurst,Mechanical,4,8,E/B,4095
2014/10/01,511,6:10:00 AM,Wednesday,CNE Loop,Mechanical,4,8,S/B,4127
2014/10/01,501,6:17:00 AM,Wednesday,Roncevalles and Queen,Late Leaving Garage,3,6,W/B,4236
2014/10/01,511,6:35:00 AM,Wednesday,BATHURST STATION,Held By,12,16,N/B,4154
2014/10/01,512,6:42:00 AM,Wednesday,St clair/Bathurst,Mechanical,3,5,E/B,4162
2014/10/01,501,6:53:00 AM,Wednesday,Queen and Connaught,Mechanical,6,11,E/B,4200
2014/10/01,501,7:27:00 AM,Wednesday,Queen and Parliament,Investigation,10,15,W/B,4230
2014/10/01,504,7:27:00 AM,Wednesday,Queen and Parliament,Investigation,2,4,W/B,4019
2014/10/01,502,7:37:00 AM,Wednesday,Queen and Parliament,Investigation,12,24,W/B,4051
2014/10/01,502,11:08:00 AM,Wednesday,Queen and Connaught,Mechanical,16,32,W/B,4048
2014/10/01,501,11:14:00 AM,Wednesday,Queen and Roncesvalles,Mechanical,6,12,W/B,4236
2014/10/01,505,2:19:00 PM,Wednesday,Dundas/Huron,Held By,13,7,W/B,4128
2014/10/01,505,2:30:00 PM,Wednesday,Broadview/Dundas,Late Leaving Garage,3,7,E/B,4023
2014/10/01,506,2:30:00 PM,Wednesday,Carlton Route,General Delay,27,15,B/W,
2014/10/01,511,2:40:00 PM,Wednesday,Bathurst/Dundas,Utilized Off Route,5,10,S/B,4154
2014/10/01,511,3:34:00 PM,Wednesday,Bathurst at Queen,Mechanical,5,10,N/B,4167
2014/10/01,508,4:25:00 PM,Wednesday,Queen and Roncenvales,Mechanical,10,25,E/B,4242
2014/10/01,504,4:58:00 PM,Wednesday,King St. W at Queensway,Investigation,11,15,W/B,4192
2014/10/01,506,5:00:00 PM,Wednesday,Main Station - High Park,General Delay,30,15,B/W,
2014/10/01,512,5:00:00 PM,Wednesday,St. Clair Stn to Gunns Loop,General Delay,15,8,B/W,
2014/10/01,504,5:29:00 PM,Wednesday,King and Dufferin,Mechanical,3,6,E/B,4038
2014/10/01,510,6:47:00 PM,Wednesday,Spadina and Queens Quay,Held By,41,43,N/B,4147
2014/10/01,501,8:06:00 PM,Wednesday,Queen and Gladstone,Investigation,5,16,E/B,4211
2014/10/01,506,8:33:00 PM,Wednesday,College and University,Mechanical,22,30,W/B,4109
2014/10/01,506,8:33:00 PM,Wednesday,College and University,Utilized Off Route,22,30,W/B,4164
2014/10/01,506,8:37:00 PM,Wednesday,College and Spadina,Held By,10,18,E/B,4087
2014/10/01,505,9:13:00 PM,Wednesday,Dundas and McCaul,Investigation,36,48,E/B,4134
2014/10/02,501,12:15:00 AM,Thursday,Parklawn and QEW,Held By,10,20,W/B,8067
2014/10/02,501,12:43:00 AM,Thursday,Humber Loop,Emergency Services,12,9,E/B,4183
2014/10/02,501,1:18:00 AM,Thursday,Spadina and Queen,Investigation,146,155,B/W,4112
2014/10/02,501,4:43:00 AM,Thursday,Russell Yard,Mechanical,13,26,E/B,4249
2014/10/02,510,5:28:00 AM,Thursday,Spadina and King,Late Leaving Garage,2,4,S/B,4400
2014/10/02,501,5:43:00 AM,Thursday,Queen and Noble,Held By,84,97,W/B,4209
2014/10/02,506,5:49:00 AM,Thursday,U.GERRARD and WOODBINE,Mechanical,14,19,E/B,4079
2014/10/02,510,5:59:00 AM,Thursday,Spadina and King,Late Leaving Garage,3,6,N/B,4145
2014/10/02,510,6:00:00 AM,Thursday,Spadina and King,Late Leaving Garage,3,6,S/B,4127
2014/10/02,505,6:19:00 AM,Thursday,Dundas/Sackville,Mechanical,5,11,W/B,4100
2014/10/02,506,6:26:00 AM,Thursday,COLLEGE and LANSDOWNE,Mechanical,37,42,E/B,4029
2014/10/02,506,6:26:00 AM,Thursday,COLLEGE and LANSDOWNE,Mechanical,21,26,E/B,4010
2014/10/02,504,6:34:00 AM,Thursday,St. Clair/Bathurst,Mechanical,2,4,W/B,4161
2014/10/02,505,6:34:00 AM,Thursday,College/Dundas,Held By,6,12,E/B,4051
2014/10/02,506,6:45:00 AM,Thursday,Lower Gerrard at Coxwell,Late Leaving Garage,4,7,E/B,4034
2014/10/02,504,7:32:00 AM,Thursday,King and Spadina,Emergency Services,37,39,E/B,4188
2014/10/02,511,7:32:00 AM,Thursday,CNE Loop,Mechanical,4,8,N/B,4046
2014/10/02,506,8:13:00 AM,Thursday,BAY and COLLEGE,Mechanical,5,10,E/B,4013
2014/10/02,511,8:20:00 AM,Thursday,BATHURST and FLEET,Mechanical,4,8,N/B,4167
2014/10/02,506,8:30:00 AM,Thursday,506 CARLTON,General Delay,16,8,B/W,
2014/10/02,506,9:06:00 AM,Thursday,COLLEGE and BAY,Mechanical,5,10,E/B,4022
2014/10/02,506,11:57:00 AM,Thursday,AUGUSTA and COLLEGE,Investigation,5,10,E/B,4072
2014/10/02,506,12:40:00 PM,Thursday,COLLEGE and MAJOR,Mechanical,17,22,W/B,4074
2014/10/02,506,12:40:00 PM,Thursday,COLLEGE and MAJOR,Mechanical,17,22,W/B,4074
2014/10/02,506,12:54:00 PM,Thursday,COLLEGE and MAJOR,Investigation,18,23,W/B,4115
2014/10/02,505,1:00:00 PM,Thursday,Dundas West Stn to Broadview Stn,General Delay,25,15,B/W,
2014/10/02,506,1:22:00 PM,Thursday,COXWELL and GERRARD,Mechanical,5,10,W/B,4072
2014/10/02,504,1:27:00 PM,Thursday,Broadview - Dundas to Queen,Diversion,81,85,B/W,4031
2014/10/02,504,1:30:00 PM,Thursday,King and Sherbourne,Mechanical,28,33,W/B,4044
2014/10/02,505,1:33:00 PM,Thursday,Dundas and Parliament,Mechanical,6,12,E/B,4057
2014/10/02,504,1:48:00 PM,Thursday,Queen/Broadview,Mechanical,16,32,E/B,4128
2014/10/02,501,1:49:00 PM,Thursday,Queen/Parliament,Held By,6,12,E/B,4217
2014/10/02,509,1:54:00 PM,Thursday,CNE Loop,Mechanical,4,8,E/B,7552
2014/10/02,512,2:36:00 PM,Thursday,Bathurst and Bloor St,Mechanical,4,8,N/B,4162
2014/10/02,504,2:45:00 PM,Thursday,Ronesvalles and Queen,Mechanical,4,8,E/B,4153
2014/10/02,506,3:00:00 PM,Thursday,Main Station - High Park,General Delay,30,15,B/W,
2014/10/02,512,3:14:00 PM,Thursday,St Clair West Stn,Mechanical,3,6,W/B,4017
2014/10/02,512,3:23:00 PM,Thursday,St. Clair and Gunns,Mechanical,4,7,E/B,4097
2014/10/02,504,3:31:00 PM,Thursday,King and Dunn Ave,Mechanical,15,19,W/B,4136
2014/10/02,512,3:59:00 PM,Thursday,St. Clair West Stn,Mechanical,4,7,W/B,4176
2014/10/02,512,3:59:00 PM,Thursday,St Clair West Stn,Mechanical,3,6,W/B,4176
2014/10/02,511,4:05:00 PM,Thursday,Bathurst and Queen,Mechanical,4,8,N/B,4083
2014/10/02,505,4:38:00 PM,Thursday,Dundas and Parliament,Emergency Services,20,26,W/B,4099
2014/10/02,506,4:43:00 PM,Thursday,McCaul and Baldwin,Held By,10,15,N/B,4029
2014/10/02,505,5:21:00 PM,Thursday,Broadview and Dundas,Mechanical,7,14,S/B,4034
2014/10/02,509,5:23:00 PM,Thursday,Bay & Front,Investigation,24,28,E/B,7601
2014/10/02,504,7:36:00 PM,Thursday,King & Peter,Investigation,22,26,E/B,4031
2014/10/02,504,9:17:00 PM,Thursday,Dundas West Station,Mechanical,12,20,E/B,4078
2014/10/02,501,9:36:00 PM,Thursday,Neville Loop,Mechanical,9,18,W/B,4238
2014/10/03,504,2:21:00 AM,Friday,King and Atlantic,Mechanical,12,24,E/B,4047
2014/10/03,505,5:13:00 AM,Friday,Dundas at Broadview,Late Leaving Garage,7,0,E/B,4062
2014/10/03,510,5:28:00 AM,Friday,Spadina and King,Mechanical,2,4,S/B,4403
2014/10/03,510,5:39:00 AM,Friday,Spadina and King,Late Leaving Garage,7,9,S/B,4015
2014/10/03,510,5:43:00 AM,Friday,Spadina and King,Late Leaving Garage,2,5,N/B,4181
2014/10/03,510,5:47:00 AM,Friday,Spadina and King,Late Leaving Garage,3,9,N/B,4102
2014/10/03,512,5:47:00 AM,Friday,Bathurst and St. Clair,Late Leaving Garage,3,6,W/B,4083
2014/10/03,512,5:51:00 AM,Friday,Bathurst and St. Clair,Late Leaving Garage,3,6,E/B,4091
2014/10/03,511,5:51:00 AM,Friday,Bathurst and King,Late Leaving Garage,5,9,S/B,4001
2014/10/03,510,5:54:00 AM,Friday,Spadina and King,Late Leaving Garage,9,12,S/B,4149
2014/10/03,510,5:55:00 AM,Friday,Spadina and King,Late Leaving Garage,5,9,S/B,4040
2014/10/03,512,5:58:00 AM,Friday,Bathurst and St. Clair,Late Leaving Garage,3,5,W/B,4104
2014/10/03,510,5:59:00 AM,Friday,Spadina and King,Late Leaving Garage,3,6,S/B,4112
2014/10/03,510,6:00:00 AM,Friday,Spadina and King,Late Leaving Garage,3,6,S/B,4045
2014/10/03,510,6:05:00 AM,Friday,Spadina and King,Late Leaving Garage,2,6,S/B,4123
2014/10/03,511,6:06:00 AM,Friday,Bathurst and King,Late Leaving Garage,4,8,N/B,4175
2014/10/03,510,6:06:00 AM,Friday,Spadina and King,Late Leaving Garage,6,8,S/B,4143
2014/10/03,512,6:07:00 AM,Friday,Bathurst and St. Clair,Late Leaving Garage,3,6,S/B,4186
2014/10/03,511,6:07:00 AM,Friday,Bathurst and King,Late Leaving Garage,6,9,S/B,4200
2014/10/03,511,6:13:00 AM,Friday,Bathurst and King,Late Leaving Garage,4,8,N/B,4177
2014/10/03,511,6:15:00 AM,Friday,Bathurst and King,Late Leaving Garage,4,8,N/B,4039
2014/10/03,511,6:25:00 AM,Friday,Bathurst and King,Late Leaving Garage,6,9,S/B,4020
2014/10/03,511,6:25:00 AM,Friday,Bathurst and King,Late Leaving Garage,4,8,N/B,5163
2014/10/03,506,6:45:00 AM,Friday,Lower Gerrard at Coxwell,Late Leaving Garage,4,7,E/B,4105
2014/10/03,501,7:09:00 AM,Friday,Queen at Connaught,Late Leaving Garage,2,5,W/B,4251
2014/10/03,504,7:53:00 AM,Friday,Queen/Roncesvalles,Late Leaving Garage,2,4,W/B,4210
2014/10/03,512,8:07:00 AM,Friday,St. Clair and Dunvegan Road,Mechanical,6,9,E/B,4144
2014/10/03,505,8:40:00 AM,Friday,Younge and Adeliade,Mechanical,4,8,W/B,7413
2014/10/03,501,9:43:00 AM,Friday,queen and Carrol,Mechanical,4,10,EB,4221
2014/10/03,506,10:10:00 AM,Friday,Bay&Collage,General Delay,6,12,E/B,4027
2014/10/03,511,10:10:00 AM,Friday,Exhibition Loop to Bathurst Stn,Mechanical,0,0,S/B,4175
2014/10/03,511,10:36:00 AM,Friday,Queen&bathurst,Mechanical,4,8,N/B,4001
