Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015/12/01,301,1:54:00 AM,Tuesday,Queen St. West and Bay St.,Mechanical,9,18,W/B,4004
2015/12/01,501,4:50:00 AM,Tuesday,Queen at Connaught,Mechanical,9,1,W/B,4243
2015/12/01,501,5:25:00 AM,Tuesday,Queen at Roncesvalles,Mechanical,7,17,W/B,4232
2015/12/01,501,5:25:00 AM,Tuesday,Roncesvalles Carhouse.,Mechanical,4,15,W/B,4232
2015/12/01,501,5:40:00 AM,Tuesday,Roncesvalles Carhouse.,Mechanical,5,10,W/B,4220
2015/12/01,506,6:12:00 AM,Tuesday,Roncesvalles Carhouse.,Mechanical,4,7,E/B,4179
2015/12/01,506,6:12:00 AM,Tuesday,Roncesvalles Carhouse.,Mechanical,4,7,E/B,4179
2015/12/01,504,6:26:00 AM,Tuesday,Queen and Broadview,Mechanical,4,8,eb,4132
2015/12/01,504,6:41:00 AM,Tuesday,Queen and Broadview,Mechanical,4,8,eb,4124
2015/12/01,51,6:50:00 AM,Tuesday,Neville loop,Mechanical,5,10,W/B,4224
2015/12/01,511,6:53:00 AM,Tuesday,Bathurst & Harbord,Held By,14,20,S/B,4175
2015/12/01,503,6:55:00 AM,Tuesday,Queen and Connaught,Mechanical,10,22,eb,4022
2015/12/01,504,7:04:00 AM,Tuesday,King/Shaw,Investigation,25,29,W/B,4098
2015/12/01,504,7:19:00 AM,Tuesday,Queen/Roncesvalles,Mechanical,4,8,E/B,4128
2015/12/01,506,7:44:00 AM,Tuesday,Main Stn,Mechanical,14,18,E/B,4141
2015/12/01,505,8:04:00 AM,Tuesday,Dundas & Parliament,Mechanical,6,12,E/B,4040
2015/12/01,504,8:05:00 AM,Tuesday,Queen/Roncesvalles,Late Leaving Garage,4,8,W/B,4038
2015/12/01,501,9:56:00 AM,Tuesday,Queensway at Sunnyside,Held By,7,12,E/B,4219
2015/12/01,501,10:10:00 AM,Tuesday,University and Queen,Investigation,10,20,W/B,831
2015/12/01,505,11:27:00 AM,Tuesday,Dundas & Claremont,Held By,40,47,E/B,4132
