Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015/07/01,301,3:34:00 AM,Wednesday,Queen St. West and Shaw St.,Mechanical,30,60,W/B,4125
2015/07/01,512,5:51:00 AM,Wednesday,Exhibition loop,Held By,21,30,W/B,4057
2015/07/01,501,10:32:00 AM,Wednesday,Queen at Connaught,Mechanical,10,20,W/B,4241
2015/07/01,504,11:12:00 AM,Wednesday,Entering Dundas West Stn,Investigation,6,12,W/B,4128
2015/07/01,504,11:39:00 AM,Wednesday,Queen at King,Mechanical,6,12,W/B,4198
2015/07/01,504,12:05:00 PM,Wednesday,King and University,Held By,28,34,B/W,4166
2015/07/01,501,12:25:00 PM,Wednesday,Queen and University,Held By,22,27,B/W,4234
2015/07/01,501,12:29:00 PM,Wednesday,Queen and Connaught,Mechanical,5,10,E/B,4225
2015/07/01,505,12:42:00 PM,Wednesday,Dundas Street West and University Avenue,General Delay,38,44,B/W,4120
2015/07/01,501,1:13:00 PM,Wednesday,Queen and Yonge,Mechanical,5,10,W/B,4207
2015/07/01,501,1:27:00 PM,Wednesday,Queen and Spadina,Held By,9,15,B/W,4210
2015/07/01,501,1:38:00 PM,Wednesday,Queen and Lee,Investigation,33,38,ew,4234
2015/07/01,510,1:47:00 PM,Wednesday,Spadina & Harbord,Investigation,16,19,N/B,4406
2015/07/01,501,2:24:00 PM,Wednesday,Queen and Sumach,Held By,9,14,B/W,4239
2015/07/01,501,2:34:00 PM,Wednesday,Kingston Rd. Loop,Mechanical,5,10,W/B,4230
2015/07/01,506,3:28:00 PM,Wednesday,Gerrard at River,Held By,157,164,E/B,4087
2015/07/01,505,3:35:00 PM,Wednesday,bay/ dundas,Mechanical,5,10,W/B,4116
2015/07/01,504,4:26:00 PM,Wednesday,Bathurst on King,Mechanical,7,13,E/B,4133
2015/07/01,510,5:00:00 PM,Wednesday,queensquay/spadina,Mechanical,3,6,N/B,4171
2015/07/01,510,5:07:00 PM,Wednesday,willcocks/spadina,Investigation,3,6,N/B,4092
2015/07/01,501,8:51:00 PM,Wednesday,Queen St. East and Greenwood Ave.,Diversion,213,221,E/B,4239
2015/07/01,509,9:20:00 PM,Wednesday,Queen's Quay and Bathurst St.,Investigation,23,31,E/B,4407
2015/07/01,501,9:41:00 PM,Wednesday,McCaul St. and Queen St.,Held By,9,18,S/B,4218
2015/07/01,501,10:08:00 PM,Wednesday,Queen St. West and Strachan St.,Mechanical,31,40,E/B,4240
2015/07/01,501,10:14:00 PM,Wednesday,Queen St. West and Strachan St.,Utilized Off Route,9,18,E/B,4248
2015/07/01,506,10:30:00 PM,Wednesday,High Park Loop to Main Station,General Delay,15,20,B/W,
2015/07/01,509,11:15:00 PM,Wednesday,Queen's Quay and Lower Spadina,Investigation,18,26,W/B,4144
2015/07/02,510,1:14:00 AM,Thursday,Spadina and Willcox,Investigation,3,24,S/B,4014
2015/07/02,301,1:46:00 AM,Thursday,Neville Park Loop,Mechanical,9,18,W/B,4065
2015/07/02,501,5:25:00 AM,Thursday,Roncesvalles Carhouse,Mechanical,5,10,E/B,4219
2015/07/02,501,5:43:00 AM,Thursday,Queen and Connaught,Late Leaving Garage,5,10,E/B,4227
2015/07/02,512,5:53:00 AM,Thursday,St. Clair/Bathurst,Late Leaving Garage,3,6,E/B,4153
2015/07/02,503,6:35:00 AM,Thursday,Queen and Connaught,Late Leaving Garage,15,30,E/B,4119
2015/07/02,502,6:37:00 AM,Thursday,Queen/Connaught,Late Leaving Garage,15,30,E/B,4119
2015/07/02,504,6:43:00 AM,Thursday,Broadview and Queen,Late Leaving Garage,4,8,E/B,4060
