Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015/06/01,504,12:09:00 AM,Monday,Broadview STN,Mechanical,10,20,S/B,4043
2015/06/01,504,12:20:00 AM,Monday,King and Spadina,Investigation,21,31,W/B,4022
2015/06/01,510,12:35:00 AM,Monday,spadina and king,Utilized Off Route,7,14,W/B,4153
2015/06/01,509,1:16:00 AM,Monday,Bathurst St. and Fleet St.,Mechanical,0,0,N/B,4407
2015/06/01,501,4:50:00 AM,Monday,Russell yard,Mechanical,6,12,E/B,4220
2015/06/01,501,5:00:00 AM,Monday,RONCESVALLES YARD,Late Leaving Garage,5,10,W/B,4203
2015/06/01,504,5:06:00 AM,Monday,RONCESVALLES YARD,Late Leaving Garage,4,8,W/B,4032
2015/06/01,501,5:07:00 AM,Monday,Russell yard,Mechanical,6,12,E/B,4224
2015/06/01,501,5:11:00 AM,Monday,Russell yard,Mechanical,6,12,W/B,4222
2015/06/01,501,5:14:00 AM,Monday,RONCY YARD,Late Leaving Garage,5,10,W/B,4212
2015/06/01,505,5:42:00 AM,Monday,Russell yard,Held By,5,10,E/B,4129
2015/06/01,504,5:43:00 AM,Monday,Russell yard,Held By,5,10,E/B,4150
2015/06/01,512,5:53:00 AM,Monday,St. Clair/Bathurst,Late Leaving Garage,9,11,W/B,4149
2015/06/01,511,6:02:00 AM,Monday,CNE Loop,Late Leaving Garage,6,12,N/B,4088
2015/06/01,501,6:05:00 AM,Monday,Russell yard,Mechanical,6,12,E/B,4225
2015/06/01,509,6:07:00 AM,Monday,CNE Loop,Late Leaving Garage,10,20,E/B,4149
2015/06/01,503,7:08:00 AM,Monday,Kingston Rd/Beech,Mechanical,12,24,W/B,4057
2015/06/01,504,7:18:00 AM,Monday,Queen and Broadview,Mechanical,4,8,E/B,4198
2015/06/01,501,8:30:00 AM,Monday,University to Broadview,General Delay,8,14,E/B,4240
2015/06/01,505,8:50:00 AM,Monday,Dundas and Parliament,Mechanical,5,10,E/B,4190
2015/06/01,505,11:25:00 AM,Monday,Dundas line,General Delay,7,14,B/W,4013
2015/06/01,504,12:26:00 PM,Monday,King at spadina,Mechanical,5,10,E/B,4147
2015/06/01,506,12:42:00 PM,Monday,College and Spadina,Mechanical,6,12,W/B,4079
2015/06/01,502,1:43:00 PM,Monday,Queen and Pape,Mechanical,15,30,E/B,4059
2015/06/01,504,1:46:00 PM,Monday,Broadview and Queen,Late Leaving Garage,5,10,E/B,4225
2015/06/01,501,1:50:00 PM,Monday,Roncesvalles carhouse,Mechanical,6,12,E/B,4220
2015/06/01,504,2:11:00 PM,Monday,King at Simcoe,Mechanical,20,25,E/B,4026
2015/06/01,501,3:10:00 PM,Monday,Lakeshore at Kipling,Mechanical,10,20,W/B,4209
2015/06/01,512,3:11:00 PM,Monday,St. Clair and Wychwood,Mechanical,11,16,W/B,4194
2015/06/01,510,3:59:00 PM,Monday,Spadina Stn,Mechanical,2,4,N/B,4098
2015/06/01,510,4:07:00 PM,Monday,Charlotte Loop,Mechanical,2,4,N/B,4029
2015/06/01,505,4:54:00 PM,Monday,Broadview and Dundas,Mechanical,5,5,E/B,4036
2015/06/01,512,5:32:00 PM,Monday,Gunn's Loop,Mechanical,24,29,E/B,4004
2015/06/01,501,9:26:00 PM,Monday,Sunnyside Loop,Mechanical,5,11,W/B,4229
2015/06/01,504,9:30:00 PM,Monday,King and Dufferin,Investigation,5,10,W/B,4087
2015/06/02,504,5:17:00 AM,Tuesday,Dundas West Stn,Mechanical,10,20,E/B,4079
2015/06/02,504,5:52:00 AM,Tuesday,Queen and Broadview,Mechanical,5,10,E/B,4057
2015/06/02,504,6:34:00 AM,Tuesday,Connaught and Queen,Mechanical,0,0,W/B,4057
2015/06/02,501,6:55:00 AM,Tuesday,Russell yard,Mechanical,5,10,W/B,4211
2015/06/02,503,7:00:00 AM,Tuesday,Queen/River,Mechanical,12,24,W/B,4199
2015/06/02,501,7:03:00 AM,Tuesday,Queen St. E at River.,Mechanical,10,16,W/B,4059
2015/06/02,506,7:10:00 AM,Tuesday,Roncesvalles CH,Mechanical,4,8,E/B,4032
2015/06/02,511,7:53:00 AM,Tuesday,Ulster Bathurst Stn,Investigation,20,25,N/B,4044
2015/06/02,505,8:00:00 AM,Tuesday,Broadview and Gerrard,Held By,59,64,N/B,4043
2015/06/02,504,8:06:00 AM,Tuesday,Broadview and Gerrard,Mechanical,51,55,E/B,4010
