Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015/09/01,510,1:42:00 AM,Tuesday,Wolseley loop,Investigation,0,0,N/B,4086
2015/09/01,501,5:25:00 AM,Tuesday,Queensway and Roncesvalles,Mechanical,6,12,W/B,4229
2015/09/01,506,5:53:00 AM,Tuesday,Coxwell and Gerrard,Mechanical,4,8,E/B,4133
2015/09/01,504,6:08:00 AM,Tuesday,Roncesvalles and King,Mechanical,6,12,N/B,4002
2015/09/01,504,6:09:00 AM,Tuesday,Broadview and Dundas,Mechanical,5,10,W/B,4035
2015/09/01,504,6:20:00 AM,Tuesday,Broadview and Queen,Mechanical,4,8,E/B,4082
2015/09/01,506,7:08:00 AM,Tuesday,Roncesvalles CH,Late Leaving Garage,4,8,E/B,4037
2015/09/01,506,8:00:00 AM,Tuesday,High Park to Main Station,General Delay,20,12,B/W,
2015/09/01,504,8:42:00 AM,Tuesday,King and Parliament,Investigation,2,4,W/B,4051
2015/09/01,506,10:14:00 AM,Tuesday,Howard Park and Roncesvalles,Mechanical,6,12,W/B,4176
2015/09/01,501,10:22:00 AM,Tuesday,E\B Connaught,General Delay,16,22,E/B,4226
2015/09/01,805,11:09:00 AM,Tuesday,Bathurst/Nassau,Investigation,5,10,S/B,7953
2015/09/01,501,11:46:00 AM,Tuesday,Queen St. W. at Roncesvalles.,Mechanical,6,12,W/B,4248
2015/09/01,501,12:00:00 PM,Tuesday,Spadina/Queen - Yonge/Queen,General Delay,25,12,E/B,
2015/09/01,805,12:34:00 PM,Tuesday,Bathurst stn,Investigation,0,0,S/B,1010
2015/09/01,504,1:50:00 PM,Tuesday,King & Queen,Mechanical,4,8,W/B,4052
2015/09/01,504,1:55:00 PM,Tuesday,Roncy & Queen,Mechanical,8,12,E/B,4155
2015/09/01,511,2:04:00 PM,Tuesday,Bathurst/Queen,Mechanical,5,10,S/B,4119
2015/09/01,505,2:57:00 PM,Tuesday,Dundas St. West and Yonge St.,Investigation,15,20,E/B,4075
2015/09/01,504,3:02:00 PM,Tuesday,King & Parliament,Investigation,4,8,E/B,4110
2015/09/01,505,3:05:00 PM,Tuesday,Queen St. East and Leslie St.,Mechanical,5,10,W/B,4089
2015/09/01,504,3:42:00 PM,Tuesday,Kingston & Woodbine,Investigation,15,0,E/B,4080
2015/09/01,504,4:10:00 PM,Tuesday,Roncy & Queen,Mechanical,4,8,E/B,4084
2015/09/01,504,4:13:00 PM,Tuesday,King & John,Investigation,4,8,E/B,4036
2015/09/01,510,4:16:00 PM,Tuesday,Charolette Loop,Investigation,2,4,S/B,4000
2015/09/01,504,4:52:00 PM,Tuesday,King & Queen,Mechanical,4,8,W/B,4082
2015/09/01,506,5:14:00 PM,Tuesday,"Parliament, north of Gerrard",Held By,64,69,W/B,
2015/09/01,504,5:15:00 PM,Tuesday,King & Church,Mechanical,29,33,E/B,4054
2015/09/01,504,5:58:00 PM,Tuesday,King & University,Investigation,4,8,W/B,4155
2015/09/01,501,6:15:00 PM,Tuesday,Queen at Victoria,Investigation,5,11,E/B,4215
2015/09/01,501,7:47:00 PM,Tuesday,Queen at Bathurst,Investigation,5,10,W/B,4247
2015/09/01,505,7:56:00 PM,Tuesday,Dundas St. West and Brock St.,Mechanical,6,12,W/B,4139
2015/09/01,501,9:20:00 PM,Tuesday,Queen and Church,Mechanical,6,12,W/B,4233
2015/09/01,501,9:22:00 PM,Tuesday,Ossington and Queen,Mechanical,6,12,E/B,4098
2015/09/01,510,11:05:00 PM,Tuesday,Union Station,Utilized Off Route,8,16,N/B,4000
2015/09/01,510,11:07:00 PM,Tuesday,Spadina and Queens Quay,Utilized Off Route,8,16,S/B,4068
2015/09/01,504,11:09:00 PM,Tuesday,King St. West and Bathurst St.,Utilized Off Route,8,16,W/B,4099
2015/09/01,504,11:12:00 PM,Tuesday,King St. West and Bathurst St.,Utilized Off Route,8,16,E/B,4122
2015/09/01,506,11:12:00 PM,Tuesday,College at Bathurst,Utilized Off Route,10,20,W/B,4133
2015/09/01,501,11:36:00 PM,Tuesday,Queen and Roncesvalles,Utilized Off Route,9,18,E/B,4236
2015/09/01,506,11:38:00 PM,Tuesday,College at Bathurst,Utilized Off Route,10,20,W/B,4197
2015/09/02,501,12:02:00 AM,Wednesday,Queen and Sherbourne,Held By,8,17,W/B,4247
2015/09/02,501,1:13:00 AM,Wednesday,Queen and Roncesvalles,Mechanical,9,18,W/B,4213
2015/09/02,505,5:25:00 AM,Wednesday,Queen and Broadview,Late Leaving Garage,5,10,E/B,4134
2015/09/02,506,5:39:00 AM,Wednesday,Coxwell and Gerrard,Late Leaving Garage,6,17,E/B,4178
2015/09/02,501,5:40:00 AM,Wednesday,Queensway and Roncesvalles,Late Leaving Garage,5,10,W/B,4046
2015/09/02,504,5:43:00 AM,Wednesday,Queen and Broadview,Mechanical,5,10,W/B,
2015/09/02,506,5:44:00 AM,Wednesday,Coxwell and gerrard,Late Leaving Garage,11,17,E/B,4069
2015/09/02,511,6:14:00 AM,Wednesday,Bahurst and King,Late Leaving Garage,6,12,W/B,4065
2015/09/02,511,6:18:00 AM,Wednesday,Bathurst and King,Late Leaving Garage,6,12,N/B,4147
2015/09/02,509,6:18:00 AM,Wednesday,Bathurst and Fleet,Late Leaving Garage,4,8,N/B,4012
2015/09/02,504,6:20:00 AM,Wednesday,King and Roncesvalles,Late Leaving Garage,4,8,N/B,4227
2015/09/02,504,6:38:00 AM,Wednesday,King and Jameson,Held By,17,22,W/B,4013
2015/09/02,509,6:50:00 AM,Wednesday,Union stn,Mechanical,0,0,,4181
2015/09/02,504,6:51:00 AM,Wednesday,Queen and Broadview,Mechanical,4,8,W/B,4048
2015/09/02,506,7:15:00 AM,Wednesday,Gerrard and Broadview,Mechanical,4,8,E/B,4098
2015/09/02,512,7:26:00 AM,Wednesday,St. Clair/Lansdowne,General Delay,0,0,E/B,4196
2015/09/02,504,7:44:00 AM,Wednesday,Broadview Stn,Mechanical,4,8,W/B,4226
2015/09/02,505,8:49:00 AM,Wednesday,Dundas and Ossington,Mechanical,6,12,E/B,4027
2015/09/02,506,10:36:00 AM,Wednesday,College at Bathurst,Utilized Off Route,9,18,W/B,4115
2015/09/02,501,12:00:00 PM,Wednesday,Kingston at Glen Stewart,Held By,24,34,B/W,4039
2015/09/02,505,1:30:00 PM,Wednesday,Broadview station,Mechanical,7,14,W/B,4014
2015/09/02,501,1:55:00 PM,Wednesday,Queensway at South kingsway,Investigation,14,20,W/B,4209
2015/09/02,501,1:59:00 PM,Wednesday,Queen at Ossington,Mechanical,5,10,W/B,4233
2015/09/02,501,2:10:00 PM,Wednesday,Queen at Wineva,Emergency Services,5,10,W/B,4242
2015/09/02,501,3:41:00 PM,Wednesday,Roncesvalles Equipment,Mechanical,10,20,W/B,
2015/09/02,504,4:57:00 PM,Wednesday,King & Bay,Mechanical,4,8,W/B,4070
2015/09/02,506,5:05:00 PM,Wednesday,Lower Gerrard at Coxwell,Mechanical,5,10,E/B,4037
2015/09/02,501,5:09:00 PM,Wednesday,Queen at Broadview,Mechanical,18,24,E/B,4220
2015/09/02,504,5:14:00 PM,Wednesday,Queen & Broadview,Utilized Off Route,17,21,E/B,4226
2015/09/02,502,5:15:00 PM,Wednesday,Queen at Broadview,Held By,12,22,E/B,4184
2015/09/02,506,5:32:00 PM,Wednesday,Main Station,Mechanical,31,36,W/B,4025
2015/09/02,501,5:34:00 PM,Wednesday,Queen at Carlaw,Mechanical,24,30,E/B,4215
2015/09/02,502,6:14:00 PM,Wednesday,Queen at York,Investigation,25,35,E/B,4186
2015/09/02,501,6:20:00 PM,Wednesday,Queen at York,Investigation,19,24,E/B,4219
2015/09/02,504,7:03:00 PM,Wednesday,King & Beatty,Mechanical,17,21,E/B,4163
2015/09/02,505,7:14:00 PM,Wednesday,Dundas St. West and Lansdowne Ave.,Mechanical,23,30,W/B,4153
2015/09/02,505,7:21:00 PM,Wednesday,Dundas St. West and Lansdowne Ave.,Utilized Off Route,7,14,W/B,4021
