Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Nov-17,501,1:09:00 AM,Wednesday,Queen and Roncesvalles,Mechanical,10,20,E/B,4236
1-Nov-17,501,2:30:00 AM,Wednesday,Queen and Roncesvalles,Emergency Services,1,1,W/B,4068
1-Nov-17,501,2:31:00 AM,Wednesday,Longbranch Loop,Emergency Services,20,40,W/B,1409
1-Nov-17,501,2:50:00 AM,Wednesday,Longbranch Loop,Utilized Off Route,10,20,E/B,1019
1-Nov-17,501,5:44:00 AM,Wednesday,Queen/Jarvis,Mechanical,6,13,E/B,8681
1-Nov-17,501,5:56:00 AM,Wednesday,Queen and Connaught,Mechanical,6,12,E/B,4217
1-Nov-17,501,5:59:00 AM,Wednesday,Queen/Dunn,Investigation,6,12,E/B,7904
1-Nov-17,511,6:39:00 AM,Wednesday,wilson / bathurst,Held By,6,12,S/B,8377
1-Nov-17,504,6:45:00 AM,Wednesday,Roncesvalles and Queen,Late Leaving Garage,4,8,N/B,4141
1-Nov-17,501,6:48:00 AM,Wednesday,Queen/Church,Mechanical,6,13,E/B,7426
1-Nov-17,504,7:15:00 AM,Wednesday,King & Roncy,Mechanical,4,8,W/B,4055
1-Nov-17,501,7:21:00 AM,Wednesday,Queen/Ossington,Mechanical,5,11,W/B,4247
1-Nov-17,514,8:25:00 AM,Wednesday,King & Parliament,Mechanical,8,16,E/B,4412
1-Nov-17,514,8:25:00 AM,Wednesday,King & Parliament,Utilized Off Route,8,16,W/B,4424
1-Nov-17,501,8:27:00 AM,Wednesday,Queen/Spadina,General Delay,8,13,E/B,4236
1-Nov-17,504,8:30:00 AM,Wednesday,Dundas west to Broadview Stn,General Delay,20,15,B/W,
1-Nov-17,506,9:53:00 AM,Wednesday,Ossington and College,Investigation,22,28,E/B,4115
1-Nov-17,501,10:10:00 AM,Wednesday,Queen/Dunn,Mechanical,6,12,E/B,4222
1-Nov-17,511,10:27:00 AM,Wednesday,Bathurst at Lennox,Mechanical,5,9,B/W,8360
1-Nov-17,501,10:30:00 AM,Wednesday,Lakeshore/23rd Av.,Mechanical,6,12,E/B,1062
1-Nov-17,501,10:41:00 AM,Wednesday,Queen/Gladstone,Mechanical,6,12,E/B,4236
