Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Sep-17,512,12:12:00 AM,Friday,Gunns Loop,Held By,14,20,E/B,4197
1-Sep-17,501,2:50:00 AM,Friday,Queen and Ohara,Mechanical,5,10,W/B,1516
1-Sep-17,506,5:45:00 AM,Friday,Roncesvalles yard,Late Leaving Garage,15,30,E/B,4154
1-Sep-17,514,5:53:00 AM,Friday,King and Parilament,Late Leaving Garage,3,6,W/B,4415
1-Sep-17,514,6:05:00 AM,Friday,King and Parilament,Late Leaving Garage,0,0,W/B,4408
1-Sep-17,514,6:07:00 AM,Friday,Distrillery Loop,Late Leaving Garage,0,0,W/B,4412
1-Sep-17,514,6:12:00 AM,Friday,King and Parliament,Late Leaving Garage,0,0,W/B,4430
1-Sep-17,514,6:40:00 AM,Friday,Springhurst Loop,Held By,9,17,W/B,4408
1-Sep-17,514,6:40:00 AM,Friday,Distrillery Loop,Late Leaving Garage,8,16,W/B,4215
1-Sep-17,504,7:26:00 AM,Friday,King & Jameson,Mechanical,16,20,W/B,4184
1-Sep-17,501,9:00:00 AM,Friday,Neville Loop,Mechanical,6,12,W/B,1616
1-Sep-17,512,9:58:00 AM,Friday,St. Clair West Stn.,Mechanical,3,6,W/B,4089
1-Sep-17,504,10:57:00 AM,Friday,Broadview & Gerrard,Mechanical,5,10,W/B,4038
1-Sep-17,501,11:58:00 AM,Friday,Queen and Victoria,Investigation,4,8,W/B,8325
1-Sep-17,502,1:05:00 PM,Friday,Bingham Loop,Mechanical,8,16,E/B,8155
1-Sep-17,511,2:23:00 PM,Friday,Bathurst at Ft. York,Diversion,92,96,S/B,4228
1-Sep-17,501,2:41:00 PM,Friday,Glen Manor and Queen,Mechanical,4,8,W/B,8348
1-Sep-17,509,2:47:00 PM,Friday,Queens Quay at York,Mechanical,6,12,W/B,4439
1-Sep-17,506,2:57:00 PM,Friday,Main Station,Mechanical,6,12,W/B,4154
1-Sep-17,501,3:03:00 PM,Friday,Lakeshore and Burlington,Mechanical,4,8,E/B,1359
1-Sep-17,509,3:23:00 PM,Friday,CNE Loop,Investigation,6,12,E/B,4423
1-Sep-17,501,3:53:00 PM,Friday,Neville loop,Mechanical,4,8,B/W,8208
1-Sep-17,512,4:50:00 PM,Friday,St Clair Station,Mechanical,4,7,W/B,4165
1-Sep-17,506,4:56:00 PM,Friday,Gerrard at River St,Mechanical,6,12,W/B,4042
1-Sep-17,501,5:00:00 PM,Friday,Glendale and Queensway,Investigation,4,8,B/W,7453
1-Sep-17,504,5:18:00 PM,Friday,King St E at Parliament,Investigation,45,49,E/B,4242
1-Sep-17,504,6:00:00 PM,Friday,Queen and Roncy,Mechanical,4,8,W/B,4245
1-Sep-17,506,8:00:00 PM,Friday,Gerrard at Broadview,Diversion,4,9,E/B,4106
1-Sep-17,501,8:40:00 PM,Friday,Queen and Silverbirch,Investigation,5,10,W/B,1522
1-Sep-17,501,9:24:00 PM,Friday,Queen and Agusta,Investigation,5,10,E/B,8395
1-Sep-17,504,10:00:00 PM,Friday,Broadview Stn to Dundas W.Stn,General Delay,15,10,B/W,
1-Sep-17,501,10:10:00 PM,Friday,Neville Park Loop,Mechanical,5,10,E/B,7844
1-Sep-17,506,10:20:00 PM,Friday,High Park Loop,Held By,7,14,E/B,4127
1-Sep-17,505,10:30:00 PM,Friday,broadview station,Mechanical,11,22,W/B,4149
1-Sep-17,511,11:09:00 PM,Friday,Bathust and Fleet,Held By,12,17,S/B,4433
2-Sep-17,504,7:44:00 AM,Saturday,King at Sudbury st.,Mechanical,10,20,W/B,4242
2-Sep-17,501,8:11:00 AM,Saturday,Neville Loop,Investigation,0,0,W/B,8194
2-Sep-17,501,8:20:00 AM,Saturday,Neville Loop,Mechanical,4,8,W/B,8121
2-Sep-17,505,8:51:00 AM,Saturday,DWS,Utilized Off Route,7,14,E/B,4069
2-Sep-17,501,9:01:00 AM,Saturday,Queen and John,Investigation,12,24,W/B,7709
2-Sep-17,501,11:51:00 AM,Saturday,Queen and Roncesvalles,Investigation,7,14,W/B,8320
2-Sep-17,512,12:06:00 PM,Saturday,Vaughan and St Clair,Mechanical,4,8,W/B,4163
2-Sep-17,511,12:35:00 PM,Saturday,Bathurst Station,Mechanical,34,38,S/B,4431
2-Sep-17,505,12:39:00 PM,Saturday,DWS,Mechanical,7,14,E/B,4187
2-Sep-17,504,1:15:00 PM,Saturday,Both ways King 504 Service.,General Delay,6,25,B/W,4014
2-Sep-17,512,1:22:00 PM,Saturday,St Clair Station,Mechanical,4,8,W/B,4103
2-Sep-17,501,1:46:00 PM,Saturday,Queen/Gladstone,General Delay,24,30,E/B,8334
2-Sep-17,506,1:51:00 PM,Saturday,College & Landown,Mechanical,10,20,E/B,7967
2-Sep-17,501,2:22:00 PM,Saturday,Parklawn/Lakeshore,Mechanical,7,13,S/B,7878
2-Sep-17,504,3:21:00 PM,Saturday,Broadview Station.,Investigation,6,11,W/B,4010
2-Sep-17,504,3:38:00 PM,Saturday,King at Dowling,Investigation,5,11,E/B,4145
2-Sep-17,504,4:58:00 PM,Saturday,Broadview at Danforth,Investigation,6,11,W/B,4208
2-Sep-17,501,6:33:00 PM,Saturday,Queen/Greenwood,Investigation,6,13,E/B,1417
2-Sep-17,514,7:17:00 PM,Saturday,Leslie at Queen,Investigation,0,0,E/B,4407
2-Sep-17,501,7:35:00 PM,Saturday,Queen/York,Mechanical,6,13,W/B,8121
2-Sep-17,509,8:54:00 PM,Saturday,Bathurst Station,Mechanical,7,14,S/B,4440
2-Sep-17,510,9:21:00 PM,Saturday,Queens Quay and Spadina,Mechanical,5,10,E/B,4414
2-Sep-17,506,11:05:00 PM,Saturday,College at Crawford,Mechanical,10,20,E/B,7934
3-Sep-17,509,12:14:00 AM,Sunday,Queens Quay and Rees,Investigation,164,171,W/B,4400
3-Sep-17,510,1:30:00 AM,Sunday,Harbord and Spadina,Mechanical,12,24,N/B,4440
3-Sep-17,301,2:37:00 AM,Sunday,Long Branch Loop,Mechanical,30,60,E/B,7779
3-Sep-17,501,5:24:00 AM,Sunday,Queensway and Roncesvalles,Mechanical,8,16,E/B,4163
3-Sep-17,510,5:59:00 AM,Sunday,Queens Quay,Mechanical,10,20,W/B,4439
3-Sep-17,504,6:42:00 AM,Sunday,Dundas west station,Mechanical,9,17,E/B,4074
3-Sep-17,505,7:38:00 AM,Sunday,Dundas and Brock,Mechanical,7,14,W/B,4017
3-Sep-17,506,9:03:00 AM,Sunday,Gerrard and Carlton,Investigation,6,12,W/B,4170
3-Sep-17,505,9:44:00 AM,Sunday,Dundas/Spadina,Mechanical,8,15,E/B,4182
3-Sep-17,504,12:16:00 PM,Sunday,King Street,General Delay,25,33,B/W,
3-Sep-17,506,1:33:00 PM,Sunday,College and Lansdowne,Mechanical,6,12,W/B,4121
3-Sep-17,510,2:02:00 PM,Sunday,Spadina Station,Emergency Services,8,16,N/B,4440
3-Sep-17,501,2:54:00 PM,Sunday,Both ways Queen 501,General Delay,15,21,B/W,
3-Sep-17,506,4:50:00 PM,Sunday,Highpark loop.,Mechanical,6,12,E/B,4035
3-Sep-17,505,6:17:00 PM,Sunday,Dundas/Lansdowne,Mechanical,7,13,W/B,4191
3-Sep-17,501,8:27:00 PM,Sunday,West Queen at Mcaul Loop,Held By,7,25,W/B,4237
3-Sep-17,504,8:45:00 PM,Sunday,Broadview Stn to Dundas W. Stn,General Delay,18,10,B/W,
3-Sep-17,805,10:11:00 PM,Sunday,Bathurst/Bloor,Investigation,4,8,S/B,4240
3-Sep-17,501,10:41:00 PM,Sunday,Queen and Lansdown,Investigation,6,14,W/B,8320
4-Sep-17,510,12:24:00 AM,Monday,Queens Quay and Reece,Held By,164,171,W/B,4436
4-Sep-17,301,1:41:00 AM,Monday,Queen and Roncesvalles,Mechanical,10,20,E/B,1071
4-Sep-17,504,1:59:00 AM,Monday,Roncesvallies and Queen,Held By,11,20,S/B,4123
4-Sep-17,504,6:04:00 AM,Monday,Queen and Roncesvalles,Mechanical,6,12,E/B,4200
4-Sep-17,506,6:17:00 AM,Monday,College and Bathurst,Mechanical,9,16,E/B,4153
4-Sep-17,509,6:43:00 AM,Monday,Spadina and Queens Quay,Investigation,0,0,E/B,4412
4-Sep-17,505,7:17:00 AM,Monday,Dundas & Jarvis,Mechanical,10,16,E/B,4132
4-Sep-17,501,7:58:00 AM,Monday,Connought to Long Branch,General Delay,10,15,B/W,
4-Sep-17,501,7:58:00 AM,Monday,Church St. to Sunnyside Loop,Diversion,271,276,B/W,
4-Sep-17,501,9:20:00 AM,Monday,Queen St. West and York St.,Held By,38,46,W/B,4210
4-Sep-17,511,10:00:00 AM,Monday,CNE-Bathurst stn,General Delay,10,17,B/W,
