Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jan-18,512,12:11:00 AM,Monday,St Clair station,Mechanical,10,20,W/B,4441
1-Jan-18,501,12:14:00 AM,Monday,Queen and Neville loop,Mechanical,12,24,E/B,4091
1-Jan-18,501,1:51:00 AM,Monday,Lakeshore and Long branch,Mechanical,8,16,W/B,8039
1-Jan-18,301,3:14:00 AM,Monday,Queen and Roncy,Mechanical,12,24,W/B,4024
1-Jan-18,505,3:27:00 AM,Monday,Dundas West Station,Mechanical,42,53,E/B,4004
1-Jan-18,501,5:50:00 AM,Monday,Lakeshore and Longbranch,Mechanical,7,14,W/B,1409
1-Jan-18,504,5:53:00 AM,Monday,LAKESHORE/QUEEN,Mechanical,9,16,N/B,4450
1-Jan-18,504,6:24:00 AM,Monday,Roncy Yard,Mechanical,9,17,N/B,4199
1-Jan-18,501,7:18:00 AM,Monday,Queen and Spadina,Mechanical,80,16,W/B,4229
1-Jan-18,501,7:28:00 AM,Monday,Queen and Roncy,Mechanical,8,16,W/B,4208
1-Jan-18,505,8:13:00 AM,Monday,DWS,Mechanical,7,14,E/B,4184
1-Jan-18,501,9:09:00 AM,Monday,Roncy yard,Mechanical,14,21,E/B,4153
1-Jan-18,504,9:16:00 AM,Monday,Roncy car House,Mechanical,6,9,N/B,4077
1-Jan-18,504,9:54:00 AM,Monday,Roncy Yard,Mechanical,7,13,N/B,4197
1-Jan-18,514,10:32:00 AM,Monday,EXHIBITION LOOP,Mechanical,14,28,E/B,4415
1-Jan-18,505,11:14:00 AM,Monday,DWS,Mechanical,26,32,E/B,4117
1-Jan-18,501,11:46:00 AM,Monday,Russell Yard,Mechanical,19,27,W/B,4024
1-Jan-18,505,1:23:00 PM,Monday,DWS,Mechanical,6,12,E/B,4103
1-Jan-18,506,1:55:00 PM,Monday,main station,Mechanical,6,12,W/B,4135
1-Jan-18,501,2:09:00 PM,Monday,Parliament and queen,Mechanical,6,12,W/B,4246
1-Jan-18,511,2:18:00 PM,Monday,King,Mechanical,0,0,S/B,1701
1-Jan-18,504,3:08:00 PM,Monday,Dundas W. Stn,Mechanical,7,13,S/B,4094
1-Jan-18,501,5:15:00 PM,Monday,Kipling and Burnhamthorpe,Mechanical,6,12,W/B,1409
1-Jan-18,512,5:31:00 PM,Monday,St Clair west station,Mechanical,1,1,W/B,4454
1-Jan-18,505,5:52:00 PM,Monday,Dundas West STN,Mechanical,6,12,E/B,4143
1-Jan-18,505,6:25:00 PM,Monday,Broadview STN,Mechanical,6,12,W/B,4182
1-Jan-18,504,6:37:00 PM,Monday,Broadview Stn,Mechanical,6,13,S/B,4455
1-Jan-18,506,10:49:00 PM,Monday,High Park loop,Mechanical,8,16,E/B,4186
1-Jan-18,505,11:23:00 PM,Monday,Broadview STN,Mechanical,6,12,W/B,4164
1-Jan-18,510,5:35:00 AM,Monday,Spadina and Queen,Late Leaving Garage,3,6,S/B,4413
1-Jan-18,506,6:10:00 AM,Monday,roncy yard,Late Leaving Garage,10,20,E/B,4186
1-Jan-18,506,7:12:00 AM,Monday,roncy/howard park,Late Leaving Garage,7,14,E/B,4014
1-Jan-18,504,8:48:00 AM,Monday,Broadview and Queen,Late Leaving Garage,6,12,E/B,4455
1-Jan-18,510,9:07:00 AM,Monday,Spadina and King,Late Leaving Garage,2,4,N/B,4449
1-Jan-18,510,9:12:00 AM,Monday,Spadina and King,Late Leaving Garage,4,8,S/B,4420
1-Jan-18,510,9:15:00 AM,Monday,Spadian and Queen,Late Leaving Garage,5,10,S/B,4457
1-Jan-18,510,9:20:00 AM,Monday,Spadina and King,Late Leaving Garage,3,6,N/B,4417
1-Jan-18,510,9:22:00 AM,Monday,Spadian and King,Late Leaving Garage,3,6,N/B,4416
1-Jan-18,510,9:26:00 AM,Monday,Spadian and Queen,Late Leaving Garage,7,14,S/B,4430
1-Jan-18,504,9:26:00 AM,Monday,Broadview and Queen,Late Leaving Garage,6,12,E/B,4445
1-Jan-18,510,9:30:00 AM,Monday,Spadina and King,Late Leaving Garage,5,10,N/B,4407
1-Jan-18,509,9:34:00 AM,Monday,Exhibition Loop,Late Leaving Garage,6,12,N/B,4405
1-Jan-18,509,10:00:00 AM,Monday,Exhibition Loop,Late Leaving Garage,6,12,E/B,4429
1-Jan-18,306,1:09:00 AM,Monday,Main station,Investigation,10,20,W/B,4032
1-Jan-18,306,1:29:00 AM,Monday,Main station,Investigation,1,1,W/B,4108
1-Jan-18,512,6:41:00 PM,Monday,St Clair and Caledonia,Investigation,24,30,E/B,4442
1-Jan-18,505,3:42:00 AM,Monday,Dundas and Shaw,Held By,11,22,E/B,4176
1-Jan-18,510,4:10:00 AM,Monday,Queen Street,Held By,182,192,S/B,4424
1-Jan-18,504,11:59:00 AM,Monday,Dundas W. Stn,Held By,6,13,E/B,4440
