Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Apr-18,504,12:55:00 AM,Sunday,Broadview Station,Mechanical,10,20,E/B,4180
1-Apr-18,504,6:44:00 AM,Sunday,Parliament,General Delay,8,16,E/B,4454
1-Apr-18,501,6:48:00 AM,Sunday,Neville Loop,Mechanical,8,16,W/B,4232
1-Apr-18,504,7:08:00 AM,Sunday,King and Duffering,General Delay,8,16,W/B,4402
1-Apr-18,501,8:03:00 AM,Sunday,Shaw,Mechanical,8,22,W/B,4153
1-Apr-18,511,8:17:00 AM,Sunday,Bathurst and King,Mechanical,6,12,S/B,4199
1-Apr-18,514,8:55:00 AM,Sunday,Dufferin and King,General Delay,15,30,W/B,4435
1-Apr-18,504,9:23:00 AM,Sunday,Roncesvalles and Queen,General Delay,8,16,W/B,4430
1-Apr-18,510,9:46:00 AM,Sunday,Spadina Stn,Mechanical,4,8,N/B,4464
1-Apr-18,504,10:30:00 AM,Sunday,Roncy and Queen,Utilized Off Route,6,12,W/B,4410
1-Apr-18,514,11:15:00 AM,Sunday,Parliament and King,Utilized Off Route,11,22,E/B,4448
1-Apr-18,504,11:20:00 AM,Sunday,Roncy and Queen,General Delay,8,16,W/B,4456
1-Apr-18,501,11:29:00 AM,Sunday,Beverly,Investigation,14,22,W/B,4141
1-Apr-18,504,11:57:00 AM,Sunday,Parliament and King,General Delay,7,14,E/B,4429
1-Apr-18,511,12:22:00 PM,Sunday,King,Investigation,27,32,S/B,4120
1-Apr-18,510,12:35:00 PM,Sunday,College,Mechanical,38,42,S/B,4467
1-Apr-18,501,12:51:00 PM,Sunday,Roncesvalles and Queen,Mechanical,7,14,W/B,4200
1-Apr-18,504,1:09:00 PM,Sunday,King and Portland,General Delay,18,26,W/B,4402
1-Apr-18,504,1:09:00 PM,Sunday,King and Portland,Investigation,18,26,W/B,4402
1-Apr-18,514,1:09:00 PM,Sunday,King and Portland,Held By,11,22,W/B,4448
1-Apr-18,501,4:16:00 PM,Sunday,Neville park to Kingston road,General Delay,5,10,B/W,4193
1-Apr-18,501,6:01:00 PM,Sunday,Longbranch and lakeshore,Mechanical,7,14,W/B,8015
1-Apr-18,501,6:10:00 PM,Sunday,Queensway and Glendale,Mechanical,5,10,W/B,4032
1-Apr-18,506,11:24:00 PM,Sunday,Main Stn,Mechanical,10,20,W/B,8118
2-Apr-18,501,12:26:00 AM,Monday,lakeshore and mimico,Mechanical,10,20,W/B,8062
2-Apr-18,301,2:45:00 AM,Monday,,Utilized Off Route,10,20,W/B,7945
2-Apr-18,501,4:44:00 AM,Monday,Queen and Connaught,Mechanical,12,24,W/B,4247
2-Apr-18,501,6:23:00 AM,Monday,Queensways and South Kingsway,Mechanical,6,12,E/B,4204
2-Apr-18,514,6:47:00 AM,Monday,Leslie Barns,Late Leaving Garage,8,16,W/B,4449
2-Apr-18,506,6:48:00 AM,Monday,College and Spadina,Mechanical,5,10,WB,7860
2-Apr-18,510,7:00:00 AM,Monday,Leslie Barns,Late Leaving Garage,5,10,W/B,4465
2-Apr-18,510,7:08:00 AM,Monday,Leslie Barns,Late Leaving Garage,5,10,W/B,4451
