Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Aug-18,501,5:37:00 AM,Wednesday,Russell Yard,Mechanical,4,8,W/B,4030
1-Aug-18,501,5:43:00 AM,Wednesday,Queen and Connaught,Mechanical,5,10,W/B,4030
1-Aug-18,502,6:15:00 AM,Wednesday,Queen and Connaught,Mechanical,8,17,E/B,4125
1-Aug-18,512,6:18:00 AM,Wednesday,Bathurst and St. Clair,Mechanical,4,8,E/B,4185
1-Aug-18,502,6:31:00 AM,Wednesday,Queen at Connaught,Mechanical,9,18,W/B,
1-Aug-18,501,6:32:00 AM,Wednesday,Queen at Bay,Emergency Services,13,17,W/B,4133
1-Aug-18,501,6:52:00 AM,Wednesday,Queen at Yonge,Mechanical,4,8,E/B,4184
1-Aug-18,506,7:21:00 AM,Wednesday,Parkside and Bloor,Mechanical,3,6,W/B,1409
1-Aug-18,505,7:30:00 AM,Wednesday,dundas/yonge,Mechanical,4,8,E/B,9221
1-Aug-18,505,8:10:00 AM,Wednesday,dundas west station,Mechanical,4,8,E/B,1414
1-Aug-18,512,9:18:00 AM,Wednesday,St Clair and Winona,Mechanical,1,1,E/B,4403
1-Aug-18,506,9:24:00 AM,Wednesday,Sherebourne and carlton st.,Investigation,3,6,W/B,7745
1-Aug-18,505,11:00:00 AM,Wednesday,dundas west station,Mechanical,4,8,E/B,7800
1-Aug-18,805,11:18:00 AM,Wednesday,Queen at Carroll,Mechanical,12,16,W/B,4035
1-Aug-18,501,11:18:00 AM,Wednesday,Queen at Carroll,Held By,,,W/B,4140
1-Aug-18,504,11:19:00 AM,Wednesday,Queen and Carroll,Mechanical,11,21,W/B,4156
1-Aug-18,501,11:54:00 AM,Wednesday,Humber Loop,Investigation,4,9,E/B,4034
1-Aug-18,506,1:02:00 PM,Wednesday,Dufferin and college,Mechanical,3,6,W/B,1104
1-Aug-18,504,1:51:00 PM,Wednesday,Roncy& Fermanagh,Mechanical,0,0,W/B,4487
1-Aug-18,504,2:09:00 PM,Wednesday,Queen & Connaught,Mechanical,10,20,E/B,4021
1-Aug-18,504,3:40:00 PM,Wednesday,Distrillery Loop,Mechanical,14,19,W/B,4473
1-Aug-18,505,3:46:00 PM,Wednesday,Jarvis and Dundas,Mechanical,4,8,W/B,9229
1-Aug-18,505,3:46:00 PM,Wednesday,Jarvis and Dundas,Mechanical,4,8,W/B,9229
1-Aug-18,506,3:57:00 PM,Wednesday,Roncesvalles and Howard Parki,Investigation,4,9,E/B,1387
1-Aug-18,512,4:06:00 PM,Wednesday,SCW,Mechanical,4,7,E/B,4402
1-Aug-18,501,5:20:00 PM,Wednesday,Queen and Broadview,Mechanical,5,10,E/B,4049
1-Aug-18,501,5:25:00 PM,Wednesday,Queen and Coxwell,Mechanical,5,10,W/B,4182
1-Aug-18,505,5:33:00 PM,Wednesday,Broadview Station,Mechanical,4,8,E/B,9215
1-Aug-18,501,5:36:00 PM,Wednesday,Humber Loop,Mechanical,5,10,E/B,4065
1-Aug-18,504,5:43:00 PM,Wednesday,King & Duoro,Investigation,6,11,E/B,4433
1-Aug-18,509,6:23:00 PM,Wednesday,,General Delay,20,25,E/B,
1-Aug-18,504,6:56:00 PM,Wednesday,Dufferin & King,Emergency Services,5,12,E/B,4135
1-Aug-18,505,7:12:00 PM,Wednesday,Sherbourne and Dundas,Investigation,4,8,E/B,7811
1-Aug-18,505,7:44:00 PM,Wednesday,Bay and Dundas,Investigation,4,8,W/B,7811
1-Aug-18,506,8:44:00 PM,Wednesday,High Park Station,Utilized Off Route,8,16,E/B,8124
1-Aug-18,505,8:57:00 PM,Wednesday,Chestnut and Dundas,Mechanical,5,10,W/B,8316
1-Aug-18,501,8:58:00 PM,Wednesday,Bay and Queen,Mechanical,4,8,W/B,4195
1-Aug-18,505,9:49:00 PM,Wednesday,Gladstone and Dundas,Investigation,6,12,W/B,1373
1-Aug-18,512,10:28:00 PM,Wednesday,Oakwood and St Clair,Investigation,6,12,W/B,8322
1-Aug-18,505,11:15:00 PM,Wednesday,University and Dundas,Investigation,8,16,W/B,1373
1-Aug-18,506,11:30:00 PM,Wednesday,Spadina and College,Utilized Off Route,8,16,E/B,8925
1-Aug-18,506,11:50:00 PM,Wednesday,River and Gerrard,Utilized Off Route,8,16,E/B,8123
1-Aug-18,509,11:59:00 PM,Wednesday,QQ and Dan Lackie,Mechanical,14,22,E/B,4474
2-Aug-18,504,12:28:00 AM,Thursday,SpringHurst Loop,Mechanical,29,39,E/B,4074
2-Aug-18,504,12:28:00 AM,Thursday,SpringHurst Loop,Utilized Off Route,10,20,E/B,4141
2-Aug-18,301,2:01:00 AM,Thursday,Leslie and Queen,Mechanical,7,14,E/B,4119
2-Aug-18,301,2:47:00 AM,Thursday,LongBranch Loop,Emergency Services,1,1,E/B,4052
2-Aug-18,501,6:12:00 AM,Thursday,Queen and Connaught,Mechanical,4,8,E/B,4090
2-Aug-18,502,6:31:00 AM,Thursday,Queen at Connaught,Mechanical,9,18,W/B,
2-Aug-18,502,6:32:00 AM,Thursday,Queen at Connaught,Mechanical,9,18,E/B,4150
2-Aug-18,512,6:32:00 AM,Thursday,ST CLAIR STN.,Mechanical,4,8,E/B,4426
2-Aug-18,504,6:50:00 AM,Thursday,Queen And Connaught,Mechanical,4,8,W/B,4193
2-Aug-18,501,6:54:00 AM,Thursday,Queen at McCaul,Mechanical,4,8,W/B,4141
2-Aug-18,506,7:47:00 AM,Thursday,Church and Carlton,Mechanical,3,6,E/B,8055
2-Aug-18,501,8:17:00 AM,Thursday,Queen at University,Emergency Services,12,16,E/B,4110
2-Aug-18,502,8:27:00 AM,Thursday,Queen at University,Held By,9,18,E/B,4123
2-Aug-18,501,9:15:00 AM,Thursday,Queen Route,General Delay,4,8,E/B,4126
2-Aug-18,501,10:10:00 AM,Thursday,Queen at Victoria,Investigation,4,6,W/B,4170
2-Aug-18,506,10:39:00 AM,Thursday,High park stn,Mechanical,3,6,E/B,1137
2-Aug-18,501,10:39:00 AM,Thursday,Queen at Gore Vale Ave,Investigation,16,20,W/B,4052
2-Aug-18,504,10:42:00 AM,Thursday,Church Street,Mechanical,5,10,W/B,4477
2-Aug-18,504,10:52:00 AM,Thursday,Dufferin,Mechanical,5,10,W/B,4406
2-Aug-18,501,11:05:00 AM,Thursday,Humber Loop,Mechanical,4,8,E/B,4226
2-Aug-18,501,11:15:00 AM,Thursday,Queen at Connaught,Mechanical,4,8,W/B,4101
2-Aug-18,501,12:02:00 PM,Thursday,Queen at McCaul,Mechanical,4,8,W/B,4131
2-Aug-18,501,12:43:00 PM,Thursday,Queen and Connaught,Mechanical,4,8,W/B,4226
2-Aug-18,501,1:16:00 PM,Thursday,Queen and Victoria,Emergency Services,14,18,E/B,4157
2-Aug-18,501,2:30:00 PM,Thursday,Lakeshore and Legion,Mechanical,7,16,E/B,4084
2-Aug-18,504,2:47:00 PM,Thursday,King & York,Held By,9,14,W/B,4462
2-Aug-18,501,2:49:00 PM,Thursday,Humber Loop,Mechanical,4,8,E/B,4084
2-Aug-18,504,3:00:00 PM,Thursday,Distrillery Loop,Mechanical,5,10,W/B,4461
2-Aug-18,504,3:00:00 PM,Thursday,Russell Yard,Mechanical,10,20,,4147
2-Aug-18,502,3:07:00 PM,Thursday,Russell Yard,Held By,14,23,,4176
2-Aug-18,504,3:12:00 PM,Thursday,Russell Yard,Held By,9,14,,4199
2-Aug-18,504,3:14:00 PM,Thursday,Russell Yard,Held By,7,17,,4096
2-Aug-18,502,3:15:00 PM,Thursday,Russell Yard,Held By,6,15,,4123
2-Aug-18,502,3:16:00 PM,Thursday,Russell Yard,Held By,5,14,,4108
2-Aug-18,504,4:06:00 PM,Thursday,King & Strachan,Mechanical,5,10,W/B,4482
