Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Dec-18,306,1:13:00 AM,Saturday,Main Station,Mechanical,10,20,W/B,4086
1-Dec-18,501,1:31:00 AM,Saturday,Park Lawn,Held By,35,44,W/B,4042
1-Dec-18,310,4:15:00 AM,Saturday,King and Charlotte,Investigation,30,60,N/B,4440
1-Dec-18,505,7:10:00 AM,Saturday,broadview station,Mechanical,10,20,W/B,1276
1-Dec-18,506,8:22:00 AM,Saturday,Bathurst Station,Mechanical,6,12,S/B,1118
1-Dec-18,512,9:48:00 AM,Saturday,st.clair/avenue road,Investigation,18,23,W/B,4451
1-Dec-18,501,10:14:00 AM,Saturday,Long Branch,Mechanical,6,12,E/B,4164
1-Dec-18,501,10:19:00 AM,Saturday,Wilson Park / Queen,Investigation,6,12,E/B,4127
1-Dec-18,505,11:56:00 AM,Saturday,dundas/river,Investigation,5,10,E/B,1223
1-Dec-18,504,12:49:00 PM,Saturday,Distrillery Loop,Mechanical,6,12,W/B,4465
1-Dec-18,512,1:10:00 PM,Saturday,Gunns Loop to St Clair/Yonge Stn,General Delay,12,10,B/W,
1-Dec-18,512,2:24:00 PM,Saturday,St Clair West @ Winona,Investigation,18,24,W/B,4475
1-Dec-18,504,3:45:00 PM,Saturday,Broadviw Stn,Mechanical,6,12,W/B,4457
1-Dec-18,504,3:55:00 PM,Saturday,Distrillery Loop,Mechanical,14,20,W/B,4415
1-Dec-18,512,5:15:00 PM,Saturday,St Clair West @ Lansdowne,Mechanical,6,12,E/B,4434
1-Dec-18,512,5:52:00 PM,Saturday,St Clair West @ Oakwood,Mechanical,6,12,E/B,4510
1-Dec-18,505,6:17:00 PM,Saturday,Dundas and Sherborne,Held By,56,62,B/W,8136
1-Dec-18,504,6:57:00 PM,Saturday,Dunds West to Broadview Stn,General Delay,15,20,B/W,
1-Dec-18,511,7:06:00 PM,Saturday,Fleet and bathurst,Investigation,6,10,S/B,1057
1-Dec-18,501,7:07:00 PM,Saturday,Queen and Bay,Investigation,0,0,E/B,4030
1-Dec-18,505,7:20:00 PM,Saturday,Dundas and Chestnut,Investigation,6,12,W/B,8490
1-Dec-18,506,8:54:00 PM,Saturday,Sherbourne and College,Mechanical,5,9,W/B,4021
1-Dec-18,501,9:49:00 PM,Saturday,Longbranch,General Delay,5,10,E/B,4193
1-Dec-18,506,10:22:00 PM,Saturday,Main Station,Investigation,7,14,W/B,4155
1-Dec-18,512,11:56:00 PM,Saturday,St. Clair and Yonge,Investigation,30,39,W/B,4509
2-Dec-18,504,12:04:00 AM,Sunday,King and bay,Mechanical,10,20,W/B,4436
2-Dec-18,501,12:18:00 AM,Sunday,Bathurst and Queen,Investigation,9,18,W/B,4460
