Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jun-18,501,12:07:00 AM,Friday,Peter and Queen,Investigation,4,8,E/B,4124
1-Jun-18,510,12:30:00 AM,Friday,King Street,Mechanical,8,16,S/B,4438
1-Jun-18,506,1:04:00 AM,Friday,Victoria Park Station,Mechanical,8,16,E/B,9206
1-Jun-18,512,1:09:00 AM,Friday,St.clair and old weston road,Mechanical,6,12,W/B,1141
1-Jun-18,306,2:05:00 AM,Friday,victoria park station,Utilized Off Route,30,60,W/B,1261
1-Jun-18,514,2:15:00 AM,Friday,Leslie Barns,Held By,17,1,E/B,4475
1-Jun-18,506,5:15:00 AM,Friday,Mt Dennis,Late Leaving Garage,3,6,E/B,1119
1-Jun-18,511,5:15:00 AM,Friday,Adelaide and Bathurst,Emergency Services,24,32,N/B,411
1-Jun-18,504,5:18:00 AM,Friday,Spadina and King,General Delay,4,8,W/B,4405
1-Jun-18,501,5:46:00 AM,Friday,Queen and Connaught,Late Leaving Garage,5,10,E/B,4074
1-Jun-18,502,5:52:00 AM,Friday,Dundas and Kingston road,Mechanical,12,24,W/B,8159
1-Jun-18,504,6:04:00 AM,Friday,Roncy and queen,General Delay,4,8,W/B,4424
1-Jun-18,506,6:15:00 AM,Friday,Mt Dennis,Late Leaving Garage,3,6,E/B,1143
1-Jun-18,504,6:37:00 AM,Friday,Queen and Broadview,Late Leaving Garage,4,8,W/B,4164
1-Jun-18,505,6:39:00 AM,Friday,Dundas,Utilized Off Route,6,12,B/W,7811
1-Jun-18,502,6:42:00 AM,Friday,Queen and Church,Utilized Off Route,12,24,W/B,8159
1-Jun-18,502,6:48:00 AM,Friday,Queen and Jarvis,Utilized Off Route,12,24,W/B,8140
1-Jun-18,506,6:50:00 AM,Friday,High park stn,Utilized Off Route,3,6,W/B,9215
1-Jun-18,506,6:52:00 AM,Friday,Landsdown and College,Utilized Off Route,3,6,E/B,7962
1-Jun-18,506,6:53:00 AM,Friday,Bay and College,Utilized Off Route,3,6,E/B,7745
1-Jun-18,502,6:53:00 AM,Friday,Scarborough and Kingston road,Utilized Off Route,12,24,W/B,9200
1-Jun-18,506,6:54:00 AM,Friday,Broadview and Gerrard,Utilized Off Route,3,6,E/B,1345
1-Jun-18,504,6:57:00 AM,Friday,Roncy and King,General Delay,4,8,W/B,4458
1-Jun-18,506,7:15:00 AM,Friday,Birchmount garage,Late Leaving Garage,3,6,W/B,8951
1-Jun-18,506,8:00:00 AM,Friday,"High park stn,",Utilized Off Route,3,6,E/B,8005
1-Jun-18,504,8:18:00 AM,Friday,Dufferin and King,Mechanical,4,8,W/B,4104
1-Jun-18,504,8:37:00 AM,Friday,Parliament and king,General Delay,7,14,E/B,4420
1-Jun-18,504,8:52:00 AM,Friday,Parliament and King,General Delay,4,8,E/B,4420
1-Jun-18,504,8:54:00 AM,Friday,Parliament and King,General Delay,4,8,E/B,4408
1-Jun-18,514,9:03:00 AM,Friday,Dufferin and Springhurst,Investigation,91,20,S/B,4472
1-Jun-18,504,9:13:00 AM,Friday,King and Sumach,Utilized Off Route,4,8,E/B,4424
1-Jun-18,504,9:18:00 AM,Friday,Roncy and Queen,Mechanical,4,8,E/B,4410
1-Jun-18,504,9:22:00 AM,Friday,Roncy and Queen,General Delay,7,14,W/B,4439
1-Jun-18,504,9:28:00 AM,Friday,Parliament,General Delay,7,14,E/B,4065
1-Jun-18,504,9:32:00 AM,Friday,Parliament and King,General Delay,4,8,E/B,4105
1-Jun-18,506,9:52:00 AM,Friday,Victoria park stn,Mechanical,3,6,S/B,7816
1-Jun-18,504,9:55:00 AM,Friday,Parliament and King,General Delay,4,8,E/B,4065
1-Jun-18,514,9:58:00 AM,Friday,Duffering and King,Utilized Off Route,10,20,W/B,4412
1-Jun-18,503,10:05:00 AM,Friday,Kingston Rd and Woodbine,Mechanical,9,18,E/B,4197
1-Jun-18,504,10:33:00 AM,Friday,Roncy and queen,Investigation,7,14,W/B,4400
1-Jun-18,504,10:34:00 AM,Friday,Dundas and Broadview,General Delay,7,14,E/B,4420
1-Jun-18,514,10:45:00 AM,Friday,King and Sumach,Utilized Off Route,10,20,E/B,4475
1-Jun-18,514,11:00:00 AM,Friday,Yonge and King,Investigation,10,20,E/B,4457
1-Jun-18,504,11:07:00 AM,Friday,Parliament and King,General Delay,4,8,E/B,4057
1-Jun-18,504,11:09:00 AM,Friday,Duffering and King,General Delay,4,8,W/B,4087
1-Jun-18,514,11:14:00 AM,Friday,Broadview station,Utilized Off Route,10,20,E/B,4476
1-Jun-18,504,11:29:00 AM,Friday,Roncy and King,General Delay,4,8,W/B,4154
1-Jun-18,504,11:38:00 AM,Friday,Parliament and King,General Delay,4,8,E/B,4105
