Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Mar-18,306,1:27:00 AM,Thursday,Main Station,Mechanical,8,16,W/B,1521
1-Mar-18,504,5:18:00 AM,Thursday,Broadview and Queen,Mechanical,1,6,W/B,4012
1-Mar-18,501,5:24:00 AM,Thursday,Broadview and Queen,Held By,6,13,W/B,4177
1-Mar-18,301,5:58:00 AM,Thursday,Queen and Jarvis,Investigation,6,12,E/B,4143
1-Mar-18,501,6:10:00 AM,Thursday,Queen and Connaught,Mechanical,3,10,E/B,4236
1-Mar-18,504,6:59:00 AM,Thursday,King & Trinity,Mechanical,4,8,E/B,4012
1-Mar-18,511,7:05:00 AM,Thursday,,General Delay,1,1,,
1-Mar-18,506,7:06:00 AM,Thursday,"Birchmount div,",Mechanical,3,6,W/B,8933
1-Mar-18,501,7:12:00 AM,Thursday,Queen and Carlaw,Utilized Off Route,9,15,E/B,4042
1-Mar-18,503,7:26:00 AM,Thursday,Queen and Connaught,Mechanical,12,24,E/B,4071
1-Mar-18,502,7:47:00 AM,Thursday,Queen and Victoria,Emergency Services,8,16,W/B,7803
1-Mar-18,504,8:30:00 AM,Thursday,King Route,General Delay,4,8,W/B,
1-Mar-18,501,9:03:00 AM,Thursday,Queen and Connaught,Mechanical,6,12,E/B,4204
1-Mar-18,505,9:47:00 AM,Thursday,Dundas West Stn,Mechanical,4,8,E/B,8154
1-Mar-18,512,10:00:00 AM,Thursday,St. Clair West Stn,Investigation,4,8,E/B,4141
1-Mar-18,501,10:13:00 AM,Thursday,Queen and Shaw,Held By,10,16,B/W,4171
1-Mar-18,514,11:40:00 AM,Thursday,Distrilly Loop,Mechanical,10,20,W/B,4436
1-Mar-18,505,12:02:00 PM,Thursday,Dundas & Spadina,Mechanical,4,8,W/B,7744
1-Mar-18,506,12:35:00 PM,Thursday,Grace and College,Investigation,3,6,W/B,8128
1-Mar-18,504,2:34:00 PM,Thursday,Broadview/Queen,Late Leaving Garage,4,8,W/B,4057
1-Mar-18,506,3:34:00 PM,Thursday,College and Ossingston,Mechanical,4,8,E/B,1034
1-Mar-18,501,4:11:00 PM,Thursday,Long Branch Loop,Investigation,8,16,,8431
1-Mar-18,512,4:58:00 PM,Thursday,St.Clair Station,Investigation,7,11,E/B,4462
1-Mar-18,506,5:21:00 PM,Thursday,College and Ossingston,Mechanical,4,8,E/B,1544
1-Mar-18,504,6:21:00 PM,Thursday,Broadview/Queen,Held By,5,9,W/B,4197
1-Mar-18,504,7:28:00 PM,Thursday,Bathurst stn,Mechanical,5,10,S/B,4077
1-Mar-18,506,8:17:00 PM,Thursday,High Park Station,Mechanical,6,12,E/B,7846
2-Mar-18,504,12:31:00 AM,Friday,Broadview and Dundas,Mechanical,7,14,S/B,4094
2-Mar-18,512,1:43:00 AM,Friday,St.clair and Oakwood loop,Mechanical,6,12,E/B,4461
2-Mar-18,501,4:41:00 AM,Friday,Eglington Garage,Mechanical,7,14,B/W,8916
2-Mar-18,501,5:14:00 AM,Friday,Russell Yard,Mechanical,10,20,W/B,4039
2-Mar-18,501,5:58:00 AM,Friday,Long Branch Loop,Mechanical,6,12,E/B,8091
2-Mar-18,505,6:07:00 AM,Friday,Dufferin and Lawrence,Mechanical,4,8,S/B,8345
2-Mar-18,501,6:40:00 AM,Friday,Queen / McCaul,Mechanical,5,10,W/B,4243
2-Mar-18,504,6:52:00 AM,Friday,Russell Yard,Late Leaving Garage,4,8,W/B,4140
2-Mar-18,511,7:11:00 AM,Friday,,General Delay,1,1,B/W,
2-Mar-18,503,7:15:00 AM,Friday,Russell Yard,Mechanical,8,16,E/B,4117
2-Mar-18,504,8:05:00 AM,Friday,Broadview & Gerard,Mechanical,6,10,S/B,4413
2-Mar-18,501,8:20:00 AM,Friday,Queen / Broadview,Held By,29,34,W/B,4246
2-Mar-18,503,8:20:00 AM,Friday,Queen / Broadview,Utilized Off Route,24,35,W/B,4119
2-Mar-18,502,8:20:00 AM,Friday,Queen / Broadview.,Utilized Off Route,15,30,W/B,7872
2-Mar-18,504,8:20:00 AM,Friday,Broadview & Queen,Mechanical,39,43,W/B,4413
2-Mar-18,504,8:30:00 AM,Friday,King Route,General Delay,4,8,W/B,
2-Mar-18,506,8:40:00 AM,Friday,Bay and College,Mechanical,3,6,W/B,1578
2-Mar-18,506,8:40:00 AM,Friday,Broadview and Gerrard.,Mechanical,3,6,W/B,1360
2-Mar-18,501,9:23:00 AM,Friday,Queen / Dufferin,Mechanical,6,12,W/B,8401
2-Mar-18,505,9:24:00 AM,Friday,Broadview and Millbrook,Held By,9,13,S/B,7816
2-Mar-18,501,9:25:00 AM,Friday,Queen / Kingston Rd,Investigation,32,37,W/B,4215
2-Mar-18,510,9:50:00 AM,Friday,Spadina Loop,Held By,9,18,N/B,420
2-Mar-18,510,11:07:00 AM,Friday,Spadina & Sullivan,Held By,30,34,S/B,4457
2-Mar-18,503,11:35:00 AM,Friday,King & Ontario,Mechanical,11,22,E/B,4053
2-Mar-18,504,1:10:00 PM,Friday,Russell Yard,Mechanical,4,8,W/B,4115
2-Mar-18,503,1:36:00 PM,Friday,King Street West / Peter,Held By,6,12,E/B,4119
2-Mar-18,501,2:18:00 PM,Friday,Queen at Connaught,Mechanical,5,10,E/B,4208
2-Mar-18,501,3:05:00 PM,Friday,Queen at Connaught,Mechanical,4,9,W/B,4182
2-Mar-18,505,4:01:00 PM,Friday,Dundas West Station,Mechanical,4,8,S/B,8322
2-Mar-18,504,4:01:00 PM,Friday,Queen / Roncesvalles,Investigation,2,5,W/B,4093
2-Mar-18,504,4:23:00 PM,Friday,king/york,Investigation,4,8,E/B,4020
2-Mar-18,512,4:38:00 PM,Friday,St. Clair and Lansdown,Mechanical,6,12,W/B,4108
2-Mar-18,512,4:54:00 PM,Friday,St. Clair and Robina,Emergency Services,4,8,E/B,4106
2-Mar-18,514,5:15:00 PM,Friday,King / Jameson,Mechanical,10,15,W/B,4414
2-Mar-18,504,5:15:00 PM,Friday,King / Jarvis,Held By,11,15,W/B,4423
2-Mar-18,506,5:24:00 PM,Friday,High Park STN,Mechanical,6,12,E/B,1578
2-Mar-18,505,6:54:00 PM,Friday,dundas/desnsen,Investigation,1,1,W/B,8137
2-Mar-18,506,7:20:00 PM,Friday,High Park STN,Mechanical,6,12,E/B,7831
2-Mar-18,504,8:18:00 PM,Friday,King and sherbourne,Investigation,16,20,W/B,4135
2-Mar-18,514,8:20:00 PM,Friday,Disterlly loop,Diversion,14,23,W/B,4444
2-Mar-18,510,10:01:00 PM,Friday,Queens Quay and Spadina,Mechanical,8,16,N/B,4440
2-Mar-18,501,11:17:00 PM,Friday,Queen and Carlaw,Diversion,36,43,B/W,4236
3-Mar-18,505,12:30:00 AM,Saturday,dundas west station,Mechanical,10,20,E/B,8138
3-Mar-18,506,1:21:00 AM,Saturday,Main and Gerrard,Mechanical,10,20,W/B,7715
3-Mar-18,504,1:23:00 AM,Saturday,Church and King,Held By,8,16,sb,4171
3-Mar-18,504,5:06:00 AM,Saturday,Russell Division,Mechanical,10,19,W/B,4140
3-Mar-18,501,7:59:00 AM,Saturday,Russell Yard,Mechanical,6,12,W/B,4215
3-Mar-18,501,8:37:00 AM,Saturday,Dufferin,Mechanical,6,6,W/B,4089
3-Mar-18,501,9:12:00 AM,Saturday,Russell Yard - Track 18,Mechanical,6,12,W/B,4251
3-Mar-18,501,10:33:00 AM,Saturday,LAKESHORE and Long Branch,Emergency Services,1,9,W/B,8083
3-Mar-18,514,10:49:00 AM,Saturday,Springhurst Loop,Held By,7,22,S/B,4451
3-Mar-18,504,12:13:00 PM,Saturday,Roncesvalles / Queen,Mechanical,6,11,W/B,4079
3-Mar-18,501,12:53:00 PM,Saturday,The Queensway and Ellis,Investigation,8,16,W/B,8434
3-Mar-18,504,1:04:00 PM,Saturday,Dufferin / King,General Delay,21,27,W/B,4140
3-Mar-18,501,1:34:00 PM,Saturday,Queen and Kingston Rd.,General Delay,4,4,E/B,4236
3-Mar-18,506,2:02:00 PM,Saturday,College and Yonge,Held By,10,17,E/B,1035
3-Mar-18,501,2:21:00 PM,Saturday,Queen and Church,Diversion,4,8,W/B,4125
3-Mar-18,501,2:59:00 PM,Saturday,Woodbine and Queen,Investigation,4,8,E/B,4197
3-Mar-18,505,3:10:00 PM,Saturday,Yonge Street,Held By,13,18,E/B,1674
3-Mar-18,514,3:10:00 PM,Saturday,Dufferin King,General Delay,47,59,W/B,4463
3-Mar-18,504,3:10:00 PM,Saturday,King / Dufferin,General Delay,47,52,W/B,4462
3-Mar-18,501,4:03:00 PM,Saturday,Strachan and Queen,Emergency Services,4,8,W/B,4228
3-Mar-18,504,6:42:00 PM,Saturday,Dundas W. Stn,Mechanical,6,12,S/B,4419
3-Mar-18,504,6:52:00 PM,Saturday,King and Roncy,Mechanical,6,12,E/B,4199
3-Mar-18,511,8:30:00 PM,Saturday,cne loop,Mechanical,4,8,S/B,4075
3-Mar-18,505,11:39:00 PM,Saturday,Dundas West Station,Mechanical,8,16,B/W,8347
4-Mar-18,505,8:00:00 AM,Sunday,Broadview Stn,Mechanical,6,12,W/B,7801
4-Mar-18,501,10:02:00 AM,Sunday,Queen and Parliament,Mechanical,6,12,W/B,4208
4-Mar-18,505,12:35:00 PM,Sunday,Broadview Station,Mechanical,7,14,E/B,8347
4-Mar-18,501,2:03:00 PM,Sunday,Queen and Connaught,Mechanical,6,12,E/B,4110
4-Mar-18,505,2:04:00 PM,Sunday,Sterling and Dundas,Mechanical,8,16,E/B,8314
4-Mar-18,501,2:37:00 PM,Sunday,Queen and Shaw,Emergency Services,23,29,W/B,4082
4-Mar-18,501,3:29:00 PM,Sunday,Queen and Connaught,Mechanical,6,12,W/B,4055
4-Mar-18,511,3:54:00 PM,Sunday,Bathurst and Front,Investigation,5,10,S/B,4073
4-Mar-18,501,4:17:00 PM,Sunday,Peel and Gladstone,Mechanical,6,12,W/B,86
4-Mar-18,506,4:49:00 PM,Sunday,Howard Park and Roncesvalles,Utilized Off Route,6,12,E/B,7818
4-Mar-18,506,4:56:00 PM,Sunday,Main and Danforth,Mechanical,6,13,N/B,1057
4-Mar-18,504,7:37:00 PM,Sunday,Broadview and Dundas,Held By,5,9,N/B,4418
4-Mar-18,501,8:07:00 PM,Sunday,Queen and Sunnyside loop,Mechanical,6,12,E/B,4160
4-Mar-18,506,8:30:00 PM,Sunday,College and Major,Emergency Services,10,20,W/B,1544
4-Mar-18,512,9:13:00 PM,Sunday,St Clair West Station,Investigation,22,27,W/B,4455
4-Mar-18,501,9:32:00 PM,Sunday,Queen and Jarvis,Mechanical,7,15,E/B,4167
4-Mar-18,504,9:44:00 PM,Sunday,King and Peter,Held By,64,73,B/W,4434
4-Mar-18,514,9:44:00 PM,Sunday,King and Peter,Held By,64,79,B/W,4432
4-Mar-18,805,11:30:00 PM,Sunday,Lakeshore and Spadina,Held By,10,13,N/B,8594
5-Mar-18,301,1:22:00 AM,Monday,Queen and Kingston Rd,Diversion,278,285,B/W,
5-Mar-18,504,2:08:00 AM,Monday,King and Dunn,Held By,35,45,W/B,4410
5-Mar-18,501,4:46:00 AM,Monday,Queen and Kingston Rd,Diversion,992,999,B/W,
5-Mar-18,512,6:01:00 AM,Monday,St.Clair and Oakwood,Mechanical,3,6,W/B,4080
5-Mar-18,506,6:15:00 AM,Monday,High Park Loop,Mechanical,3,6,W/B,1591
5-Mar-18,501,6:29:00 AM,Monday,Queen and Kingston,Mechanical,5,10,W/B,4001
5-Mar-18,501,6:51:00 AM,Monday,Queen and Cowan,Investigation,80,85,B/W,4167
5-Mar-18,506,6:57:00 AM,Monday,Main Station,Utilized Off Route,4,8,W/B,7868
5-Mar-18,506,7:10:00 AM,Monday,Main Station,Utilized Off Route,4,8,W/B,7791
5-Mar-18,504,7:20:00 AM,Monday,Broadview / Queen,Held By,71,76,S/B,4073
5-Mar-18,506,7:22:00 AM,Monday,High Park Loop,Mechanical,4,8,E/B,8105
5-Mar-18,501,7:40:00 AM,Monday,Queen and Connaught,Mechanical,5,10,E/B,4226
5-Mar-18,506,8:31:00 AM,Monday,High park Station,Mechanical,3,6,E/B,1028
5-Mar-18,504,8:40:00 AM,Monday,King/Parliament,Mechanical,4,8,W/B,4079
5-Mar-18,501,8:41:00 AM,Monday,Queen and Roncesvalles,Mechanical,5,10,E/B,4163
5-Mar-18,505,9:10:00 AM,Monday,Broadview/Riverdale,Investigation,5,10,W/B,1391
