Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-May-18,510,12:42:00 AM,Tuesday,Spadina and Nassau,Mechanical,7,14,N/B,4416
1-May-18,304,2:08:00 AM,Tuesday,Dundas West Platfrom,Investigation,15,30,W/B,4154
1-May-18,301,2:44:00 AM,Tuesday,Windermere and queensway,Utilized Off Route,9,18,W/B,8023
1-May-18,304,3:20:00 AM,Tuesday,Russell  Yard,Investigation,15,30,E/B,4105
1-May-18,502,5:10:00 AM,Tuesday,Birchmount Garage,Mechanical,12,24,W/B,
1-May-18,509,5:34:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4434
1-May-18,509,5:37:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4452
1-May-18,509,5:49:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4467
1-May-18,514,5:55:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4425
1-May-18,504,5:56:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4472
1-May-18,504,5:59:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4405
1-May-18,509,6:00:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4450
1-May-18,510,6:05:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4461
1-May-18,511,6:06:00 AM,Tuesday,Queen and Bathurst,Mechanical,5,10,W/B,4189
1-May-18,514,6:13:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4457
1-May-18,504,6:14:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4404
1-May-18,514,6:17:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,19,W/B,4428
1-May-18,504,6:22:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4433
1-May-18,514,6:31:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4465
1-May-18,510,6:41:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4426
1-May-18,504,6:47:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4427
1-May-18,514,7:07:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4439
1-May-18,504,7:07:00 AM,Tuesday,Leslie barns,Late Leaving Garage,4,8,W/B,4409
1-May-18,514,7:13:00 AM,Tuesday,King and Dufferin,General Delay,10,20,B/W,4425
1-May-18,510,7:13:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4400
