Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Nov-18,301,2:09:00 AM,Thursday,Queen and broadview,Diversion,11,18,W/B,4068
1-Nov-18,304,2:09:00 AM,Thursday,Queen/Sumach,Investigation,20,40,W/B,4413
1-Nov-18,512,2:34:00 AM,Thursday,St.clair and earlscourt,Emergency Services,1,1,E/B,4491
1-Nov-18,301,4:03:00 AM,Thursday,neville park loop,Emergency Services,1,1,W/B,4085
1-Nov-18,501,5:04:00 AM,Thursday,Russell Yard,Late Leaving Garage,19,29,E/B,4003
1-Nov-18,510,5:26:00 AM,Thursday,Leslie Barns,Late Leaving Garage,8,16,W/B,4485
1-Nov-18,504,5:26:00 AM,Thursday,Leslie Barns,Late Leaving Garage,4,8,W/B,4503
1-Nov-18,510,5:26:00 AM,Thursday,Leslie Barns,Late Leaving Garage,8,16,W/B,4477
1-Nov-18,512,5:27:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4439
1-Nov-18,504,5:27:00 AM,Thursday,Leslie Barns,Late Leaving Garage,4,8,W/B,4416
1-Nov-18,505,5:55:00 AM,Thursday,dundas/church,Investigation,7,14,W/B,8203
1-Nov-18,509,5:56:00 AM,Thursday,Fleet Loop,Mechanical,6,12,E/B,4453
1-Nov-18,510,6:33:00 AM,Thursday,Leslie Barns,Late Leaving Garage,8,16,W/B,4448
1-Nov-18,503,9:11:00 AM,Thursday,Queen & King,Mechanical,0,0,W/B,4105
1-Nov-18,506,10:36:00 AM,Thursday,Coxwell and Gerrard,Held By,5,14,N/B,4014
1-Nov-18,512,11:48:00 AM,Thursday,St. Clair and Laughton,Mechanical,5,10,E/B,4423
1-Nov-18,506,12:12:00 PM,Thursday,Gerrard and Pape,Investigation,12,17,E/B,4071
1-Nov-18,509,12:20:00 PM,Thursday,CNE Loop,Mechanical,7,14,E/B,4469
1-Nov-18,505,1:30:00 PM,Thursday,dundas/bay,Mechanical,4,8,W/B,7756
1-Nov-18,511,3:00:00 PM,Thursday,Queen,General Delay,5,10,E/B,1259
1-Nov-18,501,3:59:00 PM,Thursday,QUEEN /CHURCH,Investigation,31,35,E/B,4029
1-Nov-18,506,4:03:00 PM,Thursday,Coxwell,General Delay,5,10,E/B,4124
1-Nov-18,501,4:18:00 PM,Thursday,QUEEN/DUFFERIN,Mechanical,4,8,W/B,4150
1-Nov-18,504,4:45:00 PM,Thursday,King Street West Roncesvalles,Mechanical,6,12,W/B,4443
1-Nov-18,511,5:08:00 PM,Thursday,Bathurst,Mechanical,5,10,N/B,1260
1-Nov-18,501,5:44:00 PM,Thursday,QUEEN/YORK,Mechanical,4,8,E/B,4081
1-Nov-18,501,5:54:00 PM,Thursday,QUEEN/GREENWOOD,Mechanical,4,8,E/B,4103
1-Nov-18,501,5:57:00 PM,Thursday,QUEEN/KINGSTON ROAD,Investigation,24,28,E/B,4111
1-Nov-18,506,5:59:00 PM,Thursday,High park,Mechanical,5,10,W/B,4199
1-Nov-18,501,6:11:00 PM,Thursday,QUEEN/BAY,Mechanical,4,8,E/B,4052
1-Nov-18,505,6:30:00 PM,Thursday,Lansdowne,Investigation,5,10,E/B,8344
1-Nov-18,501,6:31:00 PM,Thursday,RONCY/QUEEN,Investigation,71,79,E/B,4127
1-Nov-18,505,7:02:00 PM,Thursday,Ossington,Mechanical,5,10,E/B,8343
1-Nov-18,501,7:28:00 PM,Thursday,QUEEN/GREENWOOD,Mechanical,4,8,E/B,4068
1-Nov-18,506,7:32:00 PM,Thursday,Spadina,Investigation,5,10,E/B,4050
1-Nov-18,505,7:36:00 PM,Thursday,Bathurst street,General Delay,12,16,E/B,8400
1-Nov-18,505,7:51:00 PM,Thursday,University Ave,Investigation,5,10,E/B,8400
1-Nov-18,505,8:22:00 PM,Thursday,Broadview Stn,Investigation,5,10,W/B,8217
1-Nov-18,501,8:37:00 PM,Thursday,Kingston road loop,Mechanical,4,8,W/B,4029
1-Nov-18,511,8:48:00 PM,Thursday,Bathurst station,Mechanical,5,10,S/B,1353
1-Nov-18,506,8:58:00 PM,Thursday,Church,Mechanical,5,10,E/B,4163
1-Nov-18,504,9:13:00 PM,Thursday,King/Duoro,Held By,8,16,E/B,4408
1-Nov-18,501,9:21:00 PM,Thursday,Neville park loop,Mechanical,25,29,E/B,4081
1-Nov-18,504,9:36:00 PM,Thursday,King/Simcoe,Mechanical,8,16,E/B,4474
1-Nov-18,504,9:52:00 PM,Thursday,King/Strachan,General Delay,12,18,E/B,4425
1-Nov-18,510,10:06:00 PM,Thursday,Sullivan,Investigation,8,16,S/B,4488
1-Nov-18,506,10:20:00 PM,Thursday,Church,General Delay,8,16,W/B,4010
1-Nov-18,504,10:35:00 PM,Thursday,King/Sumach,Diversion,48,54,W/B,4470
2-Nov-18,301,1:50:00 AM,Friday,Queen and yonge,Mechanical,38,47,W/B,4022
2-Nov-18,504,2:13:00 AM,Friday,Leslie/lakeshore,Emergency Services,1,1,S/B,4476
2-Nov-18,506,4:12:00 AM,Friday,Russell Yard,Mechanical,15,34,E/B,4012
2-Nov-18,506,4:27:00 AM,Friday,Russell Yard,Mechanical,15,30,E/B,4110
2-Nov-18,501,5:04:00 AM,Friday,Russell Yard,Mechanical,26,36,E/B,4124
2-Nov-18,506,5:06:00 AM,Friday,Russell Yard,Mechanical,9,14,E/B,4096
2-Nov-18,506,5:23:00 AM,Friday,Russell yard,Mechanical,6,15,E/B,4180
2-Nov-18,509,5:23:00 AM,Friday,Leslie Barns,Late Leaving Garage,10,9,W/B,4502
2-Nov-18,506,5:23:00 AM,Friday,Russell Yard,Late Leaving Garage,7,14,E/B,4125
2-Nov-18,504,5:24:00 AM,Friday,Leslie Barns,Late Leaving Garage,9,8,W/B,4481
2-Nov-18,512,5:27:00 AM,Friday,Leslie Barns,Late Leaving Garage,1,1,W/B,4467
2-Nov-18,504,5:27:00 AM,Friday,Leslie barns,Late Leaving Garage,8,10,W/B,4405
2-Nov-18,501,5:38:00 AM,Friday,Russell Yard,Mechanical,13,18,E/B,4141
2-Nov-18,501,5:49:00 AM,Friday,Russell Yard,Mechanical,6,8,E/B,4185
2-Nov-18,506,5:56:00 AM,Friday,Russell Yard,Late Leaving Garage,4,8,E/B,4093
2-Nov-18,501,6:10:00 AM,Friday,Russell Yard,Mechanical,4,8,E/B,4012
2-Nov-18,501,6:16:00 AM,Friday,Russell Yard,Mechanical,4,8,E/B,4147
2-Nov-18,506,6:18:00 AM,Friday,Russell Yard,Late Leaving Garage,7,15,E/B,4131
2-Nov-18,501,6:32:00 AM,Friday,Russell Yard,Mechanical,4,8,E/B,4024
