Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Oct-18,505,12:26:00 AM,Monday,Roncesvalles,Mechanical,7,16,E/B,9206
1-Oct-18,501,4:24:00 AM,Monday,Russell Yard,Late Leaving Garage,17,34,E/B,4048
1-Oct-18,501,4:32:00 AM,Monday,Russell yard,Late Leaving Garage,7,14,W/B,4042
1-Oct-18,501,5:50:00 AM,Monday,QUEEN/CANNAUGHT,Mechanical,4,8,W/B,4221
1-Oct-18,506,6:18:00 AM,Monday,,Late Leaving Garage,7,14,E/B,4119
1-Oct-18,501,6:19:00 AM,Monday,QUEENSWAY/COEHILL DR.,Investigation,174,178,E/B,4215
1-Oct-18,501,6:32:00 AM,Monday,Russell  Yard,Late Leaving Garage,5,10,E/B,4133
1-Oct-18,501,6:34:00 AM,Monday,QUEEN/CHURCH,Mechanical,4,8,E/B,4230
1-Oct-18,501,6:38:00 AM,Monday,Russell Yard,Late Leaving Garage,5,10,E/B,4120
1-Oct-18,501,6:38:00 AM,Monday,QUEEN/CARROLL,Mechanical,4,8,W/B,4042
1-Oct-18,511,6:43:00 AM,Monday,Bathurst STN,Investigation,4,8,S/B,1092
1-Oct-18,514,7:00:00 AM,Monday,Distillery Loop,Late Leaving Garage,7,14,W/B,4431
1-Oct-18,503,7:28:00 AM,Monday,Russell Yard,Late Leaving Garage,9,18,E/B,4103
1-Oct-18,512,8:04:00 AM,Monday,Gunns loop,Mechanical,4,8,E/B,4481
1-Oct-18,503,8:10:00 AM,Monday,Kingston road and Woodbine,Held By,45,57,W/B,4127
1-Oct-18,504,9:50:00 AM,Monday,Broadview and Queen,Mechanical,2,4,W/B,4001
1-Oct-18,502,10:30:00 AM,Monday,BIRGHAM LOOP,Mechanical,10,20,W/B,9200
1-Oct-18,504,10:50:00 AM,Monday,King and University,Held By,5,9,B/W,4150
1-Oct-18,512,11:14:00 AM,Monday,St Clair Stn,Mechanical,4,9,W/B,4414
1-Oct-18,501,11:56:00 AM,Monday,QUEEN/SUMACH,Mechanical,4,8,E/B,4230
1-Oct-18,510,12:39:00 PM,Monday,Queen and Spadina,Mechanical,8,16,S/B,4429
1-Oct-18,505,1:33:00 PM,Monday,Dundas West Station,Investigation,4,8,W/B,8154
1-Oct-18,512,3:27:00 PM,Monday,St Clair West Station,Utilized Off Route,141,146,E/B,4441
1-Oct-18,512,3:27:00 PM,Monday,St Clair West Stn,Mechanical,141,146,E/B,4475
1-Oct-18,505,3:37:00 PM,Monday,Bathurst Street,Utilized Off Route,4,8,E/B,8189
1-Oct-18,505,3:37:00 PM,Monday,Bathurst,Utilized Off Route,4,8,E/B,8312
1-Oct-18,505,3:37:00 PM,Monday,Bathurst,Utilized Off Route,4,8,E/B,7727
1-Oct-18,511,3:38:00 PM,Monday,Bathurst Station,Utilized Off Route,3,6,S/B,8342
1-Oct-18,511,3:38:00 PM,Monday,Bathrst Station,Utilized Off Route,3,6,S/B,8119
1-Oct-18,504,4:23:00 PM,Monday,King & Jarvis,Investigation,8,12,W/B,4435
1-Oct-18,506,4:50:00 PM,Monday,Gerrard and Coxwell,Mechanical,5,10,E/B,4115
1-Oct-18,501,4:58:00 PM,Monday,Queen & Spadina,Mechanical,9,14,W/B,4023
1-Oct-18,501,5:42:00 PM,Monday,Lakeshore & Legion,Mechanical,64,73,E/B,4014
1-Oct-18,506,5:54:00 PM,Monday,Dundas and Howard Park,Mechanical,1,1,W/B,4125
1-Oct-18,512,6:49:00 PM,Monday,St Clair Station,Mechanical,1,1,W/B,4497
1-Oct-18,506,7:07:00 PM,Monday,Carlton and Parliament,Mechanical,13,18,E/B,4096
1-Oct-18,512,7:15:00 PM,Monday,St Clair Route,Mechanical,1,1,,
1-Oct-18,505,7:41:00 PM,Monday,Gerrard and Broadview,Mechanical,5,10,E/B,8213
1-Oct-18,505,7:42:00 PM,Monday,Broadview Stn,Mechanical,5,10,W/B,1394
1-Oct-18,512,8:10:00 PM,Monday,Queen at Logan,Mechanical,1,1,E/B,4488
1-Oct-18,506,8:40:00 PM,Monday,College and Spadina,Mechanical,1,1,E/B,4145
1-Oct-18,504,9:32:00 PM,Monday,Dundas west station,Emergency Services,5,10,W/B,4458
