Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Nov-19,511,12:17:00 AM,Friday,Bathurst Station,Mechanical,8,16,S/B,4021
1-Nov-19,511,1:36:00 AM,Friday,Bathurst and Dundas,Mechanical,8,16,N/B,4110
1-Nov-19,310,4:53:00 AM,Friday,Spadina Station,Investigation,10,20,S/B,4519
1-Nov-19,506,5:41:00 AM,Friday,church/carlton,Overhead - Pantograph,9,17,W/B,4547
1-Nov-19,504,6:08:00 AM,Friday,Distilery Loop,Held By,6,14,W/B,4511
1-Nov-19,501,6:09:00 AM,Friday,Leslie and Queen,Held By,7,15,E/B,4466
1-Nov-19,512,6:09:00 AM,Friday,Bathurst and St Clair,Held By,6,9,E/B,4577
1-Nov-19,512,6:15:00 AM,Friday,Bathurst and St Clair,Held By,2,6,E/B,4584
1-Nov-19,504,6:27:00 AM,Friday,Broadview and Queen,Held By,6,12,W/B,4466
1-Nov-19,509,6:41:00 AM,Friday,Cne Loop,Mechanical,5,10,E/B,4432
1-Nov-19,506,7:38:00 AM,Friday,college/clinton,Investigation,5,10,E/B,7924
1-Nov-19,505,8:01:00 AM,Friday,Spadina/Dundas,Mechanical,4,8,E/B,1028
1-Nov-19,505,8:04:00 AM,Friday,Dundas west station,Emergency Services,4,8,E/B,3151
1-Nov-19,510,11:40:00 AM,Friday,Queens Quay Loop,Emergency Services,9,19,S/B,4524
1-Nov-19,504,12:26:00 PM,Friday,King and Spadina Avenue,Mechanical,13,17,W/B,4422
1-Nov-19,504,12:56:00 PM,Friday,King and Dufferin Street,Mechanical,4,8,W/B,4445
1-Nov-19,504,2:12:00 PM,Friday,Queen and Broadview Av.,Mechanical,4,8,E/B,4546
1-Nov-19,511,2:26:00 PM,Friday,Exhibition Loop,Mechanical,6,12,N/B,4024
1-Nov-19,505,2:30:00 PM,Friday,Broadview and Dundas,General Delay,16,20,E/B,3108
1-Nov-19,504,2:39:00 PM,Friday,King and York St.,Emergency Services,4,8,E/B,4566
1-Nov-19,511,4:16:00 PM,Friday,Bathurst/College,General Delay,10,16,S/B,4110
1-Nov-19,508,6:14:00 PM,Friday,Queensway and Colborne Lodge,Mechanical,1,2,W/B,4561
1-Nov-19,501,6:34:00 PM,Friday,Queen and Connought,Mechanical,6,12,W/B,8370
1-Nov-19,501,7:43:00 PM,Friday,Queen and Crawford,Investigation,149,157,B/W,4434
1-Nov-19,506,7:52:00 PM,Friday,High Park Loop,Mechanical,6,12,E/B,4184
1-Nov-19,504,7:59:00 PM,Friday,King and Bay Street,Emergency Services,13,18,W/B,4498
1-Nov-19,501,9:24:00 PM,Friday,w/b Trailer track Russell Yard,Investigation,8,16,E/B,4536
1-Nov-19,506,11:58:00 PM,Friday,College and Church,Held By,16,22,E/B,4521
2-Nov-19,301,1:41:00 AM,Saturday,Russell Yard W/B trailer track,Investigation,10,20,W/B,4496
2-Nov-19,301,3:54:00 AM,Saturday,Longbranch Loop,Mechanical,15,30,E/B,4536
2-Nov-19,501,5:26:00 AM,Saturday,Queen/Yonge,Mechanical,15,30,W/B,1639
2-Nov-19,501,6:41:00 AM,Saturday,Queen/Victoria,Held By,39,48,E/B,4454
2-Nov-19,501,7:23:00 AM,Saturday,Queen/Church,Investigation,9,18,E/B,4422
2-Nov-19,504,7:52:00 AM,Saturday,King/Shaw,Utilized Off Route,10,20,W/B,4481
2-Nov-19,506,8:33:00 AM,Saturday,coxwell/queen,Investigation,7,14,E/B,4178
2-Nov-19,504,9:21:00 AM,Saturday,King/Dufferin,Mechanical,10,20,W/B,4571
2-Nov-19,506,9:28:00 AM,Saturday,roncy/howardpark,Held By,16,24,W/B,4170
2-Nov-19,505,12:06:00 PM,Saturday,Ossington and Bathurst,Mechanical,4,8,E/B,8962
2-Nov-19,505,12:14:00 PM,Saturday,Dundas West Station,Mechanical,4,8,E/B,8541
2-Nov-19,501,1:13:00 PM,Saturday,Parklawn,Held By,18,28,B/W,4455
2-Nov-19,501,1:40:00 PM,Saturday,Church,Investigation,7,14,E/B,4434
2-Nov-19,505,1:44:00 PM,Saturday,Broadview Station,Emergency Services,4,8,W/B,1007
2-Nov-19,505,1:50:00 PM,Saturday,Broadview Station,Mechanical,4,8,W/B,9227
2-Nov-19,505,2:20:00 PM,Saturday,Broadview Station to Dundas West,General Delay,1,1,B/W,1007
2-Nov-19,505,3:54:00 PM,Saturday,Dufferin and Dundas,Investigation,4,8,W/B,1108
2-Nov-19,501,3:58:00 PM,Saturday,Elmer Street,Investigation,5,10,W/B,8393
