Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Apr-19,512,4:26:00 AM,Monday,Roncesvalles Yard.,Mechanical,10,20,E/B,4460
1-Apr-19,501,4:27:00 AM,Monday,Queen St. E and Woodfield Ave.,Mechanical,17,17,E/B,4189
1-Apr-19,501,4:37:00 AM,Monday,Queen St. E at Greenwood Ave.,Mechanical,5,10,W/B,4012
1-Apr-19,501,4:46:00 AM,Monday,Queen St E at Woodfield Ave,Mechanical,6,4,E/B,4039
1-Apr-19,510,5:00:00 AM,Monday,King and Spadina,Mechanical,11,,N/B,4465
1-Apr-19,501,5:25:00 AM,Monday,Queen St. E at Greenwood Ave.,Held By,1,2,W/B,4121
1-Apr-19,501,5:31:00 AM,Monday,Queen St. E at Greenwood Ave.,Mechanical,4,9,W/B,4117
1-Apr-19,506,5:41:00 AM,Monday,Coxwell Ave. and Lower Gerrard St.,Mechanical,6,16,E/B,4141
1-Apr-19,501,5:41:00 AM,Monday,Queen St. E at Greenwood Ave.,Mechanical,5,10,W/B,4114
1-Apr-19,504,5:44:00 AM,Monday,Leslie Barns,Late Leaving Garage,2,6,W/B,4459
1-Apr-19,501,5:47:00 AM,Monday,Leslie Barns,Late Leaving Garage,2,6,E/B,4529
1-Apr-19,504,5:47:00 AM,Monday,Leslie Barns,Late Leaving Garage,3,6,W/B,4429
1-Apr-19,504,5:47:00 AM,Monday,Leslie Barns,Late Leaving Garage,3,6,W/B,4467
1-Apr-19,504,5:51:00 AM,Monday,Dundas wStn,Mechanical,0,0,W/B,4416
1-Apr-19,505,6:58:00 AM,Monday,Dundas and Lansdowne,Mechanical,4,8,W/B,3105
1-Apr-19,501,7:05:00 AM,Monday,Long Branch Loop,Mechanical,10,20,E/B,4145
1-Apr-19,510,7:12:00 AM,Monday,King and Spadina,Mechanical,4,8,W/B,4494
1-Apr-19,512,7:25:00 AM,Monday,St Clair and Avenue.,Mechanical,5,11,E/B,4472
1-Apr-19,504,7:30:00 AM,Monday,King and Spadina,Mechanical,6,12,E/B,4489
1-Apr-19,512,7:39:00 AM,Monday,St Clai W Station,Diversion,25,30,E/B,4439
