Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Aug-19,504,12:45:00 AM,Thursday,King and spadina,Diversion,94,102,B/W,4509
1-Aug-19,53,2:12:00 AM,Thursday,king and spadina,Diversion,73,88,B/W,4530
1-Aug-19,301,3:27:00 AM,Thursday,Humber loop,Mechanical,5,10,E/B,4574
1-Aug-19,503,5:30:00 AM,Thursday,Kingston/Queen,Utilized Off Route,12,24,W/B,8572
1-Aug-19,501,5:43:00 AM,Thursday,Neville Loop,Held By,10,18,W/B,4514
1-Aug-19,505,6:27:00 AM,Thursday,Dundas/Broadview,Mechanical,4,8,E/B,1119
1-Aug-19,512,6:37:00 AM,Thursday,Lansdowne and St.Clair,Mechanical,6,12,W/B,4431
1-Aug-19,504,7:10:00 AM,Thursday,Broadview/Queen,Held By,5,10,E/B,4439
1-Aug-19,504,7:11:00 AM,Thursday,Broadview/Queen,Held By,3,11,W/B,4410
1-Aug-19,503,7:15:00 AM,Thursday,Queen/Lee av.,Investigation,12,24,W/B,3116
1-Aug-19,506,7:19:00 AM,Thursday,College and Borden,Mechanical,5,10,W/B,4048
1-Aug-19,503,7:49:00 AM,Thursday,Queen/Kingston road,Mechanical,12,24,E/B,8555
1-Aug-19,504,8:30:00 AM,Thursday,Dufferin-Spadina,General Delay,7,14,B/W,
1-Aug-19,504,8:36:00 AM,Thursday,King/York,Investigation,7,11,E/B,4504
1-Aug-19,504,9:32:00 AM,Thursday,King/Dufferin,Held By,5,13,W/B,4444
1-Aug-19,504,9:37:00 AM,Thursday,King/Portland,Held By,6,10,E/B,4453
1-Aug-19,506,9:46:00 AM,Thursday,Carlaw and Gerrard,Mechanical,6,11,E/B,4103
1-Aug-19,502,9:49:00 AM,Thursday,Queen/Sackville,Mechanical,12,24,W/B,3102
1-Aug-19,502,10:42:00 AM,Thursday,Queen/University,Mechanical,12,24,W/B,8556
1-Aug-19,510,10:53:00 AM,Thursday,Queens Quay and Spadina,Emergency Services,4,8,S/B,4451
1-Aug-19,509,11:19:00 AM,Thursday,CNE Loop,Mechanical,1,1,W/B,4536
1-Aug-19,505,11:51:00 AM,Thursday,Dundas/Bay,Investigation,4,8,E/B,8557
1-Aug-19,505,12:42:00 PM,Thursday,Dundas/Jarvis,Investigation,4,8,E/B,1037
