Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Dec-19,506,12:52:00 AM,Sunday,Carlton / Sherbourne,Mechanical,10,20,E/B,4074
1-Dec-19,511,12:57:00 AM,Sunday,Exhibition Loop,Mechanical,8,16,N/B,4176
1-Dec-19,504,1:01:00 AM,Sunday,King and Yonge,Emergency Services,14,24,E/B,4556
1-Dec-19,506,1:22:00 AM,Sunday,Coxwell/Gerrard,Utilized Off Route,10,20,E/B,4164
1-Dec-19,504,1:30:00 AM,Sunday,Spadina Ave and King St,Investigation,28,38,S/B,4489
1-Dec-19,304,2:51:00 AM,Sunday,Dundas W Station,Emergency Services,15,26,S/B,4553
1-Dec-19,501,3:51:00 AM,Sunday,Leslie Barns,Late Leaving Garage,30,30,E/B,4520
1-Dec-19,512,3:56:00 AM,Sunday,Leslie Barns,Late Leaving Garage,25,25,W/B,4560
1-Dec-19,501,4:10:00 AM,Sunday,Leslie Barns,Held By,12,12,W/B,4510
1-Dec-19,501,4:16:00 AM,Sunday,Leslie Barns,Held By,25,31,E/B,4468
1-Dec-19,510,4:18:00 AM,Sunday,Leslie Barns,Held By,8,16,W/B,4480
1-Dec-19,512,4:19:00 AM,Sunday,Leslie Barns,Held By,11,12,W/B,4432
1-Dec-19,310,4:21:00 AM,Sunday,Queens Quay and Spadina,Mechanical,15,30,S/B,4462
1-Dec-19,510,7:05:00 AM,Sunday,Spadina and King,Mechanical,15,30,N/B,4454
1-Dec-19,504,7:15:00 AM,Sunday,Kinng and Young,Investigation,300,308,B/W,4589
1-Dec-19,506,7:29:00 AM,Sunday,Coxwell and Gerrard,Late Leaving Garage,5,10,E/B,4549
1-Dec-19,504,7:30:00 AM,Sunday,Broadview Station to Dundas West Station,General Delay,15,23,B/W,4400
1-Dec-19,511,7:50:00 AM,Sunday,Bathurst And King,Mechanical,5,8,N/B,4024
1-Dec-19,506,8:00:00 AM,Sunday,Gerrard and Coxwell,Mechanical,8,16,E/B,
1-Dec-19,504,8:22:00 AM,Sunday,King and Church,Mechanical,10,20,W/B,4475
1-Dec-19,510,9:27:00 AM,Sunday,Spadina and College,Emergency Services,24,30,N/B,4477
1-Dec-19,510,9:48:00 AM,Sunday,Spadina and Willcocks,Mechanical,24,30,N/B,4477
1-Dec-19,506,9:49:00 AM,Sunday,Gerrard and Coxwell,Mechanical,7,14,E/B,
1-Dec-19,510,9:54:00 AM,Sunday,510 Route,General Delay,10,8,B/W,
1-Dec-19,510,9:57:00 AM,Sunday,Lelsie Barns,Overhead - Pantograph,8,16,W/B,4522
1-Dec-19,506,10:19:00 AM,Sunday,Coxwell And Gerrard,Late Leaving Garage,4,8,E/B,4563
1-Dec-19,501,10:38:00 AM,Sunday,Queen E / King E,Mechanical,15,22,W/B,4568
