Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Feb-19,504,12:14:00 AM,Friday,King and jarvis,Diversion,34,33,W/B,4405
1-Feb-19,504,5:17:00 AM,Friday,Broadview/Millbrook,Held By,10,29,W/B,4447
1-Feb-19,506,6:11:00 AM,Friday,Leslie and Gerrard,Held By,12,18,E/B,4068
1-Feb-19,509,6:42:00 AM,Friday,Exibition Loop,Mechanical,6,12,B/W,
1-Feb-19,506,7:06:00 AM,Friday,Dundas and Howard Park,Mechanical,6,12,W/B,4073
1-Feb-19,509,7:07:00 AM,Friday,CNE Loop to Union,Late Leaving Garage,6,12,E/B,
1-Feb-19,504,7:07:00 AM,Friday,Dufferin / Temple,Emergency Services,9,15,N/B,4438
1-Feb-19,509,7:11:00 AM,Friday,Bathurst and Fleet,Late Leaving Garage,5,9,W/B,4405
1-Feb-19,509,7:36:00 AM,Friday,Bathurst And Fleet,Late Leaving Garage,4,8,W/B,4511
1-Feb-19,511,7:41:00 AM,Friday,King and Bathurst,Mechanical,6,9,N/B,1021
1-Feb-19,504,7:50:00 AM,Friday,Distillery loop,Mechanical,6,13,W/B,4501
1-Feb-19,506,8:01:00 AM,Friday,Coxwell and Gerrard,Mechanical,6,12,E/B,4105
1-Feb-19,501,8:08:00 AM,Friday,Humber Loop,Mechanical,11,22,E/B,4084
1-Feb-19,506,8:20:00 AM,Friday,Coxwell and Gerrard,Mechanical,6,12,W/B,4149
1-Feb-19,506,8:44:00 AM,Friday,Ossington and College,Held By,9,15,W/B,4104
1-Feb-19,705,9:14:00 AM,Friday,Lakeshore and Parklawn.,Investigation,6,12,E/B,9210
1-Feb-19,504,9:21:00 AM,Friday,Dundas W stn,Mechanical,0,0,W/B,4448
1-Feb-19,504,9:22:00 AM,Friday,Dufferin Loop,Mechanical,6,12,E/B,4405
1-Feb-19,512,10:00:00 AM,Friday,St. Clair and Vaughan,General Delay,11,15,W/B,4489
1-Feb-19,506,10:00:00 AM,Friday,Alton and Gerrard,Investigation,18,24,W/B,4001
1-Feb-19,504,10:25:00 AM,Friday,Broadview / Riverdale,Held By,51,56,S/B,4438
1-Feb-19,504,10:25:00 AM,Friday,Dundas W Stn to Broadview Stn,General Delay,8,15,B/W,
1-Feb-19,511,11:03:00 AM,Friday,King and Bathurst,General Delay,6,9,S/B,1124
1-Feb-19,505,11:21:00 AM,Friday,Dundas Street West Bathurst,Investigation,4,8,W/B,9332
1-Feb-19,506,11:32:00 AM,Friday,Clinton and College,Held By,8,14,W/B,4104
1-Feb-19,805,11:58:00 AM,Friday,Bathurst Station,Investigation,4,8,S/B,4101
1-Feb-19,504,12:09:00 PM,Friday,King / George,Mechanical,7,14,W/B,4504
1-Feb-19,506,12:39:00 PM,Friday,High Park Loop,Mechanical,6,12,E/B,4176
1-Feb-19,501,12:50:00 PM,Friday,Queen and Greenwood,Mechanical,5,10,E/B,4039
1-Feb-19,506,1:10:00 PM,Friday,Gerrard and Acrlaw,Held By,34,40,E/B,4144
1-Feb-19,506,1:13:00 PM,Friday,Roncy Howard Park,Held By,6,12,E/B,4125
1-Feb-19,511,1:18:00 PM,Friday,Bathurst and Queen,Investigation,6,12,N/B,1056
1-Feb-19,506,1:32:00 PM,Friday,Church and College,Held By,10,16,W/B,4111
1-Feb-19,501,1:41:00 PM,Friday,Queen and Jarvis,Investigation,33,38,W/B,4190
1-Feb-19,505,1:47:00 PM,Friday,Dundas West Station,Mechanical,4,8,W/B,8104
1-Feb-19,501,1:57:00 PM,Friday,Queen and Scarborough,Held By,19,24,E/B,4039
1-Feb-19,505,2:08:00 PM,Friday,Wolseley and Bathurst,Mechanical,4,8,S/B,1282
1-Feb-19,506,2:11:00 PM,Friday,Logan and Gerrard,Held By,17,23,E/B,4170
1-Feb-19,506,2:25:00 PM,Friday,Coxwell and Gerrard,Mechanical,6,12,E/B,4032
1-Feb-19,506,2:26:00 PM,Friday,Roncy and Howard Park,Held By,12,18,E/B,4111
1-Feb-19,511,2:42:00 PM,Friday,CNE Loop,Investigation,7,14,N/B,1268
1-Feb-19,506,3:24:00 PM,Friday,Rushholme and College,Held By,14,20,E/B,4182
1-Feb-19,510,3:46:00 PM,Friday,Richmond and Spadina,Emergency Services,89,93,N/B,4494
1-Feb-19,501,3:53:00 PM,Friday,Queen and Kingston,Diversion,88,93,E/B,4103
1-Feb-19,506,4:30:00 PM,Friday,Main Station,Held By,31,37,W/B,4182
1-Feb-19,512,4:35:00 PM,Friday,St Clair W station,Investigation,4,10,W/B,4445
