Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jan-19,301,1:08:00 AM,Tuesday,Queen/Braodview,Held By,6,13,E/B,4193
1-Jan-19,511,1:30:00 AM,Tuesday,Bathurst/College,Investigation,5,10,N/B,1038
1-Jan-19,306,1:40:00 AM,Tuesday,Dundas West stn.,Mechanical,8,16,W/B,4146
1-Jan-19,505,3:10:00 AM,Tuesday,Lansdowne and Dundas,Mechanical,6,12,E/B,8416
1-Jan-19,310,3:55:00 AM,Tuesday,Spadina and Lakshore,Held By,20,30,N/B,4465
1-Jan-19,505,3:58:00 AM,Tuesday,Dundas and Sackville,Mechanical,20,40,W/B,9200
1-Jan-19,505,5:58:00 AM,Tuesday,Dundas and Parliament,Utilized Off Route,6,12,W/B,8934
1-Jan-19,504,8:25:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,2,1,W/B,4449
1-Jan-19,510,8:43:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,4,11,W/B,4446
1-Jan-19,504,8:50:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,3,10,W/B,4500
1-Jan-19,504,8:53:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,5,12,W/B,4405
1-Jan-19,509,8:53:00 AM,Tuesday,CNE loop,Mechanical,18,26,W/B,4507
1-Jan-19,510,8:55:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,6,14,W/B,4407
1-Jan-19,510,8:57:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4412
1-Jan-19,504,8:59:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,15,W/B,4474
1-Jan-19,501,9:01:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,10,14,W/B,4480
1-Jan-19,510,9:01:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,8,15,W/B,4435
1-Jan-19,501,9:03:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,7,14,W/B,4462
1-Jan-19,510,9:06:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,6,13,W/B,4421
1-Jan-19,509,9:15:00 AM,Tuesday,Leslie Barns,Late Leaving Garage,2,7,W/B,4451
1-Jan-19,504,10:47:00 AM,Tuesday,King and Dufferin,Mechanical,8,16,E/B,4438
1-Jan-19,512,11:20:00 AM,Tuesday,St. Clayr and Vaughan,Investigation,6,12,E/B,4490
1-Jan-19,501,12:05:00 PM,Tuesday,Queen and Connaught,Mechanical,22,4,W/B,4075
1-Jan-19,501,1:37:00 PM,Tuesday,QUEEN/DOVERCOURT,Mechanical,4,8,E/B,4489
1-Jan-19,501,2:24:00 PM,Tuesday,QUEEN/JONES,Mechanical,4,8,E/B,4495
1-Jan-19,512,4:41:00 PM,Tuesday,St. Clair and Dufferin,Held By,492,500,E/B,4509
1-Jan-19,501,5:17:00 PM,Tuesday,QUEEN/JAMESON,Mechanical,4,8,E/B,4077
1-Jan-19,506,6:06:00 PM,Tuesday,River and Gerrard,Held By,54,62,E/B,4029
1-Jan-19,511,6:41:00 PM,Tuesday,King and Bathurst,Investigation,7,14,S/B,1081
1-Jan-19,505,8:20:00 PM,Tuesday,broadview station,Mechanical,8,16,W/B,8466
1-Jan-19,511,10:24:00 PM,Tuesday,Exhibition loop East,Investigation,8,16,S/B,1325
2-Jan-19,501,4:27:00 AM,Wednesday,Queen and Woodfield,Mechanical,9,20,E/B,4144
2-Jan-19,501,4:32:00 AM,Wednesday,Queen and Woodfield,Held By,5,15,E/B,4089
2-Jan-19,501,4:55:00 AM,Wednesday,Jarvis / Quenn,Mechanical,8,16,W/B,4135
2-Jan-19,501,4:59:00 AM,Wednesday,Queen and Woodfield,Mechanical,11,20,W/B,4187
2-Jan-19,501,5:08:00 AM,Wednesday,Queen and Woodfield,Mechanical,3,13,W/B,4050
2-Jan-19,501,5:45:00 AM,Wednesday,Russell Yard,Late Leaving Garage,4,9,W/B,4091
2-Jan-19,501,5:49:00 AM,Wednesday,Queen and Woodfield,Mechanical,15,25,W/B,4073
2-Jan-19,504,5:51:00 AM,Wednesday,Leslie Barns,Late Leaving Garage,10,14,W/B,4435
2-Jan-19,501,6:07:00 AM,Wednesday,Queen and Woodfield,Mechanical,25,20,E/B,4074
2-Jan-19,502,6:10:00 AM,Wednesday,Birchmount Division,Mechanical,16,26,B/W,8480
2-Jan-19,502,6:32:00 AM,Wednesday,Birchmount,Mechanical,14,21,B/W,9221
2-Jan-19,502,7:04:00 AM,Wednesday,Marlvern / Kingston,Mechanical,14,21,B/W,8561
2-Jan-19,501,7:10:00 AM,Wednesday,Leslie Barns,Late Leaving Garage,16,24,W/B,4503
2-Jan-19,501,7:20:00 AM,Wednesday,Leslie Barns,Late Leaving Garage,13,21,W/B,4425
2-Jan-19,506,7:33:00 AM,Wednesday,Sterling and Dundas,Mechanical,12,18,W/B,4169
2-Jan-19,504,7:35:00 AM,Wednesday,Leslie Barnes,Late Leaving Garage,7,10,W/B,4428
2-Jan-19,504,7:36:00 AM,Wednesday,Leslie Barnes,Late Leaving Garage,4,10,W/B,4445
2-Jan-19,505,11:54:00 AM,Wednesday,Dundas West (Edna),Mechanical,6,12,26,1276
2-Jan-19,506,12:21:00 PM,Wednesday,Main Station,Mechanical,6,12,W/B,4065
2-Jan-19,501,1:28:00 PM,Wednesday,Queen and Connaught,Mechanical,5,10,E/B,4077
2-Jan-19,1,3:26:00 PM,Wednesday,Queen and Logan,Investigation,23,28,W/B,4204
2-Jan-19,503,3:38:00 PM,Wednesday,Queen & Broadview,Mechanical,12,24,W/B,4074
2-Jan-19,504,7:01:00 PM,Wednesday,Dundas West Station,General Delay,6,12,W/B,4477
2-Jan-19,501,7:18:00 PM,Wednesday,Humber Loop,Investigation,5,10,E/B,4020
2-Jan-19,501,8:03:00 PM,Wednesday,Queen and Bathurst,Held By,14,19,W/B,4103
2-Jan-19,506,11:36:00 PM,Wednesday,Main street Station,Mechanical,8,16,E/B,4032
3-Jan-19,506,12:06:00 AM,Thursday,Rusholme and College,Investigation,10,20,E/B,4178
3-Jan-19,511,12:46:00 AM,Thursday,Bathurst Station (on Street),Mechanical,5,10,N/B,1091
3-Jan-19,501,4:53:00 AM,Thursday,Queen and Connaught,Mechanical,5,15,W/B,4068
3-Jan-19,512,5:10:00 AM,Thursday,Bathurst and St Clair,Mechanical,8,14,W/B,4494
3-Jan-19,509,5:41:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4517
3-Jan-19,504,5:42:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4477
3-Jan-19,504,5:42:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4436
3-Jan-19,504,5:44:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4423
3-Jan-19,501,5:56:00 AM,Thursday,Russell Yard,Late Leaving Garage,3,6,W/B,4150
3-Jan-19,506,6:17:00 AM,Thursday,Russell Yard,Mechanical,12,24,W/B,4123
3-Jan-19,501,6:24:00 AM,Thursday,Spadina / Queen,Mechanical,6,12,E/B,4156
3-Jan-19,504,6:26:00 AM,Thursday,Dufferin Loop,Investigation,0,0,E/B,4468
3-Jan-19,512,6:47:00 AM,Thursday,Bathurst & St Clair,Utilized Off Route,3,5,E/B,4437
3-Jan-19,510,6:59:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4497
3-Jan-19,504,7:00:00 AM,Thursday,Leslie Barns,Late Leaving Garage,1,1,W/B,4498
